word,1,2,3,4,5,6,7,8,9,10,11,12
state,-0.176503,-0.154616,-0.512283,0.964666,-2.599662,-0.941763,-2.313317,-0.606937,-1.293337,0.176176,0.487724,-0.121337
sequence,1.156068,0.563563,-1.150575,1.938528,-2.062679,-1.455787,-0.633247,0.608697,-0.567569,-0.285045,-0.804945,0.340332
distribution,-0.203067,1.361127,-0.967514,1.396541,-2.52547,-1.658533,0.037163,-1.604131,-1.52587,0.780041,-0.776819,1.338472
variable,-0.518539,0.523167,-1.357581,1.050749,-2.297088,-2.199726,-1.251296,-1.310698,-0.286847,0.184622,-1.507033,1.316505
solution,0.340453,0.284578,-1.744346,1.965108,-2.682046,-1.233877,-0.055226,-1.038547,-0.004938,0.381763,-0.148834,-0.671902
square,0.867501,-0.426818,-1.429853,2.543681,-2.498958,-0.945419,0.215884,0.44066,-0.17219,0.637783,0.48231,1.705101
map,-0.371931,-0.659842,-2.839729,0.945178,-1.384311,-0.625115,-1.723472,-0.430914,-1.608654,-0.780417,-0.872903,0.435742
class,0.671429,-0.309568,-1.703808,0.871548,-1.93108,-1.284371,-2.141492,0.38755,-0.386257,-0.548281,-0.717114,-0.815892
integer,1.280976,0.041816,-1.587458,2.721229,-2.023771,-2.258365,-0.692686,0.473791,0.238126,-0.087254,-1.03126,0.380934
mean,-0.443391,0.049821,-1.490786,1.940965,-2.33751,-1.215836,-0.792537,-0.689272,-0.315373,0.147821,-1.043041,0.816249
proof,-0.934705,1.228492,-1.494276,2.444358,-1.90089,-1.31432,-0.836739,0.75973,0.241474,0.76578,-0.250649,-1.149212
three,0.010035,-1.454423,-1.328639,2.033924,-2.762202,-0.27997,-1.255714,0.559268,-0.133431,0.708194,0.592283,0.537735
dimensional,1.147467,-1.197326,-3.505176,0.997145,-2.24363,-0.451154,-0.779602,0.361229,-0.788488,0.021544,0.221628,-0.160132
zero,0.341573,-0.424989,-1.460149,2.577751,-2.22881,-1.428579,-0.95569,-0.917364,-0.465302,-0.834032,-0.670874,0.686723
algebraic,0.186916,-0.207706,-3.163004,0.836577,-1.316077,-1.629973,-1.728709,0.370839,-0.340235,0.17736,0.516568,-1.69479
formula,-0.821725,1.47695,-1.843113,2.631415,-1.233266,-2.044803,-0.514138,0.216896,-0.290276,-0.015671,-0.008949,0.894551
ring,1.106854,-0.288301,-2.321314,1.258471,-0.748026,-1.531136,-2.285174,0.983463,-0.083343,-1.6655,-0.229038,-0.589872
edge,1.110281,-1.749876,-0.869227,1.680105,-3.423498,0.993126,-0.853943,1.076627,-1.011113,0.398436,-0.710488,1.266578
sum,0.957942,0.03647,-1.319465,2.481033,-2.148,-1.713291,-0.671874,0.022775,-0.407416,-0.474925,-0.516926,1.120141
plane,-0.283438,-1.834846,-3.310614,2.23787,-1.47522,0.168462,-0.448895,0.648187,-0.96174,0.344249,0.228317,0.565935
analysis,-0.158586,0.700618,-2.004605,-0.30543,-2.24175,-2.247745,-0.795254,-1.048953,-0.349812,1.911322,0.337422,-1.199544
dimension,0.749329,-1.184443,-2.849445,1.579124,-1.83597,-0.643674,-0.554262,0.173907,-0.505679,0.145736,-0.16194,-0.433014
curve,0.209483,-1.003499,-2.749461,1.698186,-1.778371,0.140474,0.325453,-1.001762,-1.18221,0.133395,0.333115,-0.310685
type,0.148278,0.14308,-2.015976,0.717832,-2.058685,-1.32361,-1.13308,0.805375,-0.0265,0.533296,-0.896266,0.249684
operator,0.038334,0.796297,-2.324928,0.494517,-1.035126,-2.418569,-1.507318,-0.466236,-1.459828,-0.744055,-0.217199,0.844124
prove,-0.361905,1.267613,-0.939059,3.003863,-1.754865,-0.979159,-0.815156,0.455486,-0.517472,0.221021,0.111102,-1.761608
probability,-0.726612,0.973555,-0.184573,1.055327,-2.58022,-1.535514,-1.147073,-1.112883,-1.148569,1.009286,-0.74752,0.509292
structure,0.18453,-0.306808,-2.824867,-0.028384,-2.1851,-0.661511,-1.888791,0.261291,-0.095848,-0.180697,-0.337408,-0.438282
representation,1.025042,-0.07081,-2.607346,0.934763,-1.407459,-1.991983,-1.452818,0.390641,0.194237,-0.491368,0.317625,0.023133
series,0.318955,0.093818,-1.419992,1.488862,-1.477172,-2.601794,-0.262353,-0.578015,-0.099632,1.075268,0.259247,0.022924
prime,1.945982,0.335379,-0.305807,3.03615,-1.692106,-1.327728,-0.107962,1.085738,0.512127,-0.379788,-0.156147,-0.45195
measure,-0.66713,0.488682,-1.582121,1.009531,-2.217072,-0.764949,-0.695261,-1.215922,-1.317475,0.291956,-0.835501,0.654298
equal,0.176178,-0.721225,-1.110073,2.754398,-2.322161,-0.74331,-0.317929,-0.278402,-0.816241,-0.010557,-1.001813,1.36802
lie,-0.091385,-1.220805,-2.723892,1.475892,-0.824577,-0.707614,-1.679243,0.198408,-0.765636,-0.788388,0.332458,-0.196577
manifold,0.881857,-1.137752,-3.467352,1.000846,-1.329925,0.062199,-0.705789,-0.614812,-1.177954,-0.700992,0.370042,-2.033197
degree,0.736538,-1.592965,-0.680214,1.584609,-2.106318,-1.34298,-1.15665,-0.870062,-1.087388,0.172659,-0.242179,-0.516514
differential,-0.063647,-0.139353,-2.72982,0.336736,-1.328715,-2.14643,-1.096563,-1.239444,-0.908066,0.594492,0.839891,-0.939473
