word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
geometry,-2.217481,-0.266621,0.561091,-0.118436,-1.49958,1.747363,0.035417,-0.750702,-1.041729,0.236193,-0.177741,1.30538,0.469001,1.915751,0.001863
complex,-1.105839,-1.9284,0.470395,-0.465772,-0.501494,1.175193,-0.885615,0.387534,-0.979924,-0.522559,-0.504609,0.948868,-0.349162,0.434411,0.043637
linear,-2.061661,-0.841694,0.479373,1.159933,-1.278034,2.123409,0.145329,1.211835,0.24913,0.512705,-1.320994,1.418089,0.115987,0.949485,-0.137772
polynomial,-1.286906,-0.794702,1.198099,1.088538,-2.490605,0.789285,0.407228,-0.286133,0.083481,1.89628,-0.877094,1.165945,1.017089,2.202459,0.596825
algorithm,-0.492124,-0.694999,0.163389,-0.580585,-2.399923,1.108597,0.523285,-0.070942,0.283069,0.795779,-0.374548,2.228023,0.727429,1.316167,-0.110552
mathematician,-1.2157,0.302762,0.813537,-0.554462,-0.012355,-0.522663,0.764231,-2.650294,-1.21629,1.08439,-0.763272,-0.435664,0.621006,1.159528,0.153478
definition,-0.37555,-1.815619,-0.030975,0.55611,-0.890792,1.933375,0.981729,0.054839,-0.074993,0.656915,-0.437101,1.547395,-0.251317,1.051987,-0.034636
product,-0.531025,-2.323255,-0.385683,-0.287837,-1.656302,0.61839,0.623642,0.665462,0.311935,-1.01248,-1.037223,1.434485,0.111414,-1.510605,0.371304
state,0.481153,-2.249408,-1.00754,-0.249268,1.729264,0.398692,-0.111067,0.168534,-0.022353,0.241944,-0.401741,0.19911,0.265178,0.317521,-0.394813
sequence,-0.235976,-0.543453,-0.144049,0.182223,-1.669525,1.744995,0.011443,1.106466,-0.801559,0.319072,-0.891315,0.754505,0.195449,1.241607,-0.373308
distribution,-1.059633,-1.501803,-0.057155,0.571031,-0.234979,0.541527,0.974851,1.317829,-0.203629,-0.35354,-1.365626,1.594745,-0.67411,-0.106037,-0.027785
variable,-0.869478,-1.011263,0.454045,0.874104,-1.539297,1.944526,0.594758,1.302368,-0.072167,-0.032327,-0.980203,1.989085,0.30087,1.173048,-0.139279
solution,-0.082958,-1.771891,0.180823,0.195073,-1.292867,1.345049,0.454535,0.211167,-0.397449,-0.441387,-0.626413,2.064477,0.609151,-0.299407,0.635763
square,-1.746911,-1.112856,-0.259623,0.644461,0.299819,0.682409,-0.763042,1.284015,0.71968,-0.20784,0.525023,-0.637058,-0.51326,0.203276,-0.321399
map,-1.830715,-1.37964,-0.112273,-0.294172,0.162853,1.167445,0.574953,1.000547,-0.798736,-0.213547,0.686392,0.800952,-0.247097,0.642731,0.174929
class,-0.58647,-1.267674,-0.518804,-0.466295,0.312908,0.807349,0.053864,0.150298,0.653049,-0.54445,-0.580266,-0.229747,0.636087,0.547267,-0.612815
integer,-1.324936,-1.05707,0.952661,1.058764,-1.998787,1.558971,0.629192,1.111179,0.678447,1.863379,-0.522758,0.696533,0.74131,1.808542,0.082688
mean,0.491841,-1.998285,0.246991,0.640323,-0.653827,0.982573,0.025582,0.88777,-0.480843,-0.463216,-0.51274,-0.24313,-0.697356,0.544633,-0.549309
proof,0.258054,-1.075878,-0.163517,0.998423,-1.506532,0.93551,0.756231,-0.173261,-0.293165,0.567659,0.285874,0.917623,0.571784,0.972475,-0.193058
three,-0.339313,-1.611658,-0.815975,-0.011459,0.228869,0.59257,-0.538635,0.703735,0.085014,-1.063224,-0.603838,-1.217579,0.433645,0.770605,-0.309202
dimensional,-1.456883,-0.550014,0.335748,-0.142117,-2.268549,2.2047,-0.174358,0.503508,-1.150403,-0.024283,-0.387239,1.358588,0.194061,1.883262,0.60499
zero,0.303032,-0.717806,-0.210049,0.470951,-1.111337,1.917142,-0.119531,1.426904,0.015545,0.000841,-0.689033,0.610569,0.704589,0.876533,0.805953
algebraic,-2.015504,-0.555337,0.980282,-0.075822,-1.745502,1.509977,0.435373,-1.113518,-0.700434,1.582083,-0.6424,1.154102,0.145314,1.992369,0.668619
formula,-0.760572,-0.746875,0.08611,0.814163,-1.435437,1.23217,0.533232,-0.217083,0.959993,-0.252989,-1.273081,0.028984,0.771913,0.620564,1.180877
ring,-0.42079,-0.55508,-0.070609,-0.072808,-1.298747,0.568263,-0.913464,1.135557,-0.756583,-0.713729,-0.693955,-0.37762,0.33072,0.946092,0.461846
edge,-1.165105,-0.892821,-0.626762,0.069613,-0.868874,0.393775,-1.243459,1.390836,-0.13703,-1.126189,-0.23964,0.172115,-0.722188,1.434275,0.015423
sum,0.021863,-1.781845,0.268208,1.277289,-1.315981,0.801825,0.374227,0.711723,0.764609,1.1741,-0.329735,0.206375,0.553177,0.323585,0.190465
plane,-0.084183,-0.2355,0.196248,0.019332,-0.277764,1.283689,-0.616618,1.438965,-0.635283,-1.414403,0.443956,0.460812,1.175366,1.567824,0.499151
analysis,-0.446098,-1.382463,-0.550362,-0.204683,-0.489911,1.832679,1.017599,-0.539418,-1.207508,0.275962,-1.138089,2.196437,0.29214,0.534614,-0.578031
dimension,-0.6308,-0.763265,-0.052631,0.393245,-1.258876,2.094705,-0.022268,0.600238,-0.539444,0.005464,-0.151974,0.751673,-0.10579,1.305956,-0.058587
curve,-1.888585,-0.459061,-0.049343,1.292075,-0.747254,1.167407,-1.111657,1.00005,0.10841,-0.440347,-0.059554,1.467761,-0.104356,1.724239,0.126932
type,-0.918244,-1.328671,0.371298,-0.030281,-0.86629,1.345473,0.671308,1.289134,-0.600061,-1.452303,-0.951257,0.606567,0.356224,0.016734,-1.118069
operator,-0.541853,-1.194663,0.238385,-0.819462,-0.845137,0.856252,0.343983,0.508144,0.554629,-0.513976,0.152492,1.183758,1.262716,0.27265,0.883632
prove,1.112951,-1.485096,-0.247164,0.838961,-0.709381,0.323629,0.112743,-0.297893,-0.224537,-0.627305,0.110267,0.40063,0.742735,1.15007,-0.066085
probability,-0.250204,-0.70297,0.377218,1.688479,-0.857322,1.779235,0.531673,-0.045263,0.049745,0.924852,-0.812565,1.991673,0.420134,1.557757,-0.158554
structure,-1.900398,-2.391567,0.583567,-0.285927,-0.007458,1.04183,-0.539511,0.034493,-0.947813,-0.971449,-0.131134,0.892257,-0.224257,0.614156,-0.194133
representation,-0.507498,-1.952638,0.215244,0.155537,-0.694494,1.341573,0.721756,-0.590455,-0.071296,0.795733,-0.320821,0.741436,-0.701044,1.359775,0.385356
series,0.271624,-0.074495,-2.350479,-0.765118,-0.411614,1.274087,0.127968,0.90025,-0.008299,-0.481046,-0.600366,-1.136645,-0.065152,0.053143,0.212325
prime,1.203095,-1.181888,0.357434,-0.551631,0.445112,0.172952,0.910396,-0.345434,0.442411,0.363947,-0.579458,-0.59258,0.968293,0.638992,0.948177
measure,-0.20735,-1.898747,0.137378,1.366218,-0.069186,1.402129,0.080581,0.68108,0.166856,-0.737266,-0.476438,1.640952,0.435967,0.396103,-0.74281
equal,-0.148125,-1.837865,0.131725,1.404586,-0.45543,1.221873,0.026136,0.329759,0.934236,0.355731,-0.890424,0.315202,0.158117,1.235365,-0.001905
lie,-0.393832,-1.523718,0.134082,0.552617,0.490939,0.092322,-1.085994,0.867702,-0.975473,-0.445073,0.400992,-0.567262,-0.070998,0.534818,-0.414994
manifold,-1.849092,-0.254884,1.156447,0.410483,-2.056291,0.740699,-0.397505,0.119698,-0.487656,0.57417,-0.216518,1.499722,0.861593,1.574302,0.761732
degree,-1.147963,-1.797039,-0.237255,-0.228228,0.742331,1.262581,-0.80607,-1.041892,0.080312,0.473521,-1.023848,0.661008,0.385269,0.491938,-0.853219
differential,-1.328895,-0.53178,0.581862,0.597575,-1.36066,1.556009,0.030734,-0.656763,-0.072589,-0.003479,-0.988945,1.945541,1.154425,1.244507,0.128414
$\mathbb{C}$,-1.466446,-0.299036,0.008738,-0.282928,0.06967,0.675005,0.618485,1.569376,0.120398,0.21056,-1.590822,-0.051498,1.636788,0.012885,-0.045
regular,-0.372825,-1.125667,-1.127965,0.055264,-0.113681,0.798329,-0.597234,0.205636,1.515122,-0.567867,-0.617303,-0.383929,0.014655,1.10525,0.125626
second,-0.042876,-1.145537,-0.952151,0.299439,0.593029,0.711498,-0.268067,0.43382,0.696035,-0.681999,-0.708136,-1.661347,0.846649,0.833998,0.100717
