word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
vector,0.13272,0.81129,-1.445833,-0.285802,0.486243,-0.13696,1.222344,0.988581,0.396023,-0.331236,1.10721,2.218606,1.02466,0.593969,-0.077473,0.742916,-1.632425,1.630206,-0.381448,-2.160474,-0.341404,0.004125,-1.153799,0.200727,0.190623,1.320535,-0.675482,-1.862541
algebra,-0.837896,-0.371455,-1.73041,0.155572,-0.259602,-1.207085,-0.463719,0.714824,1.858389,0.603114,1.932538,1.499113,0.439098,0.5455,-0.121418,-0.659138,-1.477398,0.725654,0.427522,-1.493913,-0.068218,1.914016,-1.647012,1.21075,-0.7801,0.480408,-0.524257,-1.3789
$\mathbb{N}$,0.815727,0.260123,-2.274272,-0.551561,-0.381842,1.001008,0.677242,-0.528297,0.354223,1.513194,1.028876,1.583527,-0.158583,-0.080352,-0.741081,0.512312,-2.364539,1.499497,-0.102757,-1.140646,-0.57955,0.025637,0.051865,0.828608,0.002425,-0.178227,-1.002252,0.450393
field,-0.391,1.020148,-0.133737,0.678519,0.293619,-0.060534,0.712388,0.481232,1.786064,1.136117,1.66975,0.978424,0.015025,0.279131,-1.155475,-0.48619,-1.417762,0.63454,0.512274,-2.196709,-0.953392,0.248969,-1.559071,1.081775,0.949194,1.550971,-0.603424,-0.897561
element,0.267582,0.291301,-1.995909,-0.414379,-0.479777,0.512051,0.359469,0.362991,1.055539,1.151028,1.591752,0.468869,0.544326,-0.006192,0.247484,0.904764,-2.195964,0.381071,-0.769586,-1.393923,-0.672325,0.555457,-1.004753,0.886984,-0.457408,0.825935,-0.272966,-0.291072
system,0.002586,0.892062,1.326175,-0.880086,0.689991,-0.08118,1.033104,0.207716,1.312014,1.832237,1.361835,1.280657,0.623153,0.894429,-0.367781,0.211667,-1.677157,0.317849,-0.946802,-1.023444,-0.661735,0.427452,-0.832652,0.654214,-0.318756,1.393146,0.923932,-0.178022
matrix,-0.481067,0.146958,-2.061002,0.204068,0.341545,0.710347,0.368014,0.209901,1.613547,-0.158309,-0.425499,1.693935,0.552347,0.44227,-0.432985,0.069305,-2.63637,1.893374,-1.129691,-1.264578,-1.255545,1.993416,-0.594489,-0.05183,0.066976,1.023439,0.046129,-0.703807
mathematical,0.489933,0.138572,1.191636,0.072291,0.656669,0.613146,0.106636,0.648462,2.498809,0.183907,2.845546,0.112012,0.984867,1.818417,-0.289226,-0.932058,-0.886208,0.999922,-0.078067,0.009003,-0.128341,0.535399,-0.864613,1.674376,-0.275526,0.461804,0.999788,0.014474
method,0.805707,-0.910627,0.703025,0.218258,1.236359,-0.262537,-0.401831,-0.548865,1.355748,0.267272,1.327863,1.805361,-0.06161,1.943697,-1.186423,1.423537,-1.655015,0.743705,-1.246387,-0.668945,-0.249328,1.173351,-0.2724,0.066432,0.679776,1.193475,1.050651,-0.188766
finite,0.214946,-0.230647,-1.073237,0.036826,-0.230954,-0.014739,0.341994,0.622409,1.139218,1.970081,1.911503,0.898926,-0.77096,0.617942,-0.047885,0.638918,-1.99164,-0.021503,-0.427167,-1.868696,-0.862418,1.174897,-0.829473,0.780613,-0.227192,0.19788,-1.043666,-0.15462
