word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
term,-0.84081,-0.645126,-0.730566,-0.096142,-0.38285,0.151048,0.695281,0.113702,0.538573,0.060259,0.443218,-0.198443,0.145952,-1.184876,0.733179,-1.966931,-0.652943
line,0.712025,0.372933,-1.29526,0.042341,1.300421,-0.241288,-0.123426,-1.034861,0.814608,-0.705228,0.522054,-0.407916,0.117133,-0.74251,0.780717,-0.98829,1.025116
model,-0.484208,0.7091,-0.581054,-0.871826,-0.825982,0.485713,0.146009,-0.679905,0.415648,-0.27002,0.290093,1.140294,-0.294942,-1.137961,1.092772,-1.002566,0.393579
real,-0.252327,0.133769,-0.797033,0.011745,-0.575875,0.57639,0.106311,0.485284,0.616296,-1.025208,0.693014,0.167948,-0.05258,0.120177,0.305325,-1.657499,0.372682
property,0.059197,-0.135661,-0.559878,-0.985667,0.178288,-0.723121,1.400237,-0.900066,0.325389,0.227237,0.285222,-0.468967,0.413487,-1.110067,0.041719,-2.251998,-0.131259
geometry,0.658279,0.373009,0.756474,-0.354003,-1.330057,-1.25057,0.815058,-0.774767,0.981292,-0.307259,-0.13606,0.567939,-2.32755,-1.243514,1.742277,-0.85,0.020924
complex,0.016205,0.790137,-0.217811,0.115691,-0.307011,-1.096964,0.555324,-1.01285,1.063359,-1.082822,0.377489,0.09168,-0.228693,-1.541292,0.474132,-1.521014,-0.355087
linear,0.78131,0.911383,1.158512,-0.370754,-0.732871,0.36382,1.612459,-1.269436,0.801135,-0.674998,0.688014,0.058744,-0.086835,-1.885986,2.698991,-0.540476,0.088956
polynomial,0.478026,-0.631017,2.019151,-1.198092,-2.376919,-0.144484,1.452595,-0.519877,0.394752,0.10322,0.353493,-1.497842,-1.561783,-0.9433,2.23248,-1.207877,0.393744
algorithm,-0.131254,0.045551,1.729229,-1.158193,-1.77512,-0.061207,0.062988,-0.638853,0.554664,0.166387,0.396302,0.530602,-0.675963,-0.701342,1.643762,-1.767271,0.174455
mathematician,-1.230623,-0.950827,-0.34187,-0.322207,-1.701949,-0.931143,0.764461,-0.251069,-0.900132,0.220626,-0.460692,0.198543,-2.943227,-0.331331,0.120556,1.163678,-0.886108
definition,-0.126662,-0.472321,0.606306,-0.620999,-0.814229,0.296242,0.980281,0.119674,1.434722,0.0962,0.320519,0.337667,-0.133931,-1.138923,1.700816,-2.074678,-0.781612
product,-0.829667,0.708036,-0.164645,-1.780594,-0.629991,0.687853,0.636979,-0.537871,0.251522,-0.964135,-0.184397,0.888618,0.955435,-1.844089,0.205398,-1.976779,0.786651
state,-0.990007,-0.448081,-1.840636,0.435889,0.532345,-0.019779,0.466898,-0.695365,0.20594,0.087534,0.453576,-0.344798,0.801079,0.227016,0.856792,-1.537318,-1.101049
sequence,0.877783,0.431255,0.370829,-0.1326,-1.557933,0.098845,0.097607,0.079453,1.189806,-0.576612,1.306805,0.278322,-0.084335,-1.371643,1.493571,-1.081213,-0.121779
distribution,-0.16853,0.077428,0.11088,-1.352544,0.203569,-0.242359,0.789036,0.290007,0.143995,-0.866718,0.07627,0.438596,1.330068,-2.033901,1.446646,-1.111598,-0.510709
variable,0.295652,0.575655,1.139173,-0.815121,-1.004136,-0.060247,0.542688,0.064951,0.807687,0.187777,0.814575,0.148796,0.130501,-2.204286,2.295409,-1.47085,-0.069261
solution,-0.565848,0.915122,0.247813,-1.106494,-1.19568,-0.208235,0.670218,-0.071444,0.630056,0.142529,-0.428311,0.462534,0.326537,-1.405076,0.875084,-2.272108,0.410738
square,1.206186,-0.300877,-0.475716,0.102218,1.368622,0.421695,0.703754,-1.449658,0.709054,-0.732683,0.39209,-0.489107,0.088049,-0.760728,0.848076,-0.086873,0.396928
map,0.592612,-0.029253,-0.387264,-1.20301,0.731802,-1.134343,0.409852,-0.486329,1.353143,-0.439634,0.607761,0.471738,-0.303592,-0.797654,1.002913,-0.855928,-0.491436
class,-0.716583,-0.063799,-1.070027,-0.357134,0.377917,0.572606,0.100324,-1.030258,0.324408,-0.101583,0.374375,-0.1373,-0.219394,-0.682801,1.176888,-0.575498,0.047193
integer,0.778356,-0.568247,1.620303,-1.551097,-1.553587,0.594062,1.258484,-0.707662,1.354547,0.211665,0.801208,-1.393668,-0.754711,-0.877247,2.764226,-0.921858,0.355612
