word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
problem,0.356919,0.3387,0.01949,-0.226191,0.435433,0.385212,0.098014,0.07884,-1.705281,0.219968,-0.162694,0.195392,-0.607851,0.937225,0.021041,0.373392,0.272866,-0.372623,0.352035,0.228888,-0.205343,-1.014703,-0.673883,1.551412,-0.174191,-0.200983,-0.220609,-0.657211,0.547756,-0.067866,1.296217,0.786057,-0.514752,-0.75539,0.284031,0.242231,-0.833582
mathematic,-0.397982,-0.394484,-0.228408,-0.595478,1.053341,-0.658758,-0.241722,1.563953,-1.296556,0.59868,-0.97615,0.872702,-0.403618,-0.449055,-0.656182,0.01951,0.251372,-0.120454,0.525913,-0.050639,-0.651876,-0.703898,-1.245697,0.76872,0.641979,-0.254095,-0.987278,-0.956332,0.233703,1.607126,-1.496069,0.288212,0.023069,-1.168634,1.237332,-0.153269,-1.20789
order,-0.384201,-0.035779,-0.364593,0.465514,0.526703,-0.215604,-0.326013,0.345593,-0.68342,-0.087082,0.63729,0.413117,-0.558928,0.033346,0.185413,0.244418,-0.540916,0.457858,0.132184,-0.512037,0.409517,-0.515931,-0.27477,-0.4701,-0.123412,0.119244,-0.067111,0.613426,0.398291,0.218506,1.85993,0.520776,-0.457721,0.201426,0.73437,0.324461,-1.132377
equation,-0.525658,0.187454,0.186141,-0.76393,-0.046672,0.844991,-0.661681,0.905136,-1.903408,2.119976,-0.094025,0.984125,0.141486,0.241865,-0.3974,0.684527,-0.378945,0.137174,1.512745,-0.262266,0.151801,-1.43366,-0.799215,2.180142,0.275903,0.385839,-1.600485,-0.41736,0.706632,-0.411824,-0.801668,0.367637,1.06263,-0.560191,0.909811,-1.288736,-1.226632
first,0.072575,-0.341246,-0.408111,0.309022,0.432473,-0.563863,-0.160921,-0.094045,-0.895183,0.133563,0.402562,0.826702,0.156799,-0.150349,-0.024978,-0.920179,-0.029162,0.124653,-0.159465,0.118901,0.565441,-0.079098,-0.395458,-1.113525,0.724939,-0.42361,-0.407599,-0.018043,0.07088,0.068068,1.109017,0.385924,-0.169964,-0.465814,0.46516,-0.051011,0.133153
vector,-0.763998,-0.065926,0.45525,-0.199671,-0.11217,0.629032,-0.018103,0.869521,-1.694287,1.164661,0.220716,-0.394342,0.529055,0.779999,-0.488971,0.23271,-1.612987,-0.333173,0.724982,-0.267777,0.444321,-0.876213,-1.038551,2.049463,0.495977,0.866557,-1.405859,0.398743,1.068821,0.125636,-0.679674,1.576145,-0.175066,0.693662,0.723853,-0.315623,-1.10043
algebra,-0.803696,0.430172,-0.023743,-0.267141,0.241512,-0.142124,0.168514,1.533455,-1.004053,0.33108,-0.17883,0.551526,-0.502396,-0.128287,-1.017334,-0.063502,-0.802487,0.207179,1.290104,-0.712179,0.340711,-1.670651,-1.337786,1.215391,0.620889,1.35719,-1.233307,-1.199835,0.52176,1.068821,-2.069218,0.917066,0.552455,0.313781,1.178007,-0.618466,-1.535118
$\mathbb{N}$,-0.588703,0.349468,-0.111216,-0.603849,-0.998997,0.285749,-0.069257,0.043464,-0.82309,0.328154,0.574265,0.279034,0.185927,0.452947,-0.279678,-0.049192,0.501611,0.063474,0.334116,-0.949565,0.686628,-0.232356,-0.330047,0.106348,1.181874,1.104873,-0.538437,1.079503,0.679584,-0.722232,-0.813726,1.184576,0.363547,1.190896,0.699681,-0.810191,-0.152908
field,-0.409633,-0.595874,-0.10617,0.142727,0.686952,-0.37941,-0.164461,0.286047,-2.572955,0.610779,-0.557183,0.68242,-0.102808,-0.204609,-0.061883,0.389707,-0.016084,-0.041649,0.164362,0.138987,0.210443,-0.375787,-0.39079,-0.158592,0.655071,0.542853,-1.01338,-0.111632,0.152113,0.67824,0.437226,-0.14258,-0.496562,0.332003,0.260605,0.277567,0.155207
element,-0.16575,0.141664,-0.760712,0.354762,-0.061993,-0.70805,-0.477005,1.018832,-1.679916,-0.026739,0.27338,0.381485,-0.994198,0.119099,0.647162,0.563704,-0.726008,-0.188211,-0.489132,-0.75926,0.872384,-0.641559,-0.494783,0.868065,0.502402,0.471612,-0.059255,-0.447134,-0.086145,-1.05881,-0.003956,1.197855,0.19466,0.541545,0.157863,0.160531,-0.813835
system,-0.093963,-0.56074,-1.030037,0.780936,-0.416415,-0.182918,-0.363134,-0.159174,-2.264149,-0.231865,-0.173059,0.638887,0.275063,0.72084,0.564775,0.195491,-0.869316,-0.260315,0.424306,0.140979,0.603513,0.251018,-0.775496,1.787033,0.329006,0.143147,-0.220075,0.805217,-0.372176,0.53244,0.735074,0.921268,-0.745337,-0.539061,0.292688,-0.012269,-0.771318
matrix,-1.018898,0.277449,0.508342,-0.312202,-0.055131,-0.19454,-0.668592,0.710749,-1.587205,0.629872,0.597818,-0.221221,0.031403,0.431461,-0.455837,0.124169,-0.913366,-0.410338,1.043367,-0.398045,0.797129,-1.058978,-1.256368,1.791168,1.335559,0.977101,-0.509396,-0.242077,0.510043,-0.80093,-0.790595,0.822944,0.618592,0.674219,0.373108,-0.168812,-1.108744
mathematical,-0.228996,-0.770184,-0.449592,-0.209969,1.166218,-0.562531,-0.162718,1.379536,-1.416191,1.256554,-0.49081,0.257062,-0.62995,0.048823,-0.121404,0.437228,0.192245,-0.419948,0.737906,0.005635,-0.575185,-0.991269,-1.572241,1.339221,0.408714,-0.161223,-0.995275,-1.013857,0.025522,0.87774,-1.361459,0.24983,0.175485,-1.158899,1.118532,-0.46473,-1.209172
method,-0.018907,-0.820766,-0.373849,-0.370032,0.114718,-0.124245,-0.348837,0.402486,-1.92294,0.819918,-0.1602,0.060227,-0.258712,0.356085,0.477635,-0.044772,0.172943,-0.361785,0.328977,-0.671103,0.045773,-0.512874,-1.129013,2.378078,0.28168,-0.476453,-0.316048,-0.563039,-0.378082,-0.427503,0.566704,0.351178,-0.497256,0.085533,0.72553,0.104851,-1.496403
finite,-0.373324,0.511397,0.12174,-0.239091,-0.247033,0.091675,-0.16461,1.448221,-1.443781,0.719439,0.349271,0.749711,-0.309935,0.253597,-0.616473,0.518993,-0.652547,0.525516,1.177484,-0.151858,0.46841,-2.016432,-1.051697,2.219637,0.54025,1.327874,-1.036496,-0.603242,1.326399,0.167586,-1.050164,1.191011,0.317923,0.856777,1.050314,-0.360052,-1.330135
result,0.414897,-0.193038,-0.160838,-0.445577,0.714606,-0.202762,-0.313737,-0.510309,-1.379608,0.090127,0.601369,0.174388,-0.159273,0.17476,0.584686,-0.21332,0.180495,-0.048802,0.216294,0.129434,0.363974,-0.795891,-0.111882,0.786608,0.993166,0.239538,-0.842554,0.293887,0.717658,-0.661714,2.024308,0.10991,-0.463976,-0.718872,0.099811,-0.031336,-0.06241
vertex,0.120015,1.202245,0.46241,-0.116338,0.234284,-0.479171,-0.015906,1.518996,-0.424803,0.754418,-0.205841,-0.423834,0.370902,0.035996,-0.827956,-0.432634,-1.868704,-0.119587,0.885828,-0.283031,0.882758,-1.901163,-0.86548,1.529683,1.127037,1.512203,-0.1313,1.039096,1.495581,-0.215008,-0.742551,0.747757,2.173884,0.777026,0.278833,0.605037,-0.923522
term,-0.206625,-0.100678,-0.574747,-0.294316,0.134867,-0.309334,-0.223738,0.770913,-1.442388,-0.336796,0.129078,0.04603,-0.29303,-0.2498,0.588088,0.011228,-0.143884,0.447638,0.014977,0.080111,0.396367,-0.528543,-0.47798,0.787501,-0.027132,-0.080161,-0.172347,-0.035132,0.583247,-0.522771,0.995221,0.092455,-0.688258,-0.584972,0.415805,-0.463204,-1.177908
line,0.57101,1.068389,-0.252482,0.223179,-0.439755,0.432951,-0.066034,-0.060446,-1.848337,0.077316,0.388456,1.224843,0.227107,0.192009,0.853519,-0.976166,-0.388385,-0.253867,-0.032152,0.233577,0.781805,-0.321254,0.083833,-0.296835,0.562985,0.664584,0.204126,0.832491,0.247281,0.341389,0.474094,0.645753,0.426158,-0.287624,-0.347082,0.555454,-0.235947
model,0.095247,-0.304673,-0.839504,0.08386,-0.549034,0.007706,-0.730167,-0.63026,-1.784227,0.541186,-0.611265,-0.207215,0.031091,0.095781,-0.268295,0.53997,-0.595103,-0.004007,0.373562,-0.067634,0.58316,-0.262953,-1.452772,0.821102,0.607986,-0.355405,0.224701,-0.039609,-0.048036,0.203138,0.186219,1.757767,-0.030927,-0.508111,-0.269992,-0.386061,-0.499758
real,-0.95598,-0.204288,0.131011,0.244183,-0.422311,0.183988,-0.168995,0.539593,-1.007924,0.085899,0.15579,0.806241,-0.891194,0.567226,-0.226346,-0.811377,-0.352946,-0.352671,0.114809,0.336115,-0.178848,-1.03549,-1.378543,0.06889,0.08998,-0.403718,-0.17649,-0.018163,0.793364,-0.575752,0.40673,0.930428,-0.445918,-0.306096,-0.097277,-0.316854,0.412053
property,-1.182239,-0.578016,0.385012,0.303787,0.00113,0.25134,0.080387,0.625727,-1.438782,-0.617153,0.157137,0.740114,-0.419251,0.446289,0.850891,0.221893,-0.503927,0.203425,0.627147,0.100675,0.158716,-1.764134,-0.201166,0.573827,0.753009,-0.606085,0.338731,0.441386,0.455791,0.206602,0.831721,-0.15971,0.203572,0.166172,-0.534584,-0.450598,-1.613247
geometry,0.091617,0.099407,0.02521,-0.341273,-0.185592,-0.510651,0.060878,0.939273,-1.343756,2.049109,-0.737144,0.38681,-0.001165,0.098683,-0.104763,0.419912,-1.04834,-0.401694,0.696091,-0.881484,-0.2334,-1.501286,-1.013136,1.174889,0.573338,0.767831,-0.622488,-0.720895,-0.235992,0.329163,-1.180951,0.919082,0.956357,-0.678258,0.421808,0.104919,-1.361029
complex,-0.060811,-0.155544,-0.346045,0.304216,-0.435039,-0.839441,-0.031412,0.467153,-1.853454,0.020263,-0.462159,0.50258,-0.384028,0.346021,0.283765,-0.233246,-0.727178,-0.780655,-0.323604,-0.539316,0.437107,-1.416569,0.581023,0.785613,1.261094,-0.075342,-0.30322,-0.018356,0.421301,0.107468,-0.276109,0.649649,-0.314625,0.211499,-0.536585,0.419556,-0.925937
linear,-0.001302,0.549261,0.100765,-0.545813,-0.594546,0.486876,-0.450647,0.571272,-2.063185,0.751494,-0.062421,-0.214356,0.870829,0.298728,-0.107667,0.474434,-1.239768,-0.55553,-0.008388,-0.221724,-0.486798,-0.396864,-1.304574,1.824815,0.979607,0.610758,-1.415437,0.528077,0.730156,-0.164986,-0.421063,0.953403,1.577232,-0.213529,-0.085845,-0.499175,-1.186858
polynomial,-0.820206,0.848281,0.887894,-1.106778,0.254467,0.9765,-0.752058,1.478027,-0.311763,1.574243,-0.112581,0.048647,0.104538,-0.093067,-0.708465,-0.472358,-0.903484,0.256235,1.166785,-0.049733,0.639969,-2.113985,-1.373438,1.802117,0.604701,0.274653,-1.834093,-0.575816,1.517419,0.387959,-1.33676,1.192401,0.132234,1.165521,1.300175,-0.506952,-1.612235
algorithm,0.648218,0.402041,-0.04508,-0.179647,0.229645,0.167253,-1.078202,0.422708,-1.417617,1.083246,0.072263,-0.30737,0.241355,0.703285,-0.279596,-0.620651,-0.282543,-0.739424,1.418034,0.319362,0.364341,-0.922906,-2.189119,2.985266,0.404689,-0.264671,-0.963733,-0.39061,0.463024,0.569613,-0.612928,0.135708,-0.091118,0.96447,1.274354,0.38394,-1.018491
mathematician,-0.363543,-0.653549,-0.631187,-0.322555,0.58426,0.479905,-0.615467,1.042929,-0.314602,1.648147,-0.313997,0.007686,0.38318,-2.069837,-1.315981,1.100472,0.103659,-1.622521,1.270883,0.159239,-0.340276,-0.828603,-1.032308,-0.754782,0.169073,-1.483673,-0.710836,-0.999555,-0.420881,0.730968,-1.15668,-0.420485,0.521958,-1.037391,1.159808,-0.58413,-0.876728
definition,-0.166404,-0.219322,-0.643539,-0.050353,-0.119419,-0.180858,0.230976,0.85326,-1.472023,-0.195157,0.509513,-0.190233,-0.03976,-0.019738,0.854417,0.430629,-0.410473,0.394704,0.231276,0.000676,0.365706,-1.058161,-1.375958,1.871056,-0.11017,0.341272,-0.4437,0.16252,1.005139,-0.218624,-0.173157,1.006669,-0.166925,-0.466633,0.457477,-0.491555,-0.984078
product,-1.504361,-0.340267,0.247843,-0.235476,-0.526498,-0.200506,0.007463,-0.268449,-1.822854,-0.286643,-0.144778,-0.126259,-0.354988,1.233314,0.559394,-0.642066,-0.585723,0.066991,-0.077613,-0.093319,0.642715,-0.781993,-0.445326,1.853618,0.809523,-0.987367,0.94547,0.52613,-0.799634,0.001834,0.375836,1.318034,-0.417337,0.375776,0.399454,-1.149566,-0.196478
state,-0.248715,-0.26387,-0.810013,0.259196,0.165319,-0.681604,0.047769,0.988364,-0.900599,-1.102883,-0.488575,0.825175,0.332891,0.282063,0.498631,0.341653,0.753463,-0.021097,0.035643,0.877226,0.58089,-0.736,-0.460924,-0.348626,0.418184,0.23481,-0.310962,0.624412,0.560369,0.03689,1.51077,-0.688707,-0.52271,-0.252074,0.045515,-0.341033,-0.367583
sequence,0.40538,0.061158,-0.342746,0.028841,0.422089,-0.879634,-0.028832,0.212543,-1.276782,0.626137,0.674152,0.059696,0.343752,0.559047,-0.219055,-0.738163,-0.27771,-0.215886,0.138602,-0.200186,1.008255,-0.621538,-0.623587,1.29422,0.897749,-0.067027,-0.759953,-0.336005,1.244567,-1.272578,-0.64438,1.41892,0.217719,1.146749,0.305571,0.759713,-1.178423
distribution,0.067556,-0.038486,0.774229,-0.17309,-0.485667,-0.048564,0.443961,-0.279708,-1.91689,0.669747,0.184538,-0.577465,0.423992,0.351465,0.495394,-0.399755,-0.621166,0.589303,-0.632856,1.127106,0.116717,-0.528268,-0.617767,1.243138,0.192875,-0.020053,-0.418813,1.630627,0.358406,-0.303606,0.144726,0.730552,-0.407934,0.261931,0.650833,-1.204839,-1.292589
variable,-0.02151,-0.476327,-0.642165,-0.437342,-0.200981,0.650327,-0.520606,0.070822,-1.808424,1.040949,0.133498,-0.145699,0.492915,0.292178,0.461044,-0.083675,-1.04606,0.794046,0.185918,0.141223,0.1395,-0.503345,-0.78702,2.418696,0.253341,0.38471,-0.818979,0.477536,1.222537,-0.565572,-0.1794,1.478541,0.27546,0.579733,0.828171,-0.390507,-1.062304
solution,-0.985918,0.197322,0.279242,0.089055,-0.234274,0.323942,-0.322436,0.455649,-1.647393,0.25624,-0.3728,0.466501,-0.320748,1.143572,0.264325,0.344114,-0.223821,-0.136055,0.049255,-0.430706,0.452271,-1.010501,-0.531194,2.584944,0.346849,-0.453394,-0.232001,0.417196,-0.215223,-0.187983,0.48289,0.263567,-0.043518,-0.248172,0.483422,-0.803852,-0.437637
square,-0.091449,0.456951,0.813416,-0.655291,-0.454225,-0.20562,0.185716,0.761793,-1.178773,0.101114,-0.393454,0.436405,0.439238,-0.692617,0.870194,0.114685,-0.708321,-0.409887,-0.283849,-0.194895,0.149613,-1.263384,-0.677662,-0.991605,1.442408,0.338595,0.394829,0.988979,0.536517,0.774902,0.205095,0.687149,1.651303,0.375953,-0.88849,0.612788,-0.326045
map,0.283722,-0.139251,-0.333446,1.214674,-0.255615,0.050776,0.182651,0.387476,-1.569109,0.695851,1.088857,0.173392,-0.059364,0.633653,1.406763,0.002714,-0.533007,-0.753336,-0.061125,0.184158,-0.280741,-1.17212,-1.139992,0.228915,0.485923,0.030554,-0.704048,1.069918,0.512616,0.617326,-0.799423,0.055517,0.201426,0.574819,0.038886,0.259454,-1.014755
class,0.020347,-0.389057,-1.070789,-0.254386,0.475252,0.13242,-0.212392,-0.239581,-1.28693,-0.662597,-0.669493,0.47784,-0.72048,-0.571633,-0.091095,-0.005609,-0.051161,0.669804,0.071725,-0.24762,0.795274,-0.064657,-0.240389,-0.442419,0.935954,0.279861,-0.074046,0.244566,0.267094,0.919818,0.362888,1.51657,-0.413737,0.076314,0.503578,-0.19738,-0.244262
integer,-0.408857,0.633045,0.400202,-1.198579,0.196319,0.554124,-0.57892,1.635497,-0.434662,0.508534,0.394256,0.42462,0.447058,-0.022616,0.096155,-0.531936,-0.536234,-0.160743,1.023477,-0.056465,0.982391,-1.315926,-1.804273,1.954065,1.148831,0.491671,-1.613897,0.213959,1.128823,0.25494,-0.924771,1.491005,1.066364,1.609971,1.097146,-0.458861,-1.281711
mean,0.157209,-0.142565,-0.323691,-0.564952,-0.429027,-0.203698,-0.350698,0.927732,-1.555329,-0.296745,0.837523,0.378186,-0.643112,0.007636,0.546466,-0.606822,0.064033,0.225385,-0.171688,-0.329548,-0.045282,-0.268432,0.227478,0.721919,-0.918379,0.012824,-0.163566,0.370957,0.828576,-0.35535,0.957306,1.055867,0.150854,0.423963,0.441112,-0.23392,-0.622282
proof,-0.434863,-0.157201,-0.093672,-0.361204,0.484807,-0.111724,0.540504,0.932602,-0.42849,0.476126,0.386903,0.295339,-0.326514,0.410956,0.571388,0.291568,0.022991,0.132183,0.885818,-0.247395,-0.044293,-1.741491,-1.284632,1.345608,-0.54246,0.073654,0.067463,-0.643982,0.339179,-0.125488,0.548134,0.717504,0.753113,0.167303,0.694766,-0.094249,-0.497702
three,0.07445,-0.087729,-0.283651,-0.058275,0.28718,-0.792192,0.022595,-0.095961,-1.232053,0.114284,0.289095,0.834779,0.085697,-0.392911,-0.16637,-0.979534,-0.311908,0.414742,-0.215919,-0.167328,0.468093,-0.252934,-0.118608,-0.976359,0.610294,0.243129,-0.096691,0.252326,0.313467,0.066248,1.251303,0.589998,0.185205,0.172125,0.086098,0.571818,-0.17248
dimensional,-0.363875,-0.077275,0.471587,0.488464,-0.180549,-0.532516,-0.094817,1.286312,-1.802517,1.677727,-0.253884,0.299019,-0.648978,0.475072,-0.63154,0.500062,-1.363343,-0.391722,0.460555,-0.569535,0.193504,-1.447606,-1.372094,1.729174,0.779325,1.233454,-0.434037,-0.223756,0.458116,-0.531031,-0.943127,1.333534,0.949023,0.287981,-0.187798,0.296901,-1.017583
zero,-0.358231,0.26225,0.564743,-0.313072,-0.157662,-0.138488,-0.693276,0.316955,-1.243299,0.487255,0.546748,0.637902,-0.090098,0.871506,-0.216543,0.522062,-0.40966,0.073002,1.122531,0.029189,0.456059,-0.617893,-1.182542,0.965103,0.331579,0.449256,-0.553837,0.446174,1.094462,-0.825165,0.303759,1.590454,0.327701,0.214289,0.194881,-0.084028,0.032475
algebraic,-0.279027,0.506274,0.159491,-0.450371,0.039727,0.080762,0.324981,1.539988,-0.947057,1.414056,-0.279102,0.064015,-0.861733,-0.3279,-0.64061,0.142461,-0.413724,-0.450132,1.305405,-0.445551,0.233126,-2.143415,-1.286276,1.452756,0.652536,0.816331,-0.924015,-0.885668,0.869325,0.811737,-2.049833,1.092046,-0.072556,-0.361057,0.920009,-0.717318,-1.423195
formula,-0.353806,-0.626425,-0.28423,-0.953145,-0.244049,-0.467883,-0.900516,-0.76432,-0.450519,0.804286,0.285878,0.354092,0.195974,-0.239097,0.446519,-0.271634,-0.388337,0.750153,1.002392,-0.456302,1.041882,-1.628432,-0.452383,0.903096,0.5863,-0.229226,-0.637924,-0.873877,0.434438,-0.229589,0.029456,1.49981,0.36796,-0.675047,0.445943,-1.135202,0.332876
ring,-0.050179,-0.130674,0.751179,0.282711,-0.517665,-0.673164,-0.144512,0.627123,-1.126379,0.887802,0.377935,0.417793,-0.016897,0.251423,-0.506836,-0.807264,-0.568983,-0.064459,0.593866,-1.003648,0.573868,-0.641133,0.433243,-0.213458,0.369252,0.969844,0.163841,0.169605,0.379875,-0.693206,0.544497,0.682122,0.539926,0.322579,0.180885,0.174763,0.11069
edge,0.510874,0.667882,0.520833,0.350946,-0.484073,-0.305965,-0.407536,0.365191,-2.343695,0.759945,-0.082976,-0.039524,0.138114,0.23165,0.422473,-1.007212,-0.77077,-0.007028,-0.412172,-0.016446,0.246233,-0.34079,0.054725,0.150064,0.106466,1.32502,0.088918,0.291884,0.531415,-0.120831,0.140834,-0.116861,0.890555,0.372475,-0.797724,0.485471,0.141625
sum,-1.256333,0.621446,0.954459,-1.465706,0.424059,-0.252256,-0.325039,0.611467,-0.453899,0.143108,0.294395,1.050415,-0.628479,-0.240827,0.077122,-0.453996,-0.017172,0.544748,0.753222,-0.246478,0.458644,-0.999055,-1.14453,0.990534,0.155797,-0.451952,-0.335607,0.634555,1.147103,-0.109022,0.150273,0.647009,1.074671,0.224763,0.271767,-0.153347,-1.167206
