word,1,2,3,4,5,6,7,8,9,10,11
number,0.538902,-0.108831,-0.554033,0.006323,0.234742,1.293379,0.229818,-2.208859,-0.166312,0.707687,-0.529772
function,-0.406836,-0.925306,-2.337727,-0.078335,-0.517064,0.798482,0.658718,-1.330141,0.846418,1.223011,-1.016133
one,-0.552586,0.489591,0.505166,-0.243607,0.263838,1.516053,0.315548,-2.000254,0.011965,0.633637,0.117518
set,0.008135,0.196075,0.257321,-0.274866,-0.472589,1.564978,0.010001,-1.549098,0.050673,1.034052,-0.461853
group,-0.205153,-0.05712,0.222674,-0.197614,-0.19822,0.742443,0.538623,-1.828154,1.282416,-0.188861,0.077003
space,-0.269195,0.637302,-0.938829,-0.23453,-0.65214,1.42864,0.232137,-1.096955,0.788426,0.697033,-1.294768
two,-0.506755,0.239082,0.546635,-0.214632,0.628246,1.775916,0.137949,-2.00255,-0.01176,0.224335,-0.449189
theory,-0.767146,-0.755173,-1.188857,0.015696,-0.745865,-0.878568,1.176071,-1.086486,1.337035,2.414947,-1.024642
point,-0.024842,-0.253729,0.025754,-0.177823,0.004693,1.357604,0.333596,-2.103571,-0.836547,-0.272375,-1.021597
theorem,-1.121272,-1.583743,-1.432434,-0.135631,-0.599903,-0.776502,0.272591,0.758879,-0.286306,2.006669,-2.261345
example,-0.384218,0.387602,-1.365745,-0.588495,-0.146956,0.778285,0.590329,-1.767622,0.53473,1.517595,-0.38288
form,-0.941367,0.689616,-0.74119,-0.375533,0.457875,0.757811,0.295057,-1.902978,0.551065,0.610917,-0.414082
define,-0.368029,-0.551107,-2.051534,-0.272309,-0.702241,0.23946,0.576888,-1.984611,0.30419,1.279477,-1.035481
graph,-0.142608,-0.353731,-2.312458,-0.452712,-1.168054,-0.286699,0.117811,-0.181744,-0.531919,1.390817,-2.05673
value,0.143006,-0.458694,-1.997057,-0.063086,-0.720079,0.738497,0.871716,-2.106772,-0.066572,1.118833,-0.410171
problem,-0.935004,-0.846408,-1.061839,0.067251,-0.645026,1.015017,1.267554,-1.133717,0.702041,1.194327,-0.344919
mathematic,-0.094723,-0.296906,-1.081274,0.909073,-1.148185,-1.508194,0.117143,-0.793977,1.484343,1.221613,-1.132074
order,-0.642318,-0.773493,-0.174152,0.412813,0.661386,1.246014,-0.025582,-1.866456,0.08666,0.988342,0.533551
equation,-0.833628,-1.689363,-1.871378,-0.610921,-0.312717,-0.071962,0.685369,0.039937,0.377212,1.592673,-2.395049
first,-0.263945,0.146592,1.329298,0.285388,0.252104,1.284777,-0.115151,-1.897564,0.682844,0.283607,-0.010024
vector,-0.006696,-0.950837,-2.438073,-0.931316,-0.724681,0.597026,0.231308,-0.609805,0.189261,1.258443,-2.155977
algebra,0.060412,-1.138607,-2.034482,-0.032208,-0.926538,-1.01199,-0.202232,0.037098,0.064866,1.819703,-2.391901
$\mathbb{N}$,1.159267,-0.270876,-0.185756,-1.367472,0.493142,0.279795,0.250327,-0.846774,0.095751,0.226161,-1.856226
field,-0.781346,0.016012,0.053749,0.776421,0.016803,0.954858,0.670394,-1.353902,0.840729,-0.218163,-1.391098
element,-0.631691,0.481049,-1.310646,-1.025443,-0.273137,0.965934,0.189353,-1.459325,0.654376,1.721312,-0.529133
system,0.018602,-0.132942,-1.739068,0.345382,-0.566894,1.789094,0.423118,-1.682396,1.81553,0.200944,-0.471101
