word,1,2,3,4,5,6
simple,-0.552878,-0.585986,0.589384,3.725463,0.525382,0.950231
topology,-0.520253,-1.922202,1.039073,2.48027,0.575073,1.790418
category,-0.936619,-2.036663,0.038334,2.532992,0.232441,1.175758
surface,-1.478115,-1.455127,-0.631498,2.6282,0.3644,1.389474
constant,-0.102149,-0.687647,0.843374,3.485877,-0.151606,0.337766
application,-0.256162,-0.198188,0.652178,2.794536,2.076978,1.348484
integral,0.147539,-1.500387,1.160367,3.11529,0.473596,0.632859
coordinate,-1.569113,-0.603297,-0.428778,3.044014,-0.535604,0.884407
complete,-0.369668,-0.450875,1.367795,2.678533,0.443544,1.272767
root,-0.579805,-0.031298,1.086711,3.058478,-0.654862,0.758986
length,-1.389524,0.778754,-0.069723,3.545113,-0.808113,0.740842
continuous,0.13969,-1.572759,1.101697,3.544799,-0.170407,0.165511
logic,0.943328,-1.010024,1.840373,1.804361,1.70928,0.864177
external,-1.125263,-0.085576,0.920118,1.407561,1.7222,2.653578
side,-1.589143,0.916386,-0.124308,3.265253,-0.862796,0.998149
unit,-1.209869,0.395363,-0.038263,3.157621,-0.33235,0.783395
equivalent,-0.220547,-0.944359,0.843166,3.582024,-0.270718,0.494747
conjecture,0.354225,-1.821959,1.551214,1.590358,0.722941,1.276454
infinite,-0.747843,-0.750061,0.628896,3.3081,-0.136161,0.993
operation,-0.302874,0.182535,0.570186,3.134213,0.337147,0.627952
angle,-1.714742,0.711933,-0.79682,3.033688,-1.038614,0.643783
random,0.45357,0.200824,0.778775,3.497241,0.645543,-0.395775
basis,-0.348956,-0.950179,0.614674,3.112352,0.059306,0.746214
natural,-0.152341,-0.551253,1.055377,3.264926,0.702798,0.917481
power,-0.446438,0.185361,0.773212,3.152008,0.150854,0.449953
area,-1.386504,0.60504,-0.267709,2.951377,0.96532,1.165018
open,-0.939258,-0.077232,0.648017,2.841417,-0.089244,1.288271
solve,0.246391,-0.0324,0.869327,2.999503,1.299552,0.553162
pair,-1.137633,0.203074,0.234427,3.367203,-0.897022,0.745009
hold,-0.161521,0.686437,1.840876,2.562434,0.504986,1.319068
limit,0.075114,-0.357763,1.008527,3.430841,0.047727,0.157223
special,-0.459735,-0.770432,0.667826,3.070261,0.900592,1.306025
generate,-0.774591,-0.782489,0.551258,3.302363,-0.300474,0.819066
coefficient,0.374958,-0.486328,1.260211,3.216702,-0.430409,-0.047496
standard,-0.181206,0.208389,0.567208,2.900187,0.966821,0.774618
identity,-0.305483,-1.307882,1.347837,2.920925,-0.39838,0.785221
