word,1,2,3,4,5,6,7,8
type,1.014276,-0.109156,-0.395875,0.26878,-0.554578,2.75382,0.372219,1.726911
operator,1.34439,-0.793938,0.48047,0.427489,-1.364604,2.788139,-0.033188,1.03231
prove,0.645338,0.880737,-0.260705,-0.141804,-2.382516,2.550169,-1.597091,0.783919
probability,1.242297,1.131382,-1.548352,0.059985,-1.03053,2.257525,-0.184996,1.28763
structure,0.630631,-0.118043,0.445034,-0.219326,-0.144298,3.830732,0.568195,1.304456
representation,0.853823,-1.072268,0.35051,0.541608,-1.165957,3.040938,0.46616,1.552709
series,0.761589,0.116011,-0.868383,1.247022,-1.791522,2.121836,0.093005,1.720157
prime,1.172284,-1.000231,-1.447034,0.264244,-2.19222,1.201481,-0.297269,1.588956
measure,1.222124,0.053373,-0.74241,-0.32146,-1.163387,2.904603,0.128624,0.427146
equal,0.824114,-1.404119,-1.928155,-1.171151,-1.547304,2.449904,0.51957,1.260472
lie,-0.172145,-1.230351,0.542288,-0.640245,-1.407527,3.172772,-0.163042,1.145657
manifold,-0.486031,-1.028577,1.717563,-0.603725,-1.047239,3.633104,-0.168362,0.774773
degree,-0.414582,-0.242607,-0.980795,-0.902594,-1.07987,2.351881,-0.462033,2.095843
differential,0.133815,0.156515,0.775525,1.256629,-1.42933,3.360882,0.199318,1.149648
$\mathbb{C}$,0.961405,-1.401264,-0.658826,-1.28286,-0.938968,1.987728,-0.604554,2.173478
regular,-0.837238,-1.924933,0.129057,0.067989,-0.544797,2.261101,0.670147,2.930161
second,0.013658,0.166262,-1.459951,0.212439,-1.528793,2.438941,0.026484,1.615174
triangle,-1.051088,-2.186991,-1.587684,-0.491299,-1.91473,2.138787,1.330126,0.604876
subset,1.310587,-0.690388,0.003147,-2.350519,-0.121224,3.341676,-0.866473,1.99954
circle,-1.281952,-1.844408,-1.071679,-1.087859,-1.849224,2.758803,0.906458,0.125283
relation,1.482358,-0.408746,-0.004094,0.03201,-1.090162,2.730679,-0.19603,1.131439
positive,1.612143,-1.081546,-1.29529,-0.728098,-1.769038,2.69651,-0.021878,0.967974
simple,1.057346,-0.276031,-0.521708,-0.085443,-0.719508,3.294247,0.566866,1.374528
topology,-0.025209,0.14184,1.560017,-0.543438,-0.374484,3.487757,-0.731351,1.644493
category,0.379886,-0.49959,1.4374,-0.810825,0.034324,3.280226,-0.24152,1.237335
surface,-0.886366,-1.37559,0.372984,-0.413064,-1.328876,3.17032,0.773169,-0.050947
constant,1.507249,-0.608892,-1.088515,-0.124672,-2.062808,2.604082,0.130178,0.339937
application,0.245258,1.103435,-0.145873,1.122125,-0.340537,3.112993,0.634822,1.77278
integral,1.308645,-0.684824,-0.285189,0.778875,-2.375822,2.827599,0.069307,0.393565
coordinate,0.341049,-1.959084,-0.852955,-0.077,-1.702077,2.585251,1.268904,0.473057
complete,0.008786,0.44521,0.001583,-0.862248,-0.575868,2.89504,-0.750738,1.945263
root,1.193274,-1.036378,-1.552038,0.098106,-1.615752,1.957989,0.482653,1.443638
length,0.58616,-1.438939,-1.89992,-1.027381,-1.059093,2.326117,0.994731,1.369578
continuous,1.911367,-0.458152,0.439378,-0.877247,-0.859413,3.303012,-0.521264,0.87134
logic,1.306457,1.68211,0.485779,1.592438,-0.607149,2.212742,-0.523003,1.499385
external,-1.217242,0.437016,0.132977,1.833004,-0.720539,2.174225,0.547831,2.435381
side,-0.444645,-1.769287,-2.419298,-1.215195,-2.051886,2.113432,0.937309,0.568537
unit,0.213494,-1.036867,-1.403481,-0.552694,-0.795867,2.510894,1.013607,1.041226
equivalent,1.287022,-0.577544,-0.301055,-0.777672,-1.176516,2.985872,-0.137719,0.992748
conjecture,-0.067139,0.13924,0.561719,0.459964,-2.432609,2.154972,-1.221291,0.147997
infinite,0.811489,-0.668487,-0.42536,-0.487162,-0.84822,2.817526,0.311243,1.392852
operation,1.026708,-0.069131,-0.782967,-0.036091,-0.258568,2.601508,0.602453,1.816454
angle,-0.3328,-2.192968,-2.198728,-0.717474,-2.088889,1.767374,1.321009,0.059906
random,2.018968,0.57414,-1.092423,-0.01116,-0.18692,2.430327,0.401968,1.232871
basis,1.200274,-0.815387,-0.242379,0.134797,-1.084061,2.795398,0.286135,1.138272
natural,0.907796,0.196538,-0.378452,-0.247429,-0.871088,3.135985,-0.148352,1.23796
power,1.152701,-0.362935,-1.489265,0.261155,-1.201127,2.172057,0.494274,1.239833
area,-0.698808,-0.253514,-1.293518,-0.116389,-1.039336,2.844599,1.324166,0.545062
open,-0.254707,-0.050246,-0.115515,-1.696524,0.018745,3.048265,-0.509197,1.940066
solve,1.059081,0.793223,-1.097047,0.760039,-1.157894,2.554777,0.445849,0.807859
pair,0.386001,-1.32934,-1.269241,-1.247697,-0.839065,2.401498,0.488427,1.276831
hold,-0.264102,0.737086,-0.895043,-0.957487,-1.32613,2.431986,-1.090639,1.414369
limit,1.335863,0.056567,-0.730318,-0.6774,-0.982179,2.707161,-0.235497,0.597711
special,0.297627,-0.055311,-0.265108,0.381171,-1.062868,3.086348,0.350609,1.155125
generate,1.17406,-0.866963,-0.102266,-0.331335,-0.584284,2.750727,0.39644,1.647719
coefficient,2.111083,-0.676342,-1.18667,0.632349,-1.843862,2.051026,0.249361,0.805938
standard,0.85235,0.414454,-0.871757,0.605308,-0.365465,2.489126,0.666169,1.598595
identity,1.047792,-1.191906,-0.461029,0.186901,-2.273816,2.315214,-0.030601,0.697179
four,-1.074509,-0.718647,-1.654509,-0.331329,-1.178405,2.447396,0.947559,1.420513
rule,1.393403,0.261089,-1.527503,0.485426,-1.295261,1.945546,0.309955,0.621016
topological,0.455306,-0.136722,1.549977,-0.861116,-0.273506,4.033,-0.417961,1.229026
computer,-0.418889,1.957798,-0.78397,1.249331,0.15989,2.43748,0.83924,1.862997
derivative,1.767173,-0.739421,-0.372152,0.053807,-1.855208,2.686942,0.117976,-0.208535
symmetry,-0.632096,-1.950518,-0.350389,0.511899,-0.505487,2.143528,1.651765,1.629567
compact,0.58509,-1.250063,1.432936,-1.521401,-0.753986,3.554783,-0.568477,1.221797
factor,1.652603,-0.285866,-1.571287,0.068594,-0.821768,2.030906,0.318588,1.364281
family,-0.613072,-0.236748,-0.482681,-0.628653,-0.934398,2.286778,-0.148927,1.219794
transform,1.500696,-0.721612,-0.373082,1.447611,-1.706193,2.061745,0.898679,0.300946
convex,-0.070471,-1.256669,0.547268,-0.890977,0.200416,2.804221,0.666875,1.356663
domain,1.043406,-0.623872,0.13868,-0.367199,-0.629968,3.055485,0.371762,0.958612
subgroup,0.906528,-2.254228,0.962332,-0.630762,-0.506654,2.339238,-0.077059,1.851066
construct,0.17723,-0.741359,-0.597129,-0.027985,-0.828037,2.771971,0.7159,1.236865
axiom,1.605114,0.674296,-0.189886,-0.22411,-1.5079,1.893679,-1.38343,0.782498
construction,0.01122,-0.540783,-0.252953,0.562525,-1.074156,2.803168,0.785054,1.147543
therefore,1.129287,-0.533162,-1.422702,-1.088034,-1.173076,2.735297,-0.029632,1.078809
compute,1.422323,0.37234,-1.34946,0.344503,-0.915829,2.210324,0.411243,1.433865
normal,1.226965,-0.842083,-0.137747,-0.699055,-0.936362,2.655688,0.164572,0.610466
distance,0.343185,-0.996351,-1.363095,-0.818719,-0.924077,2.383317,0.93404,0.345118
notation,0.925691,-0.224624,-1.296394,1.409102,-1.650282,1.752517,0.709966,1.327274
parameter,2.334171,-0.019054,-1.527391,0.14261,-0.536549,2.323497,0.889519,0.780437
euclidean,-0.241955,-1.277816,0.258457,-0.036708,-1.25233,3.137092,0.683645,0.998802
symmetric,1.117872,-1.569374,0.339098,-0.112767,-0.67919,2.707341,0.489632,1.481399
metric,0.504644,-0.809471,0.98922,-0.823658,-1.193791,3.191028,-0.245161,0.005495
test,1.933541,1.33184,-1.711658,0.344796,-1.1004,1.379552,-0.476558,0.75733
bundle,-0.000761,-1.590264,1.242045,-1.202478,-0.939827,2.878929,-0.436635,0.306334
center,-1.475216,-1.153247,-0.952869,-0.538282,-0.883396,2.288051,1.032717,1.157544
symbol,0.958308,-0.765351,-1.411389,0.638443,-0.935954,1.448725,0.71761,1.44347
projective,-0.161995,-1.58527,1.259762,-0.590908,-1.130097,3.264905,0.099614,0.86766
sphere,-1.165126,-1.922665,-0.201523,-1.074517,-1.326498,2.741495,0.730368,0.36611
interval,1.544911,-0.376409,-1.326756,-0.856722,-0.321565,2.100035,0.113707,1.159459
single,0.649729,-0.191315,-1.658305,-0.768076,-0.042295,2.641971,1.143349,1.322236
geometric,0.202637,-0.000629,0.15061,0.987095,-0.915316,3.098757,0.695121,1.050252
ideal,0.956067,-1.282154,0.575248,-0.826049,-0.907764,2.381477,-0.478519,1.027915
dual,-0.017259,-1.845654,0.577188,-0.005605,-0.459333,2.790164,1.081244,1.415268
module,1.220152,-1.24333,1.33792,-0.572639,-0.303965,2.546495,-0.342797,1.373315
invariant,0.428553,-1.100194,0.732521,0.077866,-1.589541,2.897075,-0.002428,0.67381
$\mathbb{Q}$,1.688164,-1.975999,-0.64491,-0.101052,-1.385584,1.293601,-0.16162,2.060051
index,0.891459,-0.799866,-0.782842,-0.037987,-0.617011,2.005769,0.333415,1.569008
information,0.642863,1.831576,-1.119369,0.440573,0.385992,2.583476,0.741999,1.390223
transformation,0.594429,-1.237468,0.167533,0.50144,-1.492973,2.744395,0.622073,0.509903
extension,1.240175,-0.419728,0.7738,-0.110651,-1.048953,2.841006,-0.662746,1.275018
direct,0.552905,-0.297366,-0.210462,-0.946096,-0.031524,2.917093,0.356975,1.296106
uniform,-0.298728,-1.364949,0.076058,0.366294,0.282756,2.005941,1.031853,2.762838
path,0.371818,-0.203729,-0.840498,-1.430954,0.107634,2.602,0.346973,0.932216
