component,-2.966566,-1.885976
lattice,-2.269661,-1.525638
inequality,-1.245338,-1.494388
volume,-0.556378,-2.589814
section,-1.409065,-2.553622
add,-2.170415,-2.423893
$\mathrm{e}$,-2.306011,-1.157655
fundamental,-1.890436,-2.705372
game,-0.848326,-2.174515
polytope,-0.686261,-1.154402
smooth,-3.162656,-1.661648
partial,-2.062155,-2.513525
extend,-2.121655,-2.356533
multiplication,-2.702289,-2.244362
boundary,-2.564249,-1.82899
local,-2.189997,-1.918693
node,-1.97614,-1.80891
develop,-0.255515,-3.303666
difference,-2.221011,-2.532124
statement,-1.981844,-2.662535
tensor,-2.514904,-1.411705
discrete,-2.001669,-2.278434
variety,-2.200511,-1.803528
generalize,-2.001082,-2.149815
sample,-2.187437,-1.984195
statistic,-0.298621,-2.889476
axis,-2.943502,-1.357838
hyperbolic,-1.955488,-1.52437
rotation,-2.7229,-1.524949
Hilbert,-1.41562,-2.260767
digit,-2.032388,-1.728942
intersection,-3.022797,-1.855725
addition,-2.187575,-2.581426
expression,-2.455307,-2.4259
Student,0.551599,-3.63774
approximation,-1.720407,-2.410079
$\mathbb{Z}$,-3.542826,-0.954601
mathematics,1.56476,-3.832674
code,-1.218639,-1.87122
rank,-2.204565,-1.935974
characteristic,-2.629313,-2.135916
binary,-2.4195,-1.793199
closed,-3.719899,-1.59639
tangent,-3.119491,-1.240368
diagram,-2.019984,-1.696852
divide,-2.597942,-1.981191
functional,-1.541077,-2.449141
abelian,-2.875515,-1.603673
odd,-2.975931,-1.844166
action,-2.499923,-1.853045
tiling,-1.88426,-0.127499
ratio,-2.165927,-1.769521
program,-0.072097,-3.000835
quadratic,-2.609282,-1.779598
cube,-2.13304,-1.028522
cycle,-2.391373,-1.658229
figure,-1.971618,-1.603909
argument,-1.665824,-2.497679
Riemann,-1.748402,-1.977275
Euler,-1.265038,-2.22338
calculate,-1.899573,-2.448358
shape,-2.260203,-1.835518
formal,-1.346098,-2.719489
derive,-1.698556,-2.487605
statistical,-0.395257,-3.045319
network,-0.89187,-1.918737
estimate,-1.836711,-2.226594
norm,-2.895222,-1.263459
polygon,-2.542206,-1.111885
permutation,-2.471216,-1.566027
world,0.152968,-3.46059
maximum,-2.48664,-1.852834
equivalence,-2.714371,-1.875229
parallel,-2.280543,-1.680569
numerical,-0.678737,-2.863589
orthogonal,-3.124495,-1.628393
isomorphic,-3.481502,-1.324092
connection,-1.989339,-2.136228
locally,-3.53812,-1.234636
existence,-1.984691,-2.302678
