word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
system,-1.608398,0.267958,0.402078,1.114369,-0.114987,0.044882,-0.55849,-0.15895,0.281234,0.372671,-2.007585,-0.818061,-0.426961,-0.052043,-0.176014,0.235435,2.20551,-0.096052,0.200555,-0.463993,-0.395633,-1.247396
matrix,-0.863474,0.402044,0.655447,1.376297,-0.573999,0.784001,1.017225,-0.448023,0.332643,-0.852762,-1.901912,-1.217506,-0.651058,0.367751,0.038154,1.198149,-0.376906,0.392105,0.755758,0.159733,-1.392857,-0.924211
mathematical,-0.425071,0.487051,2.149323,0.688434,-0.705659,0.227849,-0.01619,-1.56877,0.325475,-0.062225,-1.952135,0.224543,0.055383,0.252243,0.813844,2.124362,0.43745,-0.122147,0.515701,-0.321885,-0.673657,0.361671
method,0.112622,-0.253436,0.789785,0.967422,-0.366352,0.274977,0.078361,-0.84123,0.50678,-0.026457,-1.984827,-0.638592,-1.065729,-0.340267,-0.20394,1.175213,1.524489,-0.006361,0.102055,-0.124893,-1.172916,-0.702914
finite,-0.933069,0.657862,0.838562,1.569535,-0.115942,0.834427,1.37496,-0.608879,-0.459803,-0.509384,-2.712178,-1.23904,-0.867538,0.007431,-0.088318,1.93311,-0.850992,0.633234,1.136574,-0.302901,-1.517486,0.052655
result,0.30196,0.370489,-0.978759,1.790662,0.373253,0.627296,-0.602186,-0.592952,-0.14028,0.140763,-0.481867,-0.344457,-0.250007,-0.325831,0.606247,0.337068,1.054191,0.62463,0.010439,-1.098164,-0.243905,-1.257918
vertex,-0.855885,0.717125,-0.088869,0.216236,0.065762,1.11453,2.201734,0.08074,-0.395537,-1.608595,-1.879627,-0.099661,-0.452256,0.713667,-0.074038,0.949839,-1.025392,0.690488,2.278811,0.104425,-1.073945,-1.131223
term,0.306352,0.214396,-0.299759,0.910304,0.188122,0.093171,-0.018093,-0.455134,0.026175,-0.409487,-1.282044,-0.760311,-0.228328,-0.650696,0.810518,0.435415,1.218803,0.10451,-0.15543,-1.188644,-0.813018,-0.297268
line,-1.185359,0.351809,-0.766545,1.169807,0.163185,0.977717,0.11056,0.401102,0.429653,0.279296,-1.002922,-0.257932,0.066775,-0.706368,0.096426,-1.442735,0.558942,0.654335,0.994958,-0.094327,0.208801,-0.168623
model,-1.160805,-0.139369,1.075261,1.216965,0.124223,-0.003561,-0.016188,-0.113526,1.042107,0.434342,-0.836842,-0.486381,-0.074199,-0.324637,0.115176,0.845404,1.455435,0.462165,0.284783,0.407089,-0.622495,-0.684287
real,-0.0286,-0.060559,0.388323,1.067186,0.221841,0.749895,0.248186,0.626649,0.311071,-0.357773,-0.194924,-1.086648,-0.499269,0.572189,0.714835,0.311818,1.215357,0.702818,-0.012987,-0.648697,-0.26253,-0.045221
property,0.299028,0.303001,-0.606476,0.763784,0.203955,0.640239,0.578419,0.393093,-0.150295,-0.195033,-2.843804,-0.68596,-0.602369,-0.624331,0.43043,0.351014,1.092623,-0.050527,-0.375258,-0.07479,0.271544,-0.189574
geometry,-1.014007,-0.02576,1.475677,0.998604,-1.199265,0.495981,1.172087,-0.957702,0.635874,-0.468111,-2.40113,0.480719,-0.580364,0.484044,0.059005,1.449772,-0.106307,0.579025,1.607559,-0.029933,-0.802076,0.292368
complex,-0.900178,0.376225,-0.448238,0.528589,-0.370355,0.506426,0.912176,-0.527412,0.890382,-0.003683,-1.803289,-0.989007,-0.590579,0.2979,0.048163,0.296447,1.026117,0.306918,0.744558,-0.624408,0.435917,-0.153644
linear,-1.30504,0.460523,0.520868,1.019728,-0.235725,0.305724,1.18942,-0.765057,1.079307,-1.03019,-2.094973,-0.998339,0.36602,-0.269451,-0.097199,0.724791,-0.197008,1.866716,0.678411,0.478617,-1.308419,-1.54604
polynomial,0.307224,0.596571,1.286111,1.514827,0.393906,0.323428,1.690805,-0.530396,-0.831603,-0.6077,-2.485655,-1.727778,-0.364962,0.140537,0.718157,2.273814,-1.858316,1.067689,1.378168,0.850743,-1.369211,-0.412261
algorithm,-0.134389,0.194991,1.739033,0.874431,0.068385,0.25955,0.500471,-0.097361,-0.551936,-0.282831,-1.902259,-1.375555,-0.270059,0.677677,-0.441315,1.624453,0.484474,0.592284,0.899141,0.674123,-1.303972,-1.095145
mathematician,0.723864,-0.065122,1.352952,0.115667,-1.410439,-2.134082,0.009269,-0.417064,1.37556,-0.078071,-0.948476,0.896887,0.924815,0.179029,1.812169,1.536741,-0.512444,-0.031201,0.615393,0.859992,-0.099376,1.019326
definition,-0.648012,0.181498,0.819329,0.616738,0.302089,0.577089,0.253195,-0.852774,-0.427058,-0.738933,-1.832059,-1.011768,-0.282329,-0.469193,0.261796,0.83764,0.838919,0.395088,-0.000202,-1.040471,-1.544372,-0.592244
product,-1.131477,-1.184127,0.255946,0.875882,-0.117623,1.119862,0.293788,0.462284,0.2355,0.269105,-1.566158,-1.658288,-0.831672,-0.634794,0.199463,0.971135,1.525508,-0.723003,-0.846909,0.254282,-0.102362,-1.43713
state,-0.134686,1.261235,-0.796433,0.862113,0.46563,0.271479,0.387804,0.448093,0.103224,-0.553935,-0.930233,0.46537,0.657052,-0.542701,0.937343,0.054585,1.459242,-0.290438,-0.706374,-1.319408,0.298855,0.05231
sequence,-0.504319,0.484419,0.317673,0.872322,0.231283,1.113975,0.102478,-1.083007,0.672015,-0.861751,-1.094351,-1.442314,-0.760017,0.79459,-0.49012,0.374043,0.289724,0.585269,0.783301,0.210124,-1.489346,-0.63146
distribution,-1.079714,-1.008667,-0.747011,0.905194,0.198227,0.491782,0.070996,-0.882097,-0.072497,-0.352304,-1.64332,-1.696882,0.849677,-0.556452,-0.24101,0.66354,0.926136,0.401484,-0.769625,-0.056856,-0.693158,-0.788233
variable,-0.754499,-0.262191,0.279737,1.350791,0.545232,0.4315,0.178451,-1.309597,0.165971,-0.371818,-1.894844,-1.318075,-0.412108,-0.224112,-0.785766,1.053906,0.475793,0.998343,0.791193,0.436668,-1.861145,-1.240558
solution,-0.638568,-0.051765,0.59062,1.029841,-0.579727,0.484843,0.04858,0.253525,-0.00776,0.185569,-1.918803,-1.19801,-1.092231,-0.342665,-0.252906,1.168316,0.997569,0.369647,-0.52356,-0.453678,-0.760968,-1.054248
square,-1.122641,0.278194,-0.532979,0.055038,0.468717,0.997247,1.282006,0.512185,0.798789,-0.485829,-1.062248,0.349874,0.624845,-1.068032,0.915119,-0.815556,0.076549,0.888996,1.015714,0.318403,0.511589,-0.39271
map,-1.375513,0.099495,0.044984,0.449563,0.119315,0.515542,-0.247905,-0.315329,-0.292953,-0.634476,-2.29318,-0.895687,0.562795,0.531353,-0.075265,-0.724602,0.848911,0.821687,0.282527,0.041966,-0.281219,0.628227
class,-0.94023,0.411983,0.044439,1.130981,1.088222,0.130661,-0.023205,-0.63317,0.323012,0.483477,-0.224307,0.303259,-0.023839,-0.767559,0.869875,0.333796,0.949507,-0.487655,0.693861,0.086004,-0.097119,-0.138237
integer,-0.926932,0.799754,0.901998,1.043816,0.872955,0.92346,1.419337,-0.321834,-0.726389,-1.161701,-2.147441,-1.288623,-0.345338,-0.291473,0.688,1.5703,-1.454109,0.88586,1.232597,0.78879,-1.91002,-0.971789
mean,-0.162128,0.151554,-0.94745,0.253314,0.898316,0.857359,-0.057171,-0.462238,0.72925,-0.166511,-0.768364,-1.246963,-0.696531,-0.792924,0.508274,0.252615,0.652312,0.401816,0.416293,-0.878786,-0.943982,0.034698
proof,0.463692,-0.16197,0.753629,0.683118,0.34384,1.138573,0.276874,0.115012,-0.481034,-0.689472,-1.454986,0.139211,-0.918828,-0.436062,0.117928,1.320626,0.336046,0.061113,0.213469,-0.198228,-1.501984,-0.19145
three,-0.221593,0.330128,-0.861655,1.137034,0.654665,0.923602,-0.216668,-0.005607,0.760956,-0.050055,0.001704,0.114157,-0.041673,-0.174469,1.062627,-0.590396,0.917877,-0.101287,0.86214,-0.134924,0.142246,-0.152937
dimensional,-1.076859,0.004925,1.148475,1.004157,-0.816901,1.344076,0.808951,-0.405806,0.93414,-0.603374,-2.029816,-0.4621,-0.782417,0.510647,-0.473769,1.444419,0.264091,0.784448,1.650526,-0.160516,-1.500227,-0.170486
zero,-0.900028,0.627429,0.207592,1.535393,0.198067,1.277206,0.071787,0.314806,0.226498,-0.424021,-0.654189,-0.853223,-0.625123,0.048946,-0.304708,0.761946,-0.121948,0.940853,0.231992,-0.289153,-1.233222,-0.84491
algebraic,-0.804066,0.130341,1.834305,1.010904,-0.661996,0.091063,1.85199,-1.164418,-0.040692,-0.538157,-2.315073,-0.624105,-0.511039,0.404207,0.694,2.23107,-0.943209,0.411238,1.349607,-0.362383,-1.098935,0.696946
formula,-0.471891,-0.744284,0.654654,1.752063,0.05826,0.931069,0.085302,-0.306747,-0.26389,0.055289,-0.609883,-0.84653,-0.324289,-0.000351,1.25099,1.668813,-0.472579,0.787107,0.467273,0.254837,-0.640781,-0.859874
ring,-0.375783,0.014854,-0.948874,1.264851,-0.293076,1.292094,0.354201,0.096031,0.850211,-0.230085,-0.282461,-0.717861,-0.886077,0.392149,0.099217,-0.010623,-0.290382,-0.250163,1.170633,-0.12087,-0.536613,-0.144906
edge,-0.650906,0.028471,-0.806182,0.970297,-0.434327,1.221662,0.949586,-0.156267,0.771659,-0.153792,-0.690227,-0.891163,0.526768,-0.230077,-0.603636,-0.766381,0.436423,0.484448,1.70865,-0.296898,-0.273758,-0.305158
sum,-0.070532,0.648078,0.388352,0.888657,1.146291,0.96074,0.846842,0.440086,-0.202669,-0.250259,-1.07483,-0.814053,-0.875457,-1.205926,0.903069,1.292767,-0.55619,0.577031,-0.017741,0.115232,-0.782014,-0.534092
plane,-1.093657,0.470362,-0.768099,1.345259,-0.366654,0.360909,-0.260355,0.760761,0.644593,0.062764,-0.807275,0.659417,-0.667724,0.34836,-1.228609,-0.176312,0.373215,0.921693,1.473139,-0.365682,-0.998946,-0.22949
analysis,-0.294858,0.328373,1.195992,1.116152,-0.247311,0.007016,-0.135611,-1.369727,0.479433,-0.434595,-1.943847,-0.483277,-0.140292,0.222765,-0.321659,1.354942,1.741061,0.432277,-0.618172,-0.460168,-1.119579,-0.264971
dimension,-1.018113,0.314456,0.668013,0.620298,-0.068078,1.294662,0.563627,-0.318544,0.832881,-0.509789,-1.302335,-0.033825,-0.377552,-0.305605,-0.258887,0.977748,0.257099,1.026605,1.032684,-0.51155,-1.17072,-0.231509
curve,-0.610297,-0.057831,-0.043574,1.572611,-0.259696,0.873541,1.520394,-0.679354,0.145873,-0.062978,-1.638679,-0.100417,0.334972,-0.331411,-1.202061,0.131244,-0.078468,1.716165,1.589412,-0.184797,-0.428495,-0.29604
type,-1.434758,-0.785546,-0.65672,0.810424,0.723272,0.423674,-0.132208,-1.068905,0.97397,-0.016621,-1.532123,-0.32362,-0.740044,-0.508473,-0.260463,0.347555,1.273283,-0.199912,0.529844,0.512266,-1.196583,-0.630685
operator,-1.563851,0.191558,0.393858,1.48394,-0.235621,-0.22719,-0.298715,0.85319,-0.626215,0.691052,-1.312718,-0.917377,-0.430327,-0.184891,-0.170561,0.149294,0.299262,-0.296615,0.398607,-0.033011,-0.644209,-0.697632
prove,1.176059,0.083368,-0.107288,1.001542,0.376031,0.712243,-0.563847,0.477485,-0.166127,0.448467,-0.739766,-0.106511,-0.623582,-0.565229,0.130857,1.041534,0.719562,0.616041,0.592837,-0.505228,-0.898804,0.047017
probability,0.444605,0.960095,0.83886,1.128114,0.411502,0.494529,0.115304,-1.189546,-0.326789,-0.478055,-1.748152,-0.364438,-0.257012,-0.148594,-0.257646,1.956799,0.035928,1.49876,0.169992,-0.003233,-1.395045,-1.121209
structure,-0.917695,-0.072174,-0.66662,0.654621,-0.63169,0.526395,0.48701,-1.061391,0.511169,-0.206152,-2.750725,-0.506431,-0.50428,-0.020958,0.430891,-0.345402,1.163559,0.175167,0.907106,-0.588943,0.418743,0.090943
representation,-0.419319,0.136639,0.643113,0.545463,-0.108889,0.124688,0.582224,-0.706109,-0.445216,-0.825799,-1.53046,-0.898364,0.004139,-0.555519,1.100137,0.52737,0.475546,0.07001,0.465016,-1.370667,-1.205238,0.113766
series,-1.001905,0.227853,0.620606,1.183422,0.431381,1.720084,-0.75952,0.447091,0.984772,-0.209232,1.240869,-0.604749,0.449467,0.505409,0.260612,-0.155438,0.760299,-0.000681,-0.088955,-0.005053,-0.608165,0.239495
prime,-0.283285,0.475297,-0.52307,1.158934,-0.350096,-1.043077,-0.634121,1.225302,-0.236099,-0.258944,-0.053557,-0.561769,-0.097398,-0.362238,1.459277,0.171679,-0.3794,-0.183325,-0.522124,-1.231683,-0.873685,-0.067555
measure,-0.200229,0.337608,-0.535372,0.929428,0.29988,0.424892,0.280153,-0.787786,0.35008,-0.092344,-1.801227,0.124778,-0.504028,-1.25779,-0.409449,0.362714,1.268158,0.858142,-0.026986,-0.44114,-0.698723,-1.39052
equal,0.027389,0.621458,-0.275051,1.135078,0.597037,0.673145,0.607144,-0.339088,-0.094108,-0.198148,-0.957565,-0.270245,-0.121195,-1.602589,0.985919,0.900793,0.0299,0.75617,0.471427,-0.866726,-0.829406,-1.157477
lie,-0.010131,0.678147,-1.566094,0.487166,0.318551,0.714025,0.390848,0.138179,0.706733,-0.066095,-1.197469,-0.400981,-0.299227,-0.545856,0.048469,-0.744883,0.080794,0.688194,0.250102,-0.480444,0.290185,0.957903
manifold,-0.829518,-0.155855,0.968583,1.49694,-0.715426,0.407193,2.072442,0.156361,-0.05291,0.167046,-2.172268,-0.136383,-1.124611,-0.079583,-0.581491,1.608998,-0.951862,0.805221,1.106373,0.283732,-0.630805,0.348495
degree,-0.205189,1.363052,0.323517,0.917164,0.13588,-0.333833,0.8048,-1.574463,0.753507,0.294212,-1.031991,0.565731,-0.220492,-0.517694,0.944939,0.622499,1.180939,-0.379864,0.457579,-0.587173,0.825172,-0.357513
differential,-0.376412,0.145993,1.237095,1.925178,-0.702877,-0.281216,0.711805,-1.413702,0.001946,0.295621,-1.876713,-0.143256,-0.712886,-0.154033,-0.412137,1.457544,0.11376,0.743266,1.042256,0.174705,-0.856321,-1.108677
$\mathbb{C}$,-1.628497,0.070357,-0.761501,2.059862,0.744988,-0.194061,0.21726,-0.668389,0.337163,-0.519729,-0.510947,0.071471,-0.218857,0.470275,0.318568,0.012401,-0.199983,-0.312849,-0.271836,1.354056,-0.620876,-0.52327
