word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
mathematic,-0.862581,-0.865097,1.117846,-0.35576,1.198201,0.596572,-0.069177,-0.197266,0.056176,0.392909,-0.08141,1.074324,-0.265803,-2.207416,0.213287,0.813932,-0.068981,0.626782,-0.214013,0.132799,-0.012019,0.428838,-1.414598,-0.013655,-1.432839,1.33685,-0.14234,1.416473,0.354966,0.636491,-0.77733,-1.232875,0.081525
order,-0.736693,-0.361358,0.079641,-0.410356,-0.385707,0.613835,-0.227218,-0.005614,0.182355,0.330858,-0.319117,-0.258629,-1.248397,-0.076775,-0.570985,0.355501,-0.355156,-1.047837,0.257431,0.084724,-0.730012,-0.174947,1.139806,0.191407,-0.276405,0.620579,0.39656,-0.42742,-0.704847,0.386339,-1.464215,0.189445,0.161596
equation,-0.398975,-0.888548,0.8464,-0.777514,0.728841,1.128661,0.169078,-1.850513,-0.09301,-0.019734,-0.354691,0.480874,-1.168701,0.008688,0.212205,1.809805,0.31506,-0.393499,1.007673,0.700949,-0.583641,1.274876,-1.31865,1.662407,-1.512335,2.349778,-0.222817,1.749768,-0.444151,-0.4007,0.881522,-0.500611,0.477291
first,0.068354,-0.092765,0.754579,0.318765,-0.888652,0.271699,-0.177876,0.006222,0.083001,0.531491,-0.071923,-0.115144,-0.420217,-0.146745,0.090906,0.137828,0.056671,0.040485,0.393486,0.382215,-1.193775,0.008934,0.795846,-1.113621,-0.548064,-0.050776,-0.62025,-0.109677,-0.0162,0.533756,-1.08746,-0.320656,-0.144194
vector,-0.304316,-0.061619,0.526349,-1.236933,0.314907,-0.040062,-0.202836,-0.752261,-1.037058,-0.474696,0.45372,-0.010088,-1.176764,0.075991,-0.411841,1.331597,0.096341,0.261294,0.473219,0.08429,-0.801555,0.568807,-0.746743,2.534342,-1.868733,1.580448,0.094787,0.408951,-0.692565,0.735742,0.298907,-0.757019,0.221978
algebra,-1.076674,-0.752604,0.312847,-0.390524,0.757853,1.105972,1.395651,-0.356858,-1.155421,-0.153987,-0.389449,0.275708,-0.536018,-1.820355,0.025121,1.406256,-0.202701,0.540281,0.826146,0.325235,0.010516,0.844851,-1.661327,1.939793,-2.032376,1.406853,0.265534,1.251718,-0.207678,0.231409,-0.295765,-0.931431,0.092229
$\mathbb{N}$,0.058679,0.515082,-0.11426,-0.546105,-0.69184,1.105381,0.301659,-0.501072,-1.415592,-1.09956,0.079662,-0.50048,-0.344416,-0.009457,0.214943,1.003199,-0.573148,0.590321,0.307318,1.211355,-0.672329,0.297483,0.327422,0.831991,-0.385863,0.470764,0.287402,0.667695,-0.952019,0.745643,0.714264,-0.254268,0.66806
field,0.256513,-0.628723,0.737337,-0.297301,-0.135559,-0.411634,-0.597239,0.266609,-0.329217,0.442509,-0.933829,-0.183125,-0.817272,-0.469963,-0.389159,1.260858,-0.385661,-0.056542,-0.145831,-0.097629,-0.13058,0.733237,0.354187,-1.015188,-1.094397,0.92818,-0.407592,0.376059,-0.687576,0.750086,-0.162053,-0.572743,0.345972
element,0.688771,-0.004772,-0.616994,-0.52726,-0.171024,0.305602,-0.030231,-0.810589,-0.862469,-0.107189,-0.79805,-0.71717,-0.798026,-1.060669,-0.42312,0.094536,0.242189,-0.441301,-0.277386,-0.173725,-0.638752,1.039215,0.107244,0.927192,-0.416608,1.504887,0.099116,0.17603,-1.146561,0.241967,-1.142587,-0.736799,-0.414374
system,-0.569722,-0.048233,-0.100921,-0.425068,-0.267716,-0.540578,-1.755634,-0.783739,-0.406996,-0.068188,-0.380766,-0.416192,-1.109315,0.315065,-0.98922,0.119021,0.843873,0.344405,0.660429,-0.261566,0.115713,0.464441,0.201328,0.493764,-0.719473,1.449723,-0.120894,0.829317,-0.565906,1.444988,-1.253756,-1.001344,-0.117523
matrix,0.110961,-0.547581,-0.095483,-1.113425,-0.045917,0.587059,0.63142,-1.311604,-0.887354,-1.516234,0.088415,-0.420058,-1.055155,-0.515572,-0.535549,1.326598,0.222346,0.060317,0.235897,-0.178342,-0.36065,0.792081,-0.498114,1.795568,-1.367344,1.005418,-0.417021,0.310862,-0.443314,0.415566,-0.019092,-0.718423,0.239218
mathematical,-0.383142,-0.981226,1.137037,-0.740276,1.292631,0.539202,-0.071201,-0.660192,-0.06911,0.087534,-0.137884,0.724338,-0.23336,-1.774234,0.090776,0.741317,0.169218,0.262733,-0.104474,-0.457589,-0.417919,0.576575,-1.94658,0.368361,-1.265373,1.764122,-0.370966,1.372646,0.012773,0.851741,-0.676344,-0.503091,-0.089071
method,-0.054275,-0.954719,0.425189,-0.067402,0.46614,0.282748,-0.779649,-1.156054,-0.040575,-0.194264,0.041333,-0.038758,-0.966764,-0.538301,-1.350937,-0.108722,0.612399,-0.001529,-0.302869,-0.45276,-0.365253,1.157358,-0.570909,0.800432,-0.495671,1.908046,-0.366131,0.573698,-0.800328,1.105552,-0.497899,-0.315884,0.690782
finite,-0.592153,-0.659673,-0.32785,-1.257545,0.441769,0.762282,0.652859,-0.338714,-1.495395,-0.383992,-0.373026,0.660886,-1.184212,-0.977175,-0.484347,1.30048,0.308488,0.04248,0.940988,0.328862,-0.525127,1.031331,-1.028938,2.362101,-1.898129,1.508115,0.196558,1.082177,-0.904863,-0.43687,-0.010735,-0.842191,0.48635
