word,1,2,3,4,5
side,-1.831942,-0.868953,-0.987013,-0.68642,3.120258
unit,-1.437329,-0.54702,-0.09533,-0.83799,2.85916
equivalent,-1.218048,0.339716,1.357926,-0.529272,3.273191
conjecture,-1.071274,1.834288,1.577583,-0.902186,1.254917
infinite,-1.408226,0.446139,0.933415,-0.725873,3.075334
operation,-1.461206,-0.342186,0.928626,-1.028186,2.530236
angle,-1.370761,-1.042246,-1.053238,-0.18163,2.974651
random,-0.987949,-0.92455,1.512785,-1.1633,2.542056
basis,-1.172686,0.470714,1.184121,-0.433615,2.962481
natural,-1.511745,0.109598,1.515087,-1.143678,2.63024
power,-1.551884,-0.480952,0.694836,-1.065677,2.626377
area,-1.686072,-0.514697,0.104536,-1.506584,2.215381
open,-1.612297,0.207546,0.277241,-0.925407,2.636439
solve,-1.400718,-0.160591,1.618709,-1.605088,1.909946
pair,-1.690194,-0.21881,-0.132911,-0.399776,3.350321
hold,-2.096874,0.305524,0.4408,-1.670878,1.800628
limit,-1.047004,-0.248408,1.476876,-0.710949,2.934014
special,-1.576485,0.709893,1.297025,-1.374856,2.505147
generate,-1.234909,0.387001,0.796048,-0.368476,3.146964
coefficient,-1.106275,-0.237838,1.142197,-0.298929,3.000576
standard,-1.448194,-0.29905,1.215689,-1.50362,2.172377
identity,-1.235257,0.960459,0.991181,-0.266648,2.834329
four,-2.227559,-0.030555,-0.516263,-1.385087,2.434664
rule,-1.086483,-0.406742,1.313468,-1.072181,2.051606
topological,-0.928325,1.714299,1.824071,-0.507271,2.919127
computer,-1.77015,-0.140512,1.541181,-2.929574,0.485249
derivative,-0.829375,0.330127,1.796797,-0.203366,3.056502
symmetry,-1.427257,0.886245,-0.656699,-0.106965,2.4073
compact,-0.843841,1.791333,1.480609,0.434259,3.617825
factor,-1.289396,-0.765244,0.671477,-0.76687,2.830374
family,-1.681036,0.739305,0.077241,-1.017941,1.962025
transform,-0.532415,0.543867,1.907293,-0.452956,2.201917
convex,-0.987386,1.036369,-0.015798,0.264639,2.89661
domain,-1.086036,0.369186,1.19758,-0.357539,2.968256
subgroup,-0.841215,1.833989,0.419477,0.819914,3.236245
construct,-1.50812,0.531663,0.292096,-0.749659,2.653467
axiom,-0.871064,0.600672,1.445505,-0.556365,1.943533
construction,-1.494941,0.900546,0.78482,-0.831633,2.312798
therefore,-1.661108,-0.456663,0.69358,-0.867066,3.28017
compute,-1.371303,-0.635468,1.042765,-1.337491,2.34586
normal,-0.979211,0.155067,0.992272,-0.369414,2.972556
distance,-1.025989,-0.815598,0.07129,-0.506238,2.707762
notation,-1.450748,-0.001678,0.699525,-1.142737,1.781042
parameter,-0.807333,-1.187929,1.413715,-0.732457,2.907121
euclidean,-1.440755,1.295042,0.586841,-0.635843,2.850973
symmetric,-1.06458,0.918927,0.987529,0.05731,3.232584
metric,-0.49182,1.424282,1.753656,0.092684,2.732724
test,-0.598385,-0.777333,1.634986,-1.156796,1.523026
bundle,-0.430113,1.670864,1.019703,0.74042,2.875376
center,-1.72309,0.009873,-0.92435,-0.997656,2.0016
symbol,-1.360562,-0.280171,0.054125,-0.546112,2.209325
projective,-0.952632,1.873845,0.95486,0.058515,2.90569
sphere,-1.129072,0.692442,-0.243994,0.015849,2.722283
interval,-1.083101,-0.867255,0.634015,-0.436782,2.983583
