word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
graph,-0.174846,-0.840012,0.022229,0.035944,-1.808917,1.033565,0.633335,-0.389918,1.221358,-0.689673,2.52433,0.386092,0.567405,0.088966,0.89084,0.120278,0.462903,-0.671211,0.111228,1.365638,-1.264569,-1.451198,1.34497,0.262063,0.590796,1.490972,0.289273,1.175268,-1.146411,1.215693,-1.000052,-0.431161,-2.46456,0.614872,-0.435207,1.512437,0.369496,-0.44409,0.350738,1.274623,0.326321
value,0.035449,-0.185929,-0.642882,0.359574,0.341424,0.769843,-0.484911,0.338257,0.423531,-1.031064,1.141438,0.460726,-0.844835,-2.376207,-0.270559,0.644087,-0.081009,-2.559237,0.448973,0.722214,0.195575,-0.051889,0.28228,0.246343,0.361734,-0.558931,-0.71014,0.079073,-1.089328,0.676737,0.141891,0.295496,-2.196801,-0.051214,-0.477023,0.260761,1.401495,0.62023,0.810642,-0.557513,0.409667
problem,1.343621,-0.181488,-0.605873,0.464469,-1.450145,-0.482246,0.293245,0.65882,1.390421,-1.382718,0.656238,0.619981,-0.499493,-0.36791,0.297772,-0.69929,-1.184925,-1.281095,0.059664,1.635164,0.412804,-1.147012,0.130603,0.561467,-0.592395,0.957273,0.315805,1.573367,-0.40574,-0.272242,0.491521,-0.517012,-2.149489,0.762415,-0.629867,1.258343,1.991457,0.316009,0.401093,-0.112635,0.022806
mathematic,-0.42346,0.048437,-0.894532,0.554804,0.861692,-1.572083,-0.116217,0.503414,1.689792,-0.332947,2.079037,1.378604,-0.39999,-0.576728,0.693879,-0.820698,-0.068454,-0.714869,-0.295723,-0.407866,-0.23144,-1.368828,-0.159009,-0.093112,0.657052,0.513494,-0.851191,0.933477,-1.196597,-0.837819,1.082934,-0.073707,-0.550668,0.069958,0.218203,1.289963,1.635828,-0.961558,-0.439391,-0.515225,-0.320749
order,0.439114,-0.700218,-0.149908,-0.386409,-0.538424,-0.020897,-0.480325,1.464519,0.503743,-0.138636,0.729451,-0.023054,0.572082,-0.925186,-0.063307,0.401023,0.375802,-1.536465,-0.188545,0.020691,-1.550542,-0.313884,-0.374345,0.116603,0.983156,-0.551536,-0.030344,1.037368,-1.58255,1.003054,0.252078,-0.099851,-2.854039,-0.225941,1.093191,1.546819,0.623796,-0.1877,-0.34972,0.211204,-0.573228
equation,0.808544,0.143679,-0.458986,0.694379,-0.208827,-0.881619,-1.238237,0.234627,1.964022,-1.482844,-0.291935,-0.431077,0.46244,-1.441471,-0.079407,-1.131192,-1.564454,-2.24568,1.067913,0.725403,-0.99806,0.36994,-0.732142,0.162304,-0.108579,-0.544687,0.47771,1.074467,-1.90112,-0.066802,1.204937,-0.179365,-0.806411,0.246397,0.248847,0.38611,1.131698,0.482211,1.245717,0.94526,0.131792
first,-0.316103,-0.178528,-0.782547,-0.147882,-0.071608,0.576574,-0.314072,0.912378,1.313803,-0.429159,1.043759,0.530193,-0.350201,-1.053474,0.786505,-0.103102,-0.633963,-1.400039,0.070552,0.102186,-0.255516,-0.71606,-0.837427,0.363433,1.06006,-0.125965,-0.068681,1.376079,-0.916323,0.305775,1.100706,0.151072,-1.430615,-0.556896,0.282795,1.147625,1.273125,0.066048,0.108515,-0.353413,0.221956
vector,0.530161,-0.287568,0.363543,0.45337,1.53489,0.105821,-0.834181,-0.121611,1.014103,-1.891058,1.382541,-0.047401,-1.537769,-1.008646,-0.369133,0.709751,-0.12888,-1.62438,1.248652,-0.55331,-1.252773,0.57069,0.215175,0.902352,0.708675,-0.14054,0.130908,-0.27474,-0.108875,0.497005,1.221259,0.300189,-2.143934,-0.26697,0.87057,0.707839,0.255973,0.806936,1.322735,0.917724,0.886697
algebra,-0.437929,-1.143857,1.374454,0.337459,0.195823,-2.247773,-0.615322,0.447652,1.191234,-1.241236,2.046171,0.92569,-0.622174,0.096868,0.914059,-0.08297,-1.177777,-0.636574,0.64084,-0.81507,-0.221931,0.510356,-0.25216,0.842125,1.051659,-0.547233,-0.52794,0.969955,-0.82252,-0.241066,0.874197,-0.616139,-2.188552,-0.788673,0.344213,0.944372,-0.013114,-0.841323,0.534382,0.403762,0.406414
$\mathbb{N}$,0.121462,-1.275505,-0.850684,0.30984,-0.873296,0.308458,-0.411172,-0.13062,0.674991,0.424575,1.446785,0.256587,-1.640084,-2.001303,-0.594289,0.728188,0.327596,-1.571982,0.295158,-0.318129,-0.555443,-0.310076,0.362863,0.625342,0.578658,0.147761,0.837962,0.566062,-0.51306,0.060393,-0.310935,-0.071692,-2.578559,-1.465325,-0.549062,0.004432,0.827836,-0.135978,-0.271602,1.330448,0.194047
