word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
matrix,0.117495,0.352543,-0.427556,2.135758,0.791626,0.310624,-2.263981,0.303609,2.363597,-0.751296,0.530699,-0.318062,0.466533,1.35557,0.384265,0.7187,2.536485,0.951179,1.23392,-0.116456,0.005453,0.971285
mathematical,0.105854,-0.13696,-0.324349,1.62611,1.066327,2.255633,1.345824,0.537083,0.492947,0.449693,0.24754,-1.332227,1.46221,0.13579,0.822276,-0.07134,1.646336,0.567498,0.677432,2.835166,-0.042016,0.1725
method,1.125894,-0.073781,-0.065877,0.760966,0.623212,0.511743,-1.476408,0.22268,1.234869,0.578416,1.210671,-0.682445,1.272502,1.64984,1.49164,0.067601,1.894618,0.430614,-1.03314,2.277735,0.887647,0.274313
finite,0.13907,0.772612,-0.27853,0.304438,-0.436025,0.24485,-1.15241,0.350737,2.243866,0.3441,0.484145,-1.099875,1.186582,-0.587868,0.236488,1.660264,1.593294,1.841694,0.532527,1.145347,-1.027611,0.675201
result,0.55529,0.104193,-0.291007,0.851882,-0.478879,0.268117,-0.82795,0.540981,1.604261,0.816844,1.079827,-1.122206,0.334249,0.085463,0.586153,1.154181,2.054348,-0.320896,-0.244786,1.992998,0.280657,0.679685
vertex,-0.166905,0.959807,0.637757,2.240093,-0.220407,-0.043027,-2.702287,-1.424232,1.555036,0.212942,0.337832,-0.988556,-0.358948,-3.048699,0.680077,0.122332,1.275279,-0.19675,-0.590642,1.117439,-1.427327,0.627828
term,0.190254,0.216213,0.541186,0.308243,-0.279933,0.347604,-1.070952,1.060461,1.634636,-0.019202,1.003067,-1.256692,-0.240278,0.341474,0.191268,-0.067718,2.554434,0.598732,0.461438,1.71362,-0.360658,0.319022
line,1.628147,0.54491,1.168817,0.821896,-0.735365,0.918953,-1.439299,0.141879,1.771893,1.309464,0.43921,-0.09067,0.218759,-1.881935,0.762982,-0.866034,2.385824,-0.004108,-0.055961,0.612293,-0.102047,0.568608
model,-0.122363,-0.145207,-1.527717,-0.686246,0.107242,1.883963,-0.965798,0.519735,2.019344,0.218739,1.212295,-0.516032,0.590427,-0.567491,1.284556,-0.149937,0.721569,0.049188,-0.037382,2.550343,-0.178529,1.080201
real,0.615164,0.452435,0.852173,0.216909,-0.168329,0.838991,-0.525649,0.57763,2.518649,0.245715,0.165754,-0.516952,0.412425,0.181415,-0.196052,1.005348,2.718396,1.409491,0.37386,0.985728,-0.459731,0.630322
property,0.170911,0.901723,-0.467523,0.103898,-0.295724,0.254572,-0.521255,0.215779,1.806724,0.424388,0.956066,-1.725569,0.567634,-0.611686,0.681385,0.87932,2.412156,0.725731,0.374964,0.836269,-0.220434,1.612618
geometry,0.785194,-0.846768,0.94988,1.050828,-0.065251,2.108147,-0.207581,-0.06866,0.371002,1.254482,0.027223,-1.093114,1.454556,-1.203978,0.43785,0.544048,1.655546,1.47351,0.277524,1.62167,0.925521,1.49617
complex,1.033747,-0.436679,0.828059,0.341663,-0.502501,1.176285,-1.384884,0.53856,1.625221,0.469284,0.417542,-0.65842,0.965525,-0.23597,0.347339,1.258497,1.826496,2.157279,0.903927,0.538051,-0.267823,1.001605
linear,0.71118,0.479921,-0.260838,0.658359,0.068971,0.791708,-1.115335,-0.206509,2.115034,-0.194009,0.631977,0.078749,1.111942,0.762119,0.951737,0.372788,2.381605,1.561345,0.742794,1.184461,-0.30216,0.899501
polynomial,-0.044569,0.126361,0.122534,1.411301,-0.259699,-0.485773,-1.432671,1.022467,2.016582,-0.335632,0.40322,-0.451201,0.382454,1.248131,0.728402,0.798837,1.896635,2.598528,-1.448335,1.363721,-0.184977,0.197484
algorithm,0.644319,0.726897,-0.582126,1.20652,0.501182,-0.655752,-2.4693,0.291563,1.131914,0.575701,1.071842,-0.132169,1.611373,1.267776,2.180957,0.838697,0.442285,0.328079,-1.479199,2.555391,-0.093208,-0.024176
mathematician,0.088146,-0.191488,0.819042,2.383804,1.212083,1.61899,2.152785,0.82639,0.611845,2.820901,1.088237,-0.527787,0.405801,0.385214,0.111265,0.818306,0.391874,1.228304,0.925791,1.900284,-0.028808,-1.657455
definition,0.187326,0.662805,-0.055873,-0.092068,-0.279378,0.217211,-0.76916,0.824346,1.447821,0.797799,0.462496,-0.967228,0.712502,-0.407251,0.254052,0.792132,2.538593,0.803046,0.411947,1.464987,-0.214112,1.126995
product,-0.254422,0.561707,0.278053,0.888043,-0.113638,-0.399432,-1.720524,1.181023,1.840363,0.256039,0.084432,-0.787423,0.716896,-0.176318,0.585437,0.693943,2.859765,0.348248,1.901218,-0.100709,0.251936,0.952062
state,0.321965,0.123635,-0.816184,0.846215,-0.134361,0.160646,0.206041,-0.319374,1.444146,1.08404,1.689262,-0.625079,-0.574673,-0.520159,0.738019,0.006398,1.358698,0.939896,1.033353,2.418118,-0.90157,-0.447134
sequence,-0.209603,0.272199,0.569065,-0.202504,0.157079,-0.875371,-2.011234,0.864946,2.010333,0.812287,0.118848,-1.220142,0.057353,-0.302874,-0.008693,1.400285,1.190991,1.182659,0.121123,1.576359,-0.999629,-0.252122
distribution,-0.349027,-1.067188,-1.077274,-1.396065,1.185348,1.292615,-1.938027,1.640112,2.883392,0.065328,0.780207,-1.151509,-1.121311,-0.167084,1.146044,0.812378,1.829617,-0.414297,-0.106578,0.81981,-0.162611,0.001993
variable,0.070175,0.178592,-0.934916,-0.453236,0.348251,1.14775,-1.368032,1.216445,2.41842,-0.663142,0.498476,-0.474779,-0.51776,0.683912,-0.04873,-0.554288,2.84194,0.261077,0.165888,1.867142,-0.910746,0.027401
solution,1.123918,-0.207701,0.304052,1.045015,-0.686031,0.57385,-0.755,-0.41116,1.990433,0.218252,1.240423,-0.06909,-0.114926,0.840766,0.598263,0.514691,2.075814,0.745172,-1.197348,2.111632,0.174956,0.603485
square,-0.107037,0.087009,1.737318,1.92039,0.894467,0.849197,-2.132486,0.507386,2.651634,0.256077,0.259045,-0.719528,-0.412234,-0.343006,0.529027,0.187321,1.772744,-0.475339,-0.707082,0.450728,0.456011,0.305214
map,1.278314,0.366622,0.190784,-0.076816,-0.632061,-0.312032,-1.172426,0.170733,1.708135,1.059977,0.926939,0.157891,0.653221,-0.825383,0.917854,0.215539,2.101513,1.274581,1.884582,0.189899,-0.418689,1.274788
class,-0.395623,0.368488,-0.105057,0.974073,-1.719732,0.010177,0.168523,0.385692,1.580241,0.329249,0.335841,-0.291368,1.17034,-0.874889,0.808571,0.439923,1.725783,1.380894,0.656912,1.902847,-0.513356,0.531263
integer,0.084896,0.886589,1.213668,1.502536,-0.406904,-0.411706,-0.837992,1.451346,2.925449,-0.469683,-0.052922,-0.990656,0.379317,0.127319,0.29472,0.984809,1.657794,1.294081,-0.507946,1.446145,-0.295898,-0.174681
mean,0.321395,0.406284,0.194706,-0.163145,-0.040752,0.440801,-0.841185,1.023301,2.734031,0.121082,0.674456,-0.952377,0.123318,-0.245613,0.417072,0.542916,2.040058,-0.379381,0.380269,1.103584,-0.196013,0.177939
proof,0.625037,0.79796,-0.183405,0.836654,-0.047242,-0.809595,0.048935,0.6631,0.569331,1.474291,0.217695,-0.924422,0.859812,0.114301,0.661102,0.88162,2.335335,0.111135,-0.700065,2.707517,0.782382,1.198262
three,0.006503,-0.155402,0.558759,2.223068,-0.573727,1.367949,-1.507262,0.039524,1.346956,0.745738,0.572282,-0.675382,-0.152365,-1.470861,0.130923,-0.137136,2.121202,-0.35654,-0.008934,1.33904,-0.065137,0.281781
dimensional,0.222424,-0.740762,0.387553,0.52423,-0.733229,1.767354,-2.31013,-0.286478,1.986326,0.232114,0.276124,-0.20829,0.792233,-1.104794,-0.035228,1.012088,1.708121,1.019607,0.553172,0.915151,0.336133,1.653976
zero,1.042674,0.336696,0.63376,0.398313,-0.741847,0.074285,-1.06304,0.547737,2.551942,-0.155523,0.801466,-1.03352,-0.5043,0.103479,-0.037442,0.73617,2.361287,0.680677,0.122787,0.61803,-0.644749,-0.589127
algebraic,0.767036,0.06134,0.095447,0.817402,-1.094388,0.836714,0.237018,0.887822,0.85343,0.788757,-0.129323,-1.059559,1.792324,-0.419728,0.240063,1.039145,1.677849,2.750692,0.188464,1.656444,0.087977,0.629808
formula,0.019407,0.23986,0.425637,0.480881,0.268446,-0.964694,-0.866382,1.378946,1.587213,0.933868,0.563453,-0.731847,-0.476361,0.660306,0.563604,-0.44372,2.834681,0.77767,-0.264179,1.629364,1.016064,0.883598
ring,0.032921,0.434212,0.136535,0.889911,-1.136617,0.135184,-1.065962,2.264302,0.581662,-0.275824,-0.244884,-1.381546,0.773644,-1.157604,0.51376,1.761624,2.063694,2.190385,0.612287,-0.389815,-0.794389,0.411056
edge,0.265886,1.053307,0.210655,1.974032,-0.213787,0.193531,-2.323759,-1.487717,1.891057,0.372885,0.740801,-0.775286,-0.136926,-2.669455,0.840185,-0.347054,0.93539,-0.504529,-0.6189,0.942092,-1.356822,0.504282
sum,-0.120909,0.267736,0.868388,1.118212,-0.2081,-0.490523,-1.350701,0.570144,2.673433,-0.109974,-0.034356,-1.213444,-0.086042,0.059532,0.307496,0.734636,2.446631,0.503385,-0.045941,0.72327,0.031623,-0.230206
plane,1.508428,-0.003375,1.668361,0.886655,-0.283604,1.275386,-1.297759,-0.098823,1.538724,1.194739,0.526009,-0.088085,-0.188438,-1.984116,-0.082146,-0.203228,1.812479,1.191187,-0.029882,0.331629,-0.34411,1.811071
analysis,0.773999,-0.640608,-0.855448,0.023501,1.000791,1.905375,-0.263108,0.314005,1.001563,0.028249,0.476711,-0.928332,1.417277,0.924615,1.119408,0.79275,1.468385,0.820405,0.478193,2.273765,0.393965,0.565174
dimension,0.841051,-0.519418,0.331086,0.501213,-1.019567,0.80744,-1.700597,-0.219756,1.879705,-0.000237,0.040051,-1.220192,0.376185,-1.162901,-0.354876,1.355521,1.668146,0.557323,0.37466,0.831941,0.056315,1.232436
curve,1.923689,-0.525762,0.920929,-0.010198,-1.190471,1.161457,-0.975817,0.031305,1.791194,1.073016,0.86505,0.264901,0.293151,-1.075499,1.061867,-0.51132,1.493091,1.773939,-1.054805,0.447872,0.452611,0.049588
type,-0.519257,0.254146,-0.44158,-0.032763,-0.390392,0.846245,-1.403089,1.001316,1.466315,0.035426,0.481602,-0.522178,0.477403,-0.808761,0.313135,0.118967,1.204073,0.896561,0.116267,1.849525,-0.703206,1.428721
