word,1,2,3
ideal,-0.64146,-0.737633,1.9464
dual,-1.509006,0.223289,0.692865
module,-1.4571,0.867962,1.618492
invariant,-0.318531,1.541608,2.595239
$\mathbb{Q}$,-0.354454,0.371451,0.51068
index,-1.380223,0.129191,0.812643
information,-1.638497,-1.408942,1.086264
transformation,-0.518511,-0.228395,1.845043
extension,-1.921724,-0.286565,0.403403
direct,0.546809,-2.104801,0.355402
uniform,-1.254242,-0.426023,1.073562
path,-1.385056,-0.824472,1.214603
negative,-0.995481,-1.133042,2.728878
image,-0.856832,-1.15145,1.470934
member,-0.32666,-2.512172,-0.927151
inverse,-0.819884,1.22741,2.634384
step,-0.796302,-1.52905,1.216526
independent,-0.961418,-1.788239,-0.006933
arithmetic,-0.270104,1.200284,2.233653
position,-1.27859,-1.738907,0.226779
calculus,0.15431,1.279702,2.039195
rational,-0.014666,0.106694,2.94154
law,-0.46982,-2.040755,0.1704
tree,-1.175083,-1.139455,0.85196
component,-2.590951,-0.237364,1.938081
lattice,-1.049978,1.425246,2.135264
inequality,-0.104524,0.70941,2.341358
volume,-0.599122,-0.584004,-0.170557
section,-2.064169,-1.125596,-0.18525
add,-1.411219,-1.584044,0.779472
$\mathrm{e}$,-0.359078,-0.198631,-0.61495
fundamental,-0.6554,-0.461831,2.125423
game,-1.114069,-2.230363,-0.234771
polytope,-0.289934,2.575096,0.931999
smooth,-1.017932,0.035467,2.090174
partial,-1.013235,-0.480928,1.074743
extend,-2.003206,-0.996095,0.195924
multiplication,-0.977872,1.445513,2.448483
boundary,-1.899473,-0.475904,0.244889
local,-1.755604,-2.217734,-0.183589
node,-1.838563,0.937193,1.945957
develop,-1.341475,-1.523074,1.108856
difference,-1.452473,-1.101165,2.002119
statement,-0.193589,-1.593872,1.87772
tensor,-0.294477,1.804378,2.647263
discrete,-1.011335,1.098622,2.47883
variety,-1.119758,-1.492482,1.453056
generalize,-0.086583,1.150928,2.670716
sample,-0.912418,-0.599846,1.783715
statistic,-1.354483,-0.438677,-0.622415
axis,-1.88572,0.24924,1.300126
hyperbolic,-0.265969,1.940107,2.120971
rotation,-1.415477,0.546818,1.587413
Hilbert,0.481108,1.284466,1.983382
digit,-1.52591,0.808312,1.126923
intersection,-1.840372,0.570479,-0.995841
addition,-1.580027,-1.711199,0.610392
expression,-0.687905,-0.755416,2.714661
Student,-0.950942,-1.70932,-0.34536
approximation,-0.675591,1.132547,2.781286
$\mathbb{Z}$,-0.142884,0.179087,0.220678
mathematics,0.36918,0.848846,-0.224829
code,-1.871897,-0.232469,0.686568
rank,-1.214077,-1.42294,-0.716961
characteristic,-1.597712,-0.626252,2.29396
binary,-1.286101,0.949499,1.919736
closed,-1.74852,0.044684,1.252924
tangent,-0.748763,1.794049,2.138023
diagram,-0.80085,0.837024,1.710185
divide,-1.720506,-0.907496,0.25877
functional,-1.549759,0.123543,2.313735
abelian,-0.494444,1.865036,2.79204
odd,-0.082317,-0.77131,1.235502
action,-0.818585,-2.152422,1.155752
tiling,-0.135671,2.772866,1.548206
ratio,-2.652347,0.701543,1.283666
program,-1.436565,-1.64755,0.497867
quadratic,-0.404651,1.696775,2.835047
cube,-0.131799,0.804118,1.42227
cycle,-1.491456,-0.505581,1.072365
figure,-0.328134,-1.708996,0.641474
argument,0.272283,-1.224202,2.425309
Riemann,0.626564,1.776849,1.985463
Euler,0.447596,1.56759,1.845631
calculate,-1.717371,0.24366,1.888628
shape,-1.787114,-0.699116,1.928518
formal,-0.944719,-1.110692,1.355947
derive,-1.05864,-0.488459,1.461218
statistical,-1.200164,0.090278,0.517225
network,-1.731798,-1.220555,0.548319
estimate,-2.568777,-0.602127,0.2468
norm,0.146578,-0.558671,1.517836
polygon,-0.296417,1.279097,1.45592
permutation,-0.770231,1.735988,2.08373
world,-0.85473,-2.520531,-0.320954
maximum,-3.026993,-0.08179,0.843363
equivalence,-0.533694,1.197221,2.611067
parallel,-1.590109,-0.435329,1.006794
numerical,-0.927167,0.711476,2.023445
orthogonal,-0.94106,1.580367,2.518899
isomorphic,-0.763988,2.0293,2.388963
connection,-1.176583,-1.175291,0.727952
locally,-1.716889,-0.554161,0.572666
existence,-0.671707,-1.204197,1.375601
complexity,-0.685215,-0.094234,2.642757
isomorphism,-0.526847,1.766136,2.816979
commutative,-0.034063,1.86404,2.813625
quotient,-0.680243,1.716743,2.127115
half,-1.093564,-1.808579,-0.07109
decomposition,-0.664136,1.338272,2.468069
density,-3.489929,1.406317,0.552632
affine,-0.534097,1.835253,2.169626
arbitrary,-1.093849,0.296408,2.901371
