word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
graph,-0.608409,2.707107,-0.045455,1.25581,0.601265,-2.749098,-0.083846,-0.644498,-0.658106,-0.747515,-0.621256,-1.819005,0.937079,-0.661302,0.66753,0.501428,0.677153,0.195347,0.598459,1.201761,0.275844,0.056219,-0.404602,-0.188632,-1.166442,-0.405253,0.740647,-0.184715,0.153868,0.038155,0.001452,0.305823,0.006582,0.143975,0.047709,-0.432056,1.217281,-0.293579,0.39246,0.543723,0.532201,-0.034734
value,-0.946757,0.361673,1.038688,-0.435697,0.053826,-1.936464,-0.276257,-0.716161,-0.54468,-0.824838,0.211237,-1.523338,0.917746,0.066499,1.277324,-1.280879,-0.070513,0.40049,-0.080441,0.504217,0.195608,0.323892,-0.160862,0.512899,0.523299,-0.296827,-0.939462,-0.454655,0.086381,0.245358,-0.406778,-0.913428,-0.120148,-0.19113,-0.346855,-0.559423,0.84454,0.51525,0.458014,-0.159685,-0.819013,0.496057
problem,-1.057103,0.658645,0.259982,0.15504,-0.077001,-1.030473,-0.231716,-0.549718,-0.946608,-0.777581,-0.147121,-0.606215,0.282478,0.513463,-0.030031,-1.14615,0.072985,-0.146757,-0.0207,-0.152944,-0.307523,0.29248,-0.429774,0.688494,0.175628,-0.277324,0.280076,0.255836,-0.175997,0.594386,0.447462,-0.690439,-0.429017,-0.30522,0.692574,-0.201018,1.560905,0.11191,0.519509,-0.613196,0.163253,-0.549617
mathematic,-0.048807,0.626401,1.932278,1.616477,0.481868,-1.735959,-0.074768,-0.318202,0.0394,0.371907,-0.441334,-0.294066,1.490477,-1.158984,0.035968,-0.414759,0.222292,0.60916,-0.12048,-0.614533,0.072363,0.265274,-0.127403,1.20983,-0.175903,-1.063667,0.725172,-0.802155,-0.314567,0.710338,-0.21982,0.678965,-0.467408,-0.013631,0.672464,-0.302938,0.902329,-0.777974,1.172868,-0.764207,1.038637,0.418017
order,-0.499152,0.141119,0.191143,0.495062,0.04704,-0.847977,0.538602,-0.165714,-0.551586,-0.394895,0.230519,0.430129,-0.036471,0.807891,-0.161609,-1.383772,-0.157486,0.63114,0.300703,0.930831,-0.147675,-0.012776,-0.775994,0.283201,1.245551,-0.389868,0.459855,0.056985,-0.074398,-0.311573,0.0605,0.062778,-0.923007,0.252688,-0.292574,-0.114888,0.181367,0.636729,0.047863,0.418593,-0.258417,0.255637
equation,-1.203404,1.004947,0.821762,1.429687,0.892453,-2.059932,-0.375373,-2.074185,-1.438364,0.017826,-1.026353,-1.709844,1.485905,-0.297357,-0.39256,-0.287526,0.424734,0.006413,0.202305,0.330431,-0.564222,1.339575,-0.557252,0.330237,-0.225323,0.203065,-0.586387,-0.169596,0.219417,0.944238,-0.784573,0.196231,0.541705,0.309301,0.719769,0.212302,0.592755,0.893661,1.223414,-0.0817,1.055917,0.101647
first,0.376513,0.061743,0.74037,0.077778,-0.454174,-0.428844,-0.220559,0.080087,-0.361198,0.020769,0.410786,0.903514,-0.23182,0.080488,-0.57756,-1.172053,-0.294533,-0.382665,0.848625,0.184057,-0.042085,0.136129,-0.746211,0.232051,0.373777,-0.663121,0.06035,-0.657586,0.227223,0.424575,0.081955,0.656902,-0.438604,-0.051886,-0.170412,-0.36867,-0.037159,0.034442,-0.446667,-0.235227,-0.444455,-0.19073
vector,-1.380312,1.00235,0.826581,1.431343,0.427682,-2.427097,-0.333306,-1.194492,-1.475233,-0.587525,-0.1023,-1.161921,0.865908,-0.3232,-0.314943,0.701527,0.842499,0.058455,0.886668,0.940895,0.114289,0.234868,-0.036538,-0.728055,0.253127,0.997716,0.375478,-0.488198,-0.401358,0.072097,-0.903668,-0.55239,-0.233917,-0.563117,0.39874,-0.277647,1.147018,0.462238,0.595258,0.305243,-0.077967,0.313781
algebra,-0.339938,1.490392,0.713244,2.245217,1.429844,-2.926032,-0.08086,-0.621636,-0.654119,0.590319,-1.405717,-0.926172,1.250663,-0.636355,-0.572857,0.582297,0.494759,0.827569,0.915841,-0.467114,0.252205,0.545927,0.119182,0.364499,0.085912,-0.158646,0.26345,-0.80764,-0.795936,0.339295,-0.413301,-0.183979,-0.194417,0.34622,0.302313,-0.021421,1.435958,-0.338064,0.800225,-0.149279,0.520649,1.168457
$\mathbb{N}$,-0.589698,0.612702,0.280357,0.654815,0.079983,-1.468251,0.249204,-1.312742,-0.218955,-0.76575,-0.495159,-0.322876,0.342569,0.384831,-0.371544,0.198381,-0.211432,-0.128917,1.297381,0.226604,0.184579,-0.427941,0.508873,-1.28999,0.017771,0.045364,-0.951186,-0.459599,-0.678809,-0.037615,-0.911519,0.253801,0.911406,0.808855,0.285275,0.264565,-0.114752,0.273026,0.292785,-0.11088,-0.803794,0.783734
field,-0.268985,0.296076,0.627697,1.137056,0.204646,-0.950674,0.137483,-0.158374,-0.64414,-1.021439,0.196922,0.118889,0.515052,-0.447437,-0.093956,-0.991799,-0.376096,-0.256504,0.598133,0.079097,-0.686027,0.614529,-0.548584,-0.071855,0.19139,0.161219,-0.292486,-0.295783,-0.46315,0.434373,-0.067468,0.214823,-1.270087,-0.331803,0.63577,-0.710539,-0.715745,-0.533798,0.006138,-0.973856,0.298292,-0.017134
element,-0.618868,0.289288,1.088423,0.654931,0.47224,-1.670493,0.294359,-0.013209,-0.432796,-1.019465,-0.449961,-0.631575,0.102384,-0.210053,0.619368,-0.366953,0.713562,0.02042,1.068855,-0.036946,-0.675013,-0.33703,-0.148495,0.481918,1.492349,0.093038,-0.676403,0.409935,-0.248472,0.492908,0.252939,-0.21742,0.316019,0.690614,-0.712473,-0.407352,0.736638,0.368839,-0.637703,0.083327,-0.151167,-0.194149
system,-0.816219,1.127077,1.70091,0.101474,-0.245001,-0.88578,0.526694,-0.407561,-0.521128,-0.512384,-0.57592,0.542699,0.477694,-0.101214,0.935666,-0.974477,0.224349,-0.043362,0.044094,0.68571,-0.18949,0.026129,-0.855826,0.058153,0.686498,1.370336,-0.330184,-0.379535,-0.460402,0.462302,0.205157,-0.153601,-0.446559,-0.582877,0.354527,-0.550425,1.006238,0.391033,-0.014785,-0.177241,-0.584852,-1.452142
matrix,-0.777404,1.322391,0.671564,1.103209,0.734596,-2.13443,-0.169801,-1.197762,-0.49672,-0.572661,-0.943214,-1.250994,0.570663,-0.186601,0.117737,0.3558,0.944293,-0.424368,1.53743,-0.198619,0.329333,0.346882,0.004833,-0.683901,0.250537,0.42358,-0.253069,-0.389874,0.087819,0.483963,-0.361387,-0.756142,-0.63311,0.22387,-0.392156,-0.118812,0.785649,0.716054,0.754786,0.393846,0.323665,0.172801
mathematical,-0.512492,0.913331,2.077715,1.698963,0.547619,-1.946486,-0.640895,-0.093347,-0.164781,0.013535,-0.767341,-0.614552,1.386216,-0.758529,0.096845,-0.128109,0.511391,0.004312,-0.439849,-0.01161,-0.432177,0.248635,0.059664,1.140703,0.092962,-1.24073,0.017208,-0.430041,-0.148975,0.546833,-0.235724,0.31008,-0.266435,-0.363715,0.583478,-0.451807,0.826769,-0.339452,1.194491,-0.637376,1.335702,-0.143139
method,-1.287714,0.721216,1.226991,1.249377,0.451119,-0.961968,0.140828,-0.300759,-0.561901,-0.245296,-0.292337,-0.900993,0.710154,0.211145,0.644104,-0.946511,0.398695,-0.696532,0.392211,0.673365,-0.187096,0.181471,0.390045,0.934027,0.539013,0.307766,-0.728198,0.65037,0.133439,0.445171,0.055696,0.044063,-0.567324,-0.159664,0.557997,-0.470614,1.775481,0.269777,0.781783,-0.396498,0.054171,-0.892175
finite,-1.127098,1.379694,0.625497,1.420831,1.565739,-2.999347,-0.086017,-1.100505,-1.113238,-0.536555,-1.250168,-1.3864,0.89553,-0.073705,-0.062243,0.128894,0.874574,0.449096,0.684965,0.12948,-0.173441,0.789998,-0.683542,-0.192672,-0.13537,0.340719,0.295346,-0.279988,-0.398982,-0.193597,-0.279953,-0.133771,0.237148,0.156829,-0.139386,-0.380147,1.442601,0.181303,0.86181,-0.290208,0.170886,0.976003
