word,1,2,3,4,5
external,-1.071306,-1.496509,-0.579155,1.170325,0.37736
side,-1.343109,-0.791185,-1.475664,-0.892714,1.14603
unit,-2.304054,-1.494852,0.538628,-0.752434,0.370138
equivalent,-1.080368,-0.85574,1.082287,-1.096168,0.522036
conjecture,1.616137,1.238828,1.031762,-1.001225,0.02174
infinite,1.428463,-0.462509,0.328372,-1.851786,0.544473
operation,-1.648898,-1.565435,0.369552,-0.293896,1.041364
angle,-0.496884,-0.480716,-0.547041,-2.927909,0.280179
random,1.162045,-0.986666,0.299981,-1.604025,0.457567
basis,-0.954188,-1.16063,0.849879,-0.519951,1.569742
natural,-1.12524,-0.333365,0.269791,-0.892838,1.696611
power,-0.963048,-1.421899,-0.056828,-0.80171,1.501394
area,-3.072368,-0.601704,-0.408598,-0.367551,1.496632
open,-1.340508,-1.469174,-0.793947,0.020743,1.005109
solve,0.980807,-0.949239,1.018143,-1.300514,1.398927
pair,-0.191847,-1.005793,-1.039482,-1.639958,0.482185
hold,-1.215354,-1.157434,-0.436139,0.875999,1.596604
limit,-1.26283,-1.642616,0.572266,-0.967441,1.105839
special,-0.353074,-1.93872,-0.338179,0.070384,1.082013
generate,-0.540731,-1.838041,1.08636,-2.364866,1.06062
coefficient,0.323228,-0.344071,1.842759,-2.553966,-0.383916
standard,-0.979306,-2.123614,0.904957,-1.128954,0.780252
identity,0.76424,-0.808295,0.772737,-0.12893,2.254102
four,-1.394841,-1.33728,-1.204185,-0.179366,1.08732
rule,-0.805987,-0.336095,0.708511,0.418495,2.069236
topological,1.205755,0.4104,2.102057,-2.252808,-0.305103
computer,0.623562,-2.585712,0.989099,-0.573214,0.353881
derivative,-0.043758,-0.620674,1.38192,-1.997424,0.210252
symmetry,0.73381,0.315219,1.338142,-2.466461,0.127845
compact,-0.540308,-1.071043,0.331017,-1.966927,-0.258535
factor,-0.154435,-1.39873,1.387547,-1.695785,1.504232
family,-1.141783,-0.021208,-1.11247,0.655364,1.526953
transform,0.053123,-0.22587,0.288723,-1.260781,1.339617
convex,0.019767,1.145118,0.00265,-3.54103,-0.179419
domain,-0.511395,-0.283332,1.539239,-1.24387,0.822862
subgroup,-0.49718,1.20376,1.435198,-1.15089,-0.394546
construct,-1.813672,-0.039334,-0.424173,-0.929237,1.193587
axiom,1.740939,0.392681,1.944601,-1.157535,-0.371844
construction,-2.219767,-0.514021,0.015665,-0.35691,1.163922
therefore,-0.614402,-0.446186,0.94636,-1.457883,2.345031
compute,0.515358,-1.770812,1.92316,-1.432102,-0.125851
normal,-0.45922,-1.041949,0.425281,-1.866869,1.116849
distance,-1.303305,-1.013886,0.010291,-1.22799,0.382661
notation,0.915715,0.07211,1.259534,-1.657511,-0.126933
parameter,0.316796,-1.070229,1.885264,-2.692233,0.420427
euclidean,0.837212,0.820418,1.756754,-2.455364,-0.55703
symmetric,0.594568,0.221533,1.458003,-2.831709,-0.438355
metric,-0.176203,-0.7257,1.798817,-1.793903,-0.28075
test,-0.353585,-1.909088,0.566235,-1.164146,0.815416
bundle,0.502475,-1.051492,0.279904,-2.31305,-0.209995
center,-1.35443,-1.808938,-0.210496,0.350313,0.411584
symbol,-0.132914,0.186024,0.453749,-1.249486,1.118513
projective,1.151296,0.860965,1.635293,-2.198097,-0.793058
sphere,0.094646,0.185476,0.801877,-1.457611,0.969526
interval,-0.426573,-0.554446,0.548807,-2.222454,0.283364
single,-0.190812,-2.059084,-1.398778,-1.045389,0.561851
geometric,0.449552,0.947116,0.837729,-2.406576,0.628166
ideal,0.281258,-0.085822,0.673728,-1.157543,1.810927
dual,-0.591587,-1.532483,0.65479,-1.320109,-0.200481
module,0.064335,-1.832904,1.25326,-1.995826,-0.455063
invariant,0.767655,0.711549,1.991214,-2.300487,-0.278029
$\mathbb{Q}$,0.455306,-1.1616,-0.03271,-0.81063,-0.764576
index,-0.552419,-0.915306,1.331977,-0.598827,0.246451
information,-0.435796,-1.956323,1.299588,-0.177603,1.652021
transformation,0.49672,-0.465185,1.393659,-1.048305,1.148277
extension,-1.349097,-1.069993,0.565421,-1.003636,0.242192
direct,0.898236,-1.381211,-0.717421,0.481986,1.050695
uniform,-0.786255,-0.669165,0.000857,-1.365101,1.015307
path,-0.58674,-0.489359,-0.220289,-1.446859,1.170205
negative,0.717452,-1.253923,0.895862,-1.806716,1.945447
image,0.166762,-0.960011,-0.142737,-1.299528,1.234334
member,-0.69912,-1.176698,-0.367563,1.827516,1.592441
inverse,0.651465,-0.203783,1.741521,-2.283767,-0.166526
step,0.074791,-1.171737,-0.391722,-0.975224,1.349024
independent,-0.606186,-1.439021,0.381703,0.680777,1.37156
arithmetic,0.800785,0.09811,1.898993,-1.604782,-0.192019
position,-0.901565,-1.094976,0.173304,0.006055,1.635604
calculus,1.220357,0.349503,2.279113,-0.769926,-0.431388
rational,1.616123,-0.200087,1.971781,-1.016631,1.601907
law,-0.540815,-0.800789,0.665957,1.43954,2.206884
tree,-1.037676,0.077025,-1.217207,-1.564442,1.314675
component,-0.858346,-1.69025,1.385036,-2.424823,0.868081
lattice,-0.081991,0.468673,0.956424,-2.72629,-0.323456
inequality,0.831778,-0.060029,2.578213,-0.571337,1.069966
volume,-0.46205,-0.355239,-0.061949,-0.018794,0.283604
section,-1.835267,-0.905336,-0.090316,-0.528102,0.819662
add,-0.636816,-1.413725,-0.719201,-1.038414,1.164573
$\mathrm{e}$,-0.337004,-0.603779,0.093096,0.386012,-0.367699
fundamental,0.632703,-0.816072,2.087795,-0.687551,1.700219
game,-0.29341,-3.119442,-1.331379,-0.261071,0.240719
polytope,0.82362,1.444129,1.423633,-1.558431,-2.337971
smooth,-0.161992,-0.30533,-1.186797,-2.998171,0.651657
partial,-0.346223,-0.534912,0.328455,-1.080851,0.717014
extend,-1.705461,-0.692965,-0.252565,-0.886819,0.964755
multiplication,0.584974,0.065902,1.692926,-2.379701,-0.540144
boundary,-1.926472,0.166989,0.161355,-0.830711,1.118479
local,-1.568704,-0.895362,-0.043851,0.295892,1.977632
node,-0.32024,-0.650748,1.356257,-2.606149,0.103135
develop,-0.319127,-1.469033,0.368295,-0.902624,1.54706
difference,-0.020496,-1.130431,0.979991,-1.522714,1.715139
statement,0.914788,-1.10229,1.118039,0.091102,2.33345
tensor,1.070539,0.793663,1.953335,-2.513671,-0.441227
