word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
geometry,1.873497,1.641979,-1.032497,0.29805,-1.106274,2.295052,1.163278,1.102189,-0.920006,1.463168,0.087559,-1.457429,1.571896,-0.18724,0.872828
complex,1.252757,1.155915,-1.771601,0.544447,-0.733893,3.15832,0.576134,-0.719799,-0.120197,0.382536,-0.413002,-0.855985,0.735731,-0.631014,1.229529
linear,1.313052,1.158564,-2.082942,0.921397,-0.360212,2.420639,1.182415,-1.601878,0.563766,0.488628,0.236961,-1.384091,-0.245901,-0.489485,-0.091756
polynomial,1.377013,-1.19964,-1.709061,-0.18883,0.755464,3.312348,1.585659,-1.873872,0.155896,0.616406,-0.379481,-0.440469,-0.056592,-0.879082,-0.123753
algorithm,1.420359,-0.331215,-1.43546,0.953349,0.588325,2.387906,1.9586,-1.501939,1.307439,2.155815,1.239117,1.202074,0.350771,-0.065179,-1.127866
mathematician,-0.567266,-1.1219,-2.424617,0.458245,-2.845606,1.267134,1.730474,1.908157,-1.026298,0.363863,1.403256,-0.568858,2.4801,0.604238,0.342737
definition,0.038975,1.182215,-1.056505,0.187917,-0.219326,3.633344,1.075265,-0.662227,0.304424,0.348934,-0.064593,-1.210344,0.191632,0.173492,0.004839
product,-0.133275,1.259452,-1.711052,-0.633295,-0.256488,2.667213,1.764324,-1.338802,0.530995,-0.593443,-0.450861,-0.723207,0.283422,-0.748423,1.104741
state,-0.145323,0.285591,-1.713357,0.532036,-2.418386,1.716897,1.305791,-0.64776,0.685911,0.026594,0.772995,-1.058992,0.155538,-0.287391,-0.659685
sequence,-0.443616,-0.365964,-1.673891,0.780001,-0.116313,2.975157,1.672008,-0.733518,1.115448,-0.106784,-0.607032,0.027026,0.08824,-0.903197,0.219934
distribution,-1.103078,0.355927,-1.61263,2.176205,-0.165262,2.252729,1.153937,-0.726998,0.370405,-0.178364,1.377535,-1.122359,0.298925,-2.433504,-0.972804
variable,-0.707477,1.22171,-1.556212,1.093033,-0.515646,2.560293,1.265276,-1.817066,-0.453912,-0.431395,0.447568,-0.94455,-0.780655,-1.121255,-1.284799
solution,1.461777,0.207257,-0.338528,0.582601,-0.87228,3.140564,0.870415,-1.107305,0.206339,0.975428,0.786849,-0.136122,-0.32488,-1.29061,-0.722611
square,-0.18505,0.292825,-0.311045,0.356287,-0.126105,2.205727,2.674704,-0.803745,0.054328,1.143938,-0.29094,0.607195,0.437286,-2.515863,0.721227
map,0.186571,2.211642,-1.246587,-0.159421,-0.828726,2.561079,-0.032287,-1.166174,1.578325,-0.116429,-0.431079,-1.035779,0.594207,-0.32367,0.646652
class,0.795203,0.687505,-1.406003,0.040398,-1.244676,2.278497,1.519161,-0.70248,0.175091,0.424299,-0.793718,-1.424929,-0.776286,0.635491,0.365723
