word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
problem,1.065344,-0.064142,0.401262,0.132006,0.162998,0.657469,0.315658,0.949769,2.156606,0.292089,0.00497,0.421471,-0.319632,0.02002,-0.894542,-0.121025,0.606055,0.12377,-0.913514,0.541015,-0.437702,-0.127045,0.872137,-0.350634,0.422968,0.060294,0.40907,-0.494014,0.614599,0.569644,0.523345,-0.732022,-0.275945,0.177601,-0.267012,0.083794
mathematic,-0.789242,-0.104763,-0.202206,0.262727,-0.043806,0.997279,-0.125592,0.741363,1.217314,-0.643167,-1.229982,1.186669,-0.666739,-0.25433,1.374342,0.331466,1.332427,0.024339,-0.96074,1.17949,-0.695263,-1.013788,1.986125,-1.077087,-0.315247,0.98681,-0.495287,0.041554,0.70302,0.220539,-0.077723,0.291425,-0.596411,-0.381673,0.337714,-0.083312
order,-0.043214,0.672578,-0.160627,-0.345586,-0.368781,-0.209194,0.527298,0.523057,1.163821,-0.1815,0.058889,0.638077,0.138367,0.050735,-0.932673,-0.78993,0.332304,0.33962,-0.178597,1.026144,-0.102681,-0.182422,-0.461044,-0.165863,0.19092,-0.089434,0.63972,0.633706,-0.433661,0.33385,-0.344046,-1.266359,0.345281,-0.739024,0.673759,-0.403787
equation,1.036255,-1.941967,-0.35434,-0.535098,0.051881,0.283927,-0.591485,0.839443,1.24173,-0.111566,-2.052058,0.321871,-1.579687,-0.345007,-0.282015,-0.334679,0.893436,0.86667,-1.574108,0.56752,-1.005373,-0.601216,2.335032,-0.393592,0.944733,0.990904,-0.176756,-0.745182,0.042338,0.056395,0.776592,-0.260996,0.741232,-0.87207,0.812355,-0.334112
first,0.00758,1.371916,-0.049794,0.579686,-0.021066,-0.1571,0.880214,-0.129646,1.166723,0.178969,-0.096416,0.197704,-0.223646,-0.143162,-0.188589,-0.534092,0.239463,0.337706,-0.547989,-0.126279,0.037958,-0.170671,-0.363931,-0.180661,-0.655334,-0.091803,-0.117196,0.894881,-0.099312,0.13067,-0.652365,0.318587,0.296045,-0.734585,0.390195,0.265644
vector,1.404852,-1.286766,-0.417207,-1.510512,1.100475,0.786028,-0.507513,-0.411797,1.784388,-0.804953,-1.094284,0.292212,-0.289825,-0.256667,0.053347,-0.577219,0.460756,0.391761,-1.086243,0.843786,-0.361892,-0.784084,1.29577,0.551042,1.177963,0.766694,-0.519835,-0.469907,-0.035433,0.025924,-0.172917,-1.007802,0.271276,-0.310837,1.17502,-0.246531
algebra,0.037913,-1.650231,-0.184678,-0.196146,0.518918,0.327219,-0.877348,0.411727,0.95923,-1.746404,-1.087972,0.820766,-0.599647,-0.740136,1.565864,-0.567846,1.664879,-0.183141,-1.562089,1.21006,-0.414354,-0.98306,1.591215,-0.655919,0.585629,0.967895,0.216689,-0.447174,0.579536,0.079006,0.529943,-0.33831,0.075772,-0.738205,1.138928,0.071003
$\mathbb{N}$,0.665569,-0.036876,-0.29858,-0.929688,0.4726,-1.220704,-0.110143,0.062719,0.663863,-1.207756,-0.82254,-0.519787,0.047877,-0.463694,0.270357,-0.5317,-0.067315,0.110158,-0.853655,-0.086562,1.0025,-0.532302,0.595901,-0.180834,1.476865,0.418724,0.170172,-0.456076,-0.074012,-0.181466,-0.138126,0.427734,0.949438,-0.622079,1.006459,-0.219246
field,0.636348,1.513792,-0.243046,-0.38426,-0.461111,0.031802,-0.630576,-0.10142,1.175815,0.110822,-1.251194,0.671022,0.27924,0.268934,-0.151537,-0.757361,0.741651,-0.42188,-0.327245,-0.02784,-0.705921,-0.673327,1.209062,-0.466723,-0.380422,-0.207047,-0.37731,0.427514,0.584196,0.396306,-0.243322,-0.066875,0.420975,-0.106,0.635961,-0.034161
element,0.873901,-0.479535,-0.618263,-0.022175,-0.293649,0.399269,-0.316581,0.267458,2.121378,0.074889,0.028311,-0.175871,-0.051493,0.072185,1.0055,-1.107878,0.059993,-0.204821,-0.435181,0.476787,0.148612,-0.650942,0.219724,-0.69537,0.783557,-0.271887,0.473898,0.602719,-0.260758,-0.237831,0.536628,-0.95864,1.05016,-0.346324,0.312448,-0.462549
system,1.477846,0.712085,0.460325,0.166282,-0.317781,0.34647,0.075092,0.290115,2.398778,0.729879,-0.137509,0.783213,0.080765,-0.175179,0.271696,-0.530347,-0.239128,-0.655323,-0.619378,0.572569,-0.83833,-0.606257,-0.070653,0.323969,0.996005,0.812129,-1.02027,-0.120248,0.44789,-0.324824,-0.164376,-0.990808,0.20183,-0.470095,0.452938,-0.716892
matrix,1.449922,-1.715747,-0.828527,-0.570654,0.945266,0.222834,-0.608318,-0.125777,1.60259,-0.903357,-0.814497,0.244946,-0.324401,0.231186,-0.097517,-0.524778,0.3056,-0.105929,-1.214479,0.924253,0.346287,-1.098808,0.855186,-0.438686,0.540173,0.823884,0.195554,-0.514718,0.423056,-0.399209,0.583656,-0.200026,1.072563,-0.33114,1.39593,-0.170441
mathematical,-0.144406,-0.569025,-0.553639,0.245158,0.049087,1.092029,-0.799988,0.654753,1.770422,-0.084102,-0.925108,1.225965,-1.02859,-0.135489,1.151586,0.233439,1.330152,0.387184,-0.960023,1.178391,-0.470371,-1.018015,2.164433,-0.960232,-0.167152,0.745637,-0.841059,-0.399104,0.470101,0.664163,0.306957,0.225531,-0.424265,-0.638942,0.368698,-0.385002
method,1.654903,-0.552668,-0.166727,-0.456481,-0.277686,0.481011,-0.170037,0.921064,2.173331,0.250164,-0.298325,1.230969,-0.375003,0.425656,0.268329,-0.166047,0.197649,0.300356,-0.985743,0.434919,0.012261,-0.973572,0.554315,-0.813894,0.252626,0.918755,-0.687294,-0.23466,0.171421,0.455735,0.705868,-0.915098,0.049229,-0.312667,-0.634545,-0.188186
finite,0.801067,-1.759199,-0.244093,-0.58675,0.705878,0.285293,-0.698121,-0.058274,1.419356,-1.399456,-1.065005,0.501003,-0.402014,-0.737461,0.13249,-1.151669,1.400121,-0.027557,-1.250761,1.14878,-0.679303,-0.366622,1.648589,-0.411257,1.361771,1.023487,0.595473,-0.310835,0.850397,0.468973,0.853811,-0.7785,0.594111,-0.521094,1.002284,-0.22112
result,0.611609,0.417569,0.29176,0.467227,-0.081191,-0.590013,0.736887,-0.029831,2.105149,0.702533,-0.707972,0.347378,0.028059,0.825686,-1.123948,-0.569699,0.126306,0.746007,-0.868073,-0.175083,-0.104931,0.19186,0.196174,0.007992,-0.196541,-0.098557,0.306954,-0.359457,0.507465,0.787703,0.086712,-0.738893,0.634941,-0.098215,0.517651,0.160996
vertex,0.798781,-1.842359,0.456759,-0.722455,0.888946,0.518122,-1.237057,-0.977845,0.833134,-1.329423,-0.754465,-0.611706,-0.550944,0.473169,0.156633,-0.533181,1.288115,-0.2145,-1.134211,1.424291,0.554133,-0.003756,0.044145,0.142205,0.288226,1.592539,1.06006,0.179229,0.209395,-0.674531,0.245971,-0.779556,0.943508,0.31217,2.516856,-0.322882
term,0.236297,-0.173568,0.093833,-0.041156,-0.565179,-0.254331,0.347063,0.372909,1.949457,0.014823,-0.333534,0.415902,-0.343709,-0.228994,-0.056035,-0.374241,-0.688876,0.147759,-0.890344,0.832999,-0.407177,0.178214,0.353492,-0.336187,-0.167068,0.066064,0.189336,0.345209,0.168729,0.543062,0.233677,-1.06404,0.518002,-0.385373,-0.202227,-0.206174
line,0.647772,1.270316,0.607337,-0.003705,0.199348,0.370909,0.086528,-0.170774,0.988112,0.024855,-0.203536,-0.546743,-0.0248,0.018484,-0.231492,-0.720822,0.348704,-0.160284,-1.69512,-0.494039,-0.129237,0.534342,-0.00437,0.198054,0.834403,-0.336874,0.120518,0.922712,0.431598,-1.047311,-0.067861,-0.393681,0.870273,-0.133903,0.652881,-0.812428
model,0.915532,-0.289867,0.43821,-0.075117,-0.315814,0.99732,0.127209,0.598235,1.903808,0.104321,0.232909,-0.055974,0.007998,-0.269685,0.021443,-0.434748,-0.415429,-0.345539,-0.611571,0.420069,-0.537742,-1.260379,0.592704,0.998377,0.549163,0.440172,-0.690854,0.102695,0.551542,-0.149726,-0.005665,0.394703,0.703876,-0.730275,0.528326,-0.152209
real,0.308892,0.213784,0.115828,-0.194115,0.984944,0.665091,0.510548,-0.35122,1.614223,0.088163,-0.264057,-0.273324,-0.050557,-0.582833,-0.644918,-0.861936,-0.084751,-0.730644,-0.388477,-0.010254,0.278397,-0.353766,1.110753,-0.273571,0.13041,0.220583,0.714003,0.103133,-0.065393,0.586023,-0.127607,0.191932,0.286561,-0.853371,-0.561433,-0.64406
property,0.238117,0.28144,-0.208651,0.019629,0.434275,0.22194,-0.61917,0.374472,0.923951,0.093584,-0.180892,0.237235,-0.530365,0.713726,-1.052455,-0.364584,-0.990372,-1.075986,-1.014252,0.861363,-0.384581,-0.160246,0.757805,-0.622035,0.549804,0.936334,0.293835,0.675319,0.387279,0.445451,0.727632,-1.496963,0.678721,-1.147404,0.413356,-0.094919
geometry,0.912724,-1.266585,0.604031,0.479017,0.396545,1.435667,-1.643911,0.742138,0.985962,-0.285918,-0.928349,0.505524,-0.824051,-0.044502,0.92981,-0.374709,1.324564,0.754178,-1.287771,0.904981,-0.0906,-1.182957,1.579806,-0.379707,0.438181,0.552226,-0.382398,0.013632,0.190862,-0.447702,0.339955,-0.173332,0.45324,-0.598269,0.973666,-0.305053
complex,1.069759,0.18441,0.296364,0.489864,0.367585,0.456891,-0.390905,-0.206028,1.139748,0.046521,-0.347884,-0.380987,0.685096,0.815813,0.761297,-1.029711,-0.09,-0.422165,-1.063025,0.644854,-0.020029,-0.587138,1.120482,-0.895998,0.612606,0.340086,0.411651,0.692457,0.508061,-0.125996,0.134759,-1.188644,0.171861,-0.398817,0.409643,0.024251
linear,1.732642,-0.778659,0.727647,-0.878514,0.933568,1.20232,-0.045312,0.103641,1.428781,-0.511058,-1.262711,-0.217477,-1.03303,0.164637,0.311115,0.504077,0.214526,0.579954,-1.069147,0.617999,-0.377994,-0.38725,1.489334,0.202531,0.890218,0.784043,-0.536901,-0.391171,0.290666,-0.562316,0.445374,-0.628498,1.811866,0.271438,1.486872,-0.188886
polynomial,0.328634,-2.224514,-0.482266,-1.319212,1.847264,0.590857,0.138429,-0.434783,0.748101,-2.165879,-1.515864,0.470502,-0.357638,-0.726302,-0.017548,-0.768743,1.454513,0.888293,-1.965022,0.895286,-0.773095,-1.06086,1.907805,-0.042947,0.281104,1.561106,0.312932,-0.11915,0.593099,0.644378,0.741208,-0.689823,0.4552,-0.561416,0.705218,-0.358557
algorithm,2.017661,-1.133381,-0.250534,-1.07348,1.108342,0.799368,0.204432,-0.45514,1.553628,-0.367342,-0.53498,1.068585,-0.536176,-0.403471,0.329639,-0.193221,1.593176,0.247769,-1.426105,1.017472,-0.377812,-0.659037,0.62387,0.132806,0.011629,1.920101,-0.690235,-0.990995,1.302827,0.372632,0.851105,-0.147437,0.174094,0.376188,-0.099669,-0.882278
mathematician,-1.153057,-0.54221,-1.171415,-0.728404,-0.521041,1.754913,0.111738,1.212692,-0.708532,0.890574,-0.970359,0.066067,-1.229287,-0.655292,0.732161,-0.377376,0.823639,0.833376,-0.723166,1.342458,-0.082428,-0.465884,1.798294,-0.374925,-1.799479,0.676779,-1.105105,-0.350786,0.643111,-0.026512,-0.09432,1.041789,-0.205732,-0.974689,0.46634,0.625289
definition,0.36047,-0.812133,0.125113,-0.321367,-0.27685,0.474487,-0.511008,0.008029,2.435023,-0.404357,-0.136857,0.730272,-0.680347,-0.722576,0.62526,-0.177462,-0.034033,-0.012232,-0.811214,0.889791,-0.170704,0.179722,0.869581,0.30001,0.80193,0.408108,0.135696,-0.411404,0.598214,0.634214,0.420247,-1.262271,0.643558,-0.732863,0.250761,-0.102473
