word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
equation,0.119004,-0.413604,0.221101,-0.314042,-0.218423,-2.633947,0.532138,-0.716919,0.230413,-0.599217,1.569136,-0.215304,0.515805,-0.462071,-0.515645,-0.536437,0.131912,0.376098,-0.298182,1.574018,2.579701,-0.970645,0.117846,-0.75313,-0.472025,-1.834922,0.07456,1.47459,0.787355,0.820408,0.143609
first,0.273251,0.716758,-0.347629,-0.081475,0.351598,-0.249653,0.287873,0.59926,-0.044672,-0.491234,0.562587,0.30455,0.007478,0.040775,0.505825,-0.050239,-1.181777,-0.981444,-0.469463,-0.507539,-0.272595,-0.400841,0.215525,-0.12131,-0.170657,0.42532,-0.166516,-1.031628,0.444981,0.109061,0.010139
vector,0.390299,-0.683262,0.577117,0.111671,0.076002,-1.78016,0.50733,-0.928588,-0.218724,0.256171,0.45095,0.800341,0.214845,-0.364909,-0.742952,-0.968584,0.377494,-0.718108,-0.51819,1.873531,0.744583,-1.392701,0.230986,-0.630903,0.419382,-0.939005,0.085947,0.871476,1.184474,0.208574,-0.57551
algebra,-0.461959,0.130002,1.145478,-0.285205,0.432255,-1.254782,2.000184,-0.16183,-0.28016,-0.64584,0.533573,0.171517,0.345179,0.218841,-0.94513,-0.810283,0.051108,0.669404,-0.702415,1.784349,1.561243,-0.624085,-0.790904,-0.519336,-0.960315,-0.981898,0.855155,1.67338,-0.252833,-0.224633,-0.410262
$\mathbb{N}$,0.805682,-1.106582,1.032283,0.862859,-0.021425,-1.054066,-0.029417,0.147124,0.647644,-0.076223,0.173968,-0.45295,-0.937726,-0.07688,-0.54129,-0.76157,-0.768657,-0.573694,-0.179505,0.494103,0.224646,-0.268183,0.329109,-0.976347,-0.638098,0.091307,0.030563,0.546304,-0.541589,1.133855,-0.934262
field,0.41193,0.537611,0.295714,0.122582,0.453785,-0.358579,-0.213315,0.851524,-0.103943,-0.360899,0.55418,0.401711,0.954502,-0.036884,-0.374483,-0.88604,-0.882706,-1.301366,-0.46966,-0.522823,1.074873,-1.140961,0.310283,0.589092,-0.060185,-0.710615,0.239574,-0.165736,-0.018982,-0.013566,0.251107
element,1.028027,0.313218,1.485421,-0.384897,0.224874,0.088442,-0.41206,-0.653792,0.493953,-1.315588,0.612837,0.390936,0.36773,-0.099739,-0.614664,-0.476922,-0.242197,-0.599643,-0.59896,1.399171,-0.277036,-1.059723,0.676179,-0.57723,-0.063202,0.01742,0.629578,-0.100465,0.652556,0.402098,0.673716
system,1.037117,0.204354,0.478595,-0.196367,-0.049773,0.130375,0.830901,-0.635271,-0.448774,-0.515364,0.775858,0.011574,0.640762,-1.029764,-0.626143,-1.060953,-0.146952,-1.697327,-0.29669,0.578004,-0.324143,-2.00487,0.532102,-0.355414,0.46521,-0.820384,-0.193221,-0.051594,1.248755,0.302925,-0.690035
matrix,0.305312,-0.551923,0.622504,0.227236,0.075979,-1.13964,0.40885,-0.439728,0.702709,-0.762108,0.336511,0.44605,-0.290997,0.143903,-0.770333,-0.535611,-0.266985,0.13209,-0.598963,2.140123,0.461307,-1.469763,0.103704,-0.653357,0.495293,-1.296391,0.642949,0.788896,0.226858,0.489538,-0.241651
mathematical,0.164828,0.329241,0.681352,-1.094097,0.75505,-1.231755,1.490119,-0.563469,-0.245127,-0.691896,1.786831,0.141374,0.982655,0.468181,0.055352,-0.432121,0.064576,-0.522763,-0.575402,0.870393,1.641983,-0.912852,-0.189307,-0.398051,0.0237,-1.074991,1.135283,1.238031,0.15402,-1.16817,-0.01623
method,1.147964,-0.258542,0.371016,-0.759346,0.562129,-0.650635,0.136525,-1.116412,-0.086622,-0.94266,0.97861,0.554949,0.785836,-0.124017,-0.23405,-0.384658,0.190388,-1.27329,0.187513,0.785711,0.222827,-1.858136,-0.607702,-0.945882,-0.223859,-1.374966,0.494593,0.327034,0.52139,-0.226865,0.478115
finite,0.299942,-0.249004,1.235752,-0.316859,-0.348323,-1.968248,1.074617,-0.961592,-0.250582,-0.544738,0.830267,0.140541,0.0537,-0.317427,-0.915873,-0.913071,0.597593,0.358593,-0.794237,1.872981,1.229362,-1.199315,-0.178402,-0.557925,-0.502922,-0.976148,0.413955,0.926095,0.103592,0.536269,0.038757
result,0.880204,-0.124167,-0.227107,-0.031946,0.307015,-0.841555,-0.333551,0.080565,0.09565,-0.301738,0.34737,-0.414751,-0.021965,-0.229318,1.009048,-0.243597,-0.254309,-0.535564,-0.09454,0.226822,0.472186,-1.947316,0.416171,0.041539,-0.122612,-0.352292,0.165349,-1.76618,0.653506,0.259851,0.086594
vertex,-1.040804,-0.627386,0.493038,0.863728,-0.883827,-1.287208,0.903846,-0.113273,0.456697,0.078285,-0.42097,0.6486,-0.31028,-0.052195,-1.415831,-0.668658,0.189152,0.511962,-0.667262,2.428078,0.527219,-1.361192,-0.578391,0.135762,-0.180005,-0.208756,0.768765,0.450922,0.663331,0.087286,-0.199913
term,0.650333,0.002938,0.659984,-0.51156,0.165748,-0.472069,0.307793,-0.387924,-0.295611,-1.315319,0.463833,-0.042544,0.053859,-0.702329,0.403366,0.553859,0.006348,-0.918312,0.383648,0.72084,0.290661,-1.541922,0.245971,0.004857,-0.268894,-0.12756,-0.376813,-0.698333,0.410311,0.026698,0.246976
line,-0.000937,0.252781,0.183476,0.368727,-0.580096,-0.491111,-0.15801,0.765122,-0.023672,-0.446898,0.045899,-0.538133,0.087797,-1.589198,-0.60169,-1.392107,-0.745388,-0.583337,-0.548479,0.114293,-0.773128,-0.572736,0.168122,0.015399,-0.007464,0.332873,0.546539,-0.768521,1.071292,0.680818,0.368611
model,0.765133,-0.086135,0.670114,-0.102166,0.459569,0.578743,0.977839,-0.786873,-0.025137,-0.347095,0.848559,0.212475,0.029369,-0.828403,0.291604,-0.473139,-1.108668,-0.841322,-0.653894,0.919077,0.517828,-0.752825,0.019941,-0.149721,0.568482,-0.684685,0.235536,0.617934,1.405251,0.962254,-0.462116
real,1.453526,0.299442,0.29303,1.137438,-0.301915,-0.420334,0.439671,-0.544981,0.227281,-0.703031,0.744997,0.304365,0.183517,-0.326746,0.480023,0.797419,-0.119574,-0.466613,-1.159633,-0.094733,-0.020725,-0.224586,-0.086856,-0.205391,0.202608,0.035997,0.131524,-0.483938,0.430719,0.10586,0.226812
property,0.486493,0.010557,-0.271944,0.59796,0.146921,-0.354289,0.391888,-0.105137,0.682178,-0.956909,1.05857,-0.433686,-0.005248,-1.56952,-0.554217,0.662601,0.038455,-0.66065,-0.221983,0.773658,-0.368248,-1.991083,0.332622,0.763753,-0.027403,-0.701115,-0.526426,0.522835,0.083409,-0.03251,1.00637
geometry,-0.101706,0.496385,0.659683,-0.690849,-0.067646,-0.408479,0.54063,-0.347381,0.258439,-0.491411,1.564518,0.06179,-0.007656,0.073211,-0.99687,-1.131689,0.033786,0.133791,-0.557418,1.647531,1.373285,-1.190053,-0.625963,-0.565211,-0.032441,-0.933906,1.512316,1.348937,1.017271,-0.174589,0.245462
complex,0.974423,0.704605,0.996387,0.165743,0.315712,0.009436,-0.305125,0.290771,0.815226,-0.682755,0.94482,0.185079,0.328732,-0.72707,-0.639411,-0.551809,0.296145,-0.473755,-0.72272,1.115377,-0.609582,-1.476405,-0.545095,0.830491,-0.166193,-0.698634,0.515256,0.134901,0.417856,0.051274,-0.205656
linear,-0.147611,-1.027088,0.089249,0.542141,-0.466833,-1.128427,0.309325,0.249572,0.531009,-0.467717,0.752288,0.270767,0.325196,-0.995221,-0.165698,-1.268121,0.081058,-0.684519,-0.028507,2.470189,1.001006,-1.067564,0.248317,-0.683123,-0.037986,-0.454851,1.653538,0.810282,1.482776,0.148367,-0.672445
polynomial,-0.865576,-0.90966,1.064204,0.197217,-0.395012,-2.524794,1.429761,-0.694514,0.167495,-0.528719,0.967335,0.249503,0.154188,-0.38114,-0.418822,-0.42319,0.232921,1.521491,-0.822305,2.073707,1.514877,-0.594047,-0.772939,-0.366166,-1.010081,-1.46745,0.045609,1.09457,0.196992,-0.155102,0.018329
algorithm,-0.081491,-0.67985,0.455186,-0.202279,-0.130273,-1.761556,1.259155,-0.801582,-0.742144,-0.744795,0.411772,1.18822,1.134017,-0.127578,-0.170262,-1.415398,0.821752,-0.231825,-0.720942,1.340272,0.55845,-1.276941,-1.048184,-1.322793,0.405592,-1.541928,-0.050587,0.451037,0.698265,-0.24535,-0.405109
mathematician,-0.951004,0.350062,-0.007967,-0.643928,1.245835,-0.799422,0.656355,-0.371488,0.402624,-0.66475,1.472783,0.461893,1.344426,0.536427,0.50117,0.099943,-1.301217,0.904391,0.611322,-0.465598,2.085195,0.728651,-0.668266,0.034864,0.723925,0.571265,-0.049089,2.170959,0.970717,-1.206304,-0.534728
definition,0.408252,-0.050934,1.162161,-0.27965,0.300585,-0.661616,1.015572,-1.305696,-0.577016,-0.927591,0.449199,0.157737,-0.241066,-0.859174,0.579097,-0.381308,0.623104,-0.960003,0.054399,1.190414,0.399505,-1.411031,0.592952,-0.459344,0.092885,-0.344256,0.4169,-0.035916,0.204574,0.044149,0.251325
product,1.402751,-0.914747,0.150713,0.131248,0.049794,0.385367,0.857139,-0.41027,0.118752,-0.584804,0.517653,0.826395,0.120806,-0.614607,0.095905,0.964137,-0.178442,-1.20403,-0.470705,0.083413,-1.623277,-2.114059,0.180429,-0.4917,0.199793,-1.597635,0.107144,0.644227,0.713095,1.081691,-0.159393
state,0.224043,0.528736,0.303512,0.534951,0.478346,-0.15144,0.369706,0.821573,-0.570365,-1.185529,0.304326,-0.81494,0.62894,-0.63522,-0.082378,0.478025,0.06036,-1.298074,0.078203,-0.013469,0.398697,-1.268488,0.200494,0.728054,0.253347,0.690919,-0.575433,-0.868222,-0.464612,0.470016,0.045331
sequence,0.346262,0.166063,0.935735,0.148086,1.062168,-1.449003,-0.341417,-0.574983,0.624863,-0.668461,0.494653,0.992173,-0.309745,-0.019516,0.112848,-1.217578,0.127108,-0.992414,-0.862882,2.187337,-0.368398,-0.291788,-0.339654,-0.669664,-0.03264,-0.74824,0.063115,-0.673196,0.313359,0.48839,-0.489189
distribution,0.093522,-1.523085,0.520497,-0.426555,-0.223604,-0.944888,0.07822,0.232791,0.01213,0.110627,0.250065,0.529348,-0.755727,-1.444871,0.407933,0.021133,0.843476,-1.735809,-0.539625,0.747705,0.07997,-1.592605,0.386002,-0.068983,0.089568,-0.340159,-0.000253,0.352017,1.077154,0.46366,-0.275362
variable,0.405074,-0.892621,0.960619,-0.186038,0.304312,-1.100707,0.429597,-1.233541,-0.327124,0.31996,0.584462,0.953952,-0.527581,-1.1171,-0.421642,-0.81391,0.260425,-0.994812,-0.138375,1.960985,1.110804,-1.206267,0.360565,-0.575977,-0.823237,-0.989012,0.156956,0.147128,1.252167,0.535027,-0.104841
solution,1.15673,-0.365603,0.140274,0.076942,-0.476389,-0.4243,0.394516,-0.852262,0.357525,-0.708909,0.495017,-0.180992,1.023784,-0.405897,-0.281899,0.402074,0.580055,-0.893537,-0.464936,0.732696,-0.045405,-1.958546,0.359916,-0.639149,-0.186614,-1.504206,0.222577,0.610182,0.710518,0.4891,-0.009766
square,-1.073056,0.029948,-0.163007,1.027506,-0.200365,0.296669,0.443619,1.232077,0.6859,-0.290324,0.455373,-0.271235,-0.082906,-1.272678,-0.561668,-0.677241,-0.488916,-0.200865,-0.287606,0.693643,-0.317938,-0.738597,-0.244456,0.537465,0.079267,1.134048,1.446484,0.046329,0.131996,0.806971,0.947399
map,-0.621093,-0.067343,0.653979,0.345243,-0.052311,-0.694666,0.136068,0.14426,0.539485,-0.317544,1.21512,0.267904,0.238085,-1.392262,-0.093523,-1.583216,0.932625,-1.24532,-1.013829,0.285433,-0.38219,-0.919812,0.406138,-0.508439,0.540853,0.525937,-0.029816,0.304069,0.4493,-1.073256,0.364282
class,0.683647,0.256638,0.87591,-0.23933,0.857953,0.285184,1.060847,0.09916,-0.585174,0.046961,0.150526,-0.154718,0.223067,-0.582017,-0.012581,-0.525506,-1.780106,-0.870332,-0.594531,-0.030822,0.096004,-0.559627,0.345233,0.678219,-0.959562,0.155816,-0.245276,-0.346433,0.151546,0.526316,-0.212512
integer,-0.865877,-1.1382,1.04917,0.883987,-0.129683,-2.457001,1.803505,-0.36205,-0.483451,-0.47869,0.671828,0.414276,0.299307,-0.046662,-0.886905,-0.825743,0.252579,0.133052,-0.611546,2.312503,0.382605,-0.863854,-0.144645,-1.165732,-1.430602,-0.410333,0.138431,0.690388,0.333926,0.737563,0.115665
mean,1.210623,-0.066165,0.425047,-0.381037,-0.571067,-1.018782,0.010519,-0.596972,-0.153606,-0.717243,0.293963,0.67149,-0.164844,-0.691594,0.066104,-0.306257,0.036162,-0.814878,0.376096,0.70365,-0.260613,-0.945669,0.143189,0.122056,-0.98765,0.715932,0.174851,-0.466257,-0.023884,0.712672,0.733527
proof,0.299727,-0.018013,-0.359961,0.105389,0.466604,-0.420572,0.630506,-1.384049,-0.370932,-0.464351,0.516049,0.03842,-0.064307,0.554622,0.020021,0.137732,0.498931,-0.389611,-0.00085,0.74235,0.011474,-1.175622,-0.044678,-0.661868,0.032262,-0.269733,0.281497,0.061622,-0.318476,0.301837,1.65302
