word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
method,-0.378563,0.129644,0.540709,0.263611,0.77118,-0.954339,0.77911,0.464099,0.019417,0.521253,2.18373,-0.691023,0.893923,0.972664,-0.855621,0.872285,0.488993,0.02381,0.720904,1.551667
finite,-0.17138,0.105635,0.03566,-0.105268,1.44522,0.018565,1.009746,1.274106,-0.593964,0.09715,3.226957,0.594,-0.312731,1.160176,-0.76301,0.935798,-2.323577,-0.557106,-0.00726,1.275559
result,-0.875811,0.404964,0.097928,-0.29223,0.050691,-0.609964,0.200535,0.368229,0.383278,-0.767564,1.784879,0.602786,-0.848397,0.296297,-0.241031,1.054667,1.484758,0.592113,0.671578,0.054465
vertex,0.345548,-0.499703,-0.717445,-0.156047,-0.293217,0.041871,0.1951,0.670773,0.014458,-0.731568,2.272594,-0.469886,-1.36394,1.620533,0.008711,0.10209,-2.633415,-1.30923,-0.37451,1.546665
term,0.021337,0.510449,0.070024,-0.746344,0.204105,-0.248497,0.455856,0.262285,-0.068742,0.102641,1.729283,-0.33767,0.023183,0.63465,-0.697719,1.427994,0.720918,0.488749,0.969632,0.219142
line,0.02908,-0.389423,-0.316637,-1.78993,0.374899,-1.147466,0.143958,0.154638,-0.260419,-1.082555,1.43142,0.425771,-0.495718,-0.139539,0.348451,-0.725579,0.391208,-0.423207,0.456997,0.048551
model,-0.522605,-0.815859,0.110534,-0.097312,0.81936,-0.556657,0.613739,0.963691,0.107629,0.293321,1.323787,-0.18066,0.415131,1.042983,-0.413943,0.036062,1.086872,-0.632631,0.396133,1.048133
real,0.074167,-0.176699,-0.705215,-0.756587,0.168004,-0.015138,0.930325,1.324723,0.435449,-0.42282,0.705024,-0.220377,0.0211,-0.423584,-1.15677,0.881298,0.953226,-0.023501,0.08676,0.325805
property,0.802758,0.39217,-0.161725,-1.481645,-0.017075,-0.939392,0.869928,0.349617,0.36436,0.960322,2.362453,0.358416,0.539048,0.451892,-0.044451,0.256635,0.294324,0.355088,0.590271,0.235454
geometry,-0.96959,-0.260529,0.353936,-0.716056,0.980027,-0.138917,-0.298565,0.830585,-0.375455,0.331854,1.988173,-0.351422,0.762851,1.206825,-0.461306,0.393002,-1.843524,-1.362704,-0.122488,1.939196
complex,0.012155,0.306352,-0.708801,-1.033992,0.275829,-1.302733,0.325045,0.299079,-0.156426,0.074774,1.328917,0.282283,0.303796,0.537849,-0.18471,0.669838,-0.068914,-1.070096,1.008295,1.284624
linear,-0.036807,0.190754,-0.251985,-0.076026,1.025745,-0.143488,-0.013584,1.383474,1.135765,-0.225849,2.768466,0.158604,-0.65296,1.695802,-1.121174,-0.438998,-0.717113,-1.570888,0.225916,1.568838
polynomial,-0.433534,0.416056,-0.257841,0.205604,0.698026,0.71722,1.346756,1.205816,-0.010924,0.527866,2.997044,0.893463,-0.627226,1.646671,-1.111778,0.641722,-2.763739,-0.179646,-1.536148,1.227802
algorithm,-0.870626,-0.630684,-0.398346,1.091379,0.885252,-0.352638,1.500701,0.97016,-0.102775,0.958351,2.535775,-0.438164,0.204856,0.982822,-1.297753,0.226189,-0.814767,-0.427057,-0.653588,0.903226
mathematician,-1.354476,-0.016718,0.300689,-0.698431,-0.008579,1.494065,-0.876067,-0.107023,-0.297918,1.587112,-0.483405,0.428809,1.604098,2.211751,-0.777331,0.864326,-0.616016,-0.412747,-1.48321,0.8224
definition,-0.26082,0.162356,-0.003571,-0.060324,0.910791,-0.020354,0.795433,0.955472,-0.274093,0.320698,2.285355,-0.796335,-0.348139,0.704245,-1.122567,0.924379,-0.295735,-0.002542,1.319532,0.503468
product,0.294156,-0.229572,-0.193701,-0.106518,1.257076,-0.994988,2.430908,0.632977,0.972352,0.066082,1.315299,-0.323502,0.655731,0.912849,0.126737,0.021586,1.312404,-0.041681,1.151894,0.850415
state,0.548847,0.107775,-0.017481,-1.464299,-0.643186,0.033834,-0.607546,0.63348,0.048749,0.344183,1.349659,-0.026692,-0.262634,0.304175,0.451493,1.316562,1.450311,-0.176803,0.937333,-0.934058
sequence,0.244828,0.342654,-0.107833,0.586061,0.947646,-0.999684,0.537211,1.180891,-0.730337,-0.749567,1.569869,-0.188364,-0.519964,0.633265,-1.581924,0.256027,-0.03282,-0.520024,0.102429,1.437903
distribution,0.286057,1.260836,-0.406734,0.12762,1.465482,-0.538944,0.896901,0.239951,0.730079,-0.32907,1.788555,-0.067787,0.094123,1.257387,-0.556637,-0.019194,0.714229,-0.478513,1.140191,-0.106629
variable,-0.422935,0.504142,-0.158154,0.829901,1.267923,-0.850578,0.732048,0.765106,0.18282,-0.526902,2.953594,-0.03915,-0.466456,1.284603,-1.2658,-0.026082,-0.256887,-0.291534,0.429686,1.237473
solution,-0.071102,-0.326652,-0.019111,0.166388,1.293575,-0.788969,1.083749,0.954439,0.867388,0.468821,2.160485,-0.015896,0.77508,0.340499,-0.235227,0.854198,0.298102,0.113511,0.935815,1.022987
square,0.780875,-0.345659,-0.158707,-2.159164,-0.320697,-0.20823,-0.125454,0.174566,0.532835,-0.439907,0.971697,0.219482,-1.136414,0.790319,0.251763,-1.222218,-0.22608,-1.094519,0.543312,0.428839
map,0.033329,0.296863,-1.225134,-1.053091,1.114296,-0.766765,-0.093555,0.610335,-0.607501,-0.028433,1.645835,-0.01215,0.452196,0.422318,-0.936133,-0.845866,-0.261184,-0.59471,0.982954,-0.423021
class,-0.586499,-0.462319,0.579974,-0.590373,-0.173219,-0.444027,0.302122,0.244872,-0.974298,-0.268599,0.791621,0.342722,-0.458665,1.204067,0.393204,0.058879,1.224443,-0.31068,0.500708,0.108821
integer,0.39408,-0.168409,0.057801,0.040449,1.116667,0.637982,1.224775,1.450014,-0.238753,-0.097261,2.981599,0.393481,-1.354371,1.9408,-0.963913,-0.172441,-2.093429,-0.237976,-0.527881,0.972847
mean,0.847244,0.104871,-0.144735,-0.655119,0.424728,-0.652778,0.539113,-0.250019,-0.296028,-0.604146,1.130308,0.311512,-0.896781,0.377978,-1.059109,0.817629,0.466431,0.458673,1.067735,0.836771
proof,0.224784,-0.353282,0.822807,0.084965,0.574095,0.186854,0.440619,0.365647,-0.157714,0.170498,1.967292,-0.694017,-0.020491,0.367875,-0.788075,0.474326,-0.579999,0.748818,0.050774,0.539814
three,-0.03602,-0.284806,0.095525,-1.39842,-0.297778,-0.632894,0.0189,0.108806,-0.56451,-1.080743,0.531406,0.330187,-0.621573,0.449469,-0.118759,0.092136,1.385612,-0.197301,0.092333,0.390441
dimensional,-0.219709,-0.699581,-0.0377,-0.114118,1.405125,-0.794527,0.083059,0.835098,-0.386832,-0.34572,2.286871,-0.564254,0.29427,0.842849,-0.960624,0.572919,-1.430963,-1.299112,0.137909,1.998689
zero,0.216472,-0.641108,-0.160193,0.270602,1.023756,-0.343896,0.303229,1.39661,0.276557,-0.879824,1.883595,0.407473,-0.606173,-0.053661,-0.68655,0.44743,0.160807,-0.217496,0.14862,0.790852
algebraic,-0.871583,0.631941,0.15921,-0.438653,1.161527,0.5653,0.810159,1.236832,-1.010656,0.633933,1.986711,0.023684,0.472879,1.401489,-0.554848,1.196484,-2.790706,-1.119842,-0.289303,1.554443
formula,-1.417458,-0.11759,0.041273,0.052217,0.994597,0.431698,1.310481,0.875365,0.482571,-0.657651,1.142419,0.716173,-0.43706,1.178733,-0.685907,0.23731,0.007393,0.302156,-0.398185,0.949296
ring,0.404646,-0.172225,-0.273302,-0.667355,0.493031,-0.82085,0.357629,0.286805,-0.370211,-1.78236,0.60749,0.407238,-0.154375,0.048215,-0.107436,0.553245,-0.100623,-0.469942,-0.506199,1.219122
edge,0.187062,0.085868,-0.540861,-1.112875,0.45417,-1.237003,0.286314,-0.436577,0.002418,-1.431462,1.349204,-0.264751,-0.791902,0.087235,-0.212172,0.153805,-0.090104,-1.548308,-0.106329,0.652079
sum,0.869426,-0.257897,0.683861,-0.502678,0.266631,0.34402,1.29115,0.922697,0.498548,0.28063,1.824451,0.866561,-1.228886,0.598505,-0.395402,0.325367,-0.397669,0.66685,0.15326,0.769221
