word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
finite,-0.424111,-2.113917,-0.074794,-1.483626,-0.427868,0.098914,1.399185,-0.060264,1.419041,-1.946023,-0.280614,0.070428,-0.475596,0.54688,1.03536,-0.144269,0.349952,-0.800355,0.919381
result,0.98938,-1.318395,0.021709,0.40218,-0.674012,-0.210598,-0.01021,-0.119278,-0.309188,-1.074558,-0.67434,0.26748,-0.311292,0.052075,0.259364,-1.729893,0.683527,0.648928,-1.215312
vertex,-0.478554,-1.490908,-0.467812,-0.267173,0.483082,-0.766869,1.311658,0.647739,1.08951,-1.917752,-0.765362,1.142254,-0.854994,-0.098997,0.902487,0.955545,0.092027,-0.883429,1.050586
term,0.446133,-2.283929,-0.056233,0.197007,-0.607642,0.085192,0.071902,-0.392477,0.161869,-0.136468,-0.446961,-0.141207,0.283979,0.074875,0.090214,-1.29172,0.609242,-0.5905,-0.515712
line,-0.541166,-1.125532,-0.038572,-0.030789,-0.591208,-0.136041,-0.882588,1.853743,-0.809368,-0.746653,-0.453987,0.821663,-0.388942,-0.568423,0.065272,-0.235626,0.655773,0.339656,-0.73049
model,0.21564,-1.634804,0.247303,-1.407548,0.672022,0.333657,-0.367331,0.175014,-0.25413,-1.52428,0.097585,-0.356971,0.439768,0.664562,0.691115,-0.308924,-0.075172,-0.131912,-0.863577
real,0.164053,-1.605067,-0.085376,-0.204214,0.103774,0.256476,-1.204215,-0.434631,0.153973,-0.18701,0.234595,-0.123323,-0.949978,0.749195,-0.119475,-0.561003,-0.113561,0.675497,-0.396381
property,-0.808873,-2.160362,-0.03393,-0.276829,-0.25517,-0.416435,-0.000944,0.065187,0.222241,0.035093,-0.054745,0.944365,1.048698,0.311414,-0.399683,-0.601862,1.131026,-0.196689,-1.030845
geometry,-0.436547,-1.912106,0.536871,-1.170665,0.419896,0.390657,1.628201,1.129527,0.702706,-1.531895,0.035016,-0.703297,0.288321,0.557659,1.137131,0.630224,0.303612,-0.256972,0.626639
complex,-0.197184,-2.356064,-0.483254,-0.803338,-0.145098,-0.404932,0.479257,1.099075,0.251291,-0.480505,-0.138343,-0.276934,0.119387,-0.13757,-0.480232,0.19012,0.581201,0.253505,-0.6803
linear,-0.105213,-2.338404,-0.185743,-0.932638,0.70585,-0.095716,1.086683,-0.125242,0.050459,-3.093527,0.612951,0.786111,-0.273162,-0.433975,0.658088,0.570245,0.360679,-0.377384,0.085261
polynomial,-0.471762,-1.362597,1.13132,-1.498045,0.559617,-0.247907,2.14075,-1.004675,1.447816,-1.556524,-0.564306,0.855656,-0.944464,0.918332,1.042013,0.351296,0.499301,-1.150713,1.543714
algorithm,-0.649697,-1.754128,-0.336959,-1.604984,0.699066,-0.181122,0.499447,-0.520625,1.199458,-1.444651,-1.196656,-0.079991,0.253422,1.052807,1.380762,-0.1389,0.039404,-0.348522,0.466111
mathematician,1.153727,-0.124533,1.573247,-1.007686,1.415304,1.304604,2.224984,-0.784121,-1.111432,1.041443,0.992685,-0.823536,0.682268,0.949881,0.515517,0.954989,0.181853,-0.694092,0.476225
definition,-0.313133,-2.481985,-0.254032,-0.154905,-0.790361,0.113726,0.145722,-0.745088,0.675354,-1.429783,-0.396555,-0.439486,0.592417,0.156285,0.779298,-0.800347,-0.14596,-0.617557,0.169586
product,-0.093582,-1.87037,-0.111112,-0.821631,0.639084,-0.14837,-1.483516,-0.239727,0.725354,-1.501542,-0.728341,-0.227256,1.280156,0.56791,-1.249656,-0.395942,-0.225739,-0.352719,-1.74136
state,-0.058928,-1.767957,-0.595206,1.147755,-0.538444,-0.650192,-0.089947,-0.192677,-1.546151,0.416102,0.246334,0.223604,0.040519,0.360887,0.03047,-1.128347,0.566694,-0.218207,-0.910795
sequence,-0.549526,-1.731682,-0.832893,-0.918885,0.303185,0.448384,0.161492,0.077536,1.165489,-1.490324,-0.432366,-0.280064,-0.868391,-0.775917,0.978633,-0.320149,-0.017669,-0.162485,-0.528827
distribution,0.10797,-1.577725,-1.049891,-0.414444,-0.411207,0.535014,-0.24191,-0.531033,0.272973,-2.037915,-0.417666,0.028794,0.92626,-0.115827,-0.81273,-0.404318,1.125443,-0.641206,-0.469126
variable,-0.093259,-1.916862,-0.576402,-1.459648,-0.086678,0.33964,0.568703,-0.073191,1.15012,-2.669933,-0.598995,0.335713,0.204857,-0.204831,0.992547,-0.767144,0.602554,-0.569572,-0.104829
