word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
form,0.731788,0.235894,-0.173597,-0.564457,-0.334227,-0.798262,-0.869262,-0.062941,0.177998,-0.50864,-0.731384,-1.460107,0.208474,-0.074745,0.739138,0.516753,0.087007,-0.470218,-0.327006,0.806411,0.78701,-0.8461,-0.544417,0.254163,-0.657457,-0.131285,0.858122,-0.220143,-0.672785,-0.096384,1.036895,0.017478,0.580971,-1.354449,2.041254,0.768482,-0.906593,-0.189378,-0.65135,0.168119,-1.548168,1.287593,0.240168,-0.628368,-0.174548,0.780877,0.188449,0.486721,-0.18413,0.39825
define,0.128862,1.045266,-0.362055,-0.706705,-0.567628,-1.056326,-0.232144,-0.145274,-0.045502,-0.283838,-0.516692,-0.894478,0.089364,0.701479,0.767096,0.675426,0.156274,-0.094275,0.188958,0.530172,0.186752,-1.007002,0.121388,0.045757,-0.307786,-0.465679,-0.162935,-0.707972,-0.58738,-0.548342,1.872491,0.227535,0.168123,-1.314275,2.288885,0.432833,-0.542606,-0.069781,-0.575879,0.150874,-0.9891,1.563634,0.119307,-0.927083,-0.167508,0.184691,0.420861,-0.141464,-1.083014,0.107364
graph,-1.442101,-0.414097,0.083182,0.489749,0.021678,-0.692875,-0.281416,-0.222334,0.835459,-0.826516,-0.665445,-0.535849,-0.070345,0.418118,-0.584205,1.062067,0.211383,-0.490124,-1.328563,0.08641,0.573696,-1.113641,-0.831319,1.014177,-2.009193,-1.128735,0.837891,-0.4401,-0.601087,1.908217,1.976899,1.558381,0.952884,-2.270417,2.404376,0.147185,0.554307,0.598485,-0.158764,0.328159,-0.727316,0.204366,-1.07313,-0.439671,0.7933,-0.599291,0.386666,-0.766301,0.762809,-0.016312
value,-0.649298,1.231329,0.379062,-0.933871,0.008284,-1.016008,-0.477114,0.15152,-0.835543,-0.695725,-0.662862,-0.498498,0.463167,-0.037414,0.367563,0.555146,0.463905,-0.100329,0.538451,1.227646,0.525316,-1.350195,0.526149,-0.147301,0.705016,-0.819741,0.929625,-0.940913,-0.407171,-0.453314,0.408267,-0.773352,-0.667169,-2.49324,2.111541,0.536173,-0.129927,-0.186766,-0.391922,0.065746,-0.565927,1.358752,0.121813,-0.478712,-0.329328,0.334834,-0.398589,-0.462654,-0.334202,-0.844409
problem,-0.949255,-0.065462,-0.463277,-0.292555,0.152389,-1.663371,0.243755,-0.541931,-0.610952,-0.436541,-0.900195,-0.16516,-0.617054,0.485694,0.20096,0.721088,0.315321,-1.168637,-0.805575,1.474947,-0.097265,-1.818015,-1.072435,-0.230204,-0.537977,-1.971103,0.101746,0.487667,-0.402394,0.974949,0.989407,0.320194,0.862509,-2.289041,1.01682,-0.284494,0.439636,0.186908,0.230388,-1.635729,-0.363668,1.176661,-0.134212,0.887133,-0.400609,1.170704,-0.094806,0.023993,0.091079,-0.09542
mathematic,1.156749,1.010284,-1.117387,-1.20401,0.288901,-0.639342,-0.020272,-0.574411,-0.445169,-0.665817,0.229597,-1.095393,-0.035084,-0.052915,-0.08925,0.469355,-0.207985,-1.732833,-1.263977,1.399418,-0.177132,-1.365748,-0.462628,-0.292903,0.508874,0.179342,0.078362,0.384924,0.497034,1.50057,1.748262,-0.742865,0.284864,-0.381385,1.064495,0.025459,-0.444781,0.313777,0.489622,-0.032703,-0.672321,0.988083,0.373108,0.199554,0.649026,-0.583215,-1.224252,-0.475686,0.712943,-0.356206
order,0.597455,0.603708,-0.356424,0.081587,-0.12387,-0.770873,0.565884,-0.882864,0.279774,-0.295758,0.176439,-0.873242,-0.26488,-0.270369,-0.084792,0.774986,0.238012,0.094041,0.044313,1.283315,-0.418092,-1.594365,-0.050932,0.817178,-1.492206,0.168437,0.423917,0.401353,0.197719,0.03045,1.660186,-0.257544,-0.858014,-1.814864,2.520385,-0.772161,-0.029281,0.7383,-0.178914,0.390214,-1.244235,0.477883,1.31722,-1.098678,-0.262846,0.360598,0.679072,-0.027674,-0.741737,0.300159
equation,1.295924,1.002141,-0.745807,-0.112516,-0.689653,-0.624895,-0.019527,-0.667615,-0.023163,-0.34686,-0.778842,-0.644653,0.794475,-0.319571,2.93671,0.048992,0.393292,0.157724,-0.537977,1.451521,1.044426,-1.414106,-0.959685,0.07189,-0.03526,-1.262177,0.815846,-0.346108,-0.190874,-0.471849,1.046506,-0.372852,0.074892,-1.739704,1.08787,-0.107122,0.068478,1.146988,0.344857,-1.780308,-1.041835,1.238511,-0.495559,0.709522,-0.612429,1.022184,-0.299161,0.263846,-1.03532,0.467506
first,0.863048,0.735524,-0.136614,-0.716556,0.377452,-0.97089,-0.325241,-0.708788,-0.861548,-0.274807,0.004305,-0.615948,-0.202388,-0.000764,0.070485,0.242366,0.114716,-0.753555,-0.622409,0.609427,0.617523,-1.933716,0.245771,-0.006125,-0.281297,-0.035834,0.844677,0.171217,0.003537,0.367546,1.402759,-0.336698,-0.272977,-0.997309,2.160974,0.201125,0.437343,0.41364,-0.480866,0.10105,-0.444086,0.708702,0.871406,0.338706,0.05964,0.675465,-0.31145,-0.035708,-0.488935,0.723214
vector,0.66879,0.88175,-0.363607,-0.646084,-0.354405,-0.086231,-0.343538,0.339151,0.135179,-0.340252,-1.031417,-1.007376,-0.399626,-0.560255,1.723967,0.096315,0.348095,-0.475667,0.212674,-0.179508,0.559199,-1.861751,0.246921,-0.614587,-0.437225,-0.416573,0.18244,-1.374836,-0.489354,-1.153998,1.225329,-0.107083,-0.044093,-1.846694,0.925063,0.525137,-1.49953,-0.644386,-1.905319,0.397853,-1.257107,2.141504,-0.847929,-0.081921,-0.224169,0.085428,0.436495,-0.812801,-0.493439,-0.06159
