word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
number,0.756762,-1.570148,0.357539,0.894425,-0.69045,1.482201,0.849309,2.178508,-0.577597,-0.574098,-1.820969,0.009004,0.008201,-0.230401,1.450893,-0.63526,1.495923,-0.403281,0.618921,0.172781,2.682075,-1.767493,-0.433701,-0.531074,-1.288801,0.642412,-0.726721,0.153298,-0.370349,0.174858,0.2876
function,-0.568954,-2.059901,0.040481,2.073139,0.389245,2.019508,-0.19765,0.777544,-0.144275,-0.861851,-0.905649,-0.730069,-1.709908,-1.443261,2.13165,0.04315,2.303438,0.931593,-0.313249,0.933777,1.351854,-0.47302,-0.822873,0.359625,0.149507,-0.171654,-1.029967,-0.451189,-1.158938,-0.248614,0.070554
one,0.36157,-1.666534,0.617312,1.011277,-0.488012,1.056072,-0.198604,1.726675,0.041355,0.155126,-1.475934,-0.119864,-0.17823,-0.15245,1.710392,0.431711,1.821766,-0.158537,0.01197,0.415579,1.227586,0.461836,0.906875,-0.243952,-1.480751,-0.185628,-1.296308,0.811363,-0.579208,0.119997,0.163881
set,-0.586424,-0.958764,0.256817,1.783446,-0.981101,1.345211,0.830599,1.575375,-0.261861,0.02743,-0.775811,0.740804,-0.821654,0.374012,1.953293,0.416294,2.873389,-0.256915,1.140824,1.235032,0.827121,-0.258151,-0.566321,-1.162437,-0.825087,0.903162,-1.743463,0.341355,0.552234,-0.136673,-0.130526
group,0.683918,-1.311472,0.252348,0.18204,0.322714,-0.520555,0.802908,2.15029,1.543169,1.451654,-1.156516,0.38112,-0.818456,0.043769,1.137211,-0.398206,2.949047,-0.822223,-0.194665,-1.603569,1.814256,-0.149792,0.676662,-0.936248,0.744066,0.065384,-1.815268,-0.325727,-0.490286,-0.319283,1.149142
space,-0.341028,-2.165632,0.162818,1.8377,-0.682767,0.986755,0.51421,1.010112,2.067658,1.45406,-0.573046,0.945261,-1.18158,-0.171425,1.834599,0.781816,2.148751,-0.229473,-1.453262,-0.119385,0.923829,0.853449,-0.42709,-0.97064,-0.607798,-0.230966,-1.490369,-0.057236,0.5968,-0.359978,-0.206347
two,0.559791,-1.758093,0.300943,1.213784,-0.073701,0.638161,0.1223,1.361323,0.241652,0.1467,-1.569659,0.232673,0.111974,-0.089476,2.013775,0.519835,1.707484,-0.597207,0.428434,-0.017553,1.057402,0.725496,0.689243,0.171841,-1.722656,0.056825,-1.345024,0.72649,-0.443799,0.497088,0.774423
theory,-0.047762,-2.543491,0.71872,0.896142,-0.787943,-0.297713,-0.540754,2.031337,0.479103,0.011697,0.2575,0.135034,-1.022457,1.32165,0.720124,0.135164,2.436526,1.311404,0.100365,-0.259341,1.803334,-0.784059,-0.250115,-0.967875,0.260917,0.98412,-0.998202,-0.871498,-0.026569,0.126356,0.078327
point,-0.393632,-2.354096,0.56276,0.677891,0.515786,0.848341,-0.058101,1.241912,0.211249,1.240498,-1.248821,0.216305,0.057227,0.323202,1.922918,0.676355,1.924558,-1.499586,0.035163,1.144845,0.704136,0.270287,-1.067108,-0.614975,-1.780905,-0.510725,-0.661414,0.337973,-0.7886,0.667761,0.579278
theorem,-1.115053,-1.520042,1.309132,-0.111127,0.637126,0.429355,-0.246707,2.055522,0.701427,0.024525,0.44281,0.174795,-1.679474,1.135848,0.739093,-0.419566,2.120231,-0.121258,0.071723,-0.017485,2.263081,-0.179772,-0.991483,1.441499,-1.992758,0.484,-1.761065,-0.729582,-0.353659,-0.784628,-0.64343
example,0.042329,-1.655696,0.956986,0.642477,0.059432,0.534746,0.185141,1.562547,0.56742,-0.448834,-1.41324,-0.102568,-0.557399,-0.188566,1.077298,0.009792,1.684008,0.146318,-0.401589,0.468904,1.289553,-0.065704,0.094203,-0.564475,-0.476987,0.154095,-1.354874,1.095292,-0.366601,0.01016,0.30917
