word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
value,0.07284,-1.411182,-0.526834,0.13017,-0.818061,0.250447,-0.216467,-0.561775,-0.026303,-0.502836,-0.039008,1.359827,-0.016401,0.740413,0.803646,-0.824171,0.464955,0.303575,1.304638,-0.656601,-0.816017,2.767876,-0.256208,-2.075006,0.495116,0.425778,0.06205,0.474989,-0.099129,0.007413,-1.681252,-0.041735,1.281527,-0.361707,0.317375,0.800494,-0.327052,0.052438
problem,-0.097385,0.125759,-0.328957,0.583744,-0.390579,0.27426,-1.70005,0.000735,0.079909,-0.110033,0.035223,1.074815,0.995236,0.717115,-0.821498,-1.145171,0.321151,1.147813,0.551973,-0.15726,0.274688,2.600332,1.004143,-2.622557,-0.368605,-0.593683,-1.533537,0.171705,-0.12379,-0.372344,0.252486,-1.445932,-0.435987,-1.586026,0.330106,0.288119,-0.158767,0.149627
mathematic,-0.151015,0.399307,-0.232031,-0.261485,-1.169454,0.201718,0.011099,0.940857,0.625909,-0.73429,-0.95517,0.517954,0.735916,0.179126,0.407516,-0.3932,-0.144373,-0.169467,-0.589763,-0.296399,0.522726,3.815031,0.506022,-0.21102,-0.942317,-0.28283,-0.455613,-1.00144,-1.211403,0.549156,-0.187126,-0.321523,0.141935,-1.359841,-0.14735,0.903926,0.699358,0.752883
order,-0.359415,-0.020847,0.219674,0.518288,0.947523,0.008927,-1.20066,0.427535,-1.0179,-0.375005,0.160558,0.62922,-0.550158,0.574587,-0.038478,0.073388,0.738974,0.25612,0.4043,0.727564,0.186435,3.517801,-0.231258,-1.873524,0.63446,1.262958,0.118227,0.305861,-0.304359,0.055983,-1.727044,-0.107517,-0.536568,0.16866,0.494778,-0.522498,0.727933,0.622507
equation,0.483432,0.393788,-0.001675,1.231858,-0.604377,1.361338,-1.727092,0.233352,0.842511,0.687714,-0.108902,0.053753,-0.266843,0.517858,-1.495721,-1.469333,0.288388,-0.411319,1.113709,0.112169,-1.460092,2.641597,-0.759805,-1.403367,-0.814404,1.242762,-0.391884,1.081681,-0.346639,0.211082,-1.230943,-0.777563,0.42498,-1.738708,-0.14762,-0.070681,-0.535652,0.464993
first,-0.058756,0.091844,-0.359263,0.081881,0.259141,-0.194339,-0.338912,-0.093226,-0.411498,-0.260991,-0.832468,1.265266,-0.052655,-0.166881,-0.097478,0.022117,-0.060439,0.454338,0.347807,-0.356463,-0.436347,3.40929,-0.166655,-1.797397,-1.006229,0.685391,-0.252783,-0.101539,-0.53296,-0.374327,-0.804646,-0.052751,0.297946,-0.573331,-0.215876,0.542921,0.100954,1.314937
vector,-0.062505,-0.136402,-0.42583,-0.462479,-0.584992,0.483906,0.405108,0.830878,0.712008,1.21506,-1.015972,1.499987,1.480789,0.77183,-0.421602,-1.479843,0.351747,-0.557409,0.897206,0.803185,-0.954266,2.71719,-1.001833,-1.359292,0.955553,1.116606,0.877992,0.886752,-0.551087,-0.749309,-1.910033,-0.541584,1.11568,-0.014761,-0.277471,-0.030482,-0.097558,-0.309407
algebra,0.315324,0.474568,0.871045,-1.26417,-0.200737,-0.227395,0.203265,1.35436,-0.161684,-0.178785,-1.63995,0.343635,1.706431,1.214783,-0.771129,-0.719105,-0.262369,-1.265371,-0.912127,0.141688,0.278239,3.204491,0.008175,-0.596015,0.216354,0.651187,0.316949,0.865914,0.04075,1.088622,-1.287785,-0.749043,0.440228,-1.596112,0.182265,-0.357493,0.522666,0.677814
$\mathbb{N}$,0.24191,-0.45733,0.475219,1.194418,0.523712,-0.375429,1.442459,-1.09088,-0.025556,-0.564076,-0.267826,0.951871,0.960889,1.560574,0.25574,-0.365882,1.166718,0.169018,0.584981,-0.421738,0.47837,2.695256,-1.044939,-2.025167,0.932919,0.570223,0.168754,0.957302,0.351891,0.037691,-0.937757,-0.672519,0.327254,0.403564,0.684343,0.602595,0.076511,0.482858
field,-0.205977,-0.217479,0.542036,0.221844,-0.486855,0.391551,-0.585259,1.396958,1.218894,0.007854,-0.33226,-0.010181,0.973207,1.406313,-0.036629,-1.110631,0.525285,-0.616583,-0.349012,1.230993,-0.987656,3.229656,-0.694798,-1.293616,-0.360484,-0.126808,0.344866,0.171731,0.567712,-0.03735,-1.022232,-1.124011,1.205517,-0.382428,-0.264136,0.564401,0.433561,0.683188
