word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
graph,-0.759193,0.519862,-2.278706,-0.051738,-1.079478,-1.434842,0.060211,0.084947,0.750571,-0.259822,0.384267,-1.992762,-0.75956,0.878008,0.448794,-1.078315,-0.913732,0.271093,-0.213596,-0.536349,1.124596,-1.698092,-1.29408,-0.419927,-0.067913,-0.86879,-1.046275,1.047285,0.116352,0.610956,0.594832,-0.122337,0.655784,0.391134,0.372529,-1.932968,1.876843,-0.733596,1.3753,0.56113
value,0.648721,-0.748927,-1.646057,0.029992,-0.787256,-0.558993,-0.474131,0.37494,0.081785,-0.24718,-0.019953,-2.124301,-0.676824,0.990209,1.044223,0.179292,-1.787391,-0.336469,0.777902,-0.128613,0.239863,0.319978,0.011812,-0.194057,1.355201,-1.521406,0.378411,-0.445643,0.05292,-0.283229,-0.494898,-0.667795,1.313094,0.530958,-0.816013,-0.086379,0.780345,-0.200878,-1.986624,0.18638
problem,-0.299839,0.274233,-1.267322,-1.174061,-0.971797,-2.550359,-0.184397,-0.074955,0.221199,0.438687,0.017604,-0.566663,-1.39921,0.764486,0.311528,-0.221356,-1.119582,-1.28129,-0.569046,0.128867,-0.193823,-0.563939,-0.671231,-0.269942,-0.164148,-1.829857,-1.713743,-0.549042,0.305203,0.892066,0.223869,-1.278394,0.77406,0.035725,-1.158685,-1.200941,0.725667,0.240707,-0.500281,1.044513
mathematic,-1.337975,0.656422,-0.111322,-0.867973,-0.08489,-1.960654,0.396471,1.790323,1.217508,-0.114722,0.789816,0.861566,-0.464052,1.378259,-0.84888,-0.620823,-1.772253,-0.555285,0.177784,-0.180878,0.503907,0.238074,-0.136485,0.751608,-0.307784,-1.235183,-0.076344,-0.085111,-0.512417,0.218795,-0.237034,0.177485,1.128024,1.017382,0.02452,-0.859828,0.920091,0.254153,-1.776105,-0.32451
order,-0.490867,0.403947,-1.836144,-0.246943,-0.930954,-0.538902,-0.494208,0.340434,0.357703,-0.188455,0.476466,-0.620659,-2.073415,0.998733,0.200411,-0.890162,-1.746746,-0.280292,0.719523,-0.98911,0.994151,-0.496154,-0.413232,-0.456319,0.851799,-1.937231,0.882639,0.362873,-0.602738,0.846921,0.575501,-0.429304,-0.021123,1.366504,-0.565205,1.000177,0.779068,0.117737,-0.046722,1.092436
equation,-0.6947,-0.843478,-0.827532,-0.085061,0.279594,-1.650922,-0.291833,0.457047,-0.17792,0.386088,0.173012,0.236125,-1.454896,0.737998,0.981908,1.301417,-1.111129,0.053669,0.602009,0.133625,-0.781525,-0.42345,-1.527587,0.03308,0.300258,-1.854662,-0.534834,0.523592,-0.665111,1.10781,-0.108041,-0.869364,1.772678,-0.029534,-3.250657,0.331625,0.421441,-0.443835,-1.075349,0.675324
first,0.085451,-0.035339,-0.468327,-0.547737,-0.593633,-1.532983,-0.216603,1.231197,0.594856,0.600825,0.298932,-0.447657,-0.794855,1.143065,-0.140389,-0.521373,-1.453314,-0.535347,1.149821,-0.055629,0.666362,-0.103848,0.170219,-0.257001,0.383045,-2.157196,-0.018841,-0.315379,-0.319829,0.234716,-0.033153,-0.664946,0.873528,0.729211,-0.872896,0.397106,1.255307,-0.168997,-0.597661,0.041655
vector,-0.794826,-1.844044,-2.406441,1.399968,-0.165195,-0.144634,-1.136712,1.043536,0.373429,-0.626596,1.139877,-0.611915,-0.548851,0.377852,-0.115367,0.737841,-0.761763,0.048501,-0.294898,0.213901,0.795944,-0.038571,0.244459,0.49023,1.045766,-1.803996,0.611971,-0.650982,-0.427099,0.085661,-0.404249,-0.617785,1.306311,0.214426,-1.346782,0.632537,1.342223,-1.400431,-0.561997,0.675584
algebra,-1.24846,-1.156236,-1.328168,-0.778038,0.879874,-0.302983,-0.213492,1.606086,1.702485,-0.971543,0.414299,1.062983,-1.445683,-0.041011,-0.435395,-0.727547,-0.23497,-0.300405,-0.381901,-0.858668,0.525049,0.257686,-0.104977,0.064865,0.832676,-2.00594,-0.264471,-0.30088,-0.823416,0.058248,0.291033,1.116666,1.070244,1.735343,-1.336993,-0.533636,1.705613,-1.257457,-0.444224,0.044944
$\mathbb{N}$,0.149673,-1.142621,-2.875871,-0.355467,-1.640062,0.064918,-0.342164,-0.148822,0.519996,-0.640346,-0.378855,-0.803718,0.182976,1.268431,0.438802,0.004522,-0.907301,0.299305,0.849011,-0.43037,-0.017309,-0.864405,0.31014,-0.26877,0.347773,-1.374593,0.236184,-0.090954,-0.183738,0.022714,-0.843229,-1.071404,-0.142447,1.867085,-0.229877,0.291319,1.964582,-0.365065,-0.568623,0.010035
