word,1,2,3,4,5,6,7,8,9,10,11
square,-0.986459,-0.085983,-0.429919,2.620908,-0.56853,2.158422,0.846933,-0.574697,0.93594,0.804936,2.429544
map,-1.303374,-3.249156,-0.226152,0.196087,-0.874181,1.21598,0.121899,-0.690995,-0.504761,1.674668,1.12101
class,0.55608,-2.42179,0.161702,0.413134,-0.416415,2.190009,-0.391439,0.465906,-0.280262,1.569438,1.070077
integer,0.461243,-1.519764,-0.992924,2.746993,-0.374207,2.064095,0.151915,-0.492844,0.836214,1.690886,1.592603
mean,0.098808,-1.128212,-0.037835,1.550674,-1.252999,1.500706,0.747381,-1.058613,-0.05196,2.017737,1.398095
proof,0.547727,-0.767394,-0.696701,1.379939,-0.876844,2.894146,-1.725498,-0.573585,0.138081,1.842264,-0.032809
three,-0.801726,-0.697628,0.428967,1.103804,-1.637104,2.259894,-0.664819,-0.112236,0.236733,0.868577,2.797355
dimensional,-2.026344,-2.329232,0.092302,0.742285,-0.4873,2.729163,0.366579,0.189134,0.265027,0.811417,1.600143
zero,-0.365123,-1.457693,-0.414745,1.818148,-0.935261,1.17451,0.436034,-1.286313,-0.092573,2.299689,1.789723
algebraic,-0.243894,-2.307343,-0.257739,-0.014259,0.395209,3.390977,-1.149568,-0.331089,-0.400879,0.980127,0.637286
formula,0.012938,-0.825391,-1.363857,2.139414,-0.118827,2.29083,-0.437155,-1.776008,-0.379793,1.716765,0.635333
ring,0.379711,-2.885095,-1.080718,0.773799,0.55014,1.783897,-0.644641,0.289234,-1.108086,1.178415,1.577299
edge,-1.426031,-1.197007,1.048231,1.716581,-1.87736,1.086698,0.352034,1.482294,1.262567,0.985117,2.816715
sum,0.091881,-1.107959,-0.722658,2.439259,-0.158989,1.691144,0.628308,-0.836232,0.243866,1.877023,1.935775
plane,-2.740842,-1.783994,-0.216649,0.853707,-1.113455,1.806329,-0.947956,-0.409344,0.208199,0.493938,2.101698
analysis,0.698636,-1.02101,0.979842,-0.343702,-0.575197,3.76154,0.484562,-1.334001,0.454399,1.144361,-0.540793
dimension,-1.65049,-2.018282,0.029029,1.19004,-0.58175,2.259427,-0.278454,0.108835,0.378928,0.872166,1.53262
curve,-2.463845,-1.191696,0.101769,0.678579,-0.688565,1.664672,-0.218052,-0.59118,0.203412,1.321869,0.826174
type,0.187605,-1.937346,-0.340501,1.054158,-0.862324,2.582371,0.407352,-0.13374,0.051489,0.900548,0.679104
operator,-0.246114,-2.442016,-0.4654,0.384753,0.672006,2.017741,0.99178,-1.51987,-0.532966,1.508528,0.602092
prove,0.137251,-0.586371,-0.328819,1.41273,-0.054574,2.231531,-2.168237,-0.263795,0.162868,2.789876,0.135773
probability,1.303326,-0.537386,0.70215,1.041672,-0.77828,1.880478,1.091733,-1.385622,0.481327,2.551997,0.510275
structure,-0.432182,-2.573172,-0.109114,0.084313,-1.049254,2.854541,0.258125,0.360815,-0.841185,0.916908,0.642211
representation,-0.450378,-2.248122,-0.787698,0.865393,0.043826,2.699216,0.19828,-0.365989,-0.518114,0.627688,0.876218
series,0.548784,-0.745554,-0.082423,1.138685,0.166044,2.602948,0.142517,-1.580344,0.82037,1.023667,0.902051
