word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
value,0.18613,-0.224625,-0.463793,-0.281119,1.052533,0.551912,0.218757,-0.802895,0.600029,-0.367715,0.405997,0.363096,0.941118,0.154496,-1.725212,1.794924,0.032434,-0.69892,-0.412191,0.292344,-0.310106,0.626495,0.42299,-0.195393,0.754296,-0.506726,0.241331,-0.016719,0.301781,0.316854,-2.096167,-0.641119,-0.255546,-0.715663,-0.193376,0.478342,-0.441515,0.613754
problem,0.17302,-0.366307,0.077656,-0.671139,0.955808,-0.317769,0.263343,-1.020297,1.442445,-0.468109,0.252204,0.364632,-0.570006,-0.466211,-0.07985,1.588794,-0.505231,0.678735,-0.402499,-0.003322,0.098589,0.572826,-0.243204,0.433887,-0.072573,-0.299548,0.624861,0.23021,0.249481,0.376222,-0.990442,-0.652758,0.256131,-0.417132,-0.211644,0.37127,-0.881508,0.747343
mathematic,0.377085,-0.688369,-0.791429,-0.901499,0.453137,0.502956,-0.715863,-1.130846,0.47488,0.80276,-0.452675,1.933866,0.477095,0.957378,-0.309823,0.246995,0.817068,0.183773,-0.487693,-0.371406,-0.532032,-0.184049,-0.339968,0.176001,-0.184938,-0.334969,1.223471,0.339765,-0.490824,0.050359,-0.931551,-0.301468,-0.839996,0.296017,-0.898421,0.480801,-0.86806,2.395356
order,-1.016734,-0.387122,-0.226702,-0.151798,0.549563,-0.062364,-0.167778,-0.432263,1.04203,0.096442,0.347395,-0.062949,0.704268,0.139429,0.268478,1.274603,-0.863281,-0.387116,-0.478367,0.620231,0.034488,0.037441,-0.559091,-0.427575,1.304507,-0.112171,0.152168,-0.102013,-0.199863,0.655812,-0.208077,0.478682,0.098352,-0.126002,0.404443,0.179954,-0.403732,-0.21323
equation,1.009348,-0.532639,-0.259642,-0.886056,-0.245161,0.311453,-0.33603,-1.616716,-0.209012,-0.423434,0.223419,1.436867,-0.410681,-1.194164,-0.969766,1.708316,-0.193948,0.361321,-0.90459,0.977659,-0.462111,0.590285,-1.118387,0.353864,0.787624,-0.042079,1.2978,-0.011689,0.937736,-1.035793,-2.269547,0.239399,-0.903688,-0.384286,-0.868365,-0.582058,-0.22659,2.505737
first,0.01608,0.483816,0.235784,0.259278,0.606833,-0.306769,-0.303901,-0.545304,0.838158,-0.304612,0.182738,1.005368,0.662841,0.380414,0.578051,0.578021,-0.410765,-0.211213,0.228451,0.581159,-0.48558,-0.613861,-0.347252,0.214161,0.289428,-0.206184,-0.195248,-0.213957,-0.469557,0.34761,0.359123,0.263088,-0.411418,0.574732,-0.169373,0.304884,-0.705553,-0.588212
vector,1.046237,0.425746,-0.167056,-1.580639,-0.523423,0.159683,-0.462785,-0.819785,0.737137,-0.208676,0.553613,0.371779,0.274207,-1.073704,-0.940177,1.633546,-0.305309,0.541836,-0.575797,0.193459,0.278826,0.346006,-0.472377,0.023756,1.251354,0.425702,0.462437,-1.441455,0.905366,0.568548,-1.530416,0.331671,-0.512245,-0.491271,-0.397853,-0.231856,0.00712,2.169381
algebra,0.673912,0.121623,-1.208406,-1.571074,-0.379397,1.223344,-0.345378,-1.360025,-0.210927,0.708481,-0.349537,0.916938,0.262326,-0.011704,-0.650024,0.731936,0.333396,-0.067481,-0.23243,0.054563,0.26841,-0.173838,-0.825758,0.712985,0.436796,0.976485,1.605707,-0.545363,0.437563,0.541919,-1.273884,0.502684,-0.469791,-0.62694,-0.605625,0.315682,-1.611259,3.224646
$\mathbb{N}$,0.882985,0.531706,-0.479859,-0.561701,0.536832,1.667945,-0.251297,0.050658,-0.494422,-0.690183,0.337765,0.614556,0.273279,-0.913501,-0.940636,0.699367,-0.613479,0.17652,0.014339,0.165731,0.536855,-0.091,-0.539624,-0.046998,1.287794,0.331073,-0.334187,-0.76408,0.391756,-0.201906,-0.21451,1.407033,-0.214582,-0.815004,-0.788038,-0.116298,0.054282,0.429709
field,-0.338518,0.533213,-0.62866,-0.132571,0.071971,0.490188,-0.45127,-0.777178,1.742511,-0.37803,0.054766,1.480349,-0.023686,0.247504,-0.051014,0.758987,-0.640633,0.302353,-0.396174,0.394507,-0.124974,0.600577,0.134039,0.247585,0.20083,0.218263,-0.208507,-0.210545,-0.531042,0.059505,0.227515,0.193601,-1.208949,0.129181,0.309257,0.058249,0.011503,1.165068
element,0.243151,0.344162,0.036103,0.200742,0.10341,0.348575,-0.40426,-0.126881,0.778698,1.044631,0.181398,0.289834,-0.35133,0.17847,-0.895351,1.827649,-1.444853,-0.688568,-0.066011,0.389847,0.295322,0.037903,0.320746,0.283809,0.936876,0.057603,0.299508,-0.503062,0.27777,-0.050501,-0.727512,0.536149,0.180302,-0.510705,-0.562947,1.487047,-0.194615,0.972338
