word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
mathematical,0.051515,-0.38556,-0.170347,-0.779312,0.742416,2.34151,0.502817,0.745812,0.546191,1.089975,-1.193123,-0.012501,0.721071,-1.374204,0.2465,-1.611778,1.151517,0.946253,0.061739,0.924424
method,0.92841,-0.658575,0.65466,-0.032313,-0.031358,2.668431,-0.398546,0.098634,0.770142,0.840233,-0.52085,0.182813,-0.430024,-1.32542,-0.729629,-0.491863,0.173273,0.167325,-0.603295,0.430751
finite,0.261695,-1.370024,0.678064,0.073333,-0.502747,2.529643,0.680638,1.18088,-0.156672,0.014926,-0.171038,1.638151,0.316538,-0.563608,-0.020843,-1.602667,0.418218,0.345274,-0.176197,0.928012
result,0.717139,-0.533722,-0.279695,0.295636,1.16484,1.751715,-0.280139,-0.143327,0.147576,-0.933582,0.47884,0.489845,-0.267739,-0.43178,-0.959219,0.460293,-0.387822,0.769724,-0.549756,-1.142093
vertex,-0.520302,-1.465149,0.015718,0.830409,-1.313109,1.190909,0.254151,1.450167,0.33697,-0.004694,-0.285229,1.413293,0.479115,0.464226,-0.457135,-1.215076,-0.364991,0.156545,-0.310786,1.601638
term,0.953305,-0.307469,0.047331,0.535319,0.388543,2.288054,-0.241383,-0.677131,0.491561,-0.179505,-0.287454,0.423747,0.069498,-0.178693,-0.12169,-0.347091,0.305848,0.064416,-0.622595,-0.764766
line,-0.973926,-1.297516,-0.25452,-0.333547,-0.050814,0.776532,-0.169725,-0.395373,1.363758,-0.257216,1.503488,0.744148,-0.080984,0.253515,-0.530782,-0.008374,-0.539696,-0.327372,-0.426645,-0.764564
model,-0.189421,-0.495712,0.180571,-0.527369,0.658684,1.49019,0.04149,-0.082128,1.176549,0.677421,-0.71936,0.925394,-0.560359,-1.18945,-0.989014,-0.160431,0.006681,0.304875,-0.122606,0.237187
real,-0.020459,0.377829,0.455086,0.324971,0.749246,0.655326,-0.488853,-0.539062,0.518419,-0.078194,-0.624164,0.994781,-0.215382,-0.823768,0.18681,-0.100354,-0.953557,-0.371722,-0.369425,-0.905351
property,-0.450198,0.058775,0.772546,0.047114,-0.718975,2.502346,-0.289667,-0.950405,0.563028,0.396578,0.194775,0.010373,-0.204093,0.38185,-1.035682,-0.283543,0.352171,-0.042047,-0.218903,-0.860757
geometry,-0.842945,-1.276289,0.410849,-0.271434,0.264852,2.060264,0.241751,1.144657,0.853487,0.895942,0.110274,0.252702,0.505262,-0.850223,-0.040907,-1.459363,0.523094,0.175704,-0.388595,1.65983
complex,-0.519749,0.042128,0.125777,-0.342095,0.192693,2.313508,-0.080286,-0.175421,1.076081,0.369787,0.536217,0.289736,-0.059726,0.132526,-0.346905,-0.472188,-0.657293,-0.395983,-0.818833,0.52219
linear,-0.72137,-1.600309,0.467309,0.539819,0.276238,2.397615,0.142332,0.740591,0.841899,-0.023474,-0.204601,1.708942,-0.062037,-0.100862,-1.207889,-1.236725,-0.472804,0.382919,1.3027,1.258041
polynomial,-0.570074,-0.806682,0.913225,0.8911,-1.188726,1.775347,0.230396,1.852139,-0.766602,0.080844,-0.594816,1.730587,0.590457,-0.384787,0.12939,-2.149189,0.952086,1.669814,0.251367,1.056126
algorithm,0.159798,-0.587211,0.773249,0.167979,-1.137164,1.89426,0.735649,1.333916,0.31472,0.397873,-1.279179,1.297398,0.287894,-1.586544,-0.66446,-1.064774,0.090867,0.607975,-0.038407,0.765198
mathematician,-1.014583,1.086106,0.18003,0.366112,1.505522,-0.158661,0.176394,-0.454031,-0.190979,0.767773,-1.137885,-0.987283,0.626947,-0.75202,0.445408,-1.132617,2.08218,1.774494,0.218609,1.638278
definition,1.260443,-0.941656,0.056573,0.152708,-0.104663,2.591995,0.273211,0.238141,0.593631,-0.182864,-0.918106,0.656258,0.092581,-0.714526,-0.048768,-0.734973,0.11388,-0.380004,0.107649,-0.253905
product,0.34042,0.336348,0.665873,0.022913,-0.172514,2.09527,-0.058429,0.034065,1.274677,1.088805,-0.716557,1.18324,-1.716191,-0.573584,-1.295613,1.236626,0.303536,-0.894827,-0.13342,-0.370738
state,0.129094,-0.192495,-0.602301,0.132476,0.765981,1.398124,-0.000498,-1.676027,0.174257,-0.216538,-0.238646,0.013644,1.094511,0.734862,-0.950429,-0.056755,-0.210983,-0.300152,-0.373427,-1.483506
sequence,0.945056,-0.662128,0.538629,-0.173054,-0.239821,1.387417,-0.139246,0.207228,1.020295,-0.326856,0.240656,1.350034,-0.331722,-1.278332,-0.446752,-1.124988,-0.888066,0.147139,-0.047859,1.037136
distribution,0.859521,-0.006109,0.062021,1.005214,0.051694,2.447394,0.51998,0.056917,1.022018,-0.165682,0.531761,0.838051,-0.43569,-0.22505,-1.068907,0.400058,0.473164,-0.765206,0.917002,0.223697
variable,0.940469,-1.362279,0.471704,0.281471,-0.45109,2.578479,0.142265,0.836881,0.84118,-0.262944,0.099581,1.134474,-0.45918,-1.170968,-1.073008,-0.55113,-0.115542,0.500111,0.254053,0.982336
solution,0.250283,-0.520747,1.324471,0.072515,0.178132,2.760738,0.128617,0.332978,0.002014,0.844821,-0.618966,0.961242,-0.642364,-0.824545,-1.001071,0.291997,0.302705,-0.508055,-0.604156,-0.093638
square,-1.457701,-1.260812,-0.492083,-0.048711,-0.122837,0.53475,-0.588145,-0.541667,1.496288,0.00154,0.46668,0.357032,-0.065508,1.558617,-0.3647,-0.362453,-0.584876,-0.320129,0.62906,-0.382975
map,-0.770527,-0.303762,-0.033549,-0.322038,-0.388022,1.652434,1.12348,-0.618457,1.523096,-0.693691,0.594037,0.110982,0.262343,-0.866321,-0.215736,-0.462873,0.085266,-1.058159,0.715939,-0.045592
class,0.278683,-0.483397,-1.093533,-0.871574,0.540307,0.622993,-0.084208,-0.565028,1.122223,-0.051379,-0.063947,0.283514,-0.156205,-0.04525,-0.917261,0.115166,0.180777,0.909617,-0.45061,-0.457187
integer,0.203574,-1.965652,0.377936,0.374047,-1.529165,1.545417,0.275776,0.861752,0.180563,-0.425192,-0.71009,2.358972,0.231817,-0.318649,-0.715996,-1.951017,0.714966,0.703425,0.492436,0.924808
mean,1.124433,-0.622679,0.38678,0.165914,0.148658,1.619463,-0.226979,-0.706543,0.869286,-0.590024,0.46505,0.896459,-0.819493,0.545624,0.307404,-0.301786,-0.606767,0.116709,-0.577106,-0.256394
proof,1.050955,-1.171187,0.686064,0.256902,-0.67138,0.93898,-0.291378,-0.111707,0.286966,0.218113,-0.950488,-0.098367,-0.174674,-0.586558,0.049607,-0.417249,0.000816,0.252556,-0.02777,-0.379998
three,-0.152921,-0.567542,-0.530103,-0.223893,0.68944,0.248785,-0.605469,-0.952505,1.308329,-0.295887,0.763903,0.573996,-0.324307,0.050248,-0.480589,0.027218,-0.476091,0.557321,-0.580244,-0.702642
dimensional,-0.157437,-1.528782,1.06831,-0.027102,0.156509,2.01084,0.307368,0.967849,1.148757,1.002279,-0.186518,0.867327,0.257451,-1.205582,-0.11251,-1.239064,-0.534098,0.009011,-0.530596,1.684738
zero,0.46758,-1.327351,0.797291,-0.039702,0.352388,0.858717,0.138881,0.228088,-0.054764,-0.121136,-0.026889,1.609697,-0.156137,-0.701041,-0.672815,-0.212877,-0.965861,-0.185334,-0.061138,0.061528
algebraic,-0.496298,-0.702983,-0.276008,0.037083,-0.01154,1.969396,0.297897,1.732698,0.11492,0.791269,-1.123384,0.621907,0.795122,-0.848477,0.553876,-2.180479,1.448571,0.759067,-0.322602,1.717703
formula,-0.133403,-0.450264,-0.010284,0.311812,0.762683,0.788848,-0.200035,1.032819,0.280549,-0.367635,-0.152803,1.720914,-1.059547,-1.082198,-0.240333,0.159531,0.585164,1.186213,0.01352,-0.100065
