word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
$\mathbb{N}$,-0.274046,0.028658,-0.466632,-0.433736,1.2607,-0.139982,-0.126738,-1.420094,0.313662,-0.27211,-1.776221,-0.538592,0.511097,0.711947,0.639395,0.834262,1.026806,-0.472528,0.417441,-0.58024,-0.469674,0.437709,0.281024,0.543234,1.002803
field,-0.498767,-1.038374,-0.94885,0.568061,-0.110849,0.362408,-0.631003,0.355464,0.226538,1.571682,-1.067771,0.621258,-0.105049,-0.131656,0.692099,0.315084,1.157855,0.387012,-0.595478,0.340998,0.012042,0.136675,-0.18671,-0.54061,-0.08921
element,-0.676225,0.679819,-1.120587,1.200932,-0.080461,-0.41985,-1.132266,-0.106122,0.383408,0.067655,-1.720467,0.781389,0.04514,0.709404,0.85158,0.156467,-0.314941,-0.320586,-1.074987,-0.107964,-0.368906,0.109209,0.648916,0.35594,0.386069
system,-0.023102,-0.337943,-1.115151,1.965636,-0.383231,-0.938843,0.102538,-0.842584,0.014124,1.094605,-2.185296,1.051555,-0.282192,-0.346916,0.94348,0.181735,-0.149171,0.261883,0.301137,0.597132,-0.544971,0.133615,0.497969,-0.490498,0.339383
matrix,-0.803974,0.259928,-0.930235,-0.201146,0.094092,-1.966604,-0.518566,-0.533007,0.65347,-0.121767,-1.851027,0.876201,0.181226,-0.044216,0.713788,1.299715,0.343763,-0.978573,-0.771081,-0.358645,-0.191186,0.316317,0.129242,-0.015996,1.329385
mathematical,-0.271878,0.772602,-0.820361,-0.538771,-1.561753,-0.87144,0.305642,1.308958,0.062898,0.156017,-1.86124,2.50286,0.319835,-0.099566,0.490842,0.218341,1.099607,0.258737,-0.754035,-0.152859,-0.187721,-0.161155,-0.568915,-0.107916,1.497388
method,0.551432,-0.11872,-0.809426,1.103019,-1.021394,-1.15959,-0.53365,-0.050835,0.576221,0.099929,-1.356247,1.341434,-0.812368,-0.117524,1.338474,0.367749,0.147429,-0.484796,-0.611988,0.277602,-0.344477,-0.06188,0.574877,-0.308347,1.512498
finite,-0.791669,0.441549,-1.354569,0.049503,0.690888,-2.086338,-0.416479,0.69249,0.34942,-0.801798,-2.180863,1.743955,0.763526,-0.062599,0.562979,1.407745,1.020811,-1.70689,-0.12072,-0.144452,-0.280944,0.641176,-0.368793,0.490156,1.560106
result,0.733745,-0.411687,0.312436,0.784488,0.752365,0.21023,-1.005411,0.318689,1.156361,1.153268,-1.226849,0.487859,0.189965,-1.288098,0.802219,0.6351,0.161702,0.167725,-0.141216,0.557388,0.030205,0.240639,0.778459,-0.247515,0.286197
vertex,-1.119727,0.721311,-0.507711,-0.263324,1.219362,-2.805814,-0.981556,0.331967,-0.15305,0.837091,-1.64491,0.390712,0.190322,-0.118878,0.085512,1.216763,0.584295,-1.697842,-0.635263,-1.184537,0.587726,0.093789,-1.273342,0.933424,0.253285
term,0.228053,0.258363,0.081994,1.408955,0.000408,0.520446,-0.827968,-0.074414,0.711019,0.310802,-1.378691,1.162926,0.083825,-0.386509,0.368579,0.231332,-0.086122,-0.619969,-0.5446,0.287775,0.209879,-0.285681,0.39128,-0.270061,0.872602
line,-0.640262,-0.397421,-0.551787,1.352651,1.239748,-0.125103,-0.525546,0.127197,-0.43565,1.20465,-1.238032,-0.583105,0.56256,0.414849,0.740256,-0.311688,-0.202268,-0.214801,0.042382,0.46225,-0.413425,1.191565,-0.135218,0.093503,0.027769
model,-0.198608,-0.130229,-0.834586,0.270181,-0.324456,-0.707781,0.10546,-1.003425,0.076056,0.872291,-1.37528,1.412178,0.145989,0.058523,1.633313,-0.404379,0.205927,-0.295604,0.017399,0.451645,-0.638805,0.357438,0.193771,-0.482556,0.656095
real,-0.165456,0.520383,-0.17368,0.133147,0.518674,0.388581,-0.223523,-0.134839,0.244019,1.129691,-0.28816,1.471139,0.371234,0.113256,0.979433,0.919784,-1.018669,-0.700264,0.229724,0.370885,-0.14608,0.391778,0.329227,-0.009462,0.398528
property,0.283047,-0.307789,-0.844278,1.599842,-0.652014,-0.141356,-0.735654,0.472247,-0.22946,0.683636,-1.278031,0.213724,0.492047,-0.870645,0.493361,0.675637,-0.245325,-1.344824,0.189949,0.372341,0.811375,0.435406,-0.08949,-0.07269,1.275779
geometry,-0.607036,0.268554,-1.731136,-0.337348,-0.629647,-2.10674,0.067815,1.175839,0.108877,0.2317,-1.860283,1.406226,0.404655,0.867078,1.029811,0.275076,0.843657,-0.390777,-1.200253,-0.683894,0.148508,0.127682,-0.288976,0.445692,1.067046
complex,-0.391177,0.39297,-1.161235,1.457694,-0.136608,-0.721235,-0.275298,0.011536,-0.546096,0.967757,-1.319823,0.600034,0.349129,0.299272,0.888072,0.976567,0.413767,-0.117649,-0.600517,0.511226,0.713173,0.493676,0.341017,0.473829,0.281928
linear,0.082881,-0.064844,0.133,0.029814,0.255888,-2.640729,-0.513027,-1.056676,0.375961,0.849182,-2.281756,0.648129,0.912613,0.515122,1.219391,0.305971,0.886459,-0.658039,-0.984795,-0.680067,0.309577,1.120121,-0.642467,-0.187995,1.371595
polynomial,-1.416562,0.020592,0.13435,-0.866525,0.573229,-2.409698,-0.179342,0.728894,0.464612,-0.993754,-1.709413,2.202674,0.907258,-0.380051,0.765373,1.348498,0.933832,-2.10515,0.020294,-0.340381,0.53102,0.663867,-1.126678,0.661141,2.349544
algorithm,-0.447603,-0.411501,-0.395374,-0.021739,-0.139008,-2.637317,0.134898,-0.183419,0.491259,-0.095126,-1.332299,2.262882,-0.771401,-0.323029,0.6749,0.923865,0.024882,-0.664857,0.221674,0.021223,-0.421297,0.734881,-0.762502,-0.362212,1.792165
mathematician,-1.152267,0.089876,0.501192,-1.251745,-1.855457,0.436989,1.931475,0.717638,0.230504,0.220368,-0.755737,1.777873,0.134067,-0.107223,0.321515,-1.080778,1.160735,-1.019647,-1.494048,-0.532152,0.662411,0.063191,-1.604804,-0.036255,0.198163
definition,0.409606,0.854071,-0.372637,0.878241,0.163433,-1.013719,-0.656154,0.056591,0.45394,0.082333,-2.166383,1.767603,0.037653,-0.2215,0.242514,0.469276,-0.03932,-0.61792,-0.247163,0.151689,-0.347924,0.176956,-0.087374,-0.20824,1.417908
product,0.223083,0.121252,-1.226837,0.920767,-0.413433,-0.638807,-0.643798,-1.458075,-0.901865,0.74192,-0.96417,0.688271,-0.561545,-0.904898,0.890138,0.39606,-0.514914,-1.140929,0.380009,0.548731,-0.269739,0.132876,1.814013,-0.754233,1.627876
state,0.620185,0.054097,-0.832155,1.349708,0.158524,1.665672,-0.631405,-0.024132,0.401754,1.31943,-1.011816,0.49801,0.717099,-0.735366,-0.193239,0.353374,-0.003859,-0.447088,0.051488,0.011464,0.531794,-0.118827,-0.680924,-0.705294,-0.257662
sequence,-0.391389,0.45415,0.163144,-0.048479,-0.235485,-1.341939,-1.206255,-0.517187,0.449231,0.392576,-1.827815,0.797384,-0.018815,0.72429,1.025397,1.573171,-0.102098,-0.415971,-0.192185,0.625678,-0.727633,0.443853,-0.042186,0.8215,0.741268
distribution,0.998134,-0.529638,0.674564,0.550056,0.028365,-0.822353,-0.813673,-0.758096,-0.557261,0.804,-2.036706,0.95982,0.222516,0.305905,0.07116,0.408751,0.472941,-1.140803,0.432539,0.344592,0.327695,0.71217,1.388437,-0.347234,1.285458
variable,-0.059634,-0.358901,0.35647,0.379197,0.181585,-2.143485,-0.993474,-0.723221,0.463895,-0.189065,-2.367655,1.360139,0.359013,0.253506,1.320189,0.452499,0.680304,-1.000397,0.29403,0.460082,-0.439188,0.289375,0.376982,0.508849,1.22217
solution,0.335891,-0.095253,-1.214485,1.187172,-0.397623,-1.359183,-0.089703,-0.401204,0.560012,0.166517,-1.08054,1.019963,0.065006,-0.652899,0.812268,0.62557,-0.379957,-0.754414,-0.117625,0.015325,-0.159988,0.327824,1.071523,-0.771671,1.220229
square,-0.139444,0.195054,-0.592963,0.618057,1.01962,-0.428043,-0.896123,0.292138,-1.168555,1.662568,-0.715312,-0.724344,0.953827,0.301133,0.485689,-0.911248,0.21403,-0.622369,-0.255172,-0.851256,0.807639,0.9716,-1.273335,0.204833,0.293528
map,0.201075,-0.343929,-0.184916,0.962362,-0.201157,-0.778302,0.119784,0.503883,-0.467622,1.005676,-2.399817,0.559509,0.358,1.024714,-0.312537,0.1944,-0.471979,-0.149886,0.661787,-0.106774,0.470789,1.273627,-0.24122,0.804452,0.676241
class,-0.727562,0.0247,-0.734743,0.534604,0.514186,0.967436,-0.396361,-0.230106,-0.238337,0.497243,-1.371794,0.689172,0.078617,-0.775694,1.138321,-0.745879,1.100135,-0.123848,0.331919,0.917531,-0.707457,-0.146736,-0.404098,0.172857,0.006871
integer,-1.307545,0.664417,-0.057429,-0.559695,0.888838,-2.134416,-1.063432,-0.139156,0.447814,-0.625841,-2.359777,1.187422,0.810036,-0.803014,0.484484,0.755473,0.549608,-1.722043,0.298847,-0.744276,-0.320056,0.881135,-1.244703,0.438114,2.124586
mean,0.159272,0.691772,0.190164,1.542823,0.576541,0.31272,-1.473813,-0.172275,0.264286,-0.177998,-0.872763,0.706217,-0.34883,-0.056818,0.8806,0.289396,0.244113,-0.514931,-0.29798,-0.120639,-0.047895,0.979003,0.543641,0.46523,0.60543
proof,0.505367,0.372613,-0.58564,0.020395,-0.240256,-0.870524,-1.051036,1.072417,0.636753,-0.239908,-0.848741,1.111833,-0.484501,-0.567412,0.430807,0.123504,-0.383621,-1.131025,0.037392,-0.501915,-0.503495,0.046756,-0.245019,0.14902,0.992049
three,-0.473909,-0.189263,-0.16953,0.558659,0.675693,0.994063,-1.035848,0.301906,-0.045259,1.530996,-0.714728,-0.332631,-0.300645,-0.283346,1.231015,0.045931,0.140436,0.153809,0.017841,0.05351,-0.102304,0.363559,-0.029784,0.504146,-0.071962
dimensional,-0.568019,0.333958,-1.540967,0.009308,-0.289175,-2.448825,-0.778824,0.780419,0.18509,0.470357,-1.775614,1.42361,-0.03765,0.835121,1.249441,1.067795,0.49076,-0.5966,-0.99492,-0.71449,-0.323616,0.505138,0.19348,0.419117,0.620161
zero,-0.207697,0.324146,-0.46471,0.017744,0.612384,-1.060018,-0.991039,-0.342438,0.88563,0.472535,-0.950699,0.808499,0.755606,-0.265006,1.052451,1.12792,0.062182,-0.705781,0.419287,-0.464056,-0.944277,0.886812,0.423146,-0.185915,0.301553
algebraic,-1.133455,0.804506,-1.439252,-0.746217,0.097377,-1.621527,0.571678,1.124605,0.045528,-0.661211,-1.903776,2.458191,0.458148,0.172101,0.549546,0.890056,1.434611,-1.244912,-0.82078,-0.148925,0.327091,0.014655,-0.945936,0.477806,1.842436
formula,-0.986514,-0.121404,-0.420021,-1.167743,0.610185,-0.495375,-0.599214,-0.029739,0.587712,-0.030865,-1.147209,1.278416,0.735727,-1.333235,1.196342,0.187043,-0.037965,-0.292007,-0.163849,0.259463,0.092094,0.342273,1.254575,0.18712,1.490488
ring,-1.032295,-0.010557,-0.456282,0.171337,0.69811,-0.301441,-0.877593,0.507705,0.062856,0.625954,-0.55676,-0.328121,-0.528055,0.43507,0.891438,1.465288,0.269536,-0.569168,-0.324867,-0.486449,-0.227389,0.699364,0.652984,0.614386,0.10722
edge,-0.556664,-0.635382,-0.384064,0.843635,1.306258,-0.922119,-1.435766,0.21292,-0.267527,1.125516,-0.704681,-0.055093,-0.380059,1.336334,0.3793,0.542221,0.36385,0.053891,-0.743718,0.038133,0.323249,0.973075,-0.02634,-0.026857,0.259288
sum,-0.16397,0.685576,-0.106388,0.218393,0.442828,-0.61123,-1.149199,0.1516,0.37553,-0.13505,-0.428099,0.867955,1.085158,-1.112392,1.1791,0.212075,0.269437,-1.491479,0.651132,-0.883821,-0.076745,0.550873,-0.291529,-0.016213,1.578441
plane,-0.305685,-0.653323,-0.816648,0.745595,0.720313,-1.337388,-0.337541,0.659499,0.791129,0.98692,-1.136178,0.05645,0.103457,0.890222,1.13996,0.449702,0.462787,-0.917686,0.304148,-0.450192,-0.95848,0.568298,0.131733,0.413435,-1.500152
analysis,1.271489,-0.100248,-0.656753,0.556893,-1.202627,-0.938172,-0.140358,-0.103838,0.846885,0.393637,-1.894797,1.930768,-0.238285,0.250462,0.750568,0.76065,0.493537,0.34237,-0.371609,-0.012588,-0.094725,-0.17289,0.057005,-0.425285,1.409955
