word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
problem,0.233125,0.058395,1.038324,-0.220642,0.180959,0.228075,3.065611,-0.814947,-0.564428,0.163612,2.573328,-0.647376,-0.223458,-0.200172,-0.210171,-0.35459,-1.099875,-0.171639,0.739278,-0.587718,0.507677,0.667882,0.248468,-0.360455,0.034649,-0.599902,1.003086,-0.535113,-2.168835,0.54765,0.815108,1.412462,-0.070385,1.010618,0.023868,-0.408513
mathematic,-0.993161,-0.606054,-0.795177,-1.373945,0.063748,-0.165064,1.704068,0.190801,-1.232585,0.502078,2.572541,-0.087966,0.204122,-0.347705,0.223022,1.428182,-0.203247,-1.07343,-0.249111,0.130216,0.682536,1.659737,0.234443,-0.410236,0.419787,0.701563,0.028545,-0.355267,-0.834374,-0.237109,1.617646,0.252551,1.267013,-0.767757,-0.500322,-0.12067
order,0.314709,0.890072,0.245518,0.508548,-0.264575,-0.464523,2.734292,-1.034246,-0.315587,-0.62701,0.107702,0.149097,-1.191573,-1.4126,-0.257029,0.859394,0.1642,-0.425623,0.266417,0.455015,-0.199073,-0.250236,2.236574,-0.946363,-0.16007,0.770858,0.091585,-0.838634,-1.936516,-0.351661,0.978173,0.643461,0.861837,-0.499718,-0.892709,-0.797942
equation,0.312195,0.870464,-0.122996,0.036516,0.077078,0.60034,3.442331,0.563039,0.612308,1.027435,2.045983,-1.447849,0.017492,-2.188283,-0.492199,-0.388613,-0.176645,-0.211489,-0.359802,0.230412,0.85474,0.401869,0.944108,-0.913619,-0.869229,-0.840862,-0.356595,0.623519,-1.475566,0.280912,0.29154,0.918452,-0.12825,-0.592227,1.000566,0.219421
first,-0.389575,0.234963,0.159768,-0.563909,0.466037,-0.274528,2.928192,-0.023734,-0.052101,-0.306993,0.885656,-0.633351,0.231626,-0.486842,-0.313226,0.953583,-0.490817,0.11382,0.420636,0.465632,0.503008,0.49041,1.146179,-0.722807,1.030421,0.319514,-0.160799,0.296742,-1.247639,-0.331104,1.63218,0.962685,0.555625,-0.2665,-0.611041,-0.277394
vector,0.016206,0.698129,-0.630187,-0.26027,-0.408317,-1.176958,1.981196,1.803722,0.822493,0.367234,0.839206,0.5021,-0.567669,-1.241446,-0.243395,0.383966,0.686668,0.158534,-0.838401,2.009522,0.428973,0.514805,2.039876,-0.655479,0.186141,-1.400909,-0.368012,-1.073953,-2.122718,-0.179429,0.430089,1.425451,-0.004674,0.459783,-0.077763,1.161985
algebra,0.361952,0.806896,-1.051286,-1.890891,-0.640588,0.014141,0.719766,-0.144783,0.518281,0.734217,1.425711,0.375393,0.537424,-0.754064,-1.319113,1.177739,1.784672,-1.322785,-0.511718,0.229204,0.185361,1.210532,2.086406,-0.892882,0.628709,-0.116748,0.083637,-0.565026,-1.523632,0.487006,1.538415,0.934277,1.43301,-0.368741,-0.244637,0.764372
$\mathbb{N}$,-0.069738,1.143293,0.868785,-0.384287,0.838876,0.276069,2.771091,-0.336517,-0.081284,-0.819742,0.108623,1.553523,-0.654022,-0.399961,1.269155,-0.374884,0.984005,-0.563742,-0.119785,1.338957,-0.865686,-0.057148,1.753371,-0.45,0.716531,-0.955303,-0.146378,-0.206139,-1.502893,0.034847,0.88934,0.443141,0.157682,1.147994,-0.171548,0.140122
field,-1.349286,0.997412,-0.945358,-0.247932,-0.175896,0.041715,2.325583,0.927115,-0.238126,0.478937,2.114814,-1.027793,0.073698,-0.812246,-0.1965,0.489124,0.684761,-0.989033,-1.04831,0.340645,-0.631395,0.549635,1.701122,-0.393299,0.188825,-0.345363,-0.044102,-1.298922,-1.22194,0.005857,0.27459,1.390277,1.12165,-0.414693,0.483951,0.773379
element,-0.12152,1.861164,0.368356,-0.333395,-0.167304,-0.36438,2.104215,-0.297096,0.696982,-0.580642,0.567262,0.275028,-0.433867,-1.123207,-0.430323,0.533774,0.776462,-0.35639,-0.937643,0.64791,-0.220051,-0.433455,1.442008,-1.261573,0.802139,-0.324564,0.605483,-1.344811,-1.46852,-0.345667,1.001592,0.230528,0.780975,0.211671,-0.645581,0.265698
