word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
order,-0.164834,1.284306,-0.501523,1.438003,0.574227,1.539732,-0.190004,-0.095182,-0.544986,2.600635,0.251808,0.409652,-0.434367,1.246311,-0.39139,-1.292716,0.188104,-0.876657,0.496483,-0.291774,-0.591524,0.032818,1.268778,-1.042506,0.927994,0.044983,0.981326,-0.373593,-0.320418,0.319927,1.523707,0.026146
equation,0.686427,2.038617,-0.261446,-0.503408,0.399353,1.517842,-0.883246,-0.925606,-0.774766,2.32814,-0.402283,0.641969,-0.456,1.431798,0.886924,0.15617,1.846216,0.045152,1.516349,-1.553976,0.465465,1.017341,0.754624,0.636917,-0.053456,1.242386,0.947598,-0.124824,-1.294722,-0.847799,-0.180073,1.732968
first,0.094197,1.91187,-0.407618,0.68859,0.526319,1.693483,-0.501369,-0.712707,-0.954446,2.276804,-0.895941,0.508151,-0.140678,1.026333,1.222133,-0.867672,0.498306,-0.548274,-0.266273,-0.077473,-0.573434,0.270119,-0.643659,-0.544246,0.626756,-0.027012,0.31573,-0.153998,-0.144756,0.092716,0.379632,0.286651
vector,-0.856403,0.318402,-0.866033,0.444692,0.752171,1.69493,-0.049342,-1.397112,-0.836185,1.840244,0.585016,1.063477,-0.303296,0.601641,0.772584,-0.604855,1.189434,0.039809,2.157482,-0.702195,1.049743,0.933177,0.382348,1.335675,2.337331,-0.300526,-0.291323,-0.42575,-0.205793,0.010415,0.852143,-0.111626
algebra,0.458333,1.011843,0.496442,1.059787,-0.476494,2.005463,-1.757516,-2.143498,-0.376008,1.799898,0.358908,-0.385131,0.259222,0.312508,0.225412,-1.11103,0.579626,0.099503,2.096256,1.021865,0.035707,-0.543811,-0.165508,-0.255826,2.377851,0.194071,0.631867,-0.237768,0.7661,-0.867626,0.208407,0.078392
$\mathbb{N}$,-0.848951,0.244367,-0.951236,0.25379,-0.272209,1.114252,-0.873825,-0.551996,-1.813494,2.594128,0.227047,-0.113899,-1.092553,1.048837,0.636051,0.174872,-0.275428,-0.148462,0.180563,-0.691949,-0.428063,-0.445763,1.43696,-0.347214,1.323372,-1.9293,0.143132,-1.362142,-0.390822,-0.126455,0.435643,-0.830056
field,0.859523,1.657899,0.183811,-0.263692,0.376936,0.896163,-0.827058,-1.277024,-1.58,1.633121,0.210444,-0.195027,-0.741906,0.661646,0.783449,-0.758587,0.606805,-0.914011,2.388651,-0.834584,-0.529369,0.791164,0.348254,0.607976,1.55786,0.650874,0.447056,0.668484,-0.221876,0.155055,0.049964,-0.625251
element,-0.112169,0.312462,-0.025245,0.817451,-0.026179,1.522744,-0.756079,-0.736526,-0.908549,2.290221,0.488586,0.499273,0.001828,1.501444,0.598706,-0.137653,0.173082,-0.938931,1.356304,0.036789,-0.046149,0.416751,0.703428,-0.391472,1.496357,-1.185413,0.897556,-0.656754,0.27475,0.365033,0.555842,-0.828258
system,0.567777,1.090354,-0.160934,1.23256,0.118231,1.612009,-0.509852,-0.934393,-1.643655,0.913939,-0.740771,1.011682,-0.204204,1.422767,0.616498,-0.838797,0.320718,-0.515841,1.003483,-0.223592,-0.244071,0.847825,0.676538,0.926936,0.168797,1.892258,0.995687,-0.546758,-0.427807,0.641434,0.469253,-0.360837
matrix,-1.478469,-0.212454,-0.137896,0.639403,0.01772,2.423788,-1.286171,-0.933025,-0.666798,2.955049,0.779868,-0.499267,0.181237,0.205565,0.484906,0.218305,0.871241,1.352346,1.475942,-0.98535,0.291897,0.597263,-0.223333,0.046285,1.192027,-0.061042,0.968847,-0.472327,-0.317481,-0.668663,1.285066,-0.773672
mathematical,0.713684,2.807029,0.581709,1.862783,0.221681,1.350261,-1.235517,-1.129656,-0.322753,0.783897,-0.709618,0.367131,-0.679366,0.721883,1.040598,-1.242166,0.146126,-0.36596,-0.062914,-1.165644,0.115171,0.549382,-0.694777,-0.603396,0.846698,1.534899,0.329136,0.241153,0.790417,0.404617,-0.62241,-0.717583
method,0.288602,0.907633,1.01738,0.393401,1.104342,1.880508,-0.606698,-1.859228,-0.866697,2.202298,-0.890048,0.045341,-0.231332,1.197936,0.372847,0.903682,0.632839,0.385063,-0.633255,-1.322007,-0.008382,0.482464,0.106476,0.195451,-0.134864,1.920558,1.036485,-0.822772,0.169901,0.179205,1.24427,0.286359
finite,0.701819,0.42976,0.183521,0.498048,0.406803,1.341667,-0.435559,-1.227874,-0.897875,2.655134,-0.358752,-0.108073,-0.040759,1.744119,0.112703,-0.194672,-0.067894,-0.397028,1.208467,-0.077337,-0.794586,-0.399453,1.612686,-0.096476,2.052746,0.065786,0.706415,-0.215294,0.014536,0.134804,0.32401,-0.995906
result,0.613713,1.200209,0.132582,0.463267,0.426807,1.324973,-0.375629,-0.735098,-1.130776,2.465811,-0.854562,0.560764,0.166811,1.084356,0.968569,-0.19783,-0.394746,0.468978,0.025184,-0.804688,-0.677564,0.019231,-0.356051,0.268599,0.96358,0.087651,0.366972,0.206623,-0.52697,-0.093776,1.276674,0.337751
vertex,-0.816452,0.424861,-1.188483,0.96281,-1.255285,0.868341,1.544237,0.746496,-0.707816,2.725469,0.921468,0.956506,0.921379,1.320041,1.068984,-0.459065,-0.264395,-1.241738,0.143707,-2.196446,-0.619192,-1.182561,0.759735,-0.748105,0.855656,-0.37122,0.516932,-1.350906,-0.155168,1.540939,0.834637,-0.080455
term,0.165259,0.842452,-0.50455,0.782915,0.223362,1.556198,-0.692635,-0.775079,-1.18947,2.125198,-0.691946,0.544837,-0.464978,0.948586,0.430556,-0.614235,1.157831,0.089781,0.690044,-0.937669,0.093615,0.133804,0.304242,-0.279953,0.637144,-0.29569,0.324826,0.563246,-0.978653,0.66005,0.729183,0.405581
line,0.16357,1.133344,-0.407495,-0.046248,-0.498124,1.314369,1.038585,-0.960192,-0.624535,1.685863,-0.710869,0.461161,0.026181,1.257373,0.792594,-0.38242,0.045735,-1.441931,0.457294,-1.000619,1.114685,-0.357318,-0.071731,1.383608,1.248209,-0.606243,-0.008799,-1.142208,0.025558,1.29759,1.252456,0.997396
model,1.236984,0.661525,-0.546083,1.46294,0.424653,1.949565,0.087221,-0.920174,-1.834875,1.18016,-1.053982,1.133156,0.051404,0.329934,0.045563,-0.676886,-0.998071,-0.103658,0.889263,-1.133711,-0.538192,0.79711,1.25494,0.471066,0.223745,1.75711,-0.543184,-0.472684,-0.303199,-0.223152,-0.164327,0.062463
real,-0.729256,1.304173,0.137634,0.546601,0.311229,1.029198,-0.625572,-1.154318,-1.201901,2.192589,-0.45274,0.130969,-0.770944,1.493266,0.226294,-0.570335,0.794213,0.354316,0.965444,-0.161123,0.627092,-0.386367,0.753242,1.206959,1.49462,-0.378637,-0.082701,0.006225,0.470089,0.191209,0.808988,-0.619702
property,0.514513,0.522716,0.261445,0.664128,-0.000847,1.553672,-0.579253,-0.573267,-0.548705,2.227192,-0.385134,0.045217,0.178917,2.007738,0.113472,-0.714614,-0.434138,0.178029,1.072579,-1.051529,-0.581854,0.60704,0.60421,0.104528,1.557971,-0.249464,0.12966,0.650732,0.172584,0.392777,0.931944,0.253477
geometry,0.333419,2.664165,-0.367893,0.250748,0.214749,0.133814,-0.739572,-1.654069,-0.265316,1.283022,-0.545733,-0.893356,0.270521,1.036914,-0.081906,-1.419719,-0.184518,-0.438239,0.546817,-1.734857,0.111274,-0.358149,-0.092099,0.595026,2.073742,1.358176,-0.076439,-0.561171,0.280525,0.47638,-0.141426,0.714701
complex,-0.139976,0.778596,-0.246317,0.240137,0.588922,0.834516,-0.927361,-1.81646,-0.989509,1.822474,0.332208,-0.374069,-0.760901,1.25113,-0.033694,-0.612889,0.677188,-0.334414,1.335997,-0.776681,0.140452,-1.032572,0.39258,0.93427,1.588321,0.464779,-0.597366,-0.376382,-0.091709,0.366115,0.561232,0.124492
linear,-0.466853,0.5226,-0.040827,0.965487,0.81353,1.803916,-0.16809,-1.474519,0.211947,2.474599,-0.32238,0.088052,-0.137378,0.847782,0.383398,-0.451908,0.649957,-0.235263,1.731033,-1.216681,0.218787,0.157148,0.904287,1.115279,0.785684,0.742184,0.739921,-0.094441,0.104218,-0.762577,0.799805,-0.393296
polynomial,-0.49348,0.68282,-0.842504,-0.640451,0.164285,0.949639,-0.42498,-2.002817,-0.753711,3.371894,-0.676931,-0.844538,-1.519251,0.826459,0.004775,0.000659,1.001788,0.546713,1.129267,-1.137294,-0.858931,-0.290993,0.96836,-0.530029,-0.013848,-0.636805,1.556902,0.362151,0.038895,-0.607865,0.196197,-0.302435
algorithm,-0.094642,0.069223,-0.153047,0.649518,0.81093,1.196693,0.144476,-2.025391,-1.271085,2.138305,-0.766232,-0.887156,-0.141996,1.128112,1.628563,0.425744,-0.493449,0.953229,-0.615881,-1.002598,-1.163447,0.029258,0.544846,0.224776,-1.001364,1.098133,1.922862,-1.234171,-0.017478,-0.319921,1.686009,-1.146547
mathematician,-0.267118,3.620374,0.425998,0.342511,1.436271,0.213928,-1.71857,-1.680237,1.329497,1.087152,-0.34737,0.452255,-0.707584,-0.191301,1.76816,-1.132689,-0.329001,-0.586076,-0.214949,-0.272534,-1.392581,0.277408,-0.183844,-0.611558,-0.28776,0.591139,0.014985,0.172203,0.009552,2.128092,-1.235402,-0.34956
definition,0.4471,0.60085,-0.348443,0.941651,-0.008124,1.217661,-0.325469,-1.270891,-0.533863,1.792735,-0.910954,0.501473,-0.306927,1.456915,0.468867,-0.939522,0.232812,0.461548,0.747101,-0.581621,-0.403668,-0.043954,0.648657,-0.101321,1.844462,-0.22802,-0.240765,0.57314,0.060033,0.198235,1.01318,0.436807
product,-0.876302,0.083713,-0.549152,-0.244811,0.632733,1.943582,-1.018477,-1.144431,-0.631275,1.515451,-0.061535,0.563494,0.264613,0.542325,0.506592,-1.051813,0.668156,-0.252493,1.700862,-0.204058,0.202237,0.513228,0.298357,-1.097555,2.196369,-0.768015,-0.129253,-0.114491,0.420532,0.227577,2.064927,0.123552
