word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
algebra,-1.454251,0.447664,0.019812,-0.041797,-1.015329,-0.571568,2.33186,0.457832,-0.08766,-1.261995,0.227278,-0.939573,-1.916807,0.64554,-0.562679,-0.755533,-0.751794,-0.884897,1.309403,1.46589,0.359846,2.014819,1.868071,1.026014,0.296993,0.248615
$\mathbb{N}$,-0.991654,-0.170553,0.942245,-0.793359,0.942827,0.141143,0.160679,1.675235,0.178027,0.536555,-0.072422,-1.085659,-0.961211,0.470116,0.227387,-0.450118,-0.657988,-0.86677,-0.148182,1.102364,-0.428852,0.641096,3.020354,-1.114345,0.260749,1.976735
field,-1.791411,-0.086563,-0.029943,-0.307309,0.10288,-0.060134,1.264155,0.359321,0.680722,-0.45318,-0.091177,-2.399858,-2.368578,-0.447582,-0.519076,0.545635,-0.806855,-1.889323,-0.012023,0.866021,0.203127,0.833888,1.723674,0.849802,-0.817123,-0.378218
element,-1.433257,0.737818,0.093343,0.088539,-0.159116,-0.145288,0.741331,0.935899,0.455269,0.443642,-0.924671,-1.131188,-1.463399,0.704326,-0.403117,0.429983,-0.781107,-0.270184,0.359621,1.168338,-0.40282,1.023094,2.921949,-0.167596,0.076438,1.270657
system,-1.462357,-0.182921,-0.329571,1.284685,-0.308647,0.052271,0.419011,0.128852,0.26993,0.889293,0.550501,-1.22492,-1.09999,-1.811627,-0.978149,0.658663,-0.886858,-1.212212,0.743044,0.433505,-0.082287,0.772191,2.408042,-0.04393,-0.409823,-0.602532
matrix,-0.952155,1.227707,1.888015,0.62335,-0.110891,-0.301775,-0.217341,1.568173,0.169526,-0.957236,-0.984893,-0.83319,-1.016967,0.544987,-0.976375,-0.362319,-0.315923,-1.284279,1.351413,-0.379044,-0.232338,1.551059,2.920141,0.947467,-0.570931,1.124339
mathematical,-2.22415,0.458327,0.224114,0.179882,-0.179687,-0.441262,0.616729,-1.546491,0.926254,0.137745,0.280258,0.297744,-2.322784,-1.92892,-1.086201,-0.506738,-0.593159,-1.064127,0.444684,1.089057,0.432373,1.073412,1.410584,0.232105,1.295427,-1.529237
method,0.138544,0.49304,0.348284,0.549198,0.185374,1.423239,-0.011773,-0.072936,-0.056524,0.326458,-0.376141,0.262323,-1.210528,-1.880645,-0.839338,-0.894831,-0.184618,-2.284624,0.263817,-0.055668,0.458186,0.863981,3.213277,0.907262,0.135228,-0.596237
finite,-0.690488,0.643999,0.120665,0.422669,-0.376331,0.523418,1.117135,0.987869,0.561458,0.082686,-0.037961,-1.572678,-1.857934,0.033004,0.519135,0.04054,-0.255172,-0.678277,-0.339538,1.485236,0.658933,1.514135,2.800865,-0.354149,-0.067664,0.902876
result,-0.753376,0.306449,0.113995,0.721218,0.039177,0.23365,0.112132,0.329086,0.799788,-0.086716,-0.446736,-0.221498,-0.949821,-0.617504,-0.013692,-0.875032,0.123496,-1.3679,-0.13872,1.003984,0.058141,-0.076535,3.380351,-0.083141,-0.34924,-0.365864
vertex,-1.330378,1.718594,0.129583,-1.679885,-0.160275,0.958226,-0.629693,1.354227,1.394162,1.496194,1.033926,0.556487,-0.217723,1.385365,-0.00967,0.637143,0.20806,-0.232407,0.631732,0.862128,-1.133291,-0.223487,3.708758,-1.951103,0.481636,0.405207
term,-1.526127,0.694672,0.140155,0.187702,0.49037,0.126377,0.234134,-0.3591,0.643533,-0.493998,-0.493127,-0.57416,-0.415578,-0.696369,0.184867,-0.16638,-0.760972,-1.491159,0.671188,0.808311,0.157609,0.356951,2.93502,0.014456,-0.663309,0.862626
line,-1.239006,0.260361,-1.385009,-1.519214,-0.759616,0.988904,-0.151428,0.369292,-0.371138,-0.112466,-0.614177,-0.298843,-1.540896,-0.132177,-0.037796,0.822339,0.25821,-1.024115,0.635729,-0.033943,-0.468883,-0.959162,3.577607,-0.796559,0.351076,0.319832
model,-0.627383,0.079466,-0.240589,1.399955,-0.410432,0.224747,0.470064,0.560677,0.871567,0.502209,1.000417,-0.247648,-1.938162,-2.012074,-0.46711,-0.184007,-0.704031,-1.759912,0.304673,-0.215877,0.606864,0.205013,1.988197,-1.770004,-0.553143,-0.118178
real,-1.681533,0.49554,0.488379,-0.507679,-0.196062,0.433066,0.54132,0.419149,0.081473,-0.51676,-0.559118,-1.776887,-1.511761,-0.815134,0.701002,-0.156666,-0.726671,-0.773097,0.288929,1.007632,0.644671,0.638951,2.574935,0.358875,0.040396,0.9551
property,-0.77518,0.909637,-0.631244,0.373902,-0.723688,-0.073299,0.123213,0.350929,1.485522,-0.392918,-0.217424,-1.166392,-1.551054,-0.188229,0.270683,-0.74893,-0.090132,-0.450255,0.199979,0.797969,0.527538,0.700311,2.982263,-0.087565,-0.470648,0.708845
geometry,-1.637605,0.29219,-1.032583,-0.653932,-0.668378,0.757022,0.804179,0.056727,0.505285,-1.042584,0.913092,-0.363675,-2.115745,-0.548737,0.594745,-0.33596,0.633403,-1.86076,1.375032,0.679868,0.210669,0.627736,1.886136,0.280812,1.375277,-1.46911
complex,-1.316386,0.197243,0.431784,-0.490235,0.035493,1.501811,0.989277,0.48025,0.542918,-1.243299,0.573337,-1.553627,-1.441912,-0.380812,0.75072,0.353327,-0.725025,-1.020211,0.661981,0.768873,0.11604,1.085418,2.481485,0.523395,0.206973,0.450123
linear,-0.768369,0.786624,0.89001,0.408688,-0.589867,0.606014,0.394629,0.760717,0.415961,-0.560083,0.352933,-1.503506,-1.643459,-0.880925,-1.037415,0.48646,-0.115116,-1.525185,0.569491,0.159169,0.674768,0.936202,2.713159,0.59345,0.344174,0.969045
polynomial,-0.047787,0.860169,1.035434,-0.392476,0.785989,1.221927,0.044942,0.157076,0.139837,0.412306,-0.37638,-1.562218,-0.604826,-0.097682,-0.297977,-0.843328,0.046415,-2.349385,0.195908,1.736079,0.079186,1.595792,2.223116,0.991165,-0.574235,1.544737
