word,1,2,3,4,5,6,7,8,9
formula,-0.753234,-0.003232,-0.689496,-0.168876,0.670733,-1.245014,0.905508,0.191888,-0.913874
ring,0.104984,0.814369,1.01816,-0.439078,0.205481,-1.102063,0.608282,0.506044,-1.066995
edge,1.176838,0.821195,1.052141,-1.107918,-0.187763,-1.438275,0.47017,0.239989,-1.204403
sum,-0.455678,0.708147,-0.586045,0.71658,0.491508,-1.343123,1.041307,1.018105,-0.15481
plane,0.712213,0.81239,0.09121,0.151594,0.881682,-1.498162,1.085159,0.503175,-1.092892
analysis,-1.034444,0.519889,-1.509163,-1.72572,-0.152939,-1.852413,0.883822,0.961266,1.276281
dimension,-0.633459,1.179282,-0.317777,-0.593678,0.68756,-2.194946,0.765384,0.386328,-0.390044
curve,0.80025,1.71557,-0.78519,-0.29593,-0.346906,-2.006416,0.713372,0.045668,-1.000888
type,0.536578,0.441176,0.017971,-1.025874,0.168752,-2.551932,1.160978,-0.033795,-0.078946
operator,0.376566,-0.523767,-1.461594,-0.506041,0.967629,-1.179286,0.789422,0.447503,-0.709778
prove,0.286203,0.454046,-0.065116,-0.000869,1.023662,-0.706043,0.397482,2.094344,0.172704
probability,-1.186195,1.330512,-1.838029,0.324728,0.224458,-2.212071,1.185695,1.264008,0.301711
structure,1.444833,0.603679,-0.24784,-1.690639,0.473785,-2.011937,0.327008,-0.472354,1.016375
representation,-0.463677,0.686427,-1.094205,-0.692464,0.927821,-1.5413,0.138674,0.44351,1.008756
series,-0.916378,-0.737476,1.559922,-1.594461,0.396149,-0.114517,1.297976,0.543359,-1.09484
prime,-0.56632,-0.849196,-0.016565,0.523242,1.260885,0.486429,1.01927,0.844925,0.838264
measure,0.842216,0.341706,-0.778945,-0.391659,0.145296,-2.427041,1.470734,1.005012,0.608652
equal,-0.035078,0.418076,-0.418155,0.265291,0.623265,-1.710165,1.414989,1.028516,0.310385
lie,1.311454,0.976054,1.115568,-0.516015,0.51541,-0.65372,0.62921,0.143991,0.40984
manifold,-0.27328,2.303908,-2.008027,-0.10418,0.160796,-1.785756,-0.017615,0.2384,-1.144839
degree,0.289189,-0.259451,-0.90957,-1.33286,-0.216596,-0.622946,0.896433,-0.065815,1.644514
differential,-0.548889,1.33806,-2.143218,-0.553305,0.163572,-1.993959,0.732913,0.639643,-0.354766
$\mathbb{C}$,-0.2371,0.216637,-0.034356,-0.452393,-0.332097,-0.547589,2.353659,-0.817771,-0.52576
regular,0.393111,-0.768904,0.290595,-0.753718,0.404573,-0.462914,1.213647,0.524579,-0.737249
second,0.501014,-0.468935,1.380285,-0.467823,1.110304,0.168033,1.870062,0.513057,-0.187839
triangle,0.215332,0.917178,-0.101117,-0.121147,-0.24489,-1.11001,-0.06723,-0.43936,-0.921304
subset,-0.799008,1.183262,-1.400476,0.265341,0.800053,-2.825888,0.586997,0.216027,-0.020625
circle,0.268684,0.517347,0.561063,-1.043023,0.609413,-0.669677,-0.088773,0.01256,0.02675
relation,-0.224522,-0.22881,-0.600354,-0.43259,1.241713,-0.712498,0.618887,0.776631,2.397124
positive,-1.311702,0.114864,0.086373,-0.552454,-0.072634,-1.69916,1.192312,2.074134,0.401192
simple,-0.177781,1.020091,0.292299,-1.274479,0.88362,-2.49645,-0.081933,1.084258,-0.552418
topology,-0.759409,1.899126,-2.229305,-0.492552,0.511875,-1.940934,-0.125323,0.116878,-0.647785
category,-0.70335,-0.738771,-0.183289,-1.195338,0.274243,-1.370556,0.73887,0.062135,0.460943
surface,1.467748,1.144957,0.077273,-0.885995,-0.429447,-2.912193,0.842113,0.353184,-0.716345
constant,-0.124146,1.368563,-0.661172,0.094964,0.651633,-1.769756,0.894708,1.247907,-0.087246
application,-0.149001,-0.995065,-1.736382,-1.799907,0.390797,-2.492348,0.885285,0.776293,-0.035263
integral,-0.596195,0.893101,-1.4202,-0.390008,0.727897,-1.861458,0.062247,0.052304,0.107929
coordinate,0.256821,-0.062922,-1.408092,-0.428863,0.40402,-1.718665,0.68864,0.100222,0.532944
complete,0.809323,0.068684,0.266653,-1.229178,1.060715,-0.273613,1.233582,-0.112818,0.400206
root,-0.202828,0.873394,0.861745,-0.912531,-0.218813,-1.517702,0.257471,0.525731,0.761886
length,0.667165,0.877901,1.048347,-0.537378,0.011152,-2.242364,1.609967,-0.148031,-0.91328
continuous,0.74667,0.763428,-0.774932,-0.53484,0.462637,-2.521712,0.626535,0.798685,-0.189122
logic,-1.734537,0.936131,-1.888182,-0.964105,0.661461,-1.422644,-0.144415,0.730237,0.219515
external,-0.28939,-0.806448,0.820889,-1.979547,0.272644,0.292892,1.314895,-1.073037,0.526961
side,1.577085,-0.160694,1.912634,-0.772627,0.724305,-0.68515,0.730545,0.359924,-0.601366
unit,1.487436,-0.873167,-0.545443,-0.268373,0.698156,-1.459348,2.037639,-0.09159,0.15361
equivalent,0.046996,0.067649,-0.628638,0.049962,0.765296,-1.940843,1.387624,-0.032302,0.448346
conjecture,-1.179815,2.151152,-1.845975,0.385386,0.083692,-0.615664,-0.374413,0.820001,-0.365826
infinite,-1.558335,1.514209,-0.260851,-0.155221,0.90118,-1.978128,0.298639,0.71706,-0.8193
operation,1.514885,-1.469304,-0.46737,-0.523816,1.090603,-0.814504,1.190141,0.62444,0.100809
angle,0.809295,1.423068,0.043622,-0.105539,0.132048,-2.236954,0.922068,0.536716,-1.481938
random,-0.982263,0.868482,-0.573899,-0.679048,0.149646,-1.61906,0.645328,1.261654,-0.662083
basis,0.368144,-0.040322,-0.573078,-0.669827,0.774398,-1.497294,1.245107,0.742433,0.906025
natural,0.849085,0.615907,0.303289,-1.701337,-0.368212,-1.560727,0.313353,0.036369,1.60964
power,0.789141,-0.639091,0.377764,-0.379299,1.066281,-1.238464,1.188729,1.250371,0.167128
area,2.887393,-0.594059,1.001991,-1.239473,-0.167872,-1.025499,0.941103,-0.505632,1.416065
open,1.235011,-1.010191,0.811159,-1.57915,0.812121,-0.310916,0.713488,0.001493,-0.154803
solve,-0.653183,0.433838,-0.875519,-0.320642,0.702987,-1.395775,0.098199,1.828318,0.142114
pair,0.143637,0.713261,1.022787,-0.399909,0.30728,-1.279235,1.040067,0.599551,-1.226506
hold,1.038253,-0.883637,0.810155,-0.805247,1.208691,0.211173,0.900055,0.565965,0.728367
limit,0.921271,-0.683793,-0.438855,-0.91393,0.095301,-1.482187,1.214269,0.920934,0.339853
special,0.019028,-0.890437,0.555225,-1.411762,0.546746,-0.367422,0.931694,0.75451,0.022514
