word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
form,0.160648,-0.054746,0.307398,0.163585,0.45434,0.126452,0.098772,0.656693,-1.052145,0.466235,0.499917,-0.604457,0.275574,-0.133903,-1.076971,-0.197801,-0.250776,0.151377,0.426811,-0.41189,-0.065389,-0.954051,-0.260695,-0.101678,0.289568,0.481799,-0.299041,0.194017,0.563259,-1.212401,0.593888,0.010548,-0.117708,-0.146031,0.186035,0.115216,0.249306,0.648382,-0.21362,0.000884,-0.598201,-0.1639,-0.550665,0.870045,0.27425,-0.798053,-0.677768
define,0.68932,0.296227,-0.605522,0.852138,0.155298,-0.582041,-0.095854,0.695734,-0.090726,1.384635,0.473183,-0.118379,-0.314421,-0.16966,-0.525232,0.4148,-0.309423,0.254898,0.963248,-0.374258,-0.375108,-0.200695,-0.021214,-0.019046,1.334545,0.841417,0.389064,-0.602018,0.700341,-0.485014,0.059089,-0.029737,-0.23539,-0.107499,-0.084284,0.752056,0.579632,0.92911,-0.494093,-0.144302,-0.932886,-0.387671,-1.263109,0.387607,0.369313,-0.943344,-0.314283
graph,0.445297,-0.298221,-0.883513,1.476,-0.363732,0.506781,-0.885021,1.266075,0.770737,0.941817,0.699474,0.172207,0.824494,-0.099979,1.325036,0.471197,-0.641805,-0.410635,0.564104,-0.384194,0.045751,0.627318,-0.112271,0.45035,2.202732,2.014381,-0.588082,-0.454483,0.808252,-0.50155,0.169923,0.484156,-0.691024,0.309903,0.511284,1.01772,1.052752,0.990182,0.113882,-0.652775,-1.186656,-0.882068,-0.62219,-0.266087,1.10431,-0.288784,1.099521
value,1.161289,0.583752,-0.362459,0.669234,-0.133908,-0.422931,0.211416,0.839075,0.536543,1.154468,-0.250786,0.098241,-0.076488,-0.610072,-0.865473,-0.134433,0.191776,-0.434964,0.048075,0.061061,-0.512075,0.365842,0.337556,1.114924,0.640619,0.399395,1.342352,-0.276648,0.988589,-0.294799,0.026949,-0.265269,0.212643,-0.167929,-0.201486,0.064217,0.995502,1.621586,0.057924,-0.362504,-1.440383,-0.79668,-1.217768,0.46264,0.329998,-0.89318,-0.639718
problem,0.361006,-0.608601,0.018687,0.344393,-0.182998,-1.232909,-0.15785,-0.045525,0.542926,0.538952,0.822141,0.613002,0.057367,-0.492044,-0.653366,0.260609,-0.162711,-1.363906,1.218275,-0.466136,-0.013657,0.357802,0.486215,0.363828,0.451795,0.355856,-0.200728,-0.216793,0.054903,-0.031748,0.009394,0.399794,-0.260699,-0.12566,-0.366165,-0.043735,-0.062174,1.016107,0.553433,-0.106872,-1.113685,-0.258738,-1.216902,0.239696,-0.201696,-0.871154,-0.163794
mathematic,-0.154463,-1.792141,0.520684,0.377822,-0.259741,-0.791026,-0.272225,1.354028,0.485887,0.532381,0.250405,0.07537,-0.832652,-0.803052,0.101547,0.799181,0.048315,-0.15676,-0.012856,-0.668357,0.48634,1.047532,0.218311,-0.304525,2.935613,-0.271396,-0.00293,-0.003061,0.36998,-0.036811,0.273718,-0.174385,1.14102,0.145727,0.293518,0.113754,0.971272,-0.287329,0.162412,-0.720452,-1.517674,-0.808817,-0.169021,-0.194399,0.655758,-0.905015,0.433227
order,0.255276,-0.332325,0.339524,0.75145,-0.527789,0.261784,-0.255439,-0.491686,-0.493329,0.57879,0.318745,0.31521,-0.132537,0.384445,-0.454017,-1.190451,-0.636057,-0.312392,0.81403,0.268131,-0.177539,0.11518,-0.080216,-0.423407,0.085932,0.138196,0.279037,0.254183,0.43708,-0.553337,-0.271602,-0.173765,0.257371,0.429508,-0.226673,-0.548502,0.087579,0.37404,-0.24003,0.34077,-0.114248,-0.431897,-1.328211,0.712148,0.291458,-1.314113,-0.375535
equation,1.398632,-2.089401,-0.386908,0.471622,-0.761209,-0.441682,-0.644158,0.711926,0.835197,1.186624,0.037738,0.889528,-0.233787,-0.184768,0.214174,0.868265,-0.350216,0.100563,0.140652,-0.502984,0.668008,-0.483034,0.930577,0.640045,1.734605,0.954623,1.091507,0.053776,0.385131,-0.651222,0.317327,1.397608,-0.598886,-0.408888,0.209732,0.949196,1.073914,0.85369,0.18378,-0.953293,-1.577396,-1.937379,-0.939498,0.826103,0.135331,-0.230598,0.525305
first,0.311938,-0.728558,0.146821,0.296686,0.042566,-0.002656,0.055666,0.036171,-0.141367,-0.48531,0.292539,0.022903,0.266146,0.041499,-1.195429,-1.261811,0.129901,0.233486,0.444756,0.05736,0.111985,-0.31249,0.10201,-0.669746,0.141078,-0.231454,-0.464738,0.15064,0.164726,-0.301926,-0.457518,-0.106268,0.511862,0.192139,0.576556,-0.817528,0.278354,0.357793,0.064883,-0.000193,-0.013247,0.051544,0.409401,-0.067413,0.169449,-1.024297,-0.083261
vector,0.890058,-1.226373,-0.394708,0.60533,-0.499316,0.168956,-0.049718,0.803278,0.773111,1.209387,0.253299,0.381999,0.500089,0.580151,0.189576,0.479239,-1.025484,0.744659,1.514482,-1.23483,-0.758384,0.368693,0.150244,0.48351,1.065766,1.162873,1.03871,-0.853625,-0.034289,-0.728177,0.644395,0.025014,-0.961961,0.448131,0.272198,1.053653,0.961148,1.445362,-0.43532,0.111909,-1.48557,-1.255095,-0.50776,0.382401,0.552238,-0.398411,0.243143
