word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
result,-0.079018,-1.121801,-0.026538,1.808198,1.285936,0.483168,0.091166,-0.761374,-0.474836,0.126859,0.665052,1.302638,-0.225271,-0.214498,0.040034,-0.704936,0.164995,-0.78087
vertex,-0.26261,0.309615,-0.829238,-0.356325,2.603128,0.514773,2.334544,1.147235,-1.815597,0.162154,-0.318403,-0.748482,0.794396,-1.437867,0.307563,0.999112,-0.027203,-0.474229
term,-0.399834,-1.294151,-0.699122,1.287209,0.661682,-0.114269,0.523729,-0.574026,-1.013545,0.171448,1.03063,0.150596,0.722832,0.338744,0.050378,-0.662923,-0.204189,-0.61649
line,-0.437069,-0.435187,-0.207143,2.050247,1.041005,0.21642,0.960776,0.357415,0.446961,-0.588028,-0.42577,-0.004096,-0.459536,0.005898,-0.102113,0.448667,1.419992,-0.186635
model,-0.650753,-0.881625,0.397641,1.086689,0.295883,-0.189643,-0.040209,-0.232527,-1.432763,-0.628021,-0.115757,-0.316665,0.560272,-0.748031,-1.061686,0.056445,0.480891,-1.30619
real,-0.416343,-0.277085,-0.226141,1.575628,-0.490747,0.012865,1.00317,0.03663,-0.474837,-0.434107,0.829276,0.008237,-0.029093,-0.848027,-0.518382,-0.845963,-0.359171,-0.601884
property,0.127771,-0.399005,-1.150263,1.633142,0.919037,-0.948882,0.756978,-0.659796,-0.567088,0.245167,0.625924,-0.386509,1.32167,-0.372993,-0.388685,-0.498756,1.500945,-0.041466
geometry,-0.167102,-1.017862,0.654986,-0.278688,1.769074,-1.308583,1.570714,0.047732,-1.26936,-0.203139,-0.396534,-1.550178,0.918964,-1.179556,-0.993384,0.889782,-0.469451,-0.816877
complex,0.061471,-0.776677,-1.000356,1.868489,1.148581,-0.92538,0.694528,-0.139265,-0.73033,-0.327276,-0.218522,-0.79089,0.421717,-0.878302,-0.312954,0.535695,-0.00315,-0.223913
linear,-0.491289,-0.215832,-0.143943,0.707939,1.617475,0.251805,1.17435,-0.386946,-2.019188,0.26062,0.422092,-1.033067,0.7189,-2.304025,-0.449887,1.616666,0.661028,-1.637946
polynomial,0.109855,-0.116658,-0.714808,-0.949707,1.723566,-0.122754,2.415537,-0.006735,-1.897565,1.762834,0.233466,-0.666355,0.997396,-1.683236,-1.459442,-0.207578,-0.644637,-1.734073
algorithm,-0.0398,-0.263324,-0.11762,-0.1591,0.886296,-0.222589,0.896299,-0.220832,-2.70112,0.34034,-0.826534,-0.993063,0.825907,-0.963786,-0.982906,-0.730057,-0.218318,-1.862277
mathematician,-0.083257,-0.954858,1.074494,-1.535216,0.086605,-1.695481,-0.293509,0.502246,0.808065,1.238941,1.064232,-0.74695,1.533572,-0.266403,-1.126157,0.692057,-1.078537,-1.854116
definition,-0.563209,-1.313357,-0.652798,0.445595,0.874599,-0.281674,1.294108,-1.067227,-2.232836,-0.234133,0.64407,-0.569812,0.553906,-0.506797,0.037727,-0.326453,-0.209012,-0.86814
product,-1.389776,-0.661533,-0.950971,1.814091,-0.418953,-0.184743,-0.212207,-0.977463,-1.624583,-0.597605,-0.731361,0.415459,1.532316,-1.111615,-0.925031,-0.465694,0.965743,-0.239202
state,0.297305,-1.19575,-0.754601,1.300891,0.700181,-0.156473,-0.183719,0.255562,0.373311,-0.841201,1.847179,0.004005,0.39874,0.06744,0.85036,-0.833649,0.941484,-0.481677
sequence,-0.266041,-0.296104,-0.314764,1.051615,1.120001,0.938493,1.200622,-0.827479,-1.756876,-0.405046,-0.18936,-0.843361,-0.022364,-0.440586,-1.230215,0.386674,-0.753323,-0.785217
distribution,-1.004605,-0.443316,-0.821372,1.292828,0.613744,0.524351,0.054507,-2.163484,-0.879356,-0.126946,-0.064178,-0.318824,1.198054,-0.86665,0.34904,0.220435,0.356686,-0.71807
variable,-0.499699,-0.273972,-0.12039,1.034743,1.884782,0.540967,1.047766,-1.606655,-2.33397,0.201703,-0.348606,-0.424485,0.518444,-0.930827,-0.786152,0.36915,-0.039994,-1.3232
solution,-0.538118,-0.471727,-0.332443,1.318484,0.546246,-1.053985,0.31187,-0.939832,-2.088662,-0.243946,-0.047259,0.163815,1.040588,-1.372715,-0.960344,-0.68912,0.181066,-0.481228
square,-0.576097,-0.03967,-0.366866,1.223968,0.690884,0.319442,1.327893,0.845615,0.234357,0.137872,0.498501,-0.572318,0.26489,-0.715333,0.768823,1.235071,2.070648,-0.188217
map,-0.522106,-0.029176,-0.586663,0.929177,0.883225,-0.941094,1.295278,-1.363477,-0.242694,-0.734542,-0.107572,-1.370274,0.206172,0.028206,-0.007705,0.620633,0.686965,-1.101511
class,-0.365501,-1.204017,-0.138936,0.714079,0.940715,0.353395,0.069255,0.112648,-0.130559,-0.392176,-0.0612,0.428495,-0.081468,0.510161,-0.286887,0.109129,0.963379,-1.022914
integer,-0.544922,0.056945,-1.009996,-0.745895,1.885409,0.812751,2.468903,-0.089296,-2.231585,0.816509,0.410699,-0.54197,0.723946,-1.253439,-1.052166,0.529776,0.343958,-1.654862
mean,-0.549977,-0.482703,-0.891099,1.862279,0.627325,0.476597,0.723285,-0.263399,-1.213622,0.319383,0.699207,0.185103,0.199022,0.504836,-0.095344,0.433104,-0.355101,-0.055418
