word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
form,0.414489,-0.909641,0.084378,-0.110972,-0.213921,-0.006979,-1.173763,-0.74925,-0.468493,-0.800134,-0.153283,-1.005482,0.820366,-0.640527,0.022685,-0.481523,-0.867542,1.047323,-0.261669,0.080552,0.715738,0.133307,0.729677,-0.429163,0.285511,-0.367832,-1.264179,0.126022,0.733804,0.036955,-0.012805,-0.35757,-0.156063,-0.766806,0.066821,0.154157,-0.037186,-0.027414,3.148554,0.024619,-0.412551,0.947565,1.018197,0.311673,-0.606322,-0.093503,-0.782358,-0.108657
define,-0.433595,-0.419844,-0.462873,0.286929,0.024902,-0.362618,-1.28769,0.264192,-0.614921,-0.576725,-0.162978,-1.1754,0.470031,-0.59633,-0.013359,-0.442871,-0.399156,1.469032,0.194871,0.010886,0.274758,0.349264,0.836584,-0.52213,0.252586,-0.435339,-1.76362,-0.112116,0.265742,0.247967,-0.048535,-0.059766,0.351798,-0.618638,0.438517,0.262666,0.107874,-0.183699,3.106093,0.380355,-0.814959,-0.070929,1.060357,0.412389,0.291091,-0.182452,-0.553003,-0.476107
graph,1.239853,0.255905,1.060665,-0.703382,-0.257515,0.90822,-0.955238,-0.09273,-1.317947,-1.464683,-0.372344,-1.736239,0.197416,-1.468167,-0.704618,0.295822,-0.430319,-0.381096,-0.054612,-1.24418,-1.120963,-0.667128,-0.540425,0.06434,-0.359442,-0.638834,-1.019369,-0.934451,0.09373,-0.051651,-0.98076,-0.196831,0.159754,0.615488,0.585067,1.49192,1.214886,0.202157,2.907675,-1.116517,-0.14613,0.639498,0.26396,-0.476779,0.679775,-0.034747,-2.009548,-0.99018
value,-0.401915,0.09441,0.17386,-0.042653,0.905125,-0.347744,-1.350885,-0.401438,0.641606,-1.12283,-0.891242,-1.686507,1.319211,0.654486,0.050146,0.06854,-0.301003,1.830112,0.529195,1.019984,0.294983,-0.008721,-0.144098,-0.669551,-0.317061,-0.719342,-1.219799,0.426215,-0.254339,-0.010507,0.387618,-1.031243,0.592567,0.349566,0.447439,-0.350924,0.484959,-1.068045,2.384498,0.833159,-0.705897,0.657377,1.036026,0.340379,0.645117,0.332071,0.00259,-0.518426
problem,1.645356,-0.093972,0.383716,-0.186121,0.717272,0.4878,-0.812929,0.235947,-0.139054,-1.361852,-2.223083,-0.26183,-0.607434,-0.25472,-0.908332,-0.470116,-0.755808,0.267723,0.638252,0.650716,0.534719,-1.004088,-0.189193,-1.35772,-0.12273,-0.278118,-1.67652,-0.528808,-0.147205,0.280451,-1.200364,-1.146258,0.483789,0.783383,-0.303669,-0.338762,1.203748,1.071763,1.977439,-0.259427,-0.348622,1.055898,0.839809,-0.595164,-0.000956,-0.926485,-1.13273,-0.570801
mathematic,-0.037247,-1.868494,-0.116109,-0.134708,1.069443,0.779939,1.372098,-0.731567,-0.325937,-0.68948,-1.081307,-0.221256,0.149517,-0.106763,0.354178,-0.890153,-0.732395,0.976067,0.021198,-0.222826,-0.462284,-1.043087,0.096973,-1.558797,-0.022417,0.140621,0.041848,0.167163,0.699822,0.408439,-0.615527,-0.353365,0.062588,0.365537,-0.166107,-0.170785,-0.222555,0.278566,2.778237,0.271631,0.877433,0.185146,0.256555,-0.102769,-0.132684,-0.060839,-0.276002,-2.003954
order,0.149323,0.124574,0.175414,-0.575857,-0.113584,-0.095699,-1.83108,-0.906927,0.247491,-0.153083,-0.216804,-0.482407,-0.13176,-0.852121,-0.641505,-0.636382,-0.33144,0.090168,0.097684,0.975957,0.345006,0.613784,0.555298,-0.510181,0.584645,0.262392,-0.407683,-0.437745,1.485181,-0.206562,0.043435,-0.467049,-0.102666,0.273979,0.597873,0.729617,-0.302764,-0.166027,3.015576,0.358602,-0.981889,0.381311,0.96277,0.066997,0.838585,-0.352054,-1.966111,-1.922369
equation,1.462676,-0.766144,-1.038419,-0.83635,-0.468858,-1.682891,-0.641222,-0.954806,0.553975,-1.07233,-1.004469,0.223607,0.059722,-1.20422,-0.430584,-0.40362,-1.403674,1.283275,1.180031,0.975028,1.613741,0.216513,0.756685,-0.960233,-0.335263,0.275435,-1.482497,0.557397,-0.397032,1.06627,-0.336428,-0.708203,1.556292,-0.547757,0.028926,0.397911,0.953949,0.171399,2.501553,0.635203,0.297782,1.576192,0.025017,0.543591,-0.658781,-0.166606,-0.333493,0.158557
first,0.504504,-0.870003,-0.336122,-0.243422,0.66669,-0.53948,-0.131992,-1.289394,0.469868,-0.872932,-0.437964,-0.400054,0.087316,-0.407895,-0.246711,-1.196157,-0.291853,0.601503,-0.089037,0.83903,-0.03099,0.1516,0.260763,-0.912412,-0.477473,-1.028702,-1.049261,-0.206683,0.785966,-0.510504,0.054246,-0.44104,-0.25043,0.583515,0.497603,0.036839,-0.156082,0.471707,2.8182,0.300585,-0.634173,0.854021,0.376818,-0.044627,0.117189,-0.578493,-0.633619,-0.597523
vector,0.89838,-0.822733,-0.936684,0.43996,-0.892671,0.030091,-0.628195,-0.050238,-0.212495,0.028489,0.28596,-1.097079,1.773394,-0.17222,-0.313165,-0.530055,-0.951014,1.719559,-0.622318,0.407313,0.96714,0.5282,0.49117,0.029011,-0.216744,-0.517328,-1.788077,-0.163983,-0.508906,-0.265289,-0.116695,-0.628446,1.062793,-1.210589,-0.854415,-0.511717,0.470663,-1.250665,2.988035,1.235866,-0.521318,0.090515,0.649539,-0.596744,0.697632,0.27407,0.046129,-0.535678
