word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
graph,2.091141,-1.150443,0.458644,-0.673966,0.476994,-0.518717,-0.460162,-0.4054,0.321756,-0.529825,-0.960097,-0.0353,0.557477,-1.205098,1.218772,-0.932948,0.083974,0.911822,-0.122863,0.277816,-0.08473,-0.149957,-0.358123,0.62259,-0.140836,0.826523,0.262442,0.210686,-1.139771,0.554432,-0.421137,-0.452742,-0.409843,0.642066,-2.175228,0.167455,-0.745885,-1.25231,-0.927227,1.95277
value,1.660547,0.351823,-0.38182,0.198787,0.150877,0.750658,-0.52624,-0.394673,0.293175,1.197529,-0.849767,-0.073163,-0.5677,-1.721949,0.376039,0.550411,-0.452705,-0.21266,0.551356,0.27542,0.054338,-0.097635,0.242616,0.2749,1.229432,-0.259333,-0.678254,-0.022785,-0.429779,0.154965,0.545475,-1.052744,0.026343,-0.73823,-0.973026,-0.369737,-0.074652,-0.45446,-0.612233,1.907976
problem,1.257591,-0.028905,0.153075,0.157296,0.024231,-0.110256,-0.069096,-0.218316,-0.164665,0.884722,0.193274,-0.862056,0.401012,-1.271649,0.219841,-0.616626,0.200515,0.283636,0.682755,0.409276,0.817413,-0.230023,-0.693734,-0.651892,0.17174,0.066528,0.220563,-0.427812,0.492759,0.083332,0.345278,-0.796112,-0.346287,-0.55088,-0.282857,-0.583952,-0.667907,-0.189569,0.403686,1.756671
mathematic,2.091081,0.515581,-0.694117,-0.319363,1.098375,-0.57135,-0.391927,-0.023547,0.208975,-0.586747,-1.406735,-0.769849,-0.011641,-0.799878,-0.056219,-0.469762,0.843952,0.906746,-0.001986,-0.071852,0.488597,1.297157,-1.177749,1.194599,1.277274,0.085824,1.733134,-0.229581,-0.443847,-0.058842,-0.395188,-0.786382,-0.451313,-0.186242,-0.544412,-0.932928,-0.619991,0.354024,-0.777756,0.647095
order,0.06866,-0.482059,-0.165188,0.232746,0.622348,0.692366,0.633058,-0.1534,-0.402526,1.138796,-1.087365,-0.317671,-0.850333,-0.973119,-0.118436,-0.43549,0.131473,0.356268,-0.047446,0.224376,0.287606,-0.019535,0.214696,-1.095069,0.027675,0.632864,0.054676,0.369005,-0.225043,-0.84349,0.832147,-0.343551,0.465473,0.127684,0.224951,0.015135,0.033532,0.168034,-0.036743,0.871892
equation,1.685282,0.296533,-0.068266,-0.500076,1.288437,-0.720916,0.622974,-0.445822,-0.560171,-1.362394,-1.149474,-0.708912,0.088843,-1.921443,1.124673,-0.247358,-1.100131,1.50102,0.693951,0.569032,0.541515,-0.075426,-0.797915,1.197448,0.537001,-0.796936,0.508594,0.336107,0.255326,0.576701,0.834845,-0.254548,-0.476507,-0.888492,-1.932362,0.41356,-0.469926,-0.585617,-0.120585,2.134804
first,0.297176,0.002963,-0.461918,-0.186195,0.54288,0.359579,0.114679,0.265442,-1.009544,1.347271,-0.343516,-0.397344,-0.900841,-0.091031,-0.144089,0.036289,0.629146,0.568933,-0.559949,0.326239,0.159958,-0.081653,-0.195251,-0.647031,-0.006537,0.171193,0.257991,0.484677,0.100242,-0.131783,-0.265854,0.398287,-0.817606,-0.277289,0.407386,0.056608,-0.276471,0.404575,0.039903,0.010123
vector,0.982761,0.540162,0.322996,-0.290453,1.57942,0.342789,0.472559,-0.784003,0.117763,-0.42476,-0.417821,0.549619,0.261865,-1.776626,1.017052,-1.071724,-0.855728,1.230896,0.394022,0.466288,0.314115,-0.780708,-0.042613,0.355489,0.739831,0.604878,0.471762,-0.049615,-0.806035,1.314568,-0.088807,-0.405046,-0.696158,0.181003,-0.735701,0.627634,-0.099848,-0.552985,-1.037819,2.495847
algebra,1.697678,0.299742,0.292147,0.14555,0.465339,-0.562225,0.547398,-0.89986,0.571381,-1.24687,-1.520131,0.2126,0.281621,-1.793965,0.163523,-0.813336,-0.359321,2.530276,-0.208117,0.380886,0.263795,0.816505,-0.278387,1.147202,0.467236,0.339735,1.303582,-0.021676,-0.652158,-0.073128,-0.642216,-0.445595,-0.45824,0.874548,-1.074636,-0.580838,-0.70543,-0.61371,-1.288278,1.633406
$\mathbb{N}$,0.832997,0.742458,0.394005,-0.465791,0.266159,0.629963,0.679876,0.018097,0.205655,-0.176388,-0.756539,0.195861,0.180689,-0.653176,-0.408624,1.222151,-1.169301,1.282736,0.0911,0.021865,0.018409,-1.198436,0.58443,0.090066,-0.057808,0.481309,-0.133266,0.955384,-0.093397,0.420369,0.034587,0.507238,-0.604884,0.04686,-0.677243,0.458218,0.67519,-0.289795,-0.654639,1.058066
