word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
equation,-1.1607,-1.031582,-2.367109,1.787565,1.05068,0.704289,0.588997,1.411557,0.218043,-1.065874,0.998855,-0.129174,0.308907,0.558448,-0.994613,-0.971036,-1.842523,0.938958,0.892214,0.120581,-0.03386,-1.015866,-0.535455,0.479317,-0.614576,1.483683,-0.064111,-0.250962,-0.750021,0.310032
first,-0.2529,-0.035585,1.149032,0.176145,0.0315,0.157259,-0.356848,-0.427782,-0.087829,0.163477,1.085071,-0.237346,0.208869,0.331698,0.346758,-0.197936,-0.164213,0.814177,0.578649,-0.081709,-0.970145,-0.130214,-1.068318,-0.239884,0.750449,-0.489316,0.15235,0.482859,0.364825,-0.076397
vector,-0.467648,-0.39524,-2.612987,1.244999,1.11284,0.037004,0.233602,1.121157,0.144752,-0.540285,1.484018,0.474076,-0.565165,0.230411,-1.049544,-1.097924,-0.659625,1.144759,0.210594,0.534104,-0.327552,-0.867196,-0.134866,0.911216,-0.215076,0.16853,0.586516,-0.807319,0.337798,1.183361
algebra,-1.314802,0.734788,-1.800661,0.698471,1.643513,0.82097,0.797715,1.192912,0.139434,-2.420133,0.926314,0.265307,0.809272,0.776212,-1.558175,-1.361215,-1.035024,1.386323,0.115121,0.563897,0.219503,-0.220142,0.773455,-0.035839,-0.130532,0.864588,0.206288,-0.057445,-0.036203,1.109976
$\mathbb{N}$,0.349188,0.112198,-0.918997,-0.144143,0.922148,0.650018,0.303349,0.932708,-0.600494,0.27286,0.544427,-0.331253,-0.446402,-0.150849,0.410782,-0.914818,-0.178693,1.482733,0.896529,0.452499,0.495253,-0.452148,-0.232779,0.169737,-0.528177,0.412354,-0.298336,0.732273,0.017782,1.857679
field,-0.27545,0.003473,0.060301,0.657529,0.091101,0.273305,-0.014948,-0.74445,0.415099,-0.101478,0.894418,-1.221637,0.02621,0.599537,-0.448017,-0.415937,-0.593842,1.166247,-0.506127,0.360413,-1.160002,-0.813681,-1.009739,0.420445,-0.075302,0.637953,0.753415,0.552468,0.316135,-0.17404
element,-0.1863,0.672781,-0.259931,-0.81296,0.824163,0.278112,0.54806,0.449508,-0.217584,-0.278304,2.031306,-0.224455,-0.309716,0.196017,-0.341068,-1.077732,-0.410538,-0.131466,0.0509,0.459074,-0.309816,-0.765055,-0.864294,0.657838,0.088453,0.884028,0.616539,-0.762627,-1.00616,0.743564
system,0.023326,-0.105672,-1.076702,0.324953,0.393518,-0.385186,0.018266,-0.064538,-0.586375,-0.480823,1.639057,-0.597194,-1.338342,0.587355,0.195137,-1.794199,-0.556505,0.868347,-0.963221,0.373346,-0.900999,-0.338162,-1.327996,0.960783,0.358054,-0.232826,0.046863,-1.017768,0.085466,-0.285938
matrix,-0.678652,-0.53035,-2.061911,0.293306,0.776904,0.108759,1.018603,1.338193,0.350423,-0.47519,1.690025,-0.047797,-0.381156,0.78767,-0.95396,-1.283629,-0.222794,0.642251,0.273306,0.072634,0.090615,-0.613811,-0.106028,0.050455,-0.085419,0.695844,0.27125,-0.264843,-0.622207,1.809479
mathematical,-0.709286,-0.49008,-0.649049,0.910593,0.623548,-0.101894,0.494746,0.631915,0.550531,-2.330755,1.90308,-0.235284,1.342164,0.470637,-0.651676,-1.108954,-1.90352,0.807098,-0.607814,0.392523,0.02574,-0.561526,0.305114,-0.092312,-0.116014,1.067548,0.620409,-0.284565,0.26424,-0.329876
