word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
element,0.209649,0.417539,0.857883,0.156336,0.317646,0.657997,1.697687,-0.856854,0.531516,-0.814208,1.741267,0.1379,0.926474,1.632567,-0.088998,-0.249177,0.72483,1.852737,-1.853209,-0.390021,0.273169,-0.911333,-1.005306
system,0.235943,-0.181634,-0.593184,-0.01072,0.570159,0.469529,1.340453,-1.147316,-0.504422,0.505961,2.09079,-0.579777,-0.068493,1.717438,-0.672238,-0.663251,1.663621,-0.331221,-1.475,0.289864,0.602416,-1.059993,-1.41937
matrix,-0.745526,0.252271,1.975995,0.731592,-0.549804,0.52305,1.973008,-2.537316,1.508167,-0.274557,2.533379,-0.341099,0.189735,0.720502,-0.416423,-0.731293,0.667429,0.467683,-0.818307,0.001515,-1.254961,-0.99343,-0.567157
mathematical,1.608163,-1.214082,-0.560906,0.386307,-1.096803,1.277184,0.827636,-1.127748,-0.292888,0.172657,1.472666,-0.789669,-0.166184,1.986137,-1.562678,-0.496412,0.685623,0.184409,-1.302477,2.159721,1.49437,-0.164787,-0.399702
method,-0.415533,-0.596906,0.813712,-0.661572,-0.955572,1.627758,1.08566,-1.061444,0.365295,0.316007,2.240723,-2.039496,-0.621736,1.392091,-0.92634,-0.095699,1.42679,-1.021378,-0.139698,0.22032,0.166072,-0.603865,-1.495587
finite,0.800905,-0.544534,1.614636,-0.55507,0.479406,0.367774,2.030308,-0.33939,0.316184,-0.832697,1.545689,0.24968,0.749005,2.116724,0.041739,-0.652646,1.558458,1.260417,-0.658936,-0.641534,0.616695,-0.710732,-0.754795
result,-0.232854,-0.161174,0.970599,-0.553378,-0.502947,1.372319,0.748372,-0.474231,0.700092,-0.360367,1.298214,-0.910262,0.254161,1.476642,-0.102819,-0.686949,2.388668,0.227453,-1.339914,-0.109722,0.315884,0.112101,-0.702397
vertex,-0.40664,1.445424,0.196482,-1.73794,-0.190227,1.045148,1.230112,-1.854382,1.836916,0.437151,1.01802,0.883891,0.077428,2.31984,2.076318,-0.52023,-0.038694,1.772223,-0.922936,-0.3576,1.307248,0.572739,-1.683074
term,-0.308988,-0.030633,0.307359,-0.227477,-0.071268,1.527044,1.242427,-0.711837,0.724949,-0.121969,1.848542,-0.252955,-0.041045,0.987404,-0.939795,-0.308611,1.635653,0.442101,-1.702923,-0.864766,0.703733,-0.556441,-0.111899
line,-0.988613,1.00946,-0.342865,-1.330162,-0.298311,-0.264385,1.146068,0.420234,2.149531,-0.274904,1.797474,-0.611162,0.040193,1.495504,0.228312,0.076729,0.851454,1.177965,-1.343326,0.249128,1.367911,0.122807,-1.28955
model,0.228107,0.127986,-0.944335,-0.591545,1.180057,1.270645,0.892971,-1.111207,-0.154255,0.048659,1.28897,-1.023794,0.219088,1.604173,-0.395518,-1.829492,2.208596,-0.395777,0.130143,0.461785,1.60827,-0.49168,-0.70674
real,0.501877,-0.415039,1.247064,-0.701313,-0.503666,-0.043745,1.918257,-0.074765,0.692907,-0.166118,2.457918,0.003497,0.348617,1.067988,-1.031372,-0.583622,1.622773,1.13545,-1.063108,-0.634315,0.711702,-0.614067,-0.364642
property,0.25705,-0.172197,1.179735,-0.131712,0.262633,1.102211,1.409084,-0.089716,1.137703,-1.674365,1.798271,0.321585,0.073408,1.475176,0.105704,-1.103805,1.865244,0.240483,-0.970938,-0.086844,0.650376,-0.512145,-0.561236
geometry,0.379118,-1.518177,0.395698,-0.2413,-0.748209,-0.38016,1.010637,0.109215,1.615528,0.498993,1.440719,-0.375465,0.015669,2.701687,-0.45164,-0.857176,0.532209,-0.337621,-1.143559,1.164759,2.205361,0.228209,-0.154466
complex,-0.044872,-0.77856,1.449822,-0.117569,0.411245,-0.495199,1.951959,0.051528,1.143576,0.505129,2.038493,-0.291549,-0.139367,1.649547,-0.769523,-0.702207,1.404219,0.902972,-0.681882,-0.627081,1.30275,-0.439598,-0.010082
linear,0.259505,0.16006,1.620981,-0.18214,-0.001842,0.593662,2.139109,-0.990121,0.704559,0.116292,2.5257,-0.781009,0.074204,0.909313,-0.467678,-0.937184,0.992479,-0.025615,-0.350568,0.394966,0.599715,-1.349495,-0.889304
polynomial,-0.837461,-0.864777,2.726856,-1.301235,-0.581276,1.858789,2.059781,-0.9267,0.130174,0.450262,1.364284,-0.82718,-0.387667,1.245064,-0.536703,-0.203652,0.788962,0.594216,-0.6633,-0.975987,0.21625,-1.443211,0.280358
algorithm,-0.495794,-0.623171,0.931208,-1.527246,-0.357444,1.521113,1.672497,-1.949627,-0.152954,0.525532,0.832872,-2.406648,-0.526423,1.67167,0.231518,0.37714,1.718476,-0.423687,0.417849,-0.339847,-0.801136,-0.855057,-2.141136
mathematician,1.040825,-1.648,-0.041622,0.069927,-2.195651,-0.135022,0.193089,-1.918713,-1.203938,1.582943,0.568432,-0.431278,-0.549586,1.20336,-1.334865,1.225167,1.348334,1.510856,-0.999702,1.010363,2.411847,0.419147,0.745403
definition,0.365877,-0.746098,0.574078,-0.442948,0.147473,0.958255,1.572701,-0.088733,1.180562,-1.189552,1.544479,-0.209684,0.102634,0.970478,-0.176423,-0.863268,1.842251,0.808394,-1.163708,-0.491797,1.146262,-0.841732,-0.16486
product,-0.752586,-0.239286,0.72704,0.683749,0.184942,0.289841,2.570944,-0.749087,1.533893,-1.140285,1.243596,0.187635,0.328062,0.912258,-0.212079,0.151833,1.524979,1.225632,-1.31722,0.128039,0.049389,-1.13822,0.196541
state,1.062027,0.942332,0.240843,-0.408699,-0.428593,0.482978,1.06922,-1.484714,-0.348679,0.331556,1.180934,-0.34118,-0.725748,0.837386,0.096621,-0.305511,2.231755,0.42722,-1.643932,0.410536,1.360204,-0.504383,0.109049
sequence,-0.185579,-0.296156,0.979707,0.393568,-0.500303,1.742191,1.97626,-0.186951,0.165321,-0.090864,1.333063,-0.165272,0.732046,1.005181,0.602164,0.201671,1.914273,1.818,0.394191,-1.448645,0.399238,0.13871,-0.420478
distribution,-1.059441,0.999072,0.120702,0.184078,-0.046897,2.023853,1.263061,-1.218605,0.726339,-0.467938,1.572698,-0.946044,0.29538,0.464776,-1.446347,-1.372046,2.763018,1.000666,1.186493,-0.713103,1.346638,0.486907,1.236898
variable,0.023176,1.123019,0.310477,-0.302894,0.041275,2.120445,1.164366,-1.255238,0.451159,-0.14759,2.677672,-0.926122,0.823188,-0.320553,-1.380313,-1.151179,1.269392,0.980616,-0.697316,-0.848787,1.354498,-0.897091,-0.000354
