word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
define,-0.241253,0.001718,0.84072,-0.511095,0.041293,-0.092494,0.10089,1.184792,0.046619,0.215727,-0.338723,0.347499,0.437098,-0.475318,-0.22918,0.714063,-0.36807,1.358455,-0.546061,0.023314,-1.788864,0.46036,0.545324,-0.003392,0.279814,-0.597402,-0.453929,-0.470485,0.211883,0.648779,-0.643607,0.84901,0.020569,-0.161425,0.587586,0.803214,-0.573569,0.726893,-0.009144,-0.54367,1.049691,0.983272,-0.243303,0.130357,-0.396479,-0.768267
graph,-0.136337,-0.195766,0.363865,-0.143702,0.863386,-0.486683,0.596525,1.285642,-0.870363,-0.968138,-1.141387,-0.506366,1.377761,0.426092,-0.224982,1.334207,-0.612632,1.398575,-0.779674,-1.149483,-1.699067,-0.228316,-0.555288,-1.309633,-0.423595,-0.645859,0.486449,-0.089317,-0.434354,0.985659,-0.680355,1.797658,-0.184425,-0.32973,-0.392215,1.528598,-0.837651,0.252464,-0.135636,-0.856198,0.691992,0.718563,-0.619547,0.904256,-1.33544,-0.339446
value,-0.05976,0.026649,-0.420859,-0.328627,-0.044903,-0.595069,-0.569671,0.306196,-0.218384,0.50908,-0.14297,0.032773,0.729918,-0.268686,0.581194,-0.059938,-0.979241,1.804291,-0.153113,-0.23394,-1.580847,0.61744,0.281149,0.181124,0.347362,-0.839193,-0.514074,-0.278152,-0.401744,1.156336,-0.476239,0.559275,0.075089,-0.181939,1.248441,-0.202106,-0.572478,1.238912,-0.344292,0.304896,1.019808,1.391623,-0.325598,-0.15195,-0.07567,-0.985204
problem,-0.062742,0.317029,-0.109061,0.390728,0.109945,0.416068,0.555902,0.718189,-0.31578,0.305509,0.243227,-0.231864,-0.27777,0.012297,0.03696,-0.406514,0.039122,0.685227,0.211169,-0.701379,-2.09439,0.46296,0.215469,0.508888,-0.098244,-0.761681,0.14065,-0.394352,0.196809,1.331066,-0.958646,0.577681,-0.44991,-0.223536,0.156877,-0.045601,0.282587,0.650243,-0.256075,-0.508554,0.632015,0.47887,-0.484803,-0.211141,-0.476049,0.457109
mathematic,-0.602901,0.543904,-0.533913,0.506211,0.899038,0.482146,-0.66086,0.675505,-0.34877,-1.064432,1.174806,-0.204634,1.270988,0.816031,0.301433,0.182765,0.35611,-0.425861,-0.258506,-0.245625,-0.947027,0.617267,-0.350368,0.166785,0.142637,-0.712209,-0.119179,0.232389,1.133032,0.783756,-0.153195,1.157215,-0.622765,-0.349417,0.078152,1.577207,-1.221041,1.634167,-1.19325,-1.15395,0.964208,0.619856,0.42459,0.58513,-1.060507,-0.313927
order,-1.018401,-0.002236,0.667552,0.062638,0.011985,0.439146,-0.455162,0.619543,-0.31975,-0.440907,-0.14868,-0.140511,-0.92481,-0.844734,-0.025037,0.647068,-0.435736,0.32691,0.00066,-0.061429,-0.690415,0.136739,-0.263721,0.327326,0.932718,-0.304319,-0.623673,0.065563,0.130472,0.825127,-0.650838,-0.082855,-0.83612,-0.220057,0.21603,0.098329,-0.139262,0.212944,0.276499,0.074695,-0.197167,0.938171,-0.39179,-0.866082,0.502417,0.073781
equation,-0.323659,0.532512,-0.517607,-0.669133,0.496969,-1.167374,0.258722,1.900602,-0.279976,0.178152,0.843067,-0.361468,0.993015,0.739805,-0.13908,1.633146,-0.42638,0.976533,0.537217,-0.721885,-1.622066,1.691473,0.381385,-0.710537,-1.100325,-1.259076,-0.172218,0.200888,0.047274,0.995568,-1.328095,0.883926,-1.058853,-0.077008,-0.226088,0.387797,-1.583852,0.745262,-1.220406,-0.873955,1.095914,0.363715,-0.786757,0.714807,-0.668178,0.057323
first,-0.182684,0.345043,0.52224,0.136795,-0.179437,0.510154,-1.028658,0.29787,0.033767,0.210058,-0.230901,0.073738,-0.070356,-0.183324,0.564699,0.186345,0.15566,-0.26822,-0.67663,0.330042,-0.415752,-0.125394,-0.220663,0.464672,-0.038492,-0.551978,0.353699,0.787765,0.317331,0.370925,0.057403,-0.190977,-0.390351,-0.551399,-0.371388,-0.458759,-0.177122,0.784156,-0.24971,-0.169066,-0.699299,0.160863,0.023362,-0.940202,0.486874,0.503491
vector,0.05196,1.034506,0.139311,-0.245314,0.158676,-0.400412,0.270698,0.654398,-0.314311,0.035701,-0.347353,-0.739858,0.906455,-0.08059,-0.418101,1.564814,-0.339641,1.29237,-0.204592,0.109557,-2.352402,1.122917,0.820565,-0.921825,-0.432736,-0.31729,-0.312905,-0.463478,-0.771067,0.608318,-1.293467,0.808126,0.011503,0.405633,0.061252,1.148089,-1.385504,-0.127651,-0.849495,-1.187796,-0.029532,1.351163,-0.155549,-0.194371,-0.500115,0.013404
algebra,0.110408,0.69793,-0.270438,-0.000395,1.147734,-0.554591,-0.261669,0.995626,-1.274195,-0.796415,-0.028853,-1.038629,0.75897,0.151795,-0.632531,0.927396,0.00744,1.218663,-0.131614,-0.243524,-0.952821,0.484733,0.902649,0.061425,-0.091869,-0.182507,-0.035188,0.238141,0.361135,0.063099,-0.910247,1.105721,-0.997871,-0.481583,-0.259393,2.319429,-1.455813,0.713272,-1.402219,-1.977819,1.143559,1.468936,-0.303785,1.097411,-0.998951,-0.453376
