word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
mathematical,0.74833,0.685404,0.520539,-1.714609,1.389615,0.970466,-0.562196,0.105154,0.624053,-2.504105,-0.962112,-1.089339,0.063006,-0.324128,-1.448477,2.840542,-0.52226,-1.042788,-0.781325,-0.462415
method,2.04062,0.060717,-1.126578,-1.28093,1.640842,0.080584,0.164924,-0.022458,-1.067384,-1.849103,-2.422351,-1.120005,0.313046,0.577116,0.629368,1.646804,0.941897,0.068764,-0.001788,0.042601
finite,0.130846,1.041073,-1.167431,-2.128871,-0.053515,-1.362825,0.13358,-0.796841,-0.078955,-2.487983,-0.354381,-0.949666,0.568334,1.215186,-1.069028,0.307009,0.463501,-0.019628,1.174819,-1.506797
result,0.534905,0.206804,-0.572071,-1.429535,1.515131,-0.341901,0.382524,-0.23607,0.632145,-2.219411,-1.283914,-0.306541,0.380521,0.72119,0.459469,1.225247,0.654253,0.842919,0.981506,-0.969548
vertex,-1.296738,0.514776,-1.635388,-1.823226,0.683941,-2.222955,0.138895,0.072441,0.355719,-1.587991,-0.476922,-0.27338,-0.194788,2.285048,0.737427,1.091823,-2.008049,2.673019,-0.450241,0.455636
term,1.645174,-0.146723,-0.289317,-1.378263,0.732959,0.042029,0.407676,-0.230827,0.104409,-2.137785,-1.009227,0.065642,0.687831,1.883836,-0.170037,1.15754,0.083563,0.808725,0.151589,-1.584013
line,-0.060907,0.579378,-0.270391,-1.460483,0.954536,-0.531448,-1.112521,-0.682838,0.642387,-1.6044,-1.408345,-0.55448,1.462595,2.183905,-0.118422,-0.149258,-0.298625,2.170303,-0.352961,0.584663
model,2.160437,0.471066,-0.567543,-1.784723,1.105981,-0.303247,-0.228063,0.082155,1.345106,-1.687535,0.373033,-2.052128,-0.530336,0.845141,0.14515,1.214466,0.300572,0.358384,0.419063,0.02591
real,0.864715,0.345752,-0.792439,-2.008257,0.326722,-0.316169,-0.414348,-0.9328,0.058028,-2.150153,-1.036749,0.147171,0.67677,1.910824,-1.377445,0.278416,0.712717,0.154864,0.683459,-1.125717
property,0.642675,0.330151,-0.526784,-1.176546,1.315264,-1.3883,-0.379844,-0.945127,0.472714,-2.259247,-0.501697,-0.659447,0.533128,1.056363,-0.562513,0.575855,0.396391,0.577955,0.589073,-1.715672
geometry,0.029033,0.045306,-0.298365,-1.953338,2.051089,0.20358,-0.389615,-1.481729,-0.173076,-1.164913,-0.854689,-1.530326,1.160064,0.511108,-2.169446,1.768681,-0.204929,0.603952,-0.043248,0.428624
