word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
example,-0.067239,0.098898,0.218589,0.476076,-0.383311,0.445726,-0.024631,0.589799,0.217892,0.108841,0.186895,-0.021656,-1.463723,0.659356,-0.257478,0.896225,-0.332911,0.079743,-0.259294,-0.345711,-0.325758,0.603648,-0.309682,0.085384,0.245575,-0.486047,0.38535,0.076139,-0.286993,-0.120363,0.405359,-0.032338,-0.027379,0.291045,-0.32349,-0.150908,-0.353134,-0.004845,-0.437933,-0.666596,0.365125,0.192036,-0.225374,0.312495,0.307482,-0.174883,0.020411,0.097415,-0.125454,0.258847,-0.720107,0.109572,0.248608,-0.089634,-0.006508,0.119476,0.089571,0.365786,-0.053012,0.596474,-0.52346,0.127487,-0.247933,-0.226914,0.265788,-0.847843,0.021729,0.175832,-0.23675,-0.004669,0.079196,0.265802,0.131515,-0.015154,-0.154537,-0.788868,0.081807,-0.381489,0.176287,0.012716,0.21616,0.227542,0.036957,-0.451118,0.354131,-0.344632,-0.073013,-0.260185,0.01697,-0.49734,-0.035384,-0.156264,-0.328915,0.244607,0.146334,-0.079177,-0.244565,0.197226,0.494628,0.283157
form,-0.321616,0.018893,0.011785,0.330326,-0.644585,0.260205,0.162575,0.293974,-0.160609,0.142773,0.046516,-0.180223,-0.779872,0.491151,-0.015302,0.260577,-0.341836,-0.09676,-0.063412,-0.763247,-0.262057,0.570827,0.045463,-0.162224,-0.125815,-0.24764,0.248441,0.437226,-0.333546,0.109995,-0.544985,0.286873,-0.019263,-0.200324,-0.532449,-0.271196,0.155076,-0.152044,-0.449285,-0.490583,0.143924,-0.105906,0.44564,-0.246239,0.238465,0.181163,0.159898,-0.113144,0.312296,-0.367843,-0.590055,-0.100396,-0.374136,-0.034446,0.396587,0.409706,-0.021316,0.038541,0.30634,0.512547,-0.934019,-0.043215,-0.014922,-0.123118,0.669791,-0.42767,-0.303179,-0.07292,-0.164679,0.258451,0.212004,0.899281,0.433873,0.462942,-0.009935,-0.99172,0.463389,-0.493491,0.437522,-0.244697,-0.346239,0.424042,0.043386,-0.519086,-0.014479,-0.261767,0.430002,-0.054292,0.287347,0.142174,-0.339769,0.088535,-0.413799,0.791823,0.047374,-0.077182,0.603445,-0.025065,0.41455,-0.36761
define,-0.249796,-0.459381,0.285422,-0.090973,-0.028564,-0.146931,0.090253,0.505254,0.209515,-0.151554,0.161287,-0.253561,-1.986318,0.448887,0.350873,0.58068,0.014893,0.484501,-0.535012,-0.428418,-0.538781,0.168618,-0.621106,0.239512,-0.243228,-0.733356,0.587925,-0.494477,-1.277855,0.052469,0.149559,0.183564,0.780603,-0.078557,-0.249055,-0.265709,-0.407903,0.132258,-0.30922,-0.788747,-0.215564,0.236739,0.201248,0.494048,0.639247,0.045535,-0.06134,-0.033353,-0.353413,0.1303,-0.749651,0.287133,0.234783,-0.003009,0.125116,-0.056916,-0.556787,0.652331,0.205904,0.328211,-0.037931,-0.179765,0.054055,-0.463601,0.285184,-0.682675,0.34107,0.155767,-0.722997,0.187601,0.166074,0.447095,-0.002238,0.47884,-0.189956,-0.835479,0.112691,-0.166611,0.026539,-0.036787,-0.319573,0.708827,0.162041,-0.335453,0.428345,0.458595,0.166359,0.012293,0.634402,-0.267912,-0.046113,-0.149933,-0.845813,0.362015,0.055336,-0.671914,0.123544,-0.301009,0.911503,-0.148008
graph,-0.355867,-1.02213,0.181329,-0.589127,-0.089243,-0.189967,0.147914,1.020996,0.085468,-0.292153,0.333142,-0.357028,-1.25439,0.409573,0.278534,1.804011,-0.573059,1.209242,0.047978,0.86182,-0.10058,0.982781,-1.493381,0.981539,0.071176,-1.108258,0.980616,-0.593838,0.068982,0.592668,0.299015,0.147891,-0.062895,-0.600322,-1.419732,-0.060662,1.062549,-0.264721,-0.820059,-1.054509,0.463358,0.085419,0.047325,0.29698,0.18128,-0.301429,-0.411515,-0.025684,-0.795221,0.924688,-0.784554,0.287483,-0.586466,-0.394667,-0.315434,-0.701685,-0.34299,0.300469,-0.032371,0.462925,1.562309,-0.50269,0.082717,-0.701453,0.022454,-0.162248,1.251118,-0.383116,0.103917,0.245406,0.773695,0.161647,-0.001114,0.819971,0.245976,-0.991315,0.328033,0.726969,-0.541808,-1.158794,-0.382267,-0.035459,0.800398,-0.215858,0.361704,-1.143342,-0.849443,-0.751203,0.726963,-0.087714,0.170322,-0.22459,-0.10464,-0.170586,-0.1832,0.361392,-0.353341,-0.602014,1.144088,-0.131983
value,0.078609,-0.131519,0.260642,0.383631,0.353382,-0.212796,0.381393,0.06337,0.247455,0.173879,0.233559,0.221527,-2.133673,-0.138326,-0.20234,0.333628,0.402021,0.145225,-0.772597,0.085408,-0.379861,0.600958,-0.489391,0.436374,0.346792,-0.187846,1.065498,-0.712873,-1.593864,-0.160406,0.503116,-0.209674,0.194128,0.577951,-0.544246,-0.085092,-0.862024,-0.045227,-0.396045,-0.827382,0.434838,0.542094,0.048571,0.323492,0.27428,-0.388728,0.156777,0.511576,0.086378,0.224766,-1.042857,0.308184,-0.266906,0.291171,0.143332,0.004279,-0.282047,0.525487,0.001241,0.188617,-0.051816,-0.255286,-0.592691,0.567974,-0.112074,-1.177197,-0.183498,0.558817,-1.141303,0.121933,0.207576,0.204228,0.027822,0.103474,-0.048921,-0.61384,0.372615,-0.406853,-0.447237,-0.354005,0.26389,0.414111,-0.013338,-0.084286,0.15511,-0.259493,0.402564,-0.313208,-0.126437,-0.014818,0.204415,-0.250347,0.182267,0.84882,0.213951,-0.659618,-0.633435,0.138555,0.79049,0.406741
problem,0.512064,0.507687,0.148501,-1.030768,0.075991,0.048668,0.028385,0.460379,-0.006697,-0.468293,0.060162,0.189274,-1.354881,0.471273,-0.490896,1.353416,-0.280812,0.157935,0.61853,0.281594,0.258388,-0.366465,0.114605,0.23108,-0.280618,-0.134715,0.559387,0.210788,-1.60685,0.405981,0.705368,0.827834,-0.004591,0.484954,0.016644,-0.401303,0.4151,-0.17171,0.03133,-0.740936,0.26968,0.135377,-0.045442,-0.334589,0.124054,-0.441817,0.098291,-0.336556,0.714933,0.297506,0.014725,0.182824,-0.313424,-0.052774,0.099564,-0.436281,-0.054284,0.468264,0.16368,0.331177,0.00412,0.370194,-0.048519,-0.022158,-0.275297,-0.55852,0.442583,-0.225776,-0.62509,-0.112218,0.145987,-0.088536,0.760352,-0.34708,-0.145495,-0.307488,0.107476,0.619463,0.008812,-0.527456,0.346438,-0.078935,-0.095713,-0.723025,0.269141,-0.173827,-0.129469,-0.271356,-0.049812,-0.141908,0.335128,-0.093641,-0.514319,0.535816,-0.24992,-0.542838,-0.628735,-0.220399,1.075545,-0.253151
mathematic,0.346594,-2.257301,0.513138,-0.535686,-0.327367,-0.033991,0.914856,-0.012008,0.164413,-1.133439,0.186602,0.747884,-1.046309,-0.418692,-0.554084,0.605303,0.049602,0.662068,0.51978,0.123905,0.330161,0.177287,-0.041652,0.615403,0.000349,0.050194,0.130718,0.206402,-0.388911,0.759424,1.038632,0.127123,-0.126485,0.960748,-0.272155,0.055331,-0.070726,-0.1257,-0.084396,-0.521472,0.745656,-0.266268,-0.601315,1.321183,0.771086,-0.591233,-0.131497,0.026254,-0.841267,0.295274,0.0333,-0.554877,-0.30595,0.834768,0.20239,0.08277,-1.06137,0.396899,0.265395,0.535631,-0.111237,-1.164214,0.069757,-0.774061,-0.528101,0.521228,0.4595,-0.019188,-0.272542,0.647473,0.012979,0.126993,1.015581,-0.204652,0.328349,-0.198578,0.333702,0.416424,-0.721051,-0.73244,-0.277366,0.093948,-0.598568,-0.460509,0.003924,-0.812423,-0.677217,-0.288453,0.192138,-0.604297,0.442125,-0.037167,-0.693548,0.968062,0.916664,-0.451541,0.253816,-0.39156,1.134888,-0.717704
order,-0.223284,-0.066057,-0.019866,-0.236029,0.337961,0.134368,0.588721,0.524519,0.066075,0.0807,0.568428,0.292268,-0.562238,0.141283,0.46,0.44051,0.285016,-0.340017,-0.18674,0.064968,0.322525,0.22579,-0.353533,-0.179132,0.188955,-0.392923,0.759004,-0.389483,-0.883885,-0.022337,-0.179039,0.534515,0.175727,0.26193,0.017917,0.140012,0.005658,0.043911,-0.302022,-0.497956,-0.214377,0.065614,0.071093,0.183809,-0.247834,0.146288,0.063205,0.358201,-0.229968,0.269592,-0.698839,0.119567,0.036127,0.12455,0.220153,-0.320697,0.797598,0.004865,-0.066355,-0.269609,-1.30149,0.309215,-0.437394,-0.888659,0.202552,-0.474721,-0.504437,-0.202275,0.149533,0.284567,-0.085753,0.534506,0.70145,0.882235,-0.368273,0.047823,-0.174493,0.616132,-0.256541,0.636794,0.251414,-0.198372,0.022592,-0.376722,-0.03476,-0.401239,0.097637,-0.405818,0.077727,-0.27988,-0.130983,-0.116339,-0.269312,0.513965,-0.130361,0.157356,0.155329,0.425391,0.06641,0.024629
equation,-0.2405,-0.764547,-0.58435,-0.338532,-0.641213,-0.558606,1.405787,0.791279,0.058087,-0.407252,-0.036824,0.51166,-0.767652,0.232638,-0.228453,1.435297,-0.491434,-0.267455,-0.890579,-0.08414,-0.478754,-0.191034,-1.101562,0.788605,0.108724,-0.188592,0.074825,0.22176,-1.914863,-0.638828,0.863851,-0.175837,0.913714,0.448717,-0.250253,-0.205378,-0.107109,-0.797145,-0.699348,-0.79897,1.183261,0.408116,-0.477295,0.325652,0.164274,0.80081,0.275246,-0.056152,0.087996,-0.011954,-1.066849,-0.113783,-0.407985,0.331885,0.096456,-0.147993,-0.9992,0.994559,0.614326,-0.24161,1.989469,-0.030272,0.548272,-0.260497,-0.40394,-0.298533,0.825375,0.145927,-1.12619,0.340451,-0.543055,0.684581,0.200623,0.404094,-0.654106,0.470245,-0.106932,-0.419223,-1.004087,-1.177308,-0.689633,0.12367,0.282787,-1.425356,0.600828,-0.213796,-0.679666,-0.044889,-0.044577,0.388114,0.107648,-0.526002,-0.671326,1.541225,0.742038,-0.481932,-0.069122,-0.061799,1.312623,-0.21245
first,0.172856,0.01666,-0.1371,-0.085903,-0.164521,0.109539,-0.10118,-0.683103,0.530977,-0.350951,0.16057,-0.006882,-0.3332,-0.131435,-0.359352,0.143559,-0.286721,-0.181118,0.082842,-0.45173,-0.293201,0.320974,0.242508,-0.126286,0.109644,-0.101112,0.406013,0.138034,0.186914,0.548958,-0.516601,-0.022332,0.026145,0.080608,-0.097024,-0.542647,-0.074887,-0.50876,0.557566,-0.15699,0.168964,0.200111,-0.466937,0.11359,0.203075,0.206733,0.207733,-0.058604,0.367568,-0.454526,-0.116734,-0.183132,0.266517,0.211409,0.158479,-0.039006,0.951486,0.432039,0.055672,-0.062521,-0.860793,-0.432232,0.120933,-0.737329,0.395181,-0.098901,-0.37797,0.008829,0.056266,0.291799,-0.02195,-0.025174,0.476927,0.464455,-0.44979,-0.298227,0.222158,0.040271,0.056689,-0.322444,0.224135,-0.228066,-0.311729,-0.155803,-0.232939,-0.137956,-0.276266,0.048156,-0.499169,-0.238578,-0.150503,-0.287232,0.062501,0.31929,-0.165131,0.046891,0.592509,0.236225,-0.19026,-0.140106
