word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
field,0.186818,-0.76009,1.02147,0.399972,-0.023873,0.109133,0.649409,0.093798,0.609486,0.335565,0.36196,0.570405,-0.436824,0.103684,-0.002076,-0.97263,-0.436006,-1.486804,0.285657,0.650339,-0.606621,-1.538673,0.842531,0.186391
element,-0.66668,-0.856715,-0.175665,0.515977,-0.652678,-0.276206,0.577924,0.567788,0.889445,-0.526107,-0.522691,2.044502,0.832356,0.260701,0.241519,0.08387,-0.31601,-1.426517,0.329717,0.518068,-0.594369,-0.023158,0.173835,-0.821139
system,0.45466,-1.506638,0.68168,-0.12863,-1.321617,-1.2874,0.704203,0.687023,-0.101099,-0.40238,-0.001719,0.95385,0.68992,0.672368,0.235402,0.087397,0.331618,-1.946338,0.516867,1.557882,-0.93371,-0.40321,0.35664,0.203152
matrix,-0.180721,-0.46532,-0.278922,-0.20765,-1.691818,-0.215973,0.251923,0.208328,0.864224,-0.299641,0.18772,1.244566,0.84994,0.114456,0.332338,-0.583242,-0.054083,0.588359,0.13376,1.508252,-1.441328,-0.719311,-0.227822,-0.976001
mathematical,0.363672,0.01097,0.153293,1.269307,-0.86132,0.112698,1.322273,0.480301,1.169642,1.130694,-0.581307,1.157787,-0.007876,0.144457,-0.504135,-0.916177,-0.130085,-0.023466,1.565835,1.687629,-1.946658,-0.041222,-0.374641,-0.080261
method,0.293714,-0.621771,0.162584,0.141635,-1.08128,-0.619394,0.457903,0.764271,0.417756,-0.232738,-0.765792,1.981393,0.577984,0.350687,-0.617552,-1.007007,0.437671,-0.8643,0.263793,1.401887,-1.298428,-0.274805,-0.740361,-0.145094
finite,-0.398529,-0.642803,-0.319749,0.18077,-2.454291,1.073693,0.550406,0.587401,0.999046,0.008148,-0.125651,1.262103,1.194093,0.167405,0.319575,-0.02106,0.552161,0.779729,0.604269,1.63702,-1.674711,-0.787927,-0.48552,-0.089285
result,-0.223103,-0.249015,0.283919,-0.840691,0.166008,-0.358147,0.566166,0.061502,-0.160296,-0.084643,-0.016823,1.077098,0.508154,0.005876,1.007353,-0.610554,0.239255,-1.39698,-0.176521,0.645404,-0.080928,-1.872732,-0.696056,0.822076
vertex,-0.640494,0.044037,0.477501,0.164261,-2.032765,0.094528,0.217029,0.809364,1.195784,-0.451654,0.112939,-0.120798,1.20276,-0.427786,0.625335,-0.210397,0.765895,1.058053,0.02859,0.362288,-1.488866,-0.986504,0.291127,-1.029969
term,-0.189604,-0.320336,-0.297804,0.172624,0.278931,0.029916,0.256944,0.659959,-0.045112,-0.243351,-0.536282,1.087032,0.797799,-0.227883,0.287476,-0.07996,0.288129,-1.770004,-0.229869,1.349852,-0.553189,-0.713203,-0.739917,0.093781
