word,1,2,3,4,5
unit,2.072792,-1.086469,-0.019901,-1.74615,0.690926
equivalent,0.982383,-0.050985,-0.847482,-1.70031,0.446157
conjecture,-1.661624,1.557477,-1.101737,-0.576277,-0.386813
infinite,-0.346327,2.089897,-0.212567,-1.528859,0.03601
operation,2.28257,-0.430659,-0.192459,-1.068986,0.887505
angle,0.514945,1.175321,0.969129,-2.653621,-0.485225
random,0.085005,1.84189,-0.137876,-1.221663,0.794344
basis,1.937623,0.407139,-0.84954,-1.065359,0.559716
natural,1.993861,0.365886,-0.474468,-1.073507,-0.317491
power,2.298749,0.47582,0.05586,-0.927466,0.596931
area,3.241526,-1.205772,0.355333,-1.288289,-0.553473
open,2.255451,-0.310246,0.944211,-0.369109,0.620418
solve,0.602933,1.993229,-1.021109,-0.923141,0.729202
pair,0.933145,1.008596,1.316773,-1.320444,0.161979
hold,2.56709,-0.230688,0.230033,0.495833,0.464392
limit,2.066261,0.158235,-0.27241,-1.477177,0.853582
special,1.821646,0.545139,0.459422,-0.115393,1.332043
generate,1.402534,1.154827,-0.450699,-2.557064,1.031585
coefficient,-0.546029,1.026795,-1.135458,-2.372715,0.336145
standard,1.757529,0.220808,-0.466203,-1.775333,1.582596
identity,1.348899,1.703537,-1.247513,0.070467,0.362788
four,2.305562,-0.020865,1.268105,-0.378562,0.356454
rule,2.174185,0.324205,-1.125749,0.111348,-0.073924
topological,-1.097607,1.628724,-1.456438,-2.077056,-0.04413
computer,0.745874,0.968,-0.311712,-0.890708,2.703201
derivative,0.017935,0.903049,-1.011774,-2.120123,0.446652
symmetry,-0.955898,1.173229,-0.751315,-2.339185,-0.173476
compact,0.135266,0.549207,0.07894,-2.148806,0.498237
factor,1.435892,1.321838,-1.072338,-1.874535,0.910357
family,2.187235,-0.210103,0.586837,0.701417,-0.62679
transform,0.858134,1.147769,-0.485877,-0.997467,-0.110734
convex,-0.81136,1.367055,-0.0847,-2.76696,-1.132834
domain,0.91982,0.408108,-1.265347,-1.549984,0.111793
subgroup,-0.844221,0.126288,-1.307621,-1.838329,-0.75264
construct,1.869144,-0.226551,0.242237,-1.168658,-0.910633
axiom,-1.166691,1.336333,-1.918784,-1.263726,0.167183
construction,2.146608,-0.804954,-0.049378,-1.041782,-0.255145
therefore,2.056167,1.30389,-1.153108,-1.410192,-0.402036
compute,-0.063693,1.063104,-1.179339,-1.955331,1.789008
normal,1.329648,0.934193,-0.218215,-1.844761,0.313132
distance,1.382236,-0.066087,0.347749,-1.566368,0.317357
notation,-0.549868,1.287581,-1.060602,-1.4862,0.05926
parameter,0.233592,1.534034,-1.196694,-2.813768,1.04357
euclidean,-1.031226,1.217972,-1.047623,-2.502321,-0.544824
symmetric,-0.804028,1.369651,-0.942873,-2.620054,-0.184191
metric,-0.229431,0.663641,-1.110688,-2.175497,0.66982
test,1.438331,0.71449,0.053746,-1.352247,1.471052
bundle,-0.465119,1.216676,0.181286,-2.217667,0.586409
center,1.912753,-0.738164,0.459154,-0.308424,1.21596
symbol,0.842685,0.862711,-0.862849,-1.034406,-0.54375
projective,-1.450552,1.187152,-1.140504,-2.405782,-0.718072
sphere,0.399524,1.172939,-0.794439,-1.466239,-0.550207
interval,0.345224,0.684105,-0.168323,-2.302236,0.166074
single,1.554024,0.951445,1.905052,-0.826063,1.236499
geometric,-0.316429,1.595513,-0.944483,-1.939601,-0.778802
ideal,1.031674,1.547917,-1.072343,-0.800591,-0.174968
dual,0.33119,0.116651,0.055653,-1.913066,1.057388
module,-0.006065,0.698665,-0.278878,-2.411822,1.762263
invariant,-1.134635,1.488851,-1.471546,-1.993554,-0.393421
$\mathbb{Q}$,-0.439201,0.418069,0.543608,-0.922466,0.952446
index,0.672016,0.003297,-1.134,-1.205868,0.872174
information,2.082023,0.653078,-1.165612,-0.67705,1.616508
transformation,0.536301,1.34644,-1.290237,-1.02075,0.339725
extension,1.204851,-0.450662,-0.116895,-1.567109,0.633184
direct,0.993713,1.244605,0.608511,0.922801,1.0249
uniform,0.938927,0.564073,-0.000976,-1.397146,-0.005217
path,1.36787,0.835324,0.149219,-1.412668,-0.171904
negative,1.244627,2.272186,-0.843789,-1.517521,0.83405
image,1.139589,1.348038,0.115574,-0.949286,0.341967
member,2.39845,-0.311367,-0.081194,1.531464,0.917672
inverse,-0.803142,1.302865,-1.294097,-2.33868,0.315222
step,1.425522,1.25412,0.335947,-0.691912,0.477193
independent,2.083347,0.046239,-0.41685,0.275352,1.069387
arithmetic,-0.797825,1.128935,-1.686626,-1.609624,0.180722
position,2.160082,0.276392,-0.239594,-0.291323,0.38143
calculus,-1.027676,0.949454,-1.898845,-0.844189,0.291362
rational,-0.070368,2.064761,-2.159717,-1.100403,0.493045
law,2.376755,0.160076,-1.339964,1.152797,0.532518
tree,1.536052,0.75696,0.978516,-1.246418,-1.118445
component,1.37738,0.750455,-0.670974,-2.845361,1.010288
lattice,-0.651857,0.947035,-0.717296,-2.480277,-0.456883
inequality,-0.35353,1.151259,-2.203834,-0.789224,0.325235
volume,0.841983,-0.235908,0.095588,-0.136306,0.279044
section,1.982829,-0.657151,0.173721,-1.146983,0.112467
add,1.81943,0.752126,0.757898,-0.954874,0.452352
