word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
number,-0.172087,-0.328829,0.613736,-0.096248,-0.111692,1.54522,0.247942,-1.230889,0.372015,-0.45739,0.502643,-0.511857,-0.125142,1.067774,-0.318543,-0.242117,-0.02307,0.67409,0.027962,0.798065,0.29898,-0.759152,0.636684,0.51025,-0.590068,-1.076119,0.316537,0.230142,0.034538,0.383692,-0.863869,-0.453596,0.68703,0.388106,-0.375197,-0.609997,-0.054553,-0.145606,-0.116662,-0.215225,-0.50696,-0.074564,-0.519957
function,-0.511305,1.749795,1.03628,-0.763747,-0.189364,1.805924,-0.64786,-0.983298,0.415892,-0.906054,0.24127,-0.984375,-0.354673,-0.824017,0.376123,0.121016,-0.126435,0.238659,0.653259,0.777783,1.315555,-0.394649,-0.407978,0.494761,-0.339772,-0.528171,0.463933,-0.051407,-0.199025,0.172767,0.418127,-1.055631,0.645766,-1.145949,-0.094226,-0.634415,-0.507511,0.88212,-0.791123,-0.370517,-0.044183,0.714882,-0.496088
one,0.036292,0.24342,0.457862,0.154831,-0.124304,0.590893,-0.110297,-0.250098,0.451978,-0.283287,0.123493,-0.010715,0.048829,1.472044,-0.234071,-0.097764,-0.323691,0.520897,0.059558,0.711012,0.731447,-0.548147,0.100642,0.355159,-0.469653,-0.028446,0.62479,-0.150532,-0.232963,0.434795,0.071697,-0.281201,0.046645,0.3864,0.172257,-0.521113,-0.692172,-0.328812,-0.037118,-0.03042,-0.463192,0.065812,-0.482411
set,0.095616,-0.046967,0.57779,0.230933,-0.52611,1.011501,0.398784,-0.614892,0.694574,-0.612893,0.018038,-0.116647,-0.112539,1.139311,-0.043203,0.053691,-0.256163,0.181209,0.523916,0.448371,1.107654,-0.869859,-0.021798,-0.088683,-0.580902,-0.610539,0.014887,-0.351709,0.279668,0.496967,0.160295,-0.523586,0.554689,0.052916,0.154036,0.001653,-0.395871,0.091896,-0.209485,-0.022284,-0.582161,-0.008445,-0.419224
group,0.088776,0.419315,1.0387,-0.63881,-0.175952,1.233224,-0.345208,0.252784,0.050916,0.11038,0.591478,-0.363797,0.673895,1.311281,-0.253754,0.034777,-1.251563,0.08845,-0.860382,0.246135,0.760953,-0.708567,0.513523,0.966636,-0.194054,-0.557571,-0.123176,-0.272562,-0.208185,0.404546,0.191431,-0.119377,0.124144,-0.504864,-0.121755,0.349791,0.117524,0.148807,0.395031,-0.687869,-0.035925,-0.168049,-0.348812
space,0.096726,0.528523,1.20755,0.258539,0.431836,1.223795,-0.021351,-0.526661,0.959055,-1.00225,0.34425,-0.184237,-0.219896,0.559587,-0.565819,-0.581771,-1.053401,-0.251667,0.49641,-0.432902,1.709048,-0.84289,-0.553251,-0.389504,-0.75892,-1.069209,-0.183085,0.236911,-0.325685,0.779691,0.219221,0.068523,0.622712,-0.326434,0.62623,0.491398,0.040429,0.305038,-1.057328,-0.24163,0.019388,0.503339,-0.639262
two,0.045733,0.211998,0.618559,0.010185,-0.234769,0.446866,-0.492686,-0.233119,0.536981,-0.297699,0.24266,0.043976,0.10985,1.863827,0.09369,0.177091,-0.212174,0.219022,-0.213995,0.774167,0.683332,-0.581595,0.191961,-0.027825,-0.566347,-0.283755,0.514703,0.180387,-0.332078,0.54276,-0.246481,-0.263914,-0.02531,0.350454,0.087551,-0.411609,-0.317929,-0.509042,-0.508118,0.078357,-0.673581,0.267139,-0.64986
theory,-1.032679,0.060208,0.84495,-1.169953,0.386866,0.734417,0.915068,-0.922133,0.764302,0.213636,0.73938,-0.201158,0.367794,-1.378364,-0.279325,-0.659725,0.175158,0.350906,0.139009,-0.534175,1.043574,-2.476916,0.019275,-0.081952,-0.483827,-0.035987,0.300781,-0.469862,-0.124547,-0.389318,0.634963,-0.997076,0.4037,-1.522555,0.570677,0.04147,-1.069186,0.261274,-0.142464,-0.543994,0.541716,0.386024,-0.525063
point,-0.150369,-0.1725,0.663996,0.34024,0.05302,0.582812,0.211188,-0.585438,0.908112,-0.351688,0.29764,0.342309,0.591055,1.635231,-0.4844,-0.166776,0.014715,0.72564,0.176978,0.13111,0.297157,-0.703787,0.036855,-0.17711,-0.232131,0.055601,1.242927,-0.268451,-0.026255,0.104652,-0.778781,-0.868301,0.521601,-0.413083,-0.065091,-0.203556,-0.31786,-0.384205,-0.842879,1.228849,-0.147917,0.730567,-0.279075
theorem,-0.90584,0.314947,0.860252,-0.099004,0.403687,1.77158,0.939157,0.055012,-0.520151,-0.923263,-0.900007,-0.428649,0.593383,-1.863867,0.411518,0.002583,1.634124,1.258522,0.383473,0.451153,1.052648,-1.956468,-0.098851,-1.29753,-0.18359,-0.513474,0.259922,-0.375751,0.741004,0.423035,0.418799,-0.688844,1.551613,-1.66669,1.362666,0.079381,-0.571264,0.8902,-0.9054,0.699535,0.069279,1.629349,-0.794765
example,-0.740602,0.484512,0.670689,-0.18142,0.07052,0.911217,0.347002,-0.812579,0.326273,-0.592047,0.138272,-0.800667,0.209432,0.017845,0.044811,-0.4863,-0.431228,0.469976,0.101008,0.426988,0.723676,-0.471363,-0.486973,0.694622,-0.358976,-0.966556,0.550964,-0.278301,-0.340543,-0.184376,0.556398,-1.145863,0.198823,0.134905,-0.221337,-0.398006,-0.729605,0.353374,-0.108823,-0.238529,-0.212341,0.27367,-0.656433
form,-0.42232,0.496938,0.764007,-0.75831,0.04582,0.457631,-0.414482,-0.170235,0.377614,-0.027363,0.497472,-0.787406,0.468885,0.899234,0.159714,0.388541,-0.423658,0.414451,-0.724788,0.356057,1.182851,-0.669672,-0.547462,0.832947,-0.224187,-0.567593,0.447069,0.373426,-0.506948,-0.021014,0.560341,-0.646244,0.172386,0.241641,-0.223264,-0.0388,-0.295062,-0.325429,-0.030652,-0.19582,-0.232983,0.853138,-0.672617
