word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
define,-0.162312,0.508301,-0.233703,0.113567,-0.341767,-0.040242,0.539012,0.124863,-1.107757,-0.681522,1.94055,-0.285972,-0.683524,-0.952736,0.818221,-0.012345,-0.003328,-0.552077,-1.584002,-1.316343,0.529034,0.485778,0.11393,0.329261,0.106822,-0.123659,-0.140704,-1.281658,0.507992,-0.148629,0.615388,-0.147525,-0.051425,-0.067914,0.017521,-0.448112,0.008433,0.241373,-0.39395,0.347292,0.493402,0.564191,-0.167784,0.526265
graph,1.187788,0.503371,-0.929184,-1.166159,-0.082147,0.419955,0.395985,-0.531522,-1.407575,0.357426,2.941804,0.166052,-0.464895,0.020899,0.551606,1.202402,-0.125708,-0.118518,-0.001734,-0.808763,1.317062,0.027986,-0.456973,0.399897,0.860221,-0.111222,-0.437037,-1.408532,0.14533,-0.850105,0.421214,0.111697,-0.524655,0.128469,0.625756,-0.377426,1.244736,0.669683,-0.841747,1.166989,0.460498,0.836698,-0.746329,0.051184
value,-0.183388,0.795841,-0.171508,0.606907,0.117926,-0.001773,-0.014477,-0.296541,-1.029434,0.072337,1.379857,0.529929,0.025211,-1.262916,0.260555,0.411971,0.104489,-0.927364,-1.980687,-1.593992,1.2158,0.387331,-0.259573,0.245775,-0.429026,0.04018,-0.454211,-0.961949,-0.27784,-0.106769,0.765774,0.363804,-0.245601,-0.534612,-0.108464,0.589347,0.213233,-0.694203,-0.120094,-0.590681,0.127842,0.555749,-0.578813,0.771807
problem,-0.761834,0.417714,-0.342728,0.091598,0.413037,0.407639,-0.123377,-0.795152,-0.125315,0.284505,1.236232,0.277935,-0.414629,-1.064538,1.035542,0.621052,-0.152724,-0.299291,-0.846669,-0.837449,0.353835,0.775484,-0.050104,0.777657,0.406087,-0.771131,-0.729895,-0.387386,0.052505,0.593985,-0.108971,0.114688,0.10269,0.929152,-0.568025,0.198341,-0.397066,0.133147,-0.678906,0.103865,0.025032,1.003315,-0.400045,-0.159469
mathematic,0.626471,1.323817,0.523127,-0.649155,0.626347,0.494237,-0.346264,-0.796728,-0.71944,-0.399696,0.769601,0.892707,-0.032165,-1.186695,0.339899,0.96938,-1.210812,0.579042,-1.129784,-0.297418,-0.589605,-0.093426,0.058309,0.465101,1.122456,-0.175352,-0.758053,-1.668687,-0.425023,0.449438,-0.2628,0.807979,-0.523235,0.12705,1.474212,-0.368451,-0.223194,0.536165,-1.356055,0.668263,1.399183,0.392834,-0.414759,0.836432
order,-0.644701,-0.02901,-0.90218,-0.147603,0.052306,-0.203238,0.230787,0.391457,-0.977148,-0.64056,0.376203,-0.680829,0.204477,-0.496828,0.500877,0.648913,-0.139788,-0.737063,-1.191434,-0.07719,-0.370893,0.502147,-0.272411,0.063166,-0.188115,0.278841,-0.023535,-0.453775,0.473615,1.328511,-0.007502,0.063967,0.068515,0.576731,-0.548592,-0.129993,0.459403,0.116311,-0.444741,-0.574903,-0.674756,-0.162331,-0.300594,0.218813
equation,0.390768,0.795014,-1.147084,-0.251025,0.015053,0.41917,-0.248916,0.132166,-0.232344,-0.286954,2.629289,0.93364,-0.375368,-0.494546,0.064791,0.985195,-0.683181,0.071815,-0.705847,-0.886908,-0.27917,0.820807,-0.199393,1.36193,0.616112,-0.704332,-0.998756,-1.767319,-1.527282,-0.933367,0.791425,1.027065,0.210561,0.059283,0.608573,-0.785197,0.63993,0.238109,-0.752319,0.155839,0.103633,1.818742,-0.731745,1.26105
first,-0.289269,-0.016406,0.202099,-0.158845,0.363511,0.004226,0.126298,0.130628,0.021064,0.055455,-0.352253,-0.37186,-0.063547,0.328113,0.163177,0.583893,0.062319,-0.687369,-0.399034,-0.397565,-0.991414,-0.413191,-0.316907,-0.316402,0.315405,0.138559,-0.071546,0.159585,0.355342,1.519338,0.045372,-0.273904,0.222213,-0.149772,0.2132,0.312556,0.338086,0.354241,-0.387937,-0.688408,0.149764,0.533335,-0.751711,0.16032
vector,-0.112386,-0.471374,-0.317163,-0.206485,-0.106975,0.282148,0.177107,0.258474,-1.18373,-0.338006,2.558982,-0.149668,0.259512,-0.284702,0.384501,0.820207,0.346053,-0.853128,-1.019103,-0.637893,0.377939,0.740924,-0.28241,1.087857,0.164818,0.197123,-0.515582,-1.339124,-1.086436,-0.77989,0.149684,0.48252,0.430363,-0.134237,-0.277777,-0.865333,0.81201,0.352598,-0.765451,1.594306,0.935071,1.350273,-0.642975,0.673557
algebra,1.429714,0.76548,-0.038314,-0.518782,-0.018468,0.208134,-0.344107,-0.449506,-1.862235,-0.960229,1.965606,0.578032,-0.295489,-0.733998,0.825428,1.675804,-0.356277,0.476663,-1.072973,0.089244,-0.371115,0.534605,0.102511,0.89828,1.305686,-0.922797,-0.239815,-1.477292,-0.945359,-0.420858,0.28158,-0.127622,-0.168901,0.381586,0.890583,-0.551166,0.890008,-0.199694,-1.191147,1.906617,1.166734,0.604118,0.086412,1.366538
