word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
first,-0.688543,-0.232553,0.156964,0.937153,-0.027605,-0.32607,0.6277,0.2486,-0.201298,-0.921313,-0.117179,-0.290659,0.250991,-0.360282,0.030589,-0.466788,-0.356856,-0.9539,0.291127,0.191235,0.629287,-0.484912,-0.388192,0.127442,0.501765,-1.173388,0.159867,0.605846,0.017005
vector,0.06573,-0.251883,-0.831453,-0.374133,-1.326345,0.089985,0.398038,-1.714203,0.43059,-1.437781,0.04079,-0.414531,-0.822465,-0.447593,-0.039399,0.85193,0.106472,0.496162,0.825721,-0.61051,0.630162,-0.697311,-1.650667,-1.289311,1.060752,1.562727,-0.263505,-0.607892,-1.427257
algebra,0.562194,0.804994,-0.090646,-0.609896,-0.766778,-0.18219,0.655844,-0.832518,-0.560717,-1.530991,0.512057,-0.120989,-1.052389,-0.966331,0.0351,-0.858757,0.326424,1.921685,0.395453,-0.373853,-1.197133,-1.430595,-1.823451,-1.118999,1.448489,1.312806,0.141981,-0.868246,-1.729665
$\mathbb{N}$,1.278659,-0.952545,0.214951,0.479689,-0.044593,-0.098238,-0.164408,-0.781024,0.831577,-1.400486,0.689546,-0.288072,-0.630205,0.345248,0.630323,-0.530601,0.131699,-0.053875,1.113362,-0.098887,0.226847,-0.704712,-0.438122,-0.08818,0.411707,1.246757,0.275249,0.171224,-1.133725
field,-0.717422,-0.026601,0.062173,0.171784,0.099443,0.256654,0.924617,-0.089166,0.058359,-1.808159,0.299261,-0.228338,-1.060348,-0.493196,0.194585,0.033624,0.481249,0.151913,-0.201216,-0.27234,0.639544,0.179621,-1.062848,-0.180897,0.884837,-0.625565,-0.255684,0.97431,0.395694
element,0.166747,0.576438,-0.351738,0.786772,-0.545093,0.291746,-0.016549,-0.454721,-0.120993,-2.240545,0.621779,-0.257775,-0.07539,-1.169193,-0.473387,-0.005939,0.361501,-0.300508,0.486232,0.167258,0.280026,0.08695,0.489338,-1.495287,0.294405,0.644127,-1.180481,-0.190476,-0.485936
system,-0.25821,-0.608404,-0.957036,0.420821,-0.47433,0.195656,0.41909,-1.190021,-0.60038,-1.80394,0.27062,-0.090331,-1.146331,-1.054666,0.111006,1.034204,-0.317012,-1.350315,0.072419,0.017568,0.59122,0.671944,-1.134594,-1.218165,0.532441,0.068821,-0.427252,-0.303336,-0.059465
matrix,0.641751,0.104098,-1.195978,-0.112542,-0.886586,0.501943,0.487754,-0.880435,0.145583,-1.185233,0.211404,-0.152413,-0.536411,-0.883952,-0.091944,-0.022187,-0.249348,1.167606,1.008818,-0.498123,0.218737,-0.936604,-0.66921,-1.756382,1.068818,1.296933,-0.642745,-0.016295,-1.19123
mathematical,-0.212147,0.438699,-0.406141,-0.870442,-0.946357,-0.866169,1.959697,-0.497541,-0.69199,-1.786282,0.617323,0.269348,-0.189392,-1.500389,-0.084829,0.153884,0.072195,1.343908,-1.213673,0.077329,-0.317672,-0.706225,-1.317019,-0.54466,0.664318,0.073114,0.44136,-0.443275,-1.297335
method,0.424859,0.428733,-1.319743,0.162483,-0.67322,-0.051652,0.712388,-1.337196,0.163829,-1.571124,0.413915,-0.453878,0.07719,-1.951614,0.161482,0.92858,-0.511362,0.023148,-0.963988,-0.232197,0.298798,0.254082,-0.794935,-0.637789,0.648053,0.519579,-0.536085,0.259614,-0.425176
finite,0.826311,0.683302,-0.041864,-0.115951,-1.569341,0.645668,0.475109,-1.334179,-0.196339,-1.474886,0.719168,-0.213799,-0.806244,-1.157197,-0.221461,0.122493,0.467193,1.376863,1.005874,-0.75722,-0.172196,-1.224155,-1.68051,-1.110736,1.228999,1.487698,-0.607917,-0.445922,-1.688973
result,0.267598,-0.287844,-0.688508,0.95966,-0.326407,0.167156,0.734685,-0.662608,0.737667,-0.646886,0.020781,-0.107037,-0.032863,-1.108118,-0.510158,0.811467,-0.054304,-0.404689,0.838698,-0.550139,1.148777,0.187793,-0.537626,-0.052259,0.737817,-1.574566,-0.138063,0.365685,-0.101083
vertex,0.314664,0.339545,-0.68776,0.281371,-1.193468,-0.023787,-0.382059,-1.029317,0.540786,-0.400665,-0.721274,0.425319,-0.78759,-0.00909,0.447337,0.101697,1.021039,1.619059,1.346291,-1.005975,0.162258,-2.621278,-1.088542,-2.207503,1.378282,0.937854,-1.078071,-0.960139,-0.810802
term,0.212808,0.235726,-0.496486,0.568424,-0.442789,0.207037,0.239218,-0.912551,0.083297,-1.274572,0.721146,-0.860904,-0.049202,-1.347802,-0.577017,0.220821,0.158659,-0.233225,0.078779,-0.630368,0.608678,-0.042522,-0.000314,-0.335609,0.600801,-0.661268,0.13167,-0.733747,0.17316
line,-0.145316,-0.252767,0.797951,1.726152,-0.44729,-0.240927,-0.136685,-0.521138,-0.57728,-1.001644,-0.295224,0.393898,-1.049597,-0.018985,-0.448615,0.274606,-0.174925,-0.914497,0.971919,-0.57171,0.311672,-0.459555,-0.342608,-0.337147,0.801775,0.103458,-0.698181,0.395545,0.595869
model,-0.319838,-0.537889,-0.405453,0.1257,-0.506226,0.536646,1.224348,-0.351696,-0.265452,-1.782787,0.648591,0.550549,0.164876,-0.62016,0.452386,0.579672,-0.695601,-0.387369,0.791036,0.417692,0.126708,0.331593,-0.944912,-1.242677,0.644181,0.744878,0.13479,-0.555917,0.175441
