word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
$\mathbb{N}$,-0.167744,1.637683,0.738593,-0.65127,-0.261507,-0.347766,-0.035985,-0.350817,-0.098963,-0.194856,-0.745195,0.530247,-0.461317,-0.891215,0.45139,-0.056701,-1.061993,0.678988,0.088305,0.668316,0.217519,-1.187361,-0.152061,1.200499,-0.574716
field,1.143719,0.101694,1.232631,0.552716,0.188873,0.20096,-0.289745,-1.115639,1.473541,-0.821345,-0.066644,0.358459,0.137413,0.101836,0.122801,0.685948,0.175437,-0.871292,-0.19258,-0.534395,0.472008,-0.21026,0.083158,0.443952,0.399314
element,0.478359,-0.026557,0.867372,-0.932043,-0.396591,-0.770337,-0.57667,-0.096534,1.847928,-0.352524,-0.506564,0.168543,-0.002545,-1.223664,-0.145528,-0.149478,-0.355519,-0.260166,1.346358,0.20661,-0.300383,-0.302113,-0.997049,-0.03754,0.6401
system,0.711843,0.285709,0.797738,-0.281208,-0.285845,-0.454685,-0.160773,-1.640527,1.294189,-1.181342,-0.883451,-0.335872,0.459017,-0.787839,-0.964671,-0.694368,-0.041267,-1.012867,1.066213,-0.815094,0.53975,-1.410208,-0.631027,-0.158905,-0.134563
matrix,-0.669986,0.222099,0.542483,-0.651799,-0.759773,0.553306,-0.497067,-0.733058,1.799084,0.000278,-1.633773,0.744289,0.040653,-0.945204,-0.070974,-0.695385,0.178928,0.084603,0.941647,0.169995,-0.122424,-0.740198,-0.876024,0.979358,-0.372275
mathematical,0.489751,-1.313752,0.257599,-0.295229,-0.911285,0.934876,-0.898981,-0.851357,0.796908,-1.60593,-1.837421,1.861916,0.121224,-0.642409,-0.383543,-0.225721,0.30691,-1.140334,0.531469,-0.364863,-1.088064,0.274784,-0.169358,0.87503,0.387458
method,0.302233,-0.437671,0.324398,-0.206466,-0.513543,-0.239218,0.078553,-0.881353,2.160299,-0.873211,-1.891151,0.389976,-0.41418,-0.164546,-0.659238,-0.600598,-0.33346,-0.797746,0.764153,-0.1325,-1.00862,-0.83237,-0.753534,-0.021066,-0.117388
finite,-0.872876,-0.820417,0.024203,-0.432706,-0.130763,0.71599,-0.360267,-1.545992,1.209603,-0.152296,-1.723219,1.361623,-0.29121,-1.180787,0.199129,-1.289213,-0.503371,-0.483223,1.307886,0.604997,-0.567857,-0.852048,-0.787169,1.566056,0.437124
result,0.655484,0.25413,0.729389,0.021612,0.032077,-0.018785,-0.121891,-1.114669,1.660807,0.246228,0.62267,0.459439,-0.449047,0.858054,-1.060668,0.308449,-0.224431,-0.100866,0.825226,-0.04739,-0.172817,-1.488765,0.435845,0.004505,0.206663
vertex,-1.178215,-0.116102,-0.411863,-0.014595,0.364469,0.198108,-0.698012,-0.740348,0.726112,0.842845,-1.411302,1.541864,0.204734,-0.826948,1.335307,-0.612847,0.916243,-0.272621,0.986243,-0.077721,0.338657,-1.127154,-1.170691,1.265274,-0.178107
term,0.310469,0.238991,0.629091,-0.056184,0.230479,-0.088187,-0.252078,-0.798549,1.336384,-0.788522,0.156406,0.594009,-0.522091,0.113555,-0.92351,-0.341326,-0.298258,-0.485629,0.99776,0.180955,-0.92203,-0.725157,-0.432415,-0.760552,0.704407
line,0.455302,-0.048999,1.107094,0.046544,0.261241,-1.26621,-0.015482,-0.899221,0.648423,-0.283321,0.737872,0.279986,0.621838,-0.487764,0.468634,-0.290978,-0.491569,-0.143566,0.300138,0.610869,1.501431,-1.09619,-0.312686,-0.051153,0.335937
model,0.729029,0.300037,0.501234,0.222055,-1.036144,-0.262817,-0.380227,-0.502329,1.156304,-1.12397,-0.93041,0.372342,-0.049906,-0.990589,-1.078893,-0.977678,-0.484644,-0.049834,0.145956,-0.715072,0.777238,-0.826439,-0.511338,0.42652,-0.133183
real,0.043718,0.022744,-0.363913,-0.138919,-0.133135,-0.310014,-0.483596,-0.041965,1.364361,-1.049618,0.93079,-0.107884,-0.231741,-0.342091,-0.792958,-0.004635,-0.107901,0.725639,0.1889,-0.578451,-0.271764,-0.73258,-0.278624,-0.12584,-0.269408
property,-0.154635,-0.077183,1.122378,0.099361,0.289083,-0.217024,0.667534,-0.440951,1.423108,-1.070298,0.012446,-0.066066,0.428907,0.478364,-0.065982,-1.492531,0.499023,-0.959818,0.541533,0.390303,-0.450043,-1.252844,-0.320987,-0.70966,0.000668
geometry,0.288763,-1.131299,0.482285,-0.421366,-0.895687,0.642738,-0.807136,-0.221895,1.376673,-0.443591,-2.056789,1.255699,-0.087677,-0.922762,0.994948,-0.673801,0.294494,-0.711153,0.997738,-0.334695,0.076788,-0.343824,-0.522631,1.332107,0.120092
complex,0.793236,0.167124,0.408558,-0.322633,0.219516,-0.005423,0.141758,-0.100818,1.771913,-1.086955,-0.275683,0.014485,0.472397,-0.444059,0.614006,-0.354942,0.118011,-0.69256,1.601758,-0.08925,0.504231,-0.553243,-0.462815,0.1763,-0.129725
