word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
value,-0.104466,0.194448,-1.001672,0.580291,0.734184,-0.413361,0.326833,0.168972,-0.164529,0.794531,0.67604,1.262864,1.093129,0.141871,0.794325,-0.266148,1.035701,-0.065716,-0.498787,-1.402045,0.146053,-0.073152,0.369379,0.028915,-0.307372,0.766664,-0.69274,0.929806,-1.730012,0.29391,0.356932,-0.405909,0.365188,0.077684,1.160375,1.071748,0.302352,0.151411,0.459188,-0.380736
problem,0.289702,0.348838,-1.563428,0.041332,0.547439,0.081269,-0.13967,-0.810386,0.553842,0.581369,-0.137354,0.719572,0.588451,0.135256,0.168345,0.369015,1.44966,-0.023554,0.001785,-0.998604,0.719749,0.093434,0.205724,-0.625201,-1.231552,0.203035,0.361509,0.308331,0.143073,0.139331,-0.026199,0.239708,-0.410315,-0.19384,0.499837,0.921509,-0.611972,0.213026,0.208095,0.018041
mathematic,0.014271,0.238679,-0.473896,0.301643,0.734188,-0.81362,0.353612,0.738179,-0.874633,1.679523,0.471856,0.044161,0.48014,0.673401,-1.470511,0.841126,0.348253,-0.060569,-1.201595,-0.662081,2.045279,-0.428971,0.949938,-0.631792,0.953645,0.047654,0.985736,0.93761,-0.34613,-0.259023,-0.164347,-0.013166,-0.85751,-0.034842,0.123909,0.994717,-0.192458,0.122108,0.06516,-0.980666
order,-1.05671,0.0566,-0.546732,-0.279418,0.070711,-0.600199,-0.062578,-0.373885,0.461119,0.561428,-0.134743,0.120726,1.039519,-1.12672,0.136218,-0.082747,0.010493,0.434815,0.622992,-0.474523,-0.508461,0.411958,0.425761,-0.766678,-0.628375,0.349964,0.341062,0.20004,-0.199574,0.201775,-0.345538,-0.468204,0.784019,0.239998,-0.008088,0.800283,-0.339758,-0.061814,0.081073,-0.041044
equation,-0.085696,0.767644,-1.188377,1.070916,1.122773,0.297229,1.826609,0.547439,-0.094789,0.875993,0.069231,0.850456,0.20691,0.186559,-0.126695,0.706585,1.778659,-0.690534,-1.662961,-1.312922,0.102009,-1.945054,1.252317,-0.186278,-0.082851,0.258156,1.042027,-0.316754,-0.581311,0.362516,-1.105917,-0.753886,-1.249147,0.936078,1.415756,0.419832,0.394819,-0.781216,-0.131979,-0.361214
first,-0.700048,0.510978,0.237265,0.145833,0.163017,0.016587,-0.033819,-0.292643,-0.229803,0.105925,0.129553,-0.428796,-0.05566,-0.540898,0.137106,0.20378,0.708432,-0.1644,1.346542,0.359788,0.52249,0.737738,0.462017,-0.336491,-0.133015,0.188397,0.387308,0.672354,-0.217207,-0.055035,-0.182631,-0.483863,0.34721,-0.013861,-0.797431,0.939862,0.041884,0.054158,-0.098881,-0.340903
vector,0.306014,0.458313,-1.128142,-0.073754,0.935762,-1.000557,1.04756,-0.038688,0.153661,0.034244,0.02901,0.279043,-0.057719,-0.425259,-0.047006,-0.274789,1.25654,-0.703076,-1.528905,-0.709079,-0.127114,-0.527797,0.109996,-0.010837,-0.568102,0.382138,-0.208718,0.990808,-0.026665,1.001877,-0.32703,-1.058562,-1.649684,0.774228,1.760687,0.771906,0.056608,-0.989766,-0.53654,-0.390581
algebra,0.310399,0.866586,-0.523394,0.608023,0.426707,-0.847254,1.220268,0.607631,-0.728727,1.537518,0.223963,0.411704,0.581109,0.175405,-1.690056,0.111362,0.674481,-0.474391,-2.083787,-0.716929,0.25289,-1.369404,0.754523,0.102192,0.730418,-0.411514,0.668192,1.103608,-0.279985,-0.140601,-0.090568,-0.39778,-1.784774,0.363074,0.510578,0.644911,0.338158,-0.094851,-0.766254,-0.292189
$\mathbb{N}$,-0.16772,-0.260407,-0.108358,0.754774,0.189161,-0.180565,0.38682,-0.130139,-0.529561,-0.599923,-0.146577,-0.504385,0.219484,0.603973,0.554254,0.246451,-0.235852,-1.385207,-0.307451,-0.311893,-1.337452,0.007104,1.052025,0.796409,-0.549173,1.067527,-0.360642,0.407257,-0.298241,0.3629,-0.465426,-0.741486,-0.54244,0.481051,0.419913,0.281801,0.384035,-0.047996,-0.903817,-0.231373
field,-0.357438,-0.088655,-0.135608,-0.108419,0.751057,-0.989463,0.193795,0.156013,0.154274,0.221778,-0.687368,0.417117,0.027283,0.321497,-0.277946,0.824015,0.675877,-0.93315,1.024781,-0.067371,0.399804,0.104218,-0.004839,-1.06425,-0.085942,0.288416,0.970386,0.268,-0.172968,-0.224682,0.045871,-0.566535,-0.426069,0.537923,0.585931,1.039949,0.274467,0.314235,0.136855,-1.138287
