word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
mathematic,0.239503,0.79059,0.901257,0.473121,-1.609221,-0.285848,-0.573206,1.075566,-0.211343,-0.015259,-0.674388,-0.037048,0.527108,0.393559,-1.253011,-0.849992,-0.838619,-0.959525,0.662019,-0.01676,1.235456,0.204255,0.590471,0.135489,-0.759779,-0.501386,-0.679891,0.175722,0.309276,-1.626653,0.331194,-0.774724,-1.034319,-1.194746,0.782952
order,-0.158255,0.313741,-0.531566,-0.150241,0.412429,0.305408,-0.104687,-0.202066,1.056249,0.175338,0.993107,0.89333,0.395093,0.144042,-0.435513,0.898735,-0.767258,-0.341821,0.202374,0.119633,0.765812,0.638358,-0.669739,-0.89082,0.579487,0.469334,0.078977,-0.901168,0.218192,-0.039219,0.418184,0.190694,-0.096466,-0.270627,0.611203
equation,-0.040959,-0.12169,1.155204,0.901319,-1.026434,-2.052672,-0.509495,0.773699,1.30867,-0.563576,-1.512093,-1.21102,0.446608,0.116272,-0.527479,0.582694,-1.681985,-1.753515,0.24798,-0.30663,2.200566,0.01698,0.235681,-0.321595,-0.399313,-0.268934,0.961975,0.526613,0.146765,-0.320818,0.692467,-0.108899,-0.294173,-0.610329,-0.621159
first,-0.388451,0.247171,-0.526663,-0.134857,0.059519,-0.05975,-0.193771,-0.04842,0.141599,0.732078,0.262345,0.818916,-0.366197,-0.423308,-0.120023,0.245609,-0.000613,-0.282611,1.01717,0.307226,-0.045074,0.496343,-0.182496,-1.17851,0.124932,-0.787185,-0.540613,-0.255875,0.441413,0.132212,0.627845,-0.049228,-0.470017,0.165314,0.634334
vector,-0.213271,-0.454107,1.145103,0.032926,0.28028,-0.709515,-0.526127,0.11848,1.189795,-0.335233,-1.197265,-0.866103,-0.22222,0.284849,-1.242978,0.309125,-0.769411,-0.026529,-0.439255,-0.357834,2.881619,-0.436462,-0.548941,-0.115532,-0.266171,-0.394625,0.597826,0.193705,-0.17385,0.628167,0.40856,-0.613055,-0.403493,-0.077514,-0.126007
algebra,0.368554,0.403179,0.867618,0.446486,-0.927106,-0.696838,-0.681977,1.907757,-0.08302,-0.545105,-0.784516,-1.819629,0.117942,0.979141,-0.801344,-0.396808,-1.297516,-1.170184,0.355505,-0.153548,2.075931,-0.714288,0.51041,0.574171,-0.224282,-0.113342,0.279777,-0.12047,0.5128,-0.893875,0.505306,-0.281622,-0.486679,-0.288045,0.710613
$\mathbb{N}$,0.217367,-0.823934,-0.310753,-0.28209,0.387096,-0.349804,0.079934,0.125988,-0.086907,-0.509245,-0.67952,-1.030081,-0.580848,0.573488,0.299403,0.677484,0.227388,0.202939,0.313639,-0.006157,1.561654,0.304568,0.446647,-1.062166,-0.696982,0.260616,0.672332,-0.208252,-0.837538,0.372496,1.365472,0.409539,-0.038011,-0.208065,0.127337
field,-0.296676,-0.15666,0.499719,-0.138914,-0.109664,-0.04223,-0.398522,0.513718,1.215228,0.301945,-0.195346,0.696748,-0.437689,-0.747739,-0.474132,-0.501902,-0.645616,-0.559654,0.579184,0.346313,0.594955,0.603613,-0.080708,-0.926353,-0.871462,-0.060578,-0.688256,0.199492,-0.645484,-0.46706,0.017288,0.410638,-0.530683,-0.205639,1.144908
element,0.32964,0.321634,0.412987,-0.062152,-0.463116,0.348216,-0.285212,0.867897,0.58458,-0.481687,-0.105554,0.461185,-0.323271,-0.829931,0.149526,1.345723,-0.785237,-0.405211,-0.757093,1.126173,1.6549,-0.531484,0.185972,-0.591412,0.299048,0.344074,0.344817,-0.130734,-0.256953,0.269669,0.545453,-0.051277,-0.87771,0.2349,1.038316
system,-0.057506,-0.285664,0.063611,-0.024559,-0.600454,0.058386,0.303212,-0.091209,1.856714,0.370977,0.264826,0.845809,-0.828563,-0.220054,-0.257238,-0.221092,-0.57927,-0.165481,-0.382116,0.156357,2.888571,-0.156477,0.06121,-1.206372,0.004028,0.088296,-0.168107,0.003725,0.342443,-0.310535,-0.102658,-0.966572,-0.773354,0.281104,0.368884
