word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
mathematic,1.403904,0.756221,0.688185,-0.504769,0.020466,-0.516842,0.280148,-0.730915,0.776336,-0.789366,-0.188394,-1.289688,-2.078679,0.718707,-0.068497,0.128818,1.753526,-0.279032,-0.829635,-0.351805,-0.60398,0.1023,-1.179292,0.935818,-0.877605,0.450143,0.169975,-1.192281,-0.511855,-0.873868,-0.782863,0.412101,0.88295,-0.28938,-0.219178
order,0.647524,1.317643,-0.855675,0.403235,-0.846831,0.015781,1.026902,-0.347344,-0.262171,-0.382833,-0.132735,-1.133207,-0.125695,-0.307137,0.290221,0.107859,-0.700014,-0.084458,-0.574053,-0.409079,0.370359,0.594147,0.279363,0.441219,-0.265218,-0.068771,0.235634,0.281216,0.267478,0.473386,0.920842,-0.181518,0.249378,0.105438,0.327722
equation,1.264358,1.322185,0.81435,-0.800654,0.204431,0.106428,0.683379,-0.422591,0.996318,-1.828473,-0.217874,-0.510235,-1.946978,-0.49603,2.510266,0.216263,0.331066,1.676693,-0.533239,-0.409572,0.120983,-0.243235,-0.321164,0.122695,-0.585453,-0.909862,-0.920427,-1.633782,0.00563,-1.364767,-1.512056,0.683051,0.523084,-0.408524,0.388984
first,0.675168,0.041631,-0.101954,-0.651955,-0.020856,-0.196998,0.404919,-0.48252,-0.125061,-0.002554,0.240076,-1.165717,-0.444845,-0.073262,-0.124894,-0.350621,-0.502225,-1.154457,-0.327003,-0.496308,0.403874,0.269074,0.776728,0.328749,0.044522,-0.082083,0.186905,-0.010796,0.48706,0.397058,0.76969,0.196815,-0.311778,-0.403508,-0.536044
vector,0.55764,1.548627,0.284307,-0.279667,0.209496,-0.119997,0.110538,-0.710058,0.129923,-1.394434,-0.232904,-0.85679,-0.979293,-0.715301,2.622847,-0.41755,0.132538,1.778085,0.353654,-1.012822,0.242313,0.314695,-1.146865,0.218167,-0.097753,0.130755,0.408207,-0.687305,0.209956,0.166663,-1.362427,0.853221,-0.389749,-0.331646,0.159705
algebra,1.679298,0.894089,0.790431,-0.043722,-0.090573,-1.168326,0.378822,-0.509435,0.272007,-1.791121,-0.361688,-0.769479,-1.490911,0.483174,0.951008,1.239975,1.204302,0.885435,0.013534,-1.045166,0.220585,0.32038,-1.926079,0.741585,-0.425909,-0.143371,-0.068844,-1.52086,0.616822,-0.411233,-1.797739,1.047463,0.465904,0.356194,0.427118
$\mathbb{N}$,0.225179,-0.280756,-0.355523,0.411229,0.00887,0.178472,0.721766,-0.455082,-0.542645,-1.041189,0.194404,-1.092006,-0.511274,-1.082933,0.582444,0.071633,-0.603523,0.906871,1.090302,-0.183884,0.358995,0.418546,-0.632976,-0.503103,0.085318,0.072861,-0.388485,-0.448998,0.884713,-0.514639,-0.844589,1.758151,-0.372671,-0.383368,0.36732
field,0.263805,0.073314,-0.397766,-0.36364,0.069427,0.179121,0.864295,-0.068966,0.498575,-0.75047,-0.717972,-1.622063,-1.00915,-0.313847,0.439673,-1.037426,0.403902,-0.449139,0.463772,-0.270851,0.011375,0.177588,0.373491,1.218106,-0.468021,-0.135265,0.880886,-0.93665,0.562184,-0.031378,-0.13682,-0.168413,-0.114611,0.223951,-0.482695
element,0.742115,1.273547,-1.074233,0.574434,-0.488376,-0.427782,0.607317,0.083326,-0.208693,-0.785317,1.208047,-0.917446,-0.489956,0.094184,1.639072,-0.348123,0.231799,0.058951,0.699878,-0.118166,0.426848,0.294878,-0.742171,0.350261,0.130637,-0.121594,0.000836,-1.244357,0.594704,-0.298913,0.534309,0.233586,-0.224143,0.428532,-0.290241
system,-0.030555,1.026365,-0.501701,-0.251105,-0.390415,-0.49863,0.837988,0.403035,0.576528,0.728196,0.319937,-1.272991,-1.346874,-0.926101,1.375081,-1.193668,0.312226,0.923267,-0.32793,-1.198404,0.344667,0.17978,-0.708943,0.886334,0.609653,-0.088158,0.493608,-0.046082,0.076307,-0.031938,0.558669,0.403162,0.011466,0.424258,-1.049222
matrix,0.567803,1.517473,-0.221227,-0.538209,-0.234344,-0.898972,0.324458,0.129186,-0.446482,-1.455356,0.758072,-0.67869,-0.77138,-0.155511,1.885643,0.231457,-0.136145,1.192177,0.501232,-0.268822,0.108307,-0.091465,-0.96698,0.093898,-0.190155,-0.564482,0.083517,-1.039772,0.467435,-0.633199,-1.79266,0.711719,-0.086235,-0.256504,0.091225
