word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
vector,0.989848,0.486289,-0.581939,0.303923,0.123173,1.875884,0.568863,0.617761,0.344875,0.625724,-0.894449,0.612429,-0.449849,0.862996,1.006077,-0.793049,1.110957,-1.738924,-0.634967,0.197948,-0.131907,-0.222719,0.888353,1.980977,1.067116,-0.860774,0.851388,0.559221
algebra,1.915279,0.451292,-0.665576,-0.383011,-0.694454,2.624828,0.274567,-0.133948,-0.142279,-1.02728,-0.433164,1.225551,0.631095,0.813649,0.804483,-0.128904,1.032368,-1.337915,-1.344394,0.946006,-0.051432,-0.506738,0.221351,1.298701,-0.396128,-1.920374,0.903633,-0.126148
$\mathbb{N}$,0.392238,-0.271471,-0.587784,0.735612,0.60251,1.196704,-0.097654,-0.122821,1.271036,0.296652,-0.627145,0.015159,0.328094,-1.367271,0.522918,-0.063846,1.220261,-1.251736,-0.732437,0.659125,0.2248,-0.250275,0.305218,0.627269,0.534333,-0.338054,-0.181753,0.161857
field,0.511241,1.146461,-0.271783,-0.613775,0.026336,0.101978,0.021911,0.53791,-0.004303,-1.012932,-0.894713,0.738619,-0.336512,-0.370471,0.827086,-0.629235,1.01253,-0.40322,0.555955,-0.161566,-0.267345,0.468771,0.187514,-0.042133,-0.058091,-0.299249,-0.614345,1.248769
element,-0.566237,0.248044,-1.448148,-1.1704,0.555498,0.4664,0.748936,-0.180565,0.435937,0.169874,0.237997,1.224844,0.292634,-0.029107,0.695646,-0.203921,1.609667,-0.188795,-0.394442,-0.268264,0.096797,-0.061379,0.621964,0.720655,0.392271,-1.073579,0.38494,0.741221
system,0.012047,-0.183692,-0.962388,-0.593622,-0.16069,0.15263,0.118092,1.611471,-0.153311,-0.29124,-0.572513,0.381582,-0.304458,0.044095,0.705492,-0.738119,1.388793,0.208349,0.392788,-0.38257,-0.59506,-0.49371,0.503339,1.732965,1.007628,-0.99078,-0.228377,1.717466
matrix,0.628864,0.439467,-0.576009,0.030365,0.118783,1.698879,0.998384,0.395678,0.27509,0.405642,-0.51867,0.881728,0.062677,0.436216,1.45138,-0.101866,1.296448,-1.554,-0.526975,0.82582,-0.441546,-0.204774,0.57387,1.534451,0.274491,-1.02949,0.612187,-0.024383
mathematical,0.977328,0.76083,-0.960903,-0.288262,-0.460847,1.555906,0.304305,-0.390052,-1.320986,-1.514405,-0.547837,0.743435,-0.650953,1.811701,0.133716,-0.594464,1.704164,-0.120127,-0.9103,0.714334,-0.376602,0.043643,-0.483306,1.275821,-0.473586,-0.68665,0.292602,0.786551
method,0.140753,0.580289,-1.431574,-1.01009,1.089093,0.9723,0.525585,1.136116,-0.556291,-0.034066,-0.467941,0.791148,-0.482912,0.686165,0.041052,-0.940407,1.357698,0.216105,-0.379373,0.378721,-0.933969,0.248617,0.143177,1.914397,0.375551,-0.428841,-0.222791,0.282022
finite,1.33391,0.483067,-0.824032,-0.21327,0.024313,2.711781,0.206473,0.575247,0.180656,-0.08192,-0.269405,1.558748,0.280095,1.018802,1.17778,-0.384908,1.204255,-1.958606,-1.691096,0.426915,-0.119172,-0.015377,0.588522,1.134943,0.499119,-1.472679,0.470739,0.25793
result,0.180153,0.032069,-0.40568,-0.665401,0.919916,0.237111,0.069576,1.043973,5.9e-05,0.899682,-1.213716,0.624418,-0.318538,0.185417,0.595945,-0.244651,0.67685,-0.268628,0.052138,0.057229,-0.814386,0.681358,0.065454,-0.290328,0.001329,0.41421,-0.434819,1.996915
vertex,1.984691,0.280292,0.240662,0.424488,0.675032,1.497344,0.993307,0.323888,1.799588,0.195162,0.018455,1.030342,0.782461,1.603539,1.844268,-0.2957,0.905055,-1.858013,0.198827,0.351132,-0.209706,-0.411629,0.739259,0.471001,0.405828,-1.103185,1.693324,-0.306688
term,-0.099418,-0.111584,-0.665979,-1.477885,0.575958,0.782173,0.216535,0.106571,-0.131985,0.723267,-0.264316,0.560703,-0.035993,0.559167,0.338774,-0.660172,0.36747,0.129019,-0.043889,0.451026,-0.305398,-0.122091,0.004988,0.407157,0.285826,-0.45389,-0.660441,1.563808
line,0.035424,-0.29972,0.196173,-0.548632,-0.175223,0.501234,-0.237408,0.743983,1.099612,-0.287572,-0.700194,0.154179,0.628716,-0.30752,1.288679,0.124239,1.310832,0.092052,-0.104598,-1.241247,-0.250993,-0.154858,0.458756,-0.700043,1.327281,-0.430951,-0.452223,0.840113
model,0.017616,0.465143,0.232067,-0.031813,-0.304437,0.200716,0.68419,0.413022,-0.032637,-0.299486,-0.085818,0.503482,0.376339,-0.350114,0.591104,-0.344497,1.359076,-0.005808,-0.643828,0.00607,-0.306411,-0.208678,0.182634,2.224577,0.544768,-0.670458,-0.187102,1.573492
real,0.292333,0.426304,-0.297767,-0.917927,-0.41019,0.770493,0.673721,0.106261,0.602277,0.593383,0.115615,0.14474,-0.704753,-0.151018,-0.218746,0.209365,0.64945,-0.372258,-0.939774,-0.73771,-0.688284,-0.442937,0.250764,0.462726,-0.29484,0.168396,-0.28604,1.497247
property,-0.528867,0.213809,-0.279966,-1.01872,0.464391,1.759425,0.70445,1.239454,0.420765,-0.14019,-0.038429,0.218839,-0.047452,0.894101,0.641966,0.353992,-0.162292,-0.693209,0.402327,-0.284321,-0.516659,-0.120292,-0.397256,0.711184,0.630119,-1.175136,-1.236275,1.21182
geometry,0.938896,0.979843,-0.806722,0.30555,-0.017127,1.258056,1.16992,-0.121778,0.369512,-1.317028,-0.642827,1.482497,0.44628,1.568735,0.525826,-0.262982,1.748275,-0.676275,-0.818923,0.13042,-0.450306,0.035193,-0.516677,1.110458,0.29921,-1.405531,0.66698,-0.08299
complex,0.445175,0.797372,-1.053135,-0.752671,0.075274,0.905601,0.090206,0.657641,0.397825,-0.048915,0.184756,1.038217,-0.124358,0.232149,0.508414,0.489345,1.354773,-0.567803,0.773388,-0.78507,-0.024582,0.052735,-0.111619,0.746416,0.424141,-1.161092,-0.441005,0.612664
linear,1.038007,-0.152921,0.372006,0.441074,0.830076,0.970383,1.028815,0.071993,0.874285,0.400073,-1.268856,0.317203,-0.03797,1.471145,1.75603,-0.374425,2.311076,-1.114454,-0.400043,0.236426,-0.026598,0.077029,-0.025603,1.539231,1.180132,-0.951264,-0.092642,0.339028
polynomial,1.990678,0.111496,0.409373,-0.293937,-0.414053,3.578119,0.339399,0.21675,0.40613,0.520098,-0.518478,0.912251,-0.31764,1.348241,0.656489,-0.695752,0.968224,-1.840215,-1.71764,0.726025,-0.105943,0.631942,0.451149,1.114927,-0.453683,-1.365714,0.55558,-0.406131
algorithm,1.968755,-0.014846,-0.424828,-0.490798,0.155556,1.50145,0.663657,1.501482,-0.619873,-0.022151,-0.272631,0.289754,-0.905591,1.213407,0.618494,-1.323525,1.584125,-0.678107,-1.238947,0.320032,-0.740612,-0.049937,1.256974,1.888397,0.421962,-0.508263,0.419872,-0.73597
mathematician,1.12957,1.044508,1.079032,-0.881731,-0.746406,1.286778,1.510286,-1.325386,-1.374038,-1.419715,-1.52029,-0.308006,-0.040367,0.637136,-0.553408,-0.7756,0.234625,0.001637,-0.662621,0.090056,1.60711,0.078945,-1.496636,1.13975,-0.923949,-0.08678,0.662804,0.088077
definition,0.066965,-0.202699,-0.875383,-0.814985,0.258445,1.416249,0.387579,0.377781,-0.074371,0.1593,0.016441,0.828277,-0.520876,1.273927,0.861687,0.037788,0.992312,-0.438076,-0.96256,0.886845,-0.139833,-0.371862,0.653332,1.306692,0.681746,-0.542826,-0.085392,1.360852
product,-1.014684,0.654535,-0.885255,0.09535,0.022589,1.377627,0.742857,1.898841,0.063105,0.881466,0.67459,-0.25301,-0.008985,-0.443632,0.6413,-0.32219,1.15094,0.343706,0.182566,-0.016218,-1.090753,-0.626761,-0.021334,2.072414,0.218178,-0.42379,-0.894661,1.137585
state,0.340446,-0.128863,-0.154783,-1.236117,0.620254,-0.08631,-0.271106,0.325064,0.192326,-0.405419,-0.165184,0.086681,-0.219716,0.146805,0.648059,-0.491549,-0.033244,-0.325109,0.544454,0.015595,0.097303,-1.147654,-0.162608,-0.609276,-0.289188,-0.451257,-1.281301,1.952222
sequence,0.7809,0.093711,-0.822552,-0.473032,0.943438,1.079805,0.50593,-0.180046,0.430401,0.352345,0.429644,0.407011,-1.053603,-0.153002,0.739962,-0.322349,1.601005,-1.383612,-0.366095,-0.072351,-0.3582,0.782508,1.117342,0.999149,0.737486,-0.490716,0.915536,0.384939
distribution,-0.090156,-0.017664,-0.513805,0.925095,0.264612,1.268251,0.781442,0.722236,0.223018,1.253232,0.414009,-0.016668,-0.517643,0.820519,0.842862,-1.281418,1.136109,-0.518524,0.185059,0.415541,-0.055103,0.189299,-0.058402,0.725801,1.769531,-0.106561,-1.0851,1.358442
variable,0.538513,0.051378,-0.333426,0.350474,0.725242,1.547178,0.251063,0.491609,0.578324,1.106308,-0.262985,0.8294,-0.384428,0.717608,0.764993,-0.984886,1.436867,-0.591829,-0.794675,0.492225,-0.277195,0.877529,0.575342,1.872712,1.538006,-0.945537,0.246394,1.1198
solution,-0.408391,0.19752,-1.013881,-0.407848,0.361542,0.926813,0.570423,1.412826,-0.221638,0.693259,-0.478622,0.658132,-0.34826,0.650811,0.475747,-0.532438,0.916736,-0.665195,-0.454231,-0.325921,-1.06019,-0.472787,-0.023341,1.912545,0.119605,-0.732048,-0.67985,0.524155
square,0.105156,0.110659,1.122829,-0.148591,0.412523,0.743599,0.564305,0.237094,1.966525,-0.996955,-0.025957,-0.122282,0.913404,0.967254,1.537111,0.714193,1.249031,-0.324583,0.396932,-0.681881,0.401908,-0.45941,-0.200765,-0.461452,0.060228,-0.199262,-0.676186,0.623603
map,0.401662,-0.806428,-0.784471,-0.360684,-0.538555,1.058434,1.012531,0.604611,0.681965,-1.139045,-0.201918,0.024901,-0.828145,0.886645,0.268596,-0.032926,1.339101,-0.67474,0.115134,-0.412843,0.81923,0.305028,0.419343,0.036334,1.707761,-0.633662,-0.52985,0.668115
class,0.538275,0.344449,0.374037,-0.333156,-0.037905,0.665428,-1.057577,0.333275,0.044629,-0.682294,0.081941,0.331888,1.038262,-1.031713,0.550279,-0.240765,0.766129,0.357074,-0.276118,0.243749,0.216831,0.194001,0.378477,0.534729,0.135677,-0.451173,-0.001723,2.161091
integer,1.187228,-0.280261,0.107289,-0.246877,0.549264,3.056742,0.272991,0.614269,1.004633,0.410292,-0.52502,0.031854,0.015995,1.092946,1.528012,-0.624661,1.520584,-1.566483,-1.599764,0.853924,0.249804,-0.079244,1.019249,1.042678,-0.538167,-1.271398,0.791256,-0.072882
mean,-0.1722,0.294548,-1.154236,-1.01451,0.907996,0.920607,-0.147784,0.130282,0.376442,1.20474,-0.076908,-0.048103,0.614752,0.483043,0.173494,0.080631,0.91257,0.080579,-0.296225,-0.206228,0.096953,0.258709,1.029518,0.210662,0.547247,-0.021663,-0.480124,1.071065
proof,-0.165566,0.482749,-0.92805,-0.613493,0.94492,1.412054,0.90657,0.900485,0.151345,-0.497434,0.008538,0.354943,-0.12364,1.269565,0.268713,-0.209183,0.151931,-0.483356,-1.546149,0.479722,-0.567347,-0.140738,0.522384,0.537055,-0.239072,-0.146733,0.381156,0.424801
three,0.237251,0.263841,-0.157026,-0.641179,0.455014,0.121086,0.167836,0.131769,0.967516,-0.321518,-0.17187,-0.112885,0.761775,-0.544464,0.446511,-0.162533,0.835723,0.134952,0.605122,-0.491388,-0.555226,0.585606,0.438209,-0.633536,0.019098,0.154692,-0.138039,1.422916
dimensional,0.408311,1.283191,-1.098212,0.072612,0.042896,1.210237,1.398024,-0.011201,0.691443,-0.502651,-0.333695,1.525603,0.084855,1.381807,0.938512,-0.112445,1.797088,-1.387183,-0.872299,-0.218944,-0.606056,-0.002363,0.614978,1.522171,0.597395,-0.939217,0.919851,0.352701
zero,-0.052935,0.159531,-0.33542,0.178121,0.406962,0.765962,0.212989,0.223837,0.640948,0.713303,-0.586449,0.289261,-0.179267,0.134855,0.818662,-0.201737,0.936197,-1.482892,-1.190436,-0.45501,-0.619588,-0.176395,0.858533,0.726319,0.220578,-0.199405,0.226755,1.059404
algebraic,1.736755,1.065797,-0.755114,-0.200634,-0.658536,2.778012,0.523936,-0.207025,-0.209593,-0.609471,-0.438224,1.51954,0.188953,1.376663,0.602836,-0.069279,1.382834,-1.062579,-1.669408,1.020284,0.029197,-0.387711,-0.255624,1.265196,0.013414,-1.5141,0.54556,0.145122
formula,0.059299,0.361762,0.054059,0.494463,-0.611464,1.663927,0.897057,0.646547,0.103242,0.979658,-0.788819,0.53542,0.241464,-0.205019,0.486043,0.098676,1.112164,-0.197837,-1.446288,0.544381,-0.831543,0.944007,-0.17721,0.647323,-1.049969,-0.708044,0.38777,1.450314
ring,0.354547,1.121261,-0.99246,0.017809,0.087088,1.037339,0.685859,-0.066197,1.172043,0.353843,-0.551258,0.399824,0.735033,-0.412281,0.557669,-0.029671,0.672556,-0.798416,0.204591,-0.603484,-0.785647,0.066806,0.670213,-0.265847,0.424729,0.047021,0.658435,0.25461
edge,0.354216,0.868293,-0.340503,-0.113611,-0.095013,-0.059173,0.717581,0.117823,1.415873,0.20661,-0.306528,0.833253,0.450193,0.394127,1.362143,-0.120404,1.393682,-0.13335,0.428364,-0.310571,-0.576681,0.167785,1.043862,-0.57727,1.2467,-0.232138,-0.479089,-0.041923
sum,0.231228,-0.311865,0.422787,-0.329707,0.802389,1.95361,0.047946,0.503297,0.615484,0.672083,0.049798,-0.415276,0.781451,1.446304,0.727661,-0.347893,0.593744,-1.178741,-1.069381,0.02416,-0.661796,0.132728,0.52645,0.870599,-0.656016,-0.339965,-0.41238,0.707919
plane,0.086579,0.719389,-0.190676,-0.059769,0.450674,0.147139,0.257344,0.54716,1.233941,-0.776721,-0.719011,1.360289,0.327794,0.028013,0.629624,-0.643055,0.528815,-1.430215,-0.866274,-1.576176,0.297845,0.056221,0.640289,0.27821,1.181298,-0.084107,0.882436,0.796462
analysis,0.552636,0.004183,-1.340025,-0.660617,0.838792,0.337786,0.560353,0.4745,-0.883208,-0.538786,-0.368211,0.836616,-1.311284,0.961444,-0.010069,-0.628172,1.516415,-0.682089,-0.549661,0.876003,-0.329365,0.315497,0.082015,1.75861,0.470791,-0.414439,-0.810185,0.823946
dimension,0.21494,0.533404,-0.63882,0.088285,0.337959,0.170414,0.829986,-0.338636,0.431973,-0.306301,-0.262003,1.075704,0.795479,1.154836,0.92337,0.403464,1.351342,-1.076664,-1.049189,0.100921,-0.384975,-0.004465,0.825217,0.96178,0.446929,-0.824396,0.212637,0.854211
curve,1.137474,0.714318,0.313811,0.537468,0.377136,0.579824,0.229044,0.502855,1.155775,0.077095,-0.709453,1.324176,0.198247,1.270553,1.413381,-0.172286,1.502285,-0.645226,-1.133049,-0.209323,-0.605488,0.402339,0.134035,-0.060581,1.555268,-1.071028,-0.295111,-0.010602
type,-0.149829,0.491089,-1.115803,0.275023,0.997758,0.920546,0.354383,0.845574,0.425679,-0.011943,0.010824,0.249442,0.724987,-0.521346,0.785422,-0.407573,1.249127,0.352798,-0.119352,0.134308,0.434689,0.400587,0.515874,1.416435,1.604602,-0.542047,0.217609,1.352485
operator,-0.132143,-0.117181,-0.049667,-0.454906,-1.150755,1.555067,-0.08301,1.786778,0.105153,-0.548602,-0.37383,0.709755,-0.069831,-0.495747,0.851485,-0.844149,0.381322,-1.030467,-0.785763,-0.791751,0.332422,-0.419288,0.815424,1.428979,0.983223,0.33374,0.128974,0.986996
