word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
vector,-0.429164,-0.591723,-1.960547,-0.377425,-1.095438,0.199632,0.204704,-0.651852,0.624216,-0.735652,-1.000783,-1.803713,0.975185,0.82224,-0.526063,2.104722,-1.947736,0.318386,-0.351349,0.180307,-0.937437,-0.055321,-2.069557,-1.579792,-0.888542,-0.423096,0.103957
algebra,-0.682377,-0.061087,-2.960995,-1.084344,-0.544875,1.046678,1.333979,-0.287915,-0.744618,-0.947393,-0.828353,-1.941485,-1.443558,0.245575,-1.126031,0.360281,-0.901795,1.08188,-1.32867,0.860831,0.369151,-0.753019,-1.350738,-0.711155,-0.653576,0.459059,0.45098
$\mathbb{N}$,-1.15034,1.013103,-1.289225,-0.130866,-0.784466,1.008998,0.971694,-0.488282,1.322998,0.27829,0.183221,0.213609,0.523034,0.751885,-1.120296,0.444076,-1.893081,0.032545,0.403109,1.48525,-9.2e-05,0.651418,-2.206648,-1.009163,-0.331996,-1.015225,1.322641
field,-1.253784,0.429912,-1.687074,-0.249625,-2.674761,0.685501,-0.618907,-0.837872,0.62782,-1.03852,-0.832929,-1.040049,-0.687448,0.055689,-0.76126,0.488304,-1.271605,1.200931,-1.26658,1.012495,0.081873,0.060131,-1.343981,-0.928971,-0.44111,0.587737,-0.643338
element,-0.804011,-0.01869,-1.635637,-0.622322,-0.500323,0.926503,0.879605,-0.180828,0.29393,-0.384697,-0.717649,-0.043545,-0.701482,0.716204,-0.261677,0.667239,-2.732848,0.918598,-0.463777,0.741674,-0.27349,0.125145,-2.324547,-0.363981,-0.884168,-0.525452,0.459538
system,-2.106612,0.456788,-1.032762,-0.773548,-1.048312,0.055006,-0.698089,0.778002,-0.182006,-0.497839,-0.643464,-0.328788,-0.372971,0.580193,-1.056663,1.147712,-1.260791,0.014835,-2.316594,-0.283177,-0.248879,0.404343,-1.919318,0.082029,0.216547,0.395092,-0.486176
matrix,-0.952544,-0.073543,-1.905171,-0.34542,-1.559902,0.249197,1.030205,0.018653,-0.801002,-0.514025,0.384172,-0.667014,1.011081,0.646979,-0.292367,2.209061,-2.226736,0.960562,-0.844283,0.77254,-0.206665,-1.420026,-1.245389,-0.367076,-0.404334,-0.908146,1.628627
mathematical,-2.060377,-0.227704,-1.057438,0.542576,-1.369268,1.604456,0.156435,0.203806,-1.298473,-1.323804,-0.839352,-0.222519,-1.087942,1.001638,-0.221646,0.392865,0.839338,0.371355,-1.634058,-0.097957,0.027402,0.634511,-1.75973,0.705783,0.179687,1.501289,-0.040497
method,-1.210076,0.496777,-0.219729,-0.61013,-1.902412,-0.006228,-0.624681,-0.102265,-1.429987,-0.856027,-0.45533,0.170493,0.384842,0.167611,-1.510248,1.75134,-0.275494,0.034073,-1.267887,-0.4543,0.481971,-1.045308,-2.768588,1.222122,-0.553367,-0.314298,0.659103
finite,-0.501813,0.334114,-1.145342,0.013068,-1.10771,0.966374,0.972589,-0.170213,0.011194,-0.814831,-0.596574,-0.14267,-0.706295,-0.475979,-1.397225,-0.329668,-2.118683,0.854723,-1.476708,0.811393,0.478973,-0.081099,-2.6217,-0.929722,-0.514017,-0.608256,0.437861
result,-1.282204,0.187392,-0.149941,-0.623496,-1.764315,1.461068,0.267016,0.23359,-0.747528,-0.520606,-0.222485,0.40603,0.378702,0.101596,-1.184962,0.887125,-0.684528,-0.411299,-0.66221,0.578263,0.016341,-0.21483,-2.184699,-0.719225,-1.196541,-0.304653,0.287091
vertex,0.781493,-0.527818,-0.641308,-0.770896,-0.237463,2.085058,0.872887,-0.173151,0.400783,0.036027,1.816332,0.8531,0.412217,0.713013,-0.527242,0.688709,-2.062669,-0.53601,-0.93681,1.341035,-1.43325,2.011022,-2.817136,1.013865,-0.17293,-0.532576,1.295807
term,-1.445302,0.545504,-1.126157,0.196712,-1.577997,1.200189,0.12115,0.873149,-0.157974,0.069736,0.227729,-0.533871,-0.11386,0.55904,-0.807048,1.064012,-0.956211,0.431128,-0.363821,-0.055153,-0.504708,-0.328723,-2.41472,-0.626404,-1.083607,-0.242793,-0.233504
