word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
result,-0.588162,0.22475,-0.032277,-1.242773,0.105602,-0.760884,0.093471,-0.824752,0.482859,-1.117761,-2.751466,0.575007,0.290688,1.170225,0.601575,-0.991912,-1.079018,-1.51207
vertex,-0.601442,-0.132568,1.914613,-1.433406,-0.604252,1.504389,1.212178,-1.405778,-0.28451,-0.124794,-0.244253,1.006575,1.850805,2.505963,-0.156749,-0.05266,-0.765169,-2.757484
term,-0.279071,-0.370076,-0.437594,-1.097608,0.401744,0.028407,0.406676,-1.188798,0.204454,-1.499724,-2.717935,0.057549,-0.35759,0.65369,-0.291317,0.266635,-1.033419,-1.916735
line,0.119333,0.264958,-0.14516,-0.620674,-1.028643,0.026732,1.289338,-0.784843,-0.412944,-0.512941,-1.832132,0.342144,0.800033,3.112301,-0.802236,1.230417,-0.986137,-1.704703
model,0.952844,1.31808,-0.213942,-1.604933,0.953677,0.917394,0.445198,0.019529,0.459781,0.037205,-3.085014,0.355124,0.86108,0.126954,0.677835,-1.049732,-1.079211,-1.416152
real,-0.376409,-0.123357,-0.613708,-1.338418,0.715755,0.460897,0.182445,-1.336265,-0.939476,-1.536994,-2.627563,1.182787,-0.73539,1.324798,-0.669308,0.268253,0.095117,-1.318398
property,0.025608,0.588138,-0.145795,-1.18661,0.075642,0.561019,-0.367151,-0.985661,-0.171289,-1.152938,-2.55921,1.310598,-0.692658,1.10872,1.26345,0.483853,-0.491763,-1.916118
geometry,-0.516261,0.779845,-0.750928,0.215281,-0.684409,0.707857,-1.231583,0.487127,-0.547848,-0.062923,-3.076938,1.046126,0.429852,1.791351,-1.210677,-0.728251,0.704687,-2.244193
complex,-0.723687,0.679681,-0.867125,-1.06799,0.034447,0.365687,-0.026776,-1.414222,-1.058955,-0.440331,-3.061094,0.834397,-0.443315,1.396017,-0.99257,0.215027,0.574026,-1.424192
linear,-0.076094,-0.230262,-1.448587,-1.643258,0.375416,1.068644,0.637108,-1.607374,-0.862315,-0.071625,-2.763026,0.654467,-0.640164,1.172126,0.405405,-0.746311,-0.068857,-1.634481
polynomial,-0.618344,-1.14524,-0.07595,-1.033265,-0.502225,-0.579628,0.447052,-2.836484,-1.399169,-1.227667,-2.562158,0.737594,-0.731894,-0.253807,-0.112953,-0.979655,-0.027873,-1.501932
algorithm,0.422295,-0.171693,0.163095,-1.457683,-0.721436,-0.850488,1.138922,-2.438189,-0.059732,0.697696,-2.210838,0.587894,0.075131,0.364839,-0.21139,-3.182654,-1.15711,-1.278671
mathematician,-1.803968,-0.488133,0.397836,-0.128617,-0.492346,-0.399324,1.583479,2.617132,-0.30138,-0.408168,-2.326591,1.230446,0.102647,-0.817888,-2.367357,-1.53119,0.663543,-2.1443
definition,0.065718,0.78702,-0.476172,-1.243114,0.068851,-0.225756,-0.0104,-0.741066,-0.452588,-1.365523,-2.441659,1.048558,-1.010878,1.046581,0.325755,0.250107,-0.606842,-2.010023
product,-1.243674,1.058341,-0.449849,-0.861955,-0.045477,1.010844,0.383932,-1.959757,-0.303529,-1.473102,-1.720437,-0.202761,-1.342467,0.831289,0.243414,0.730947,-0.31428,-2.074666
state,-0.671733,-0.726252,-0.530593,-0.860274,0.845608,-0.524338,1.997956,0.430334,-0.050281,-0.518435,-2.120108,0.643108,0.350496,0.578102,0.49972,-0.441253,-0.003728,-2.507103
sequence,-0.481422,0.866193,0.566052,-1.179723,0.735806,-0.252841,1.172447,-2.219241,-0.63067,-1.548564,-1.50996,0.876923,-0.476812,-0.136375,-0.581342,-0.151719,-0.312521,-1.994583
distribution,-0.181341,1.440269,-0.074151,-1.100252,0.786166,1.373463,1.251769,-1.396499,0.495312,-2.432719,-3.064149,0.288543,0.620179,-0.445765,0.020583,-0.404274,-1.392909,0.10522
variable,0.15458,-0.57659,-0.627158,-2.195526,0.983974,0.92029,1.068095,-0.843768,-0.080849,-1.623617,-2.674346,-0.260604,-0.102864,0.182854,0.027847,0.042209,-1.65571,-0.966465
solution,-0.280075,-1.062301,-0.753587,-0.893923,0.338754,-0.921463,0.341788,-1.582517,-0.026462,-0.656467,-2.661323,0.955579,0.901263,1.278983,0.225532,-1.002711,-0.765171,-1.293427
square,-0.64532,-0.245696,0.617324,-0.312635,-0.711453,0.909045,0.041192,-2.503726,0.236735,-1.66032,-1.430632,0.053589,0.919572,1.263447,-0.761229,-0.469078,-1.328897,-1.770935
map,-0.325463,1.417134,-1.374657,-0.770058,-0.114492,0.192678,1.37075,-1.415321,-0.579971,-0.224545,-1.889473,0.232783,-0.91495,1.849889,0.462592,1.295594,0.207271,-1.588786
class,-0.409785,0.371005,0.523174,-1.00812,0.474552,-0.759535,0.426317,-0.485128,-0.67478,-0.407861,-2.320313,0.170018,-0.654814,0.905008,0.967287,-0.024685,1.254711,-2.467721
integer,-0.47299,-0.716312,1.147487,-1.22166,0.062852,-0.617589,0.290332,-2.358477,-1.104879,-2.056665,-2.068302,-0.032828,-0.474486,0.70752,-0.271417,-0.262102,-0.064174,-1.899367
mean,0.178921,0.148739,0.215996,-1.402126,0.728182,0.319521,0.677873,-1.111177,0.094052,-1.751853,-2.486604,0.22356,0.148599,1.070158,0.078754,0.416943,-1.064272,-0.948924
proof,0.216454,0.337052,-0.422492,-0.605231,-0.574609,-1.659796,-0.483432,-0.180397,-0.464761,-1.491401,-2.070591,0.90712,-0.702179,1.169441,0.686862,-1.5638,-1.015919,-2.220351
