word,1,2,3,4,5,6,7,8,9
formula,0.180136,0.879936,0.39515,2.021886,3.505755,0.402574,-0.180768,1.38453,0.589764
ring,-0.861433,-1.037872,0.690185,1.354101,3.047219,-0.697208,-1.664516,1.193896,-0.67683
edge,1.325103,-0.572748,-1.735936,-0.767293,3.064662,-2.078509,-1.545268,-0.188915,-1.187151
sum,0.482821,0.775137,-0.668939,1.795576,3.228893,-1.114095,-0.580352,0.951956,0.287604
plane,0.5883,-0.528101,0.089478,0.927793,3.709685,-0.754048,-0.853946,-0.504998,-2.077833
analysis,-1.744578,-0.863241,-0.968896,0.390674,3.272332,-0.064023,1.988793,0.083972,1.168334
dimension,-0.223605,-0.64438,-0.410545,0.81743,3.351576,-1.158389,-0.591241,0.046861,-0.813839
curve,0.32689,-0.641926,-0.30721,1.653751,2.928689,-0.159955,-0.190633,-0.95057,-0.978913
type,-0.538734,-0.385956,-0.63561,0.630612,3.159314,-1.005274,-0.203724,0.65582,0.757446
operator,-0.908023,-0.548057,-0.184063,2.504684,2.833914,-0.58264,0.296333,0.038323,0.137625
prove,-0.407286,-0.675992,-0.112063,1.054287,2.99302,1.192524,-0.499671,2.397225,0.169242
probability,-0.074433,-0.050889,-2.254634,1.342738,2.469815,0.004499,1.136811,0.988057,1.076323
structure,-0.663316,-1.76826,-0.492133,0.566185,3.48225,-0.695615,-0.361373,-0.246563,0.242336
representation,-0.751001,-0.502218,0.529892,1.141948,3.507719,-0.844279,-0.387678,0.314263,-0.132122
series,-0.651536,0.804223,-0.635855,1.029017,3.140485,-0.405577,1.058805,1.024488,0.266379
prime,0.126611,1.170796,0.073411,0.58831,2.778135,-0.91749,-1.081791,2.471064,0.212207
measure,0.257238,-0.7401,-1.585349,2.022506,2.834154,-0.140376,0.315713,0.017646,0.398425
equal,1.353837,0.446042,-1.413114,1.385751,3.218661,-1.170907,-0.742438,0.478175,-0.456981
lie,-0.317332,-1.16521,0.062244,1.201695,3.295845,-0.350747,-0.883403,0.167295,-1.543394
manifold,-1.032747,-2.449216,0.070909,1.266766,2.972141,-0.065355,-0.740452,-0.30697,-1.465692
degree,-0.037048,-0.38324,-1.908765,0.561556,2.661491,-0.690215,0.345087,0.95597,-1.272497
differential,-1.580418,-0.827569,-0.387433,1.47318,3.319375,0.05252,1.379484,-0.158843,-0.298551
$\mathbb{C}$,0.187951,0.088296,-1.331676,1.297817,2.275615,-1.561525,-1.096152,1.390598,-1.099945
regular,-0.67807,-0.774616,0.388432,-1.258336,3.414044,-1.989685,-1.44835,0.704457,-1.4655
second,0.186672,0.287666,-1.186423,0.594666,3.192903,-0.120931,0.582384,0.904748,-0.334613
triangle,1.68608,0.980126,0.450102,0.1269,3.460662,-0.625582,-1.263614,-0.477366,-1.948714
subset,-0.035718,-2.1487,-1.817641,1.328947,2.555511,-1.515953,-1.787694,1.259752,-0.116342
circle,1.359722,-0.122217,-0.264783,0.667012,3.330459,-0.197689,-0.696392,-0.803297,-2.192524
relation,-0.411453,-0.463361,-0.159035,1.579971,3.025547,-0.643682,-0.655268,0.721708,0.687911
positive,0.686128,-0.014981,-1.078428,2.227552,3.148113,-0.738794,-0.633935,0.89182,0.167064
simple,0.134239,-0.574789,-0.25512,0.661101,3.79191,-0.629018,-0.70903,0.489458,0.820741
topology,-1.519442,-2.650788,-0.702327,0.56881,2.643431,-0.291716,-0.39377,0.397815,-0.681049
