word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
finite,-0.729103,0.74524,1.030058,1.741104,1.269726,-0.104767,-1.023271,-0.083255,-2.288677,1.618076,-1.210325,-0.224063,-0.355986,0.730534,1.537738,1.625407,-0.092433,-0.976925,1.429203
result,-0.057974,0.049062,0.592685,0.568617,1.09711,-0.332688,-0.697355,-0.688388,0.103167,-1.056539,0.400935,-0.635341,-0.270194,0.340464,0.217241,0.254122,0.228961,0.981186,2.083811
vertex,-0.605908,0.726811,0.520745,1.704278,2.186813,-0.276188,0.639436,-0.611332,-1.233466,1.873636,-1.771444,-0.375762,0.291706,-0.42387,1.238508,0.724599,0.560226,-1.417726,0.83412
term,-0.842452,0.094836,0.603276,0.651039,0.51765,-0.592017,-1.278172,0.092307,-0.219184,-0.296916,0.12775,0.274999,-0.620788,0.729764,0.120071,0.020676,0.162552,-0.07113,2.079584
line,-0.938819,0.251989,0.185213,-1.03138,0.861629,0.735921,0.214705,-1.227229,-0.383597,0.630251,-0.125774,-0.613765,0.191248,-0.599885,-0.116333,0.305652,0.225898,0.656932,1.928796
model,0.149442,-0.125264,0.059742,0.931267,-0.676953,-0.165354,-0.706866,-0.668029,-0.13007,0.746911,-0.636124,-0.282987,-0.733703,-0.479147,0.867917,0.578997,-0.485469,0.740726,1.92005
real,0.707149,0.211476,0.826922,0.23666,0.208875,0.332374,-0.626197,0.39263,0.344746,0.332331,0.242302,-0.064677,-0.302961,-0.310179,0.083847,0.033763,-0.38102,-0.354478,2.328529
property,-1.629188,-0.313176,0.025174,-0.161744,-0.068518,-0.832142,-0.615616,0.130322,-0.691997,0.209187,0.00484,-0.322332,-0.24177,0.042606,-0.061404,1.293917,0.134095,-0.508905,2.388978
geometry,-0.361835,-0.4515,0.547335,1.173749,0.267429,0.325724,-1.154593,-0.183281,-1.221923,1.985428,-2.232784,0.51201,0.212452,0.301141,1.504147,1.420377,0.136773,-0.056686,0.981296
complex,-1.128457,-0.406873,0.054561,0.559941,0.228347,0.621905,-0.273764,-0.423887,-0.445548,0.425144,-0.524748,0.528012,0.71196,-0.099612,0.775094,0.749469,-0.264111,-0.232337,2.405516
linear,-0.322339,-0.326464,0.552659,2.301144,0.729637,-0.300392,0.418555,-0.668825,-1.209658,1.77625,-1.527953,-0.384798,-0.33472,-0.018485,0.693755,1.305567,-0.309875,0.215181,2.092859
polynomial,0.505597,0.604012,1.058453,2.051836,1.462274,-0.87374,-0.957897,-0.200577,-1.572985,1.785288,-1.662818,-0.750798,-0.105526,0.9624,1.315027,2.074189,-0.091632,-2.293961,0.823646
algorithm,-0.018589,0.61652,0.072355,2.261856,0.002872,-0.39329,-1.387354,-0.163424,-0.669891,1.038648,-1.145529,-0.339933,-1.113234,-0.584733,1.241445,1.507121,-0.26485,-0.771682,0.886177
mathematician,1.110347,-2.133322,-0.338417,-0.031561,-0.518003,-1.432402,-1.441223,0.36593,0.320265,1.377662,-1.469973,0.413532,0.473013,1.728706,1.549043,-0.039821,0.469207,-0.686855,-0.585415
definition,-1.006198,0.355193,1.058925,1.781908,0.453668,-0.232781,-1.243185,-0.001251,-0.715277,0.511743,-0.501979,0.263875,-1.177256,0.251929,0.375062,0.472054,-0.422837,-0.07078,1.673993
product,-0.74268,0.456903,-0.061269,1.060536,-1.894459,0.270663,-0.176393,-0.7451,-0.384626,0.122166,0.350522,-0.851016,-1.243152,-0.117287,0.425864,0.615653,-0.17146,-0.211563,2.864767
state,-0.763854,-1.054706,0.629562,-0.603786,0.868668,-1.178052,-0.74905,0.377584,-0.69326,-0.471489,0.594073,0.096571,-0.182244,-0.403022,-0.125466,-0.817806,-0.019274,0.270398,1.982644
sequence,0.252933,1.111356,-0.122995,1.37665,0.989775,0.502374,-0.33638,-0.190694,-0.244583,0.750641,-0.916471,0.515423,-0.681252,0.18542,0.592716,0.943495,-1.194832,0.142636,1.786975
distribution,-1.11491,-0.400555,-0.187176,1.494372,0.090181,0.415335,0.280184,-0.385812,-0.943387,0.181412,-0.076923,-0.465946,-1.61024,0.788349,-0.125814,0.421335,0.026969,0.166536,2.158762
variable,-0.654416,0.71323,0.072495,2.301583,0.908562,-0.079799,-0.400826,-0.690329,-0.578997,0.637873,-1.137316,-0.497741,-1.250437,0.439067,0.624962,1.53581,-0.254738,0.501379,1.877634
solution,-0.687524,0.220832,0.547522,1.468431,-0.867827,0.020399,-0.888729,0.347978,-0.699009,0.289121,0.125233,-0.554804,-0.584659,-0.078693,0.939869,1.299575,0.056939,0.208915,2.29875
square,-1.046905,-0.372538,0.593111,-0.598845,0.711382,-0.454363,1.116209,-0.896361,-0.490627,1.457375,-0.956724,-0.611821,0.580869,-0.6604,-0.844605,-0.065771,0.262446,-0.156307,1.579445
map,-1.875326,-0.678924,-0.148024,-0.104108,0.847757,0.850227,-0.419937,0.121884,-0.037079,1.289457,-0.772533,-0.104389,-0.884233,-0.253905,0.187511,0.746964,-0.581838,0.075471,1.338335
class,-0.299278,-0.227635,-0.033557,-0.333858,0.366491,-0.587844,-0.755237,-1.496059,-0.163934,-0.126805,-0.262001,-0.132777,-0.308744,-0.130381,0.611591,-0.39236,-0.424358,0.662948,1.188548
integer,-0.311257,1.21869,1.11979,1.942805,1.550871,-1.145072,-0.107929,-0.527056,-1.418994,2.262362,-1.423566,-1.013952,-0.821177,0.437613,1.093188,1.294997,-0.300708,-1.381372,1.185434
mean,-0.873224,1.080957,0.148718,0.578511,0.834697,-0.237277,-0.000843,-0.513243,0.070836,0.307433,0.422719,0.730265,-0.112863,0.612336,-0.038646,-0.065873,0.021174,0.177821,2.134933
proof,-0.362592,1.328885,0.723888,0.941624,0.160976,-0.818917,-1.103251,0.530985,-0.510114,0.646696,-0.667112,-0.07864,-0.851006,0.339525,0.059308,0.815985,0.36827,0.01035,0.928979
three,0.146473,0.241258,-0.050041,-0.99483,0.847362,-0.117399,-0.148845,-1.135336,0.287038,-0.022266,-0.250222,-0.102975,0.116177,-0.144735,0.066123,-0.498432,-0.012017,0.657899,1.925407
dimensional,-0.241581,0.713788,0.252857,1.814237,0.496082,0.798342,-0.643663,0.040782,-1.009477,1.884421,-1.853005,0.735462,-0.037879,-0.193521,1.393787,1.205596,0.17555,0.080951,1.754931
zero,0.416176,0.919384,0.758657,1.224416,0.907341,0.226406,0.060679,0.238073,-0.708656,0.877129,-0.058771,-0.508385,-0.343744,-0.540869,0.605614,0.663393,-0.148868,0.714178,1.770469
algebraic,-0.084137,-0.196196,1.209223,1.614305,0.553043,0.155394,-1.579597,-0.129617,-1.950551,1.808798,-1.878589,0.448921,0.135064,1.114731,1.811656,1.207199,-0.269478,-1.477775,0.597722
