word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
model,-0.94196,-0.151636,-1.8918,-0.580836,-0.312377,-0.81482,0.285075,1.265132,0.490342,0.148533,-0.449694,0.047903,-0.27168,-0.46593,-0.196933,-0.213055
real,-1.372633,-0.409642,-0.658951,0.064369,-0.352831,-1.220809,-0.017918,-0.007881,-0.474753,0.333507,-0.126881,0.974035,0.300909,-0.529459,-0.817764,-0.515498
property,0.416855,-0.550036,-1.58396,-0.522372,-1.512099,-1.877842,-0.874701,0.13421,-0.612101,0.022771,0.406266,-0.161554,-0.535249,-1.093167,0.136672,0.240249
geometry,0.583276,-2.162549,-2.100851,-1.515426,1.081757,-1.203942,1.023957,0.48339,0.861954,0.576286,-0.006152,0.106087,-0.978948,-0.097472,-0.592821,0.303633
complex,0.485733,-0.800207,-1.875526,-0.002893,-0.429524,-1.114736,0.206832,-0.095206,0.550407,0.495398,-0.353707,0.766003,-0.742546,-1.392295,-0.084703,-0.419412
linear,0.083123,-1.227676,-2.894971,-1.071034,0.63056,-0.606269,-0.013751,1.201172,0.467888,1.653908,1.349835,0.242353,-0.263186,-0.811828,0.251807,-0.59558
polynomial,0.168486,-1.728974,-2.159539,-1.552015,1.54547,-2.037793,-0.059047,0.802669,0.057446,0.914627,1.968093,0.869455,-0.03315,0.968812,-0.723795,1.342911
algorithm,-0.576266,-0.969599,-2.748353,-1.386355,0.744544,-0.768474,-0.227312,0.902595,-0.106533,-0.157036,0.193642,0.914184,-0.73642,0.715515,-0.370444,0.85003
mathematician,1.237134,-1.024623,1.253783,-0.693583,0.873838,-1.264433,0.711027,0.917704,1.434304,-0.311935,0.196468,-0.156843,-0.689489,0.537239,-1.854773,1.45991
definition,-0.656654,-0.959005,-2.598666,-0.736797,-0.475543,-0.794854,-0.63537,0.378778,-0.066284,0.666237,0.636721,0.087526,-0.845106,0.28595,-1.417083,-0.278474
product,-0.325182,0.98053,-2.633762,-0.38538,-0.816547,-1.117516,-0.473782,1.574015,-0.513241,-0.512269,-0.605841,0.346241,0.589092,-1.327952,-0.456507,-0.584592
state,-1.119077,-0.289958,0.225362,0.360337,-2.252277,-0.691862,-0.62044,-0.058062,0.47753,0.322833,0.382299,0.341706,-1.125172,-0.859974,-0.177299,-0.018365
sequence,-0.882685,-0.544107,-2.332819,-0.213218,1.020311,-1.225526,-0.173095,0.365699,0.652481,1.001767,0.200474,0.529039,-0.727412,0.277245,0.14169,-0.664275
