word,1,2,3,4,5,6,7
equal,1.518334,-0.509309,-0.326483,-0.474305,1.033104,-0.520151,-0.814537
lie,1.663888,0.981799,0.445814,-0.412827,-0.555169,0.42639,-0.559536
manifold,-0.073483,0.338458,-1.563285,-2.349165,-0.058266,-1.544262,0.82397
degree,1.55202,-0.029938,-0.334094,0.479914,1.133353,0.009485,1.186651
differential,0.626081,-0.149261,-1.482478,-1.722197,1.050508,-1.442965,0.754257
$\mathbb{C}$,-0.129762,1.32759,-0.040994,-0.069896,1.308402,0.281724,-0.013332
regular,0.666447,0.504973,0.894367,-0.196129,1.560897,0.333977,-0.451564
second,1.068145,0.709916,1.564312,0.654624,0.830334,0.643931,-0.909976
triangle,-0.163688,0.850114,-0.356858,-1.189956,0.07507,-0.557403,-0.273392
subset,0.925326,-0.04227,-1.683423,-1.215968,0.834812,-2.371638,-0.564542
circle,1.07773,0.818823,0.580071,-0.579438,-0.134855,-0.453801,0.107395
relation,2.330743,-1.119386,-0.11885,0.832505,0.336714,-0.712177,0.736503
positive,1.376452,-0.847908,0.884531,-1.140761,1.365869,-1.362484,-0.237973
simple,1.760287,0.391652,0.31844,-1.948554,0.660499,-1.649407,-0.276407
topology,0.17533,0.056234,-1.40267,-1.781278,0.306565,-2.081967,1.091955
category,1.19518,0.277914,0.115382,0.171044,1.721192,-1.052658,0.359726
surface,1.847684,1.469743,-0.734412,-2.467256,0.959993,-0.142481,-0.732728
constant,1.22535,-0.305715,-0.430246,-1.376462,0.247409,-0.878459,-0.359244
application,1.698438,-0.303245,-0.725255,-0.884933,2.831861,-1.058019,0.867372
integral,0.894282,-0.003225,-1.159426,-0.89017,0.625816,-1.573964,0.478144
coordinate,1.253519,-0.121042,-1.300718,-0.392668,1.185638,-0.585354,0.291968
complete,1.594256,0.853858,0.49729,0.451498,0.600785,0.663326,0.362083
root,1.594066,0.455392,0.495457,-1.057317,-0.010732,-1.043828,0.119989
length,1.285563,1.816083,0.094028,-1.296252,1.109842,-0.327157,-1.177792
continuous,1.747891,0.295585,-0.966136,-1.565828,1.072214,-0.792295,-0.295995
logic,0.624716,-0.83816,-0.465177,-1.043774,0.711014,-1.898433,1.47383
external,0.738241,1.572471,1.144007,1.188271,1.158894,0.118974,1.006902
side,1.513688,1.363032,1.183504,-0.522482,0.395163,0.652264,-1.397804
unit,1.663736,0.702268,-0.830351,0.282404,1.82937,0.795073,-0.719653
equivalent,1.401106,0.298658,-0.96086,-0.246034,1.081331,-0.748119,-0.494376
conjecture,-0.382781,-1.03745,-0.906087,-1.638938,-0.555541,-1.508176,1.040505
infinite,0.333282,-0.14817,-0.108493,-1.525529,0.33667,-2.249934,-0.381821
operation,1.770945,-0.036666,-0.147683,0.191058,1.823247,0.897017,-0.543186
angle,0.676901,0.896653,-0.532572,-2.160937,0.680723,-0.582071,-1.223854
random,0.522717,-0.330656,0.307796,-1.575192,1.118928,-1.430108,0.1338
basis,1.98627,-0.221075,-0.325502,-0.12307,1.149953,-0.279856,0.038659
natural,2.484928,0.865379,-0.055846,-0.627965,0.341089,-0.246191,0.848327
power,1.896271,-0.091933,0.584605,-0.165075,1.294221,0.286943,-0.9422
area,2.808222,1.525336,-0.295646,0.255083,0.716124,1.551114,-0.312966
open,1.440202,1.14651,1.041504,0.280952,1.145004,0.726241,0.06978
solve,1.194577,-1.249882,0.011621,-1.143325,0.741671,-1.259897,0.127581
pair,0.586622,0.85281,0.854339,-1.186826,0.718535,-0.467948,-1.236938
hold,1.737925,0.171039,1.232377,1.057812,0.73401,0.772341,-0.192937
limit,1.874827,0.006676,-0.16254,-0.485352,1.777996,0.272115,-0.145852
special,1.195737,0.176754,1.306881,0.140781,1.543957,-0.160201,-0.075086
generate,1.789978,0.059684,-0.646344,-1.501131,2.127181,-0.942121,-0.423298
coefficient,0.412314,-0.270748,-1.737083,-1.490439,0.810617,-1.954225,-0.460612
standard,1.750693,0.40635,-0.291445,-0.37375,2.255338,-0.603662,0.164451
identity,1.845104,-1.133401,0.71174,-0.182328,0.31451,-1.453898,0.213846
four,1.395935,1.160243,1.229866,0.066212,0.917373,0.703346,-0.732658
rule,2.190658,-1.009685,0.392893,0.719174,0.078335,0.140113,-0.838199
topological,0.451395,-0.076777,-1.736197,-1.942099,0.052623,-2.386978,0.704341
computer,0.684103,-0.302368,0.474332,-0.435463,2.786008,-1.322476,1.303642
derivative,0.926449,0.035318,-1.284429,-1.2991,1.078972,-1.322557,0.102861
symmetry,0.241667,0.293466,-1.480065,-1.81518,0.091963,-1.908402,-0.012866
compact,0.541439,0.888544,-0.861491,-1.221956,1.28059,-1.012962,-0.224845
factor,1.960699,-0.80843,-0.517448,-1.29842,1.558316,-0.680622,-0.073967
family,1.542962,0.569682,1.190631,0.563062,-0.537193,0.912148,-0.1519
transform,1.375175,-0.036365,-0.00458,-1.023213,0.204877,-1.048538,-0.083037
convex,0.453676,0.826539,-1.635759,-2.3979,-0.33249,-1.580903,-0.796237
domain,1.549447,-0.113815,-1.185101,-0.388788,0.577166,-1.006062,0.298396
subgroup,0.466929,0.478946,-1.991336,-0.559613,-0.241934,-1.68045,-0.224743
construct,2.03512,1.268707,-0.471311,-0.770099,-0.067959,0.626869,0.162456
axiom,0.070162,-1.221347,-1.435726,-1.154782,-0.044143,-1.930196,0.128236
construction,2.030127,0.936101,-0.518559,0.025206,0.554221,0.928238,0.189917
therefore,2.646121,-0.67124,-0.177587,-0.779301,0.35703,-0.569604,-0.92862
compute,0.655474,-0.218628,-1.020319,-1.053148,2.157665,-1.854796,0.853625
normal,1.562594,0.121975,-0.282999,-1.339159,1.089368,-0.393099,-0.520002
distance,1.256863,0.91046,-0.154773,-0.387238,1.09267,-0.056631,-0.840742
notation,0.389516,0.240115,-0.959567,-1.035441,0.259953,-2.340691,0.289117
parameter,1.257873,-0.305235,-1.554556,-1.780949,1.658654,-1.957952,-0.16377
euclidean,0.504158,0.544238,-1.846789,-2.071982,-0.1046,-2.227613,0.407905
symmetric,0.458872,0.202939,-1.693543,-1.658394,0.357545,-2.312391,-0.426192
metric,0.60466,-0.014954,-1.529738,-1.075461,1.243757,-1.439554,0.018459
test,1.261657,-0.49562,0.219475,-0.903996,2.059874,0.177788,-0.099046
bundle,0.144212,0.52889,-0.565683,-1.668327,1.146044,-1.573764,-0.30415
center,1.126771,0.938177,0.342216,0.560835,1.697718,0.808496,0.681939
symbol,1.493751,0.650958,-0.205148,-0.304986,-0.183992,-1.724507,-0.36252
projective,0.07022,0.367455,-1.901493,-2.058356,-0.155377,-2.194904,0.158523
sphere,1.163089,0.254619,-0.722991,-1.100812,-0.04436,-1.562538,0.072342
interval,0.905119,0.325997,-0.948368,-1.246667,0.789382,-1.196745,-0.992741
single,0.611382,1.343733,1.936704,-0.654182,1.674907,-0.443532,-0.996365
geometric,1.141233,1.000385,-1.08553,-1.891989,-0.231842,-2.386095,0.910012
ideal,1.766692,-0.308518,-0.023541,-0.857337,-0.010459,-1.501473,0.11434
dual,0.497842,0.393672,-0.598873,-0.613219,1.634736,-0.515916,-0.339094
module,0.322617,0.282605,-1.108878,-1.229439,2.351556,-1.367311,-0.162705
invariant,0.419913,-0.177159,-1.782744,-1.725645,-0.254522,-2.169724,0.489596
$\mathbb{Q}$,-0.577775,0.366828,0.1653,-0.385306,1.205011,-0.997886,-0.42747
index,1.011106,0.255789,-0.969629,-0.208177,1.278364,-0.847632,0.769085
information,2.172636,-0.633499,0.151041,0.153967,1.901278,-0.470278,0.948011
transformation,1.369403,-0.37348,-0.564848,-0.913157,0.524095,-1.607707,0.949887
extension,1.185609,0.621244,-0.906653,-0.490891,1.329961,0.147748,0.415909
direct,0.450893,-0.271168,2.114368,0.12733,0.603727,-0.659826,0.266187
uniform,1.088466,0.268258,-0.415815,-1.071583,0.711407,-0.269591,-0.354976
path,1.528239,0.50582,0.0345,-0.973558,0.472648,-0.339973,-0.432281
negative,1.841794,-1.169992,0.231138,-1.44937,1.035647,-1.327268,-0.513293
image,1.455868,0.850182,0.798243,-1.039175,0.793625,-1.446891,0.354265
member,1.469291,-0.428983,1.580239,1.465995,0.66726,0.992974,0.583747
inverse,0.521024,-0.266625,-1.72607,-1.686706,0.568784,-2.169258,-0.076199
step,1.262768,-0.268012,0.908296,-0.879967,0.938752,-0.190443,-0.541485
independent,1.631599,-0.411969,0.624407,0.703552,1.251159,0.160676,0.54931
arithmetic,0.563092,-0.248117,-1.560659,-1.179917,0.26008,-2.002401,0.755109
position,1.758637,-0.388271,0.666369,0.332369,0.849202,0.583778,-0.569677
calculus,0.338721,-0.63996,-1.406047,-1.028152,0.05019,-1.823548,1.830244
rational,1.289409,-1.49313,-0.769279,-1.347985,0.230186,-2.159379,0.760987
law,2.247219,-1.466199,0.645745,1.137793,0.316153,0.681878,1.036394
tree,1.62017,1.647984,0.515158,-1.356081,-0.28277,-0.203103,-0.416897
component,2.051016,0.382487,-1.085707,-1.373823,2.097182,-0.936382,0.051844
lattice,0.405416,0.529864,-1.721178,-2.026982,0.247612,-1.422657,0.073819
inequality,0.809769,-2.001416,-1.467636,-0.920414,0.159854,-1.252647,0.822994
volume,0.803774,1.512472,0.167921,0.041441,0.319799,-0.606964,1.073723
section,1.700258,1.186415,-0.168428,0.050184,0.988463,0.524883,-0.206727
add,1.447327,0.639936,0.887919,-0.764818,1.205667,-0.173708,-0.464021
$\mathrm{e}$,0.133822,1.289051,0.381321,1.00648,0.596327,-0.960875,-0.181305
fundamental,1.981146,-1.001521,-0.578684,-0.669426,0.651056,-1.700123,1.257393
game,0.295919,0.789865,2.182314,0.22494,2.508548,0.08322,-1.188884
polytope,-1.045539,1.164321,-2.163332,-1.706109,-0.374922,-0.761366,0.726449
smooth,0.89291,1.369236,0.110157,-2.541285,0.240019,-0.857387,-0.631208
partial,1.085504,0.049386,-0.378475,-0.93466,0.623912,-0.251005,0.209417
extend,1.813477,0.979069,-0.118149,-0.396179,0.756878,0.505288,-0.474718
multiplication,0.480532,-0.157416,-1.859126,-1.341508,0.492493,-2.390204,-0.73019
boundary,1.992664,0.830307,-0.898685,-0.617699,0.065226,0.722941,0.30646
local,2.454737,0.086492,0.508254,0.481077,0.687221,0.866163,0.004269
node,0.935935,0.032058,-1.551946,-1.462198,1.259467,-1.155797,-0.849995
develop,1.886563,0.189873,0.419802,-0.687211,1.308697,-0.5214,0.695576
difference,2.074504,-0.353352,-0.010995,-0.945972,1.009291,-1.182892,-0.191511
statement,1.753219,-2.145229,0.737252,-0.059882,0.767456,-0.737875,0.065131
tensor,0.409533,-0.195001,-1.985733,-1.804227,-0.254003,-2.330813,0.18882
discrete,0.757799,0.03399,-1.556204,-1.567023,1.051056,-2.174115,0.454023
variety,1.919681,0.923213,0.780753,-1.127681,0.767274,-1.130296,0.341789
generalize,0.426777,-0.620093,-1.292998,-1.837148,0.189062,-1.864626,0.729575
sample,0.782313,0.359804,0.392856,-1.800745,1.17722,-1.053895,-0.151983
statistic,0.609967,-0.178755,-0.25141,1.31159,2.068966,0.171778,0.517544
axis,1.261123,0.784438,-1.000028,-1.029786,0.241789,-0.717387,-1.503657
hyperbolic,-0.276336,0.436091,-1.706276,-2.123115,-0.429468,-1.902981,0.426195
rotation,0.476485,0.185951,-0.83389,-1.573213,1.284208,-0.831908,-0.903859
Hilbert,-0.084944,-0.367478,-1.337272,-1.367728,-0.558077,-1.749109,1.191687
digit,0.273774,0.317633,-1.179019,-0.822399,1.264224,-1.128152,-1.47704
intersection,0.247752,1.586176,-1.492776,-0.682757,0.634561,1.202428,0.088544
addition,1.951062,0.462186,0.59355,-0.362459,1.114236,0.014689,0.093306
expression,2.069317,-0.759592,0.070912,-1.119205,0.431778,-2.139013,0.174219
Student,1.65996,-0.515569,0.716613,1.159318,1.125382,0.446758,0.726817
approximation,0.682028,-0.530761,-1.645939,-1.842977,0.523381,-1.977168,0.438236
$\mathbb{Z}$,-0.696812,0.93059,0.240188,-0.030212,0.701562,-1.187996,-0.298434
mathematics,-0.269229,-0.265855,-0.91785,0.771466,0.637093,-0.84328,3.058842
code,1.115672,-0.017195,-0.710567,0.00695,1.755301,-0.644656,-0.050989
rank,0.976564,0.079535,0.704208,1.228538,1.221376,0.615085,-0.375509
characteristic,2.409575,0.72895,-0.379622,-1.721871,0.196336,-1.411648,0.012766
binary,0.465152,0.109894,-1.162855,-1.119776,1.251582,-2.109139,-0.277972
closed,1.230764,0.497273,-0.980044,-1.192677,0.751083,-0.364187,-0.697645
