word,1,2,3,4,5,6,7,8,9,10,11,12
product,-0.970252,0.965613,-0.807918,-1.782202,0.271994,0.189062,-1.688808,1.236249,0.856877,-1.404228,-0.543762,-0.52557
state,-0.598348,1.943285,0.657107,0.219001,0.174344,-0.084965,-1.338598,-0.456001,0.720351,0.345557,-0.459601,1.043006
sequence,-0.206642,-0.04751,-1.636157,0.120886,-0.230511,-0.745399,-1.875979,0.19923,-0.280183,-0.358788,-1.179324,-1.144265
distribution,-0.669505,0.167511,-0.795281,-0.254,0.896077,0.00595,-2.482527,0.005866,0.080926,-0.700212,-0.133108,-0.007589
variable,-0.526398,-0.414571,-2.343144,0.18684,0.307617,-1.449763,-2.129973,-0.046198,0.209733,-1.190848,-0.907999,-0.37177
solution,-0.746239,0.375237,-0.995363,-1.314004,0.360359,-1.306181,-1.562898,1.066246,0.728022,-0.953024,-0.664548,0.001813
square,-1.071504,0.361489,-0.952628,0.737096,0.542052,1.493595,-0.271975,-1.147331,-0.222784,-0.482708,-0.978836,0.179989
map,-2.09433,-0.209195,-0.207504,0.181629,1.018555,-0.094599,-1.004868,-0.22776,-0.547541,-0.151786,-0.971684,0.142869
class,-0.676402,1.251196,-0.04359,0.011212,0.466685,0.045756,-0.643424,-0.411955,0.667199,-0.774076,-0.648937,-0.022074
integer,-0.110389,-1.027448,-2.193668,0.599355,-1.121507,-1.744803,-0.903143,-0.535203,-0.304402,-2.218795,-1.114515,-0.211686
mean,0.467451,0.673868,-0.904461,-0.299594,0.162843,0.195769,-1.58127,0.005915,-0.149522,0.152915,-1.845905,0.277747
proof,-0.213103,0.178196,-0.971582,-0.634314,-1.010276,-1.11531,-0.678187,0.10941,-0.124969,-0.265115,-1.055414,0.295678
three,-0.228449,1.739425,-0.406048,0.090165,0.69431,0.561769,-0.312578,-0.628581,0.588058,0.188452,-1.410495,-0.561988
dimensional,-0.978105,-1.512427,-1.799738,-0.306482,0.30382,-1.505307,-1.333969,0.66605,0.138413,-0.287283,-1.304791,-1.22573
zero,-0.031393,0.789344,-1.658179,0.61636,-0.259183,-0.856386,-0.929246,0.900872,0.165172,-0.445831,-0.576894,-0.863689
algebraic,-0.458378,-2.833624,-0.443193,-0.269127,-0.445934,-1.721478,-0.946816,-0.28673,1.067778,-1.562529,-0.641686,-0.334983
formula,0.621221,0.089059,-1.005963,0.373434,0.319927,-0.760157,-0.186492,0.204543,1.372298,-1.309161,-0.701501,-1.068859
ring,0.309714,0.667805,-1.279145,-0.444447,0.550359,0.458399,-0.242572,-0.033956,-0.047867,0.146543,-0.883174,-1.409571
edge,-0.627941,0.101434,-2.013085,-0.213738,0.856161,1.081638,-0.822481,-0.514345,0.377699,0.782533,-0.77484,-0.798678
sum,0.256458,0.599359,-0.943014,-0.036502,-1.140302,-0.61933,-0.673116,-0.262169,0.143474,-1.077554,-0.988346,0.493463
plane,-0.598861,1.054368,-1.840864,0.24898,1.19133,-0.866506,0.012544,0.620714,-0.661221,0.532725,-0.619694,-0.648014
analysis,-0.99044,-0.177545,-0.1517,-0.374465,-0.066056,-1.955018,-2.785459,0.35171,0.527403,-0.54007,-0.49611,-0.318177
dimension,-0.655627,-0.307371,-1.534699,0.414791,-0.125192,-0.80908,-1.261598,0.192472,-0.020238,-0.426109,-1.381396,-0.655338
curve,-1.123442,-0.610086,-2.715989,0.520449,0.887692,-0.245424,-0.864852,-0.875507,0.483801,0.123153,-0.417292,-0.065818
type,-0.675658,0.652278,-1.335689,-0.630426,1.164798,-0.304038,-1.711799,-0.061329,-0.584467,-1.249539,-1.130432,-0.699883
operator,-1.187596,0.825732,-0.831296,-0.627705,0.619961,-0.919187,0.228904,0.964046,0.553956,-0.954599,-0.33912,-0.050586
prove,0.433338,1.031823,-0.916363,-0.740284,-0.293008,-1.005826,-0.275813,0.114687,0.500998,0.793136,-1.261487,0.520841
probability,-0.047743,-0.458454,-1.635253,0.641016,-0.466481,-2.472755,-1.989625,-0.47811,0.530058,-0.618847,-0.648382,0.25431
structure,-1.235255,-0.282362,-0.492969,-0.793059,1.978713,-0.141851,-1.449308,-0.505562,0.455508,-0.29086,-1.638384,0.071384
representation,-0.502905,-0.590918,0.122654,0.137475,-0.168555,-1.027066,-1.460148,-0.017239,0.946146,-0.335299,-1.621685,0.717666
series,-0.732564,1.579274,-0.047014,0.673254,-0.910731,0.960586,-0.523874,0.677828,0.423241,0.316282,-0.705755,-1.845448
prime,0.947572,1.597485,1.175674,0.204943,0.080936,-0.755687,0.409192,0.601768,0.532079,-0.162924,-0.431346,0.403993
measure,-0.528034,0.850681,-1.67362,-0.122893,0.887182,-1.08075,-2.024152,-0.280275,0.354445,-0.633908,-0.880675,0.728725
equal,0.505918,0.648531,-1.237062,0.479882,-0.158188,-0.761877,-1.139233,-0.705451,1.088207,-0.668237,-1.262,0.747859
lie,-0.295231,0.782094,-0.418428,-0.327442,0.827442,0.702527,-0.529894,-0.908828,-0.79159,0.788246,-1.073396,0.301068
manifold,-0.425656,-1.701771,-1.985365,-0.815676,0.044603,-1.290169,-0.145787,-0.459135,0.139938,-1.055975,-0.136182,-0.261398
degree,-0.679111,0.150575,0.589247,-0.078801,0.735421,-0.417479,-1.517874,-0.836966,1.48743,-0.705064,-0.436237,0.641718
differential,-0.242451,-0.809267,-1.813218,-0.388723,0.686323,-2.07525,-1.131423,-0.255199,1.168431,-1.176728,-0.135671,-0.507266
$\mathbb{C}$,-0.48854,1.172404,-0.364373,0.719446,0.865865,-0.590183,-0.647227,-0.953137,-0.403355,-1.444928,0.550247,-1.461984
regular,-0.380384,1.420336,-0.729421,0.438206,0.132891,0.642072,-0.216471,-0.309666,1.697851,-0.195356,-0.713647,-0.234771
second,0.225048,2.052365,-0.169137,0.921015,0.341638,0.32567,0.058576,-0.904577,0.823198,0.04196,-1.26489,-0.523382
triangle,-0.34189,-0.722102,-1.072014,0.39824,0.536626,0.542788,-0.318076,0.180626,0.20101,0.509128,0.016099,-0.44354
subset,-0.258748,-1.123858,-1.477496,0.082348,-0.395596,-0.926883,-1.694793,0.50346,0.239237,-1.689213,-0.87899,0.264029
circle,-0.518919,-0.228123,-0.184891,-0.182941,0.187721,0.576091,-0.398084,-0.047206,0.295029,0.774459,-1.240105,-0.311334
relation,-0.01387,0.617538,1.249665,-0.015918,0.578877,-1.410083,-1.55381,0.351647,0.715216,0.337125,-1.166273,1.155095
positive,0.5273,0.773055,-0.993122,0.191809,-0.880546,-0.871391,-2.359971,0.367648,1.017037,0.221902,-0.665911,-0.338967
simple,-0.484686,-0.313802,-1.725256,-0.950461,-0.291358,-0.39142,-1.232924,0.16698,0.357988,-0.145743,-2.247355,-0.804999
topology,-0.76043,-2.135067,-1.362581,-0.303966,0.089891,-1.446735,-0.75044,0.379208,0.390607,-1.281785,-0.152208,-0.37839
category,-0.200254,0.324667,0.081338,0.579305,0.234303,0.267489,-1.655205,0.435547,1.393813,-0.838066,-0.861006,-0.333368
surface,-0.64847,0.355389,-2.696034,-0.739626,2.108782,-0.34911,-1.698102,-0.04144,-0.293774,0.107475,-0.732771,-0.917201
constant,0.152179,0.049842,-1.567414,0.032896,0.602849,-2.078577,-0.976367,-0.188115,-0.013559,0.040661,-0.983127,-0.264013
application,-1.801659,0.75195,-0.828668,-1.330702,0.060386,-1.293478,-1.786277,1.341767,0.88495,-1.89098,-0.795017,-0.225586
integral,-0.367161,-0.931208,-0.677502,-0.198647,0.654314,-1.100765,-0.769263,0.446123,0.764194,-0.594659,-0.92179,-0.261669
