word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
graph,-1.23751,-0.927728,-1.336592,-0.319349,-0.232198,0.75037,-1.6478,-1.356799,0.157409,1.016463,-0.013402,-0.426766,-0.854776,1.280304,-0.830121,0.222808,-0.054446,0.25726,1.073854,-0.091862,0.241841,-0.535304,-0.632551,0.7228,-0.120654,-0.046522,0.138013,0.333269,-0.679696,-1.240843,-0.940831,-0.38087,0.564831,-0.5924,-0.26394,0.514755,0.041983,0.407921,-0.459883,-0.318986,0.69833
value,-1.462172,-0.093449,-0.111532,-0.449138,0.256897,1.061568,-1.228034,-0.874927,-0.171126,0.228607,-0.37498,1.094081,-0.344145,1.372416,-0.442152,-1.055424,0.604915,0.570185,0.681192,0.005137,0.103317,-0.510751,-0.362558,0.60078,-0.017126,0.107474,-0.461251,-0.36375,-1.330927,0.078301,-0.560994,-0.123408,-0.488973,1.278898,0.625062,0.130978,-0.439199,-0.280405,-0.337936,1.22794,0.153797
problem,-2.24764,-0.08592,-0.062612,-0.576971,0.162138,0.853249,-0.523169,-0.422835,-0.35315,0.519797,-0.493702,0.034961,0.468,0.764517,-0.800096,0.261071,0.277048,-0.383543,0.349977,0.477685,0.660598,-0.135148,-0.71265,-0.59213,-0.786479,0.042062,-0.178003,0.285265,0.029826,0.114159,0.705867,-0.125192,-0.423498,0.218441,0.326332,0.515162,-0.758048,-0.587657,-0.683541,0.682641,-0.120465
mathematic,-0.81573,-0.679231,-1.143972,-0.616435,-0.159054,-0.123347,0.004684,-1.228448,0.325469,1.422804,-0.381966,0.420625,-0.005437,0.668295,-0.042212,1.129989,-1.148773,0.912282,0.819296,0.752583,-0.089913,-0.415203,-0.085539,1.099359,-0.523657,-1.087498,-0.012288,0.449047,0.350836,0.122686,-0.564235,-0.200688,0.993502,0.107233,0.307105,0.847642,0.6135,-0.812545,-1.069665,1.95801,0.697405
order,-1.203713,0.484565,-0.32297,-0.018998,0.048649,-0.243972,-0.332067,-0.891822,-0.557487,0.128014,0.018276,0.519705,-0.245671,-0.045877,0.057958,-0.754075,0.415241,0.279512,-1.259406,0.273058,-0.540023,-0.143192,-0.272611,-0.38898,0.198663,0.045988,-0.267277,-0.357805,0.31016,-0.289059,0.707732,-0.923055,-0.421296,0.355795,0.369738,-0.175931,-0.164531,-0.331318,-0.132207,0.762628,-0.864154
equation,-1.526158,-0.236601,-0.955763,-0.953097,-1.082008,2.332323,-1.2062,-1.861342,0.487551,0.437318,-0.085997,-0.094854,-0.81717,1.927123,-0.764806,0.597239,-1.263339,0.183188,0.218381,-0.802627,-0.145096,0.401323,-1.246921,1.300262,-1.381716,-0.088698,-0.422015,0.022798,0.330666,-0.362813,-1.005864,-0.10561,-0.273798,0.366835,0.291727,-0.105239,0.436579,-0.456186,-0.790424,0.008902,0.400853
first,-0.186412,-0.098486,-0.588714,0.425218,0.178948,-0.019145,0.848876,-0.358323,-0.784769,-0.017727,0.263676,0.105466,0.276743,-0.194438,0.052754,0.080507,-0.064112,-0.259881,-0.656295,-0.671391,-0.193466,-0.447109,0.013219,-0.175956,0.100837,0.21648,0.37229,-0.578576,-0.054913,0.086535,0.488749,-0.477789,0.368644,0.269044,0.473568,0.557099,0.257295,-0.201989,-0.767241,1.06492,-0.846041
vector,-1.600433,-0.862154,-0.720954,-0.486217,-0.451497,1.169893,-1.2464,-0.231325,0.763827,0.601979,-0.735921,-0.018049,-0.971482,1.983208,-0.718749,-0.046368,0.878334,-0.123374,0.508356,-0.605345,-0.481161,-0.023986,-0.615443,0.275664,-0.828959,-0.422862,0.633322,0.09382,-0.121121,-1.065492,-0.463314,-0.660696,0.702646,0.040313,0.270009,-0.354677,0.857554,-0.102054,-0.566974,-0.292553,-0.196908
algebra,-0.707518,-0.935142,-0.460033,-0.865798,0.029782,0.814749,-1.187331,-1.789544,0.234245,1.072013,-0.363782,-0.171085,-0.631429,1.134573,0.333692,1.219467,-0.067593,1.002618,0.959785,0.970707,-0.606299,-0.165301,-0.255425,2.024911,-1.390396,-0.864136,0.507094,0.660061,0.234065,-0.649444,-1.526254,-0.206034,1.036598,-0.382821,-0.239418,0.239219,0.607555,-0.691545,-1.066127,0.236277,-0.080422
$\mathbb{N}$,0.225362,0.561429,-0.519499,-0.473113,-0.248911,1.206122,-0.106695,0.348752,-0.0885,-0.641611,-0.162451,-0.832274,-0.241448,1.272591,0.136575,0.009217,1.144666,1.014607,-0.378643,-1.068614,-0.566519,0.086316,-0.426839,0.952631,-0.433874,0.873867,0.470879,-0.858597,-0.12017,-0.004216,-0.398124,-0.235674,0.065701,-0.286441,0.409455,-0.312767,0.27277,0.107035,0.123095,0.209264,0.380163
