word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
vector,-0.466172,0.56212,-0.755966,0.382623,-0.046642,0.462355,0.405694,0.68669,0.90475,-0.526711,-0.999359,1.037787,0.472286,-1.462955,-0.104978,-0.821973,0.518984,0.034125,2.066415,-0.152649,-0.537185,0.424981,-0.306832,0.415153,1.12864,0.5957,-1.077531,0.326619
algebra,-0.600133,1.462347,0.059575,0.139034,-0.72287,0.304177,0.602346,1.874194,0.754294,0.496658,-1.065581,0.757934,0.384195,-1.840897,0.573135,0.558281,0.867735,0.123579,0.716619,-0.353032,1.492515,0.919529,-1.119237,-0.200999,1.296508,0.823923,-0.901391,0.737706
$\mathbb{N}$,-0.193538,-0.573316,-0.686887,0.282634,-1.32626,0.442901,0.935817,0.579581,-0.048913,0.174486,-0.113095,0.597782,1.172664,-0.556998,0.591885,-0.384254,0.654597,-0.178935,0.011207,-0.186008,-1.372312,-0.883999,-0.272404,-0.555892,1.03226,0.272338,-0.48741,-0.151156
field,-0.100921,0.352234,-0.468399,-0.597091,1.27335,-0.224429,0.353843,0.657389,-0.282982,0.537594,-0.27398,0.973786,-0.730531,-0.225671,-0.021569,-0.59698,1.31793,-0.419153,-0.03198,0.152543,-0.068603,-0.710701,-0.1716,0.522626,0.025572,0.289858,-1.20593,-1.034487
element,0.172096,0.741466,-0.357472,-0.134237,-0.151737,-0.554008,0.517372,0.385363,-0.000205,-0.766538,0.313028,1.213869,0.179164,0.666729,0.687181,-0.665334,0.298432,-0.067034,0.957627,0.061807,0.295946,0.136048,-0.442446,0.268301,1.817371,-0.75489,-1.58234,-0.426367
system,0.188226,0.536708,-0.748854,-0.10567,0.477435,0.0386,-0.325597,0.658974,0.400722,-0.44741,-1.144839,1.727937,-1.019761,0.412556,0.698043,-0.758224,1.287422,-0.043357,1.963605,0.030841,-0.334721,-0.872831,0.032834,0.300132,1.141025,-0.217313,-0.667159,-0.239678
matrix,-0.588172,0.683684,-0.448963,-0.085501,-0.795982,-0.489688,0.794316,0.779648,0.58288,0.040986,-0.22234,1.32801,0.410469,-0.982335,0.197369,-0.592384,0.474855,-0.091476,1.545799,-0.120549,-0.558795,0.531655,-0.811947,-0.283538,1.031064,0.076643,-0.896364,0.734467
mathematical,-1.006758,1.585289,-0.035682,-0.625296,0.213609,0.029068,1.204608,0.899843,0.550191,0.178573,-1.107208,1.044755,-0.502064,-0.493141,-0.541217,0.521889,1.408697,0.112776,0.382002,0.242349,1.424155,0.628719,0.056767,0.670283,1.746539,0.888061,-1.236335,1.103202
method,-1.075139,0.579501,-0.348919,-0.363221,-0.102486,-0.178538,0.390794,0.188129,0.686144,-0.35199,-0.483679,1.270611,-1.508463,-0.212059,-0.237136,-1.090247,0.902936,-0.087263,1.090743,-0.369951,0.212486,0.214673,-0.281027,0.362748,2.095382,-0.055897,-1.1644,0.152802
finite,0.331963,1.013783,0.233501,0.191339,-0.812692,0.285481,0.923659,0.866333,1.291835,-0.209604,-0.533354,0.96769,0.507015,-1.57346,0.019989,-0.181615,0.825876,0.082711,1.673244,-0.581927,0.539009,0.630589,-0.663487,0.152715,1.785654,0.896756,-1.240303,0.365482
result,-0.166554,-0.735006,-0.387591,-0.515088,0.667644,0.223382,-0.008867,0.021323,1.457926,0.3079,1.158429,1.051037,-0.577734,0.474743,-0.502441,-0.18707,1.247944,-0.418423,0.933598,-0.076357,-0.81552,-0.249022,0.30547,0.184562,0.274078,-0.331898,-1.043712,-0.412085
