word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
graph,0.1262,-0.492384,-0.119286,1.181413,1.687472,-0.555175,0.134863,-0.683608,-0.156658,-0.718175,0.742069,0.435362,-0.509739,-0.75856,-0.770213,-0.433726,0.834371,-0.548311,-1.197677,0.341004,-0.310472,-0.272445,-0.265484,-1.025658,0.473189,-0.234168,0.515171,0.870415,0.332948,0.9753,-0.014133,-0.244963,-0.546848,0.501493,-0.856437,-0.183476,-1.006375,1.170809,-1.158917,-0.887125,-0.396054,-0.953952
value,0.858635,-0.87367,1.072615,0.381683,1.536942,-0.833156,-0.398897,1.272901,0.678018,0.030756,-0.003154,1.576029,0.43983,0.251961,-0.209955,-0.597748,0.83184,0.052135,-0.577914,-0.363257,-1.04127,-0.16221,-0.96259,0.293639,-0.030309,-0.14445,0.817624,-0.431006,0.203885,1.03047,-0.131421,-0.277751,-0.203791,-0.446581,-0.19432,-0.301799,-0.715681,0.151577,-0.544369,-1.176406,0.141645,-0.565856
problem,-0.124765,-0.717233,1.323867,0.287851,1.050956,0.764372,0.182483,0.912804,-0.138248,0.583688,-0.288034,0.356394,-0.380479,-0.411417,0.143911,-0.740289,0.701844,0.27622,-0.081999,-0.21903,-0.892047,0.397711,-0.47281,-0.503128,0.550392,-0.292046,0.368051,0.59521,0.620626,0.243558,0.806189,0.285619,-0.064512,-0.323295,-0.105206,0.724674,-0.317229,0.007677,-0.613367,-1.028925,-0.406209,-0.133782
mathematic,-1.490977,-0.282607,0.724994,1.046192,0.928827,-0.078656,-1.359935,0.036211,0.7849,-0.35472,0.58831,0.162261,-0.278242,-0.561767,-1.176262,0.561084,-0.223799,-0.224033,-0.883568,-0.09454,-1.402458,-0.196539,0.133772,0.320941,-0.205652,0.443933,-0.451757,0.474095,1.729392,0.865175,0.565281,0.1442,0.528469,-0.007183,-0.126115,0.047613,0.592289,1.141021,-1.479264,-0.556716,0.016725,-0.730474
order,-0.112687,0.094158,0.268146,-0.256511,0.524338,0.044474,0.19487,1.847411,0.086995,-0.281942,-0.148698,-0.070286,0.338676,0.154722,-0.057751,-0.037863,-0.335208,0.587882,-0.157196,-0.349951,0.564951,0.286862,-0.847626,0.464548,-0.814341,-0.214978,-0.408426,-0.322134,-0.191425,-0.272814,0.481575,-0.030044,0.144937,-0.600857,-0.476133,0.423269,-0.544131,-0.429908,-0.558557,-1.078453,-0.404665,-0.246825
equation,-0.19363,-1.651234,1.162958,0.51838,0.847996,0.306661,-1.6014,-1.278576,0.955465,-0.828469,0.563978,0.675793,0.428255,-1.18192,-0.651792,-0.992568,0.488597,-0.739771,-0.452242,0.284904,-0.697055,-0.054495,-0.578036,-0.423953,0.432647,-1.235743,-0.032621,0.511633,0.092095,1.597495,1.378097,-0.579874,-0.231715,0.008793,-1.383844,0.090758,-1.235654,1.182368,-0.924726,-1.737743,-0.103759,-0.872811
first,-0.17539,-0.166023,0.24081,0.502127,-0.816968,-0.110597,0.029121,1.563401,-0.4597,-0.515515,-0.381293,-0.813052,0.290111,0.053149,0.369761,0.689756,-0.564353,-0.17473,-0.055727,-0.0177,-0.128858,-0.106558,-0.359541,0.14011,-0.294241,-0.414543,-0.012533,-0.116431,0.34439,0.309321,-0.117291,0.671043,0.359756,-0.545898,-0.124121,0.4257,0.00722,-0.058412,-0.16459,-0.597422,0.026064,-0.102552
vector,-0.252228,-0.844686,0.250042,0.821468,1.196744,0.105753,0.055172,-0.421349,0.304862,-1.555029,0.476251,1.270731,-0.155653,-0.111872,-0.45581,0.035569,1.273265,0.164704,-0.100689,0.933756,-0.11993,0.043981,-0.859791,-0.768907,0.46907,-0.748839,-0.115345,0.242715,0.136069,0.885442,0.601422,0.119501,-0.371798,0.710111,-0.840101,0.227758,-1.348066,1.195351,-0.190758,-1.151359,-0.378734,-0.328312
algebra,-0.933241,-0.87799,0.162869,0.439073,0.91849,-0.303154,-0.943965,-1.340472,0.64383,-1.011615,0.205968,0.235513,0.203576,-0.787065,-1.756995,0.942536,0.088724,0.016584,-1.016638,-0.323098,-0.996461,-0.747352,-0.836396,-0.048657,0.083832,0.59409,-0.1074,1.317345,0.861941,1.114306,0.642304,-0.603318,-0.769362,0.237161,-0.539164,-0.131776,-0.502667,1.58988,-1.151769,-0.691017,-0.597358,-0.455169
$\mathbb{N}$,0.417964,-0.715209,-0.090896,0.569219,-0.64401,-0.324534,-0.584575,-0.07572,0.132558,-0.272727,0.17514,1.103063,0.163306,0.267955,0.334232,-0.090083,-0.277765,0.948399,-0.157534,0.406114,0.793891,-1.238337,0.165788,-0.129442,0.485773,-0.000532,-0.251888,0.028699,-0.743266,0.737892,0.020245,-0.051314,-0.843959,0.138385,0.001234,0.3392,-0.788474,1.026083,0.603715,-1.179939,0.477449,-0.357623
