word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
value,0.026941,-1.126677,-0.731295,0.434528,0.149181,-1.277237,0.127773,0.305739,2.723996,0.140029,-0.425787,0.204934,0.981334,0.844128,-1.424922,-0.695641,-0.233382,0.854219,-0.196791,-0.1918,-0.157416,-0.246691,1.62916,-0.905229,0.714178,-0.209697,-0.068598,-0.846635,0.788731,-1.431788,0.716025,-0.990061,0.240094,-0.58041,0.569492,-0.730846,0.802526,-1.382001,-0.379871
problem,0.050282,-1.418295,0.958074,0.278595,-0.022973,-0.355402,0.290298,0.781202,2.305027,-1.344318,-0.287261,-1.001488,0.380182,1.186164,-1.396472,-0.058968,0.761039,-0.869035,-0.017414,1.459762,0.461783,0.164849,0.867569,-1.259163,0.828671,-1.422027,-1.001668,0.453902,0.095899,-0.632376,-0.03313,-1.48221,0.673284,-1.376582,0.804414,0.023356,-1.03238,-0.241411,-0.337593
mathematic,0.438762,-0.420752,1.358443,0.875874,0.171518,-0.954115,-0.146019,0.329815,2.856164,0.626328,0.026108,-0.459884,0.372314,2.251928,-0.37237,0.634214,0.026759,-0.458565,-0.241476,-0.381239,0.406891,0.346337,-0.766504,0.580936,0.677574,-1.518452,-0.650794,0.622467,0.059629,-0.122099,0.238879,-0.577215,0.687726,1.400018,-0.391379,-0.609656,-0.975935,-0.79527,-0.852186
order,-0.198483,-0.879671,-0.145787,-0.335463,1.072082,0.684011,0.722457,0.727379,3.29068,0.259017,0.539409,0.072653,-0.015671,0.749812,-2.35471,0.034151,0.078554,-0.28264,-1.054832,1.118424,-0.297659,0.307864,0.413572,0.638803,0.353952,0.170067,-0.446624,0.428528,-0.504309,-1.023664,0.954322,-0.258673,-0.358208,0.456968,0.93064,-0.015918,0.567222,-0.957034,0.359341
equation,-0.53969,-0.707204,-0.390425,0.319663,0.565427,-0.777472,-1.149836,2.049041,3.278787,-0.078127,-0.217416,0.269835,1.629189,0.949225,-0.439891,-0.652212,0.142066,-1.172202,0.195111,0.742746,0.420623,1.447545,-0.413947,-0.98801,0.439686,0.242456,-0.422356,1.145224,0.422601,-0.488096,-0.389202,-0.968599,-0.14067,-2.000754,0.381235,0.619372,0.361647,-1.225226,-0.64333
first,0.630861,-0.503206,0.547412,0.603515,0.739016,-0.177845,-0.306905,0.603357,3.382218,0.342752,0.504772,-0.708157,0.641037,1.016241,-1.861422,0.292994,0.780595,-0.109707,0.199192,-0.309951,0.108062,0.319914,0.795468,-0.038508,0.337952,-0.433914,-0.110161,0.202256,-0.074634,-0.154986,0.693119,-0.391765,-0.339379,-0.104127,0.131659,-0.21018,-0.026916,-0.466032,-0.739005
vector,-0.432407,0.281276,-0.713822,0.885154,-0.305668,-0.492761,-1.371503,1.645553,2.466333,-0.019819,-0.042277,0.891792,0.538296,0.887908,-1.215279,0.720232,-0.089464,-0.114325,0.484209,1.180576,-0.677005,-0.417742,1.437992,-0.317842,1.03529,0.748099,-0.45224,-1.107323,0.949922,-1.909511,-0.624525,0.071971,0.702842,-0.275171,-1.172842,-0.041648,0.810818,-1.82246,-0.816427
algebra,-0.322722,0.805124,0.987207,0.002425,0.125061,-0.496945,-0.702271,1.554541,2.872837,0.373704,0.40312,-0.145279,0.62702,1.855147,-0.771225,1.860741,-0.158058,0.298319,-0.408041,1.560853,-0.838413,0.986371,-0.274628,-0.599191,-0.197122,-0.417002,0.355882,0.193532,0.911281,-0.720996,-0.7991,0.85791,1.597671,1.771577,0.313251,-0.381245,0.37322,-1.079454,-0.60924
$\mathbb{N}$,0.163785,-0.38133,-1.416935,-0.565837,-0.489668,-0.172369,-0.212185,0.763148,2.827079,-1.089525,0.975077,0.667075,0.981746,0.425077,-1.713072,0.146436,-0.284636,1.013406,-1.394837,-0.357264,-1.398369,-0.18043,1.564455,-0.494859,0.953734,0.344407,-0.155957,-0.408856,-0.098803,-1.841528,0.425692,-0.406317,-0.144374,0.32091,-0.245753,0.021057,-1.075315,-0.104449,0.032705
field,-0.180326,-0.20522,0.147701,0.126579,-0.034014,-0.816471,-1.297554,1.462794,2.855767,0.007615,0.434966,0.031144,0.964484,1.853721,-0.454774,0.345392,-0.772691,-0.116348,0.656881,1.629296,-1.037672,0.597827,-0.812976,0.147589,0.190142,-1.178836,-0.569325,-0.600733,0.675585,-1.424468,-0.302268,-0.135877,0.514539,-0.28487,-0.380169,-0.755927,-0.381034,-1.035954,0.102227
element,0.015036,-0.293271,0.453844,-0.200804,0.2806,0.866904,-0.509082,1.214804,2.749928,-0.069264,0.295537,0.823174,0.951927,0.296976,-1.435312,0.511395,-0.535699,0.61862,-0.546792,1.545126,-0.75237,-0.001368,0.962195,-0.320692,1.125465,-0.116679,0.332085,-0.174509,0.443471,-1.366789,0.474812,0.138945,0.135289,0.418965,0.127991,-0.891523,-0.004222,-0.503959,-0.014048
system,0.126383,-1.981122,0.210548,1.225837,0.356519,0.304774,-0.684826,1.696183,2.267552,0.545064,-0.108217,0.455557,1.111766,1.169912,-0.808029,0.665491,0.665225,-0.805447,-0.362049,0.755436,0.415409,0.454354,0.389416,0.915943,0.076967,-0.306734,-0.61625,-0.606035,0.301819,-0.751774,0.250827,-0.757713,0.874165,-1.154755,0.230862,-0.531512,0.051276,-1.104249,0.515026
matrix,-0.740872,-0.536116,-0.339314,0.080947,1.292203,-0.792814,-0.749198,1.226655,2.253605,-0.610035,-0.77062,1.278781,0.462289,0.185701,-0.844984,1.300543,0.547933,0.337027,-1.137658,0.418317,-1.345917,0.099076,1.778571,-0.768699,0.739275,-0.535793,-0.291999,0.004345,1.145428,-1.611529,-1.270759,0.400438,-0.533701,0.306957,0.42931,-0.611468,0.176197,-1.818251,-0.827913
mathematical,0.468614,-1.307533,1.321394,1.158309,0.142094,-1.109615,0.57397,0.837458,2.531668,0.382709,-0.418556,-0.859299,0.700593,1.551613,-0.363657,0.76988,0.210114,-0.978669,-0.514547,-0.23292,0.341385,0.56462,-0.502563,0.340573,1.161107,-0.962415,-0.88796,0.871299,0.671366,0.282344,0.848497,-1.049869,0.858316,0.831716,-0.341909,-0.844332,-0.642526,-0.597201,-1.40713
